gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rasgef1b	2.35500923106445e-07	1.22553972637791	0.00422229605037545	1	1	0
Syt11	3.96477695530297e-06	0.875329687695609	0.0710844860316269	1	1	0
Schip1	4.12351379624071e-06	1.11944406935977	0.0739304788527997	1	1	0
Pcsk2	5.29988246985358e-06	1.16810850478718	0.0950215928020049	1	1	0
Pdzd4	6.7556576683232e-06	0.871811894950732	0.121122186335367	1	0	1
Lrrn2	1.22624376787033e-05	1.27681806126463	0.219853245141472	1	0.333	0.667
Dmxl2	1.8767730421981e-05	0.978545933137942	0.336486638735697	1	1	0
Pde4dip	3.2787645202845e-05	0.898567447347421	0.587849690841807	1	1	0
Nipal2	4.55402825785161e-05	1.01935336530336	0.816491726350216	1	0.667	0.333
Mpped1	5.09487876041896e-05	-1.59374342807364	0.913460812955515	0.6	1	0.4
Smarca1	5.23381790543001e-05	0.944911130573962	0.938371212264546	1	0.667	0.333
Slc41a2	5.59136219834646e-05	0.965615120228568	1	1	0.667	0.333
Nrxn3	6.03369597336012e-05	-0.228717731309092	1	1	1	0
Gucy1a2	6.99242874024688e-05	0.619104930518712	1	1	1	0
Btbd8	8.56679518556423e-05	0.855838843010685	1	1	1	0
Zkscan16	8.9280898473631e-05	0.547803692676369	1	1	0	1
Exoc4	0.000113348610241679	-0.411155817316545	1	1	1	0
Far1	0.000118841047660445	0.798504226316026	1	1	1	0
Cers4	0.000130397962648468	0.911082904170509	1	1	1	0
Cdh18	0.000138738469026489	0.71077904693202	1	1	1	0
Mtf2	0.000157379000191097	0.798037523026787	1	1	1	0
Zfhx4	0.000172647016131961	0.887290332283872	1	1	0.667	0.333
Acvr2a	0.000187609827500348	0.814512905496627	1	1	1	0
Pcdh9	0.000198152950464295	-0.207647536193538	1	1	1	0
Esyt2	0.000234077997217194	0.732575679229082	1	1	1	0
Kmt2a	0.00025958180307304	0.716163322397483	1	1	1	0
Tub	0.000270175442717424	0.791749885093695	1	1	0.333	0.667
Lin7a	0.000273210065664088	0.79845590354369	1	1	0.667	0.333
Rbms1	0.000276192474524496	0.743317006815808	1	1	1	0
Cyfip1	0.000290893879558779	-0.821209747045729	1	1	1	0
Psma4	0.000313379350772166	-1.49681380137943	1	0.6	1	0.4
Tcaf1	0.000357588579480888	0.684304119680157	1	1	1	0
Ano6	0.000417876299076209	0.655789145103117	1	1	1	0
Syt9	0.000468347690995364	0.62933684472644	1	1	1	0
Afdn	0.000471569540081955	0.69804530504615	1	1	1	0
Zranb2	0.000489296635015526	0.716246795836539	1	1	1	0
Fam8a1	0.0005026486721839	0.318926232972848	1	1	0	1
Pde10a	0.000556930945469799	0.546704776692629	1	1	1	0
Fat3	0.000580224130326491	0.401285424563607	1	1	1	0
Gls	0.000602583555332963	0.737672484977132	1	1	1	0
Cacnb2	0.000607519689900182	0.807857449916871	1	1	1	0
Ptprr	0.000662913125438144	0.61645252592692	1	1	1	0
Scamp1	0.000666062726676054	0.772520122951599	1	1	1	0
Nrg3	0.000693471687251789	-0.203707020655582	1	1	1	0
Ryr3	0.000706713912416883	0.745967303711293	1	1	1	0
Itm2c	0.000710023924114237	0.577965417503935	1	1	0.333	0.667
Lsamp	0.000718274986382523	-0.120335377091293	1	1	1	0
Adam22	0.000776203316100535	0.594760263316075	1	1	1	0
Hsph1	0.000804936731629207	0.588412442939978	1	1	1	0
Arhgef9	0.000814812747698701	0.660270634028567	1	1	1	0
Ppp1r13b	0.00118362178190894	0.467586133200543	1	1	0.333	0.667
Sacs	0.00118737067363438	0.491627851353167	1	1	1	0
Kcnd2	0.00121774262980232	-0.15948400570528	1	1	1	0
Runx1t1	0.00122830480950255	0.533823697824366	1	1	1	0
Syt14	0.00125225365890205	0.672504933589933	1	1	1	0
Srsf12	0.0013087232760917	0.245234892678124	1	1	0	1
Csmd1	0.00134402697741323	-0.181254081020759	1	1	1	0
Shkbp1	0.0013710660209422	0.212244654572268	1	1	0	1
Zdhhc20	0.0015668973356555	0.613379822532842	1	1	1	0
Appl1	0.00158338095121929	0.49584655745849	1	1	1	0
Fech	0.00161349327474894	0.465085777764157	1	1	1	0
Cacna2d3	0.00165348315520434	0.712849523713732	1	1	1	0
Slc1a2	0.00166612410254024	-0.518001672190724	1	1	1	0
Sgcd	0.00170558693725936	-0.192156333469246	1	1	1	0
Hycc2	0.00176307715704685	0.556432003218863	1	1	1	0
Rnls	0.00180822834627636	0.506883458868559	1	1	0.667	0.333
Hap1	0.00182486777052056	0.089299845483694	1	0.8	0	0.8
Hipk3	0.00185395161358419	0.604299923744936	1	1	1	0
Zfr	0.00193792130175615	0.597496226444416	1	1	1	0
Tmem181a	0.00195277915615677	0.435136567087924	1	1	0.667	0.333
Synj1	0.00196461453494576	0.824039638620838	1	1	1	0
Il1rapl2	0.00197532986418269	-1.20627668380311	1	0	1	1
Atp2b1	0.00201360281515789	0.615870990484974	1	1	1	0
Dgkh	0.00205549639210072	0.587078921146102	1	1	1	0
Hace1	0.00207729428121273	0.677592920881554	1	1	1	0
Gpc6	0.00208767167808452	-0.249408239617833	1	1	1	0
Ica1	0.00212927074386705	0.62274060660316	1	1	1	0
Jakmip2	0.00214325258332164	0.642325913414743	1	1	1	0
Ank1	0.00222203729643838	-0.792155740732215	1	1	1	0
Mgat3	0.00223534341897611	0.500067728629348	1	1	1	0
Smg5	0.00228877397253984	0.507664718630914	1	1	1	0
Gng2	0.00237592402917454	0.392381140899074	1	1	1	0
Cul3	0.00240462827612888	0.587988457812105	1	1	1	0
Ptbp2	0.00247736492131111	0.49697003594362	1	1	1	0
Rasgrf1	0.00258976076373037	0.780345454821275	1	1	1	0
Nr1d2	0.00260495330605245	0.597532692991535	1	1	1	0
Arhgap44	0.0026464831155391	0.503215481203562	1	1	0.333	0.667
1110065P20Rik	0.00268860288987488	-1.14543419002382	1	0	1	1
