gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Cntn3	1.57540434369082e-06	1.42168561732511	0.0282454244780327	1	0.6	0.4
Dync1i2	4.12219654798494e-06	1.05205166430699	0.073906861908822	1	1	0
Galnt17	1.55992130009383e-05	1.23457355859016	0.279678289893823	1	1	0
Nedd4l	4.16264230538483e-05	1.06966159312713	0.746320138932446	1	1	0
Ppp1ca	0.000131636027712869	-0.772605421976886	1	0.2	0.8	0.6
Rph3a	0.000205696087179123	-0.916331846126622	1	1	1	0
Slc25a4	0.000214426163027172	-0.950534814423877	1	0.8	1	0.2
Hps4	0.000257301056588273	0.937558006664573	1	1	0.8	0.2
Oxct1	0.000432790936990039	0.611353504170813	1	1	1	0
Cacnb2	0.000532767160347478	0.78195382598685	1	1	1	0
Sptan1	0.000623264349393489	0.712085550472325	1	1	1	0
Cnot6l	0.000671588412706244	0.542355710087721	1	1	1	0
Spire2	0.000697049387055987	-0.697586495181423	1	1	1	0
Eid2b	0.000803928779235475	-0.716300695640818	1	0.6	1	0.4
Dlg4	0.000910666999225722	1.09484390100265	1	1	1	0
Abcc4	0.000955612735705027	1.00231910041626	1	1	0.8	0.2
Ppp4r4	0.00102289535063557	0.69941863066613	1	1	1	0
Ica1l	0.00103041546900889	0.726465543562588	1	0.8	0.2	0.6
Wdr47	0.00125145087015173	0.766239277134732	1	1	1	0
Bcan	0.00130862000719733	-0.358631553788844	1	1	1	0
Lrp11	0.00136772356247951	0.674350223081592	1	0.8	0.2	0.6
Gabarap	0.00146727350067938	-0.859432142263869	1	0.8	1	0.2
Emc4	0.00149161684032556	0.604511652073873	1	0.8	0	0.8
Rgs17	0.00151334275699903	0.821994747512241	1	1	1	0
Rps3	0.00159035543192305	-0.558151746873048	1	0.2	0.8	0.6
Pcdh11x	0.00181283526749994	-0.248148059520812	1	1	1	0
Cipc	0.00182278903632407	-0.49740646184149	1	1	1	0
Plpp1	0.00198649636636077	0.918798832263402	1	1	0.8	0.2
Ccdc97	0.00202194950831804	-0.568621975074654	1	0.2	0.8	0.6
Arhgap24	0.0021322120146231	-0.342379744894473	1	1	1	0
Polr2a	0.00225268926407662	-0.67554215626319	1	1	1	0
Psma1	0.00226418407328472	0.773232868804467	1	1	0.8	0.2
Lrrc4c	0.00244892768116055	-0.131000053714793	1	1	1	0
Celf2	0.00248923093127126	0.273331930142113	1	1	1	0
Kdm7a	0.00250260205120919	-0.804793294237391	1	1	1	0
Zfp668	0.00254210832580816	0.69912911559048	1	1	0.8	0.2
Pradc1	0.00257075410440372	-0.581889717507262	1	0.2	0.8	0.6
Lrfn2	0.00295462086123618	0.715654273172087	1	1	1	0
Ftl1	0.00297089647803107	-0.837346990166092	1	0.8	1	0.2
Gna12	0.0030385619769447	-0.585366991088169	1	1	1	0
Ndufb9	0.00310101536278431	-0.566742593257744	1	0	0.8	0.8
Stx3	0.00323913541965601	0.776146980634386	1	1	1	0
Magi3	0.00345932359482339	0.579692566040943	1	1	1	0
Leprot	0.00349966554894167	-0.697945239534931	1	1	0.8	0.2
Iqcj	0.00380614046724637	0.716777178931651	1	1	0.4	0.6
Tenm1	0.00393037295723519	-0.274803473498763	1	1	1	0
Papss1	0.00397518078256631	-0.451697173337803	1	1	1	0
Dhrs7b	0.00420769554759308	-0.606573181716151	1	1	1	0
F8	0.00422696032755673	-0.74962922665285	1	1	1	0
Ldb2	0.00425046555881716	0.975074281504339	1	1	1	0
Pxdn	0.00486659513353768	0.80877096490574	1	1	0.8	0.2
Piezo2	0.00487879202421186	0.727850301984585	1	1	0.6	0.4
Nptn	0.00496174464583731	0.635158090153348	1	1	1	0
Stx2	0.00499582197843009	0.608717141590058	1	1	0.6	0.4
Chrna4	0.00505393139375336	0.642797311707749	1	1	0.4	0.6
Mapre2	0.00511544790204158	0.50698689747485	1	1	1	0
Snap25	0.00545202756708428	-0.80374192547715	1	1	1	0
Ogfod1	0.00552841246041072	0.697754523423319	1	1	1	0
Cln8	0.00556219268233402	-0.599492543404305	1	0.4	1	0.6
Tesk1	0.00556546575451881	0.592588472526929	1	0.8	0.4	0.4
Nit2	0.00562393817956469	-0.607952573297019	1	0.6	1	0.4
Lancl1	0.00585438804541806	0.666990503042279	1	1	1	0
Mid1	0.00588370828533298	0.53795063387802	1	1	1	0
Gdi2	0.00602176268295636	0.529671701536303	1	1	1	0
Brd8	0.00612718334622043	-0.521529012322924	1	1	1	0
Strn4	0.00630817702952303	0.532519563535473	1	1	1	0
Cnot6	0.00631321804341425	0.516842755362704	1	1	1	0
Sdcbp	0.00637816303873306	-0.812223420968466	1	0.8	1	0.2
Mt1	0.00638785878207078	-0.820818271577095	1	1	1	0
Eif2ak4	0.00639551238188359	-0.536661868034375	1	1	1	0
Jag1	0.00674961694059534	-0.618494745412901	1	1	1	0
Abhd18	0.00695863262349829	-0.54105543855853	1	1	1	0
Rpgr	0.00697025955483492	-0.71938873804275	1	0.8	1	0.2
Rpl37a	0.00698249453401257	-0.66088136285458	1	0.6	0.8	0.2
Stat1	0.0073434647475802	0.797075839478013	1	1	1	0
Pnma8c	0.0073500838824677	-0.460392798334133	1	0.2	1	0.8
Rapgef6	0.00750702640547188	0.495388871458555	1	1	1	0
