gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Pcsk2	2.33528883221952e-06	0.906572138382438	0.0418693934728639	1	1	0
Sdcbp	8.65651350770405e-05	-1.56952906022309	1	0.833	1	0.167
Atp5a1	0.000124569654254819	-1.18690281737776	1	1	1	0
Mdga1	0.00013417497931435	0.513233516807986	1	1	0.25	0.75
C4b	0.000188546497156972	0.622149486184284	1	1	0.75	0.25
Zbtb7c	0.000204947293396121	0.699897707659475	1	1	0.75	0.25
Frrs1l	0.000270005239709174	-1.42339931337337	1	0.833	0.75	0.083
Utrn	0.000365195924996513	0.473562503330553	1	1	1	0
Hnrnpd	0.000436238394304966	-0.815568805406672	1	1	1	0
Kcnn2	0.000624207500125945	0.657900278035577	1	1	1	0
Rnf213	0.000631928909507526	0.646319986554594	1	1	1	0
Magi3	0.000642453216555181	0.650491190905728	1	1	1	0
Hook1	0.000787823032196753	-1.40610959996167	1	0.5	0.75	0.25
Igip	0.000887407248153249	-1.18406839684736	1	0.833	1	0.167
Dlg4	0.000988308491189577	0.73236637563415	1	1	1	0
Cstf2	0.00126193238332006	-1.08561534324771	1	1	1	0
Cdc42ep4	0.00151664102245409	0.111674859704292	1	1	0	1
Lrrc4c	0.00152273750802997	-0.120675707565008	1	1	1	0
Psmb6	0.00163467946417744	-1.1358690191674	1	0.667	1	0.333
Whrn	0.00169984951195342	-1.1929167953622	1	0.833	1	0.167
Cep89	0.00187470637482965	0.419585542395131	1	1	0.25	0.75
Ddx60	0.00206223736925664	1.09199407830165	1	1	1	0
Ktn1	0.00222036557038139	-0.530703495434419	1	1	1	0
Dbx2	0.00231258855822985	0.495568892428021	1	1	1	0
Msi2	0.00234610814514967	0.335148718387961	1	1	1	0
Cdk16	0.00235059027489288	0.50075777795576	1	1	0.5	0.5
Bcl9l	0.00236860816852207	0.423873163403387	1	1	1	0
Atp13a2	0.0026172366641181	-1.16197206304905	1	0.833	1	0.167
Dnm1	0.00294905309757831	-1.10688366182217	1	1	1	0
