gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Asic2	1.00013967793201e-221	-1.74753818760936	1.79205027491858e-217	0.1	0.312	0.212
Nrg3	4.38355040842753e-202	-0.817053041737755	7.85444562182046e-198	0.136	0.284	0.148
Cntnap2	6.8853653359526e-188	-1.17607360618436	1.23371976089599e-183	0.082	0.22	0.138
Syt1	6.96519654950757e-188	-0.986511284685777	1.24802391774077e-183	0.105	0.248	0.143
Opcml	9.98684728788885e-171	-1.12522941991658	1.78944329704392e-166	0.09	0.229	0.139
Lrrc7	1.26858430075413e-168	-2.33632851813499	2.27304935009125e-164	0.027	0.147	0.12
Ank3	8.67633672942891e-167	-1.98729665676225	1.55462601517907e-162	0.036	0.161	0.125
Anks1b	1.27158705971659e-166	-1.26277927624336	2.27842969360018e-162	0.072	0.206	0.134
Rims1	2.04019528938887e-166	-2.40582518366698	3.65562191952697e-162	0.025	0.144	0.119
Erc2	2.33225191714246e-165	-2.35625174814125	4.17892898513586e-161	0.026	0.143	0.117
Lingo2	9.13067768437018e-165	-2.48281371138241	1.63603482748545e-160	0.024	0.144	0.12
Tenm2	1.19670116455234e-163	-0.986235247634775	2.14424914664489e-159	0.088	0.225	0.137
Dpp10	3.6915567764891e-162	-1.15230180395592	6.61453143211317e-158	0.087	0.228	0.141
Snhg11	3.46971666892319e-161	-1.10958440812347	6.21703832737657e-157	0.09	0.227	0.137
Sgcz	1.97520274722749e-157	-2.17271082321242	3.53916828248221e-153	0.03	0.151	0.121
Grm7	1.33136904374415e-155	-1.47486563637332	2.38554705258077e-151	0.059	0.191	0.132
Lrrtm4	8.11928997875623e-152	-1.26090290870296	1.45481437839354e-147	0.068	0.2	0.132
Grm5	1.58579384207299e-148	-2.04810998819858	2.84142540622638e-144	0.036	0.162	0.126
Ralyl	1.41288169964067e-137	-2.18192257190669	2.53160142941615e-133	0.023	0.129	0.106
Nalf1	1.35334731570604e-136	-1.07128198944499	2.42492772028208e-132	0.081	0.211	0.13
Cadps	7.13287586501206e-133	-2.32534042406916	1.27806869749286e-128	0.027	0.134	0.107
Kcnh7	8.24167406554385e-131	-2.91323223816503	1.47674315906415e-126	0.014	0.106	0.092
Xkr4	1.24156944826659e-123	-2.90339258326447	2.22464413740407e-119	0.014	0.102	0.088
Frmpd4	3.58750144388762e-122	-2.57327001460234	6.42808508715784e-118	0.016	0.107	0.091
Nrg1	8.40453912550846e-121	-0.598499459275499	1.50592532050861e-116	0.089	0.219	0.13
Ccser1	7.35642871874608e-115	-1.59882237487712	1.31812489782492e-110	0.047	0.163	0.116
Rbfox1	1.96204767962078e-111	-0.702984029978638	3.51559703234452e-107	0.18	0.34	0.16
Csmd1	2.34433120348414e-111	-0.527259315507329	4.20057265040287e-107	0.237	0.41	0.173
Nkain2	1.48521230786585e-104	-0.476471420713987	2.66120341323403e-100	0.142	0.279	0.137
Kcnip4	7.1887963700901e-104	-0.614120682742811	1.28808853359274e-99	0.174	0.319	0.145
Dlg2	4.47516992301341e-102	-0.641368719076744	8.01860946805543e-98	0.315	0.499	0.184
Sntg1	5.39578748404679e-101	-2.27282564531507	9.66817201391503e-97	0.024	0.112	0.088
Csmd3	9.20110071446299e-98	-1.50103792779821	1.64865322601748e-93	0.051	0.158	0.107
Gria4	1.30108789425924e-92	-0.519038507758333	2.33128928893371e-88	0.028	0.108	0.08
Fgf12	5.19482214319366e-85	-0.905203312962974	9.3080823161744e-81	0.165	0.31	0.145
Nav3	5.88919748405134e-85	-0.839558566128815	1.05522640519232e-80	0.166	0.312	0.146
Ptprd	5.25750186146847e-84	-0.5334411794034	9.4203918353792e-80	0.33	0.496	0.166
Nrxn3	1.13325262007943e-81	-0.47009273661436	2.03056204465833e-77	0.269	0.421	0.152
Mdga2	2.16683443676033e-79	-0.335152387918781	3.88253394378716e-75	0.962	0.973	0.011
Kalrn	8.19479187918379e-72	-0.730742275082013	1.46834280891215e-67	0.254	0.4	0.146
Hif3a	1.29733936740701e-67	-0.992816214658672	2.32457267851988e-63	0.149	0.269	0.12
Rora	4.0978800046711e-65	-0.252204220170616	7.34258139236968e-61	0.992	0.996	0.004
Grik2	1.08142526013375e-58	-0.472552420119716	1.93769778110766e-54	0.412	0.553	0.141
R3hdm1	1.52723395918668e-53	-0.904301904186912	2.73649780807069e-49	0.135	0.236	0.101
Etnppl	2.15253424304449e-53	-0.811060260776447	3.85691085668711e-49	0.185	0.298	0.113
Oxr1	1.2137181180901e-49	-1.34486331334794	2.17474012399384e-45	0.054	0.12	0.066
Macrod2	1.7951704489311e-49	-0.316937702387083	3.21658641039475e-45	0.535	0.664	0.129
Phactr1	3.23533585730956e-49	-0.495431447246879	5.79707478912728e-45	0.248	0.366	0.118
Nbea	6.7474114946851e-48	-0.636825938257094	1.20900119161768e-43	0.192	0.301	0.109
Grin2b	2.87887175246713e-47	-1.07658849359539	5.15836240607061e-43	0.074	0.15	0.076
Kcnma1	6.78025180234118e-47	-0.424418039293335	1.21488551794349e-42	0.348	0.471	0.123
Hivep2	1.239035607837e-45	-0.535745203221304	2.22010400212234e-41	0.27	0.387	0.117
Magi2	2.5988539283389e-40	-0.209623317874265	4.65662646879765e-36	0.967	0.983	0.016
Ctnna2	9.1214415442168e-40	-0.246467041126229	1.63437989589277e-35	0.56	0.671	0.111
Dlgap1	1.03867687356569e-35	-0.156313185682081	1.86110122205501e-31	0.758	0.846	0.088
Ppp3ca	2.28943714231044e-34	-0.284823596796257	4.10221347159184e-30	0.592	0.693	0.101
Adgrb3	2.31215901106339e-33	-0.214814295359117	4.14292651602338e-29	0.98	0.987	0.00700000000000001
