gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Nrg3	1.1424914462487e-169	-1.58661922784654	2.04711617338842e-165	0.072	0.265	0.193
Dpp10	7.37000526538209e-147	-2.03085626489853	1.32055754345116e-142	0.042	0.207	0.165
Syt1	8.54369073437355e-143	-1.73810996131851	1.53085850578505e-138	0.054	0.227	0.173
Cntnap2	4.40967217453982e-141	-2.08628574575426	7.90125060234044e-137	0.038	0.199	0.161
Tenm2	1.00118831406871e-126	-1.78079729658673	1.79392922114831e-122	0.044	0.207	0.163
Snhg11	2.15545041566837e-125	-1.98998903859892	3.86213605479459e-121	0.044	0.208	0.164
Opcml	2.13383366797927e-124	-2.00266302832668	3.82340316628526e-120	0.045	0.211	0.166
Anks1b	3.94716133024318e-123	-2.18557481681969	7.07252367152972e-119	0.033	0.189	0.156
Rbfox1	1.37109220294139e-122	-1.20530904007381	2.45672300923039e-118	0.111	0.334	0.223
Asic2	1.52178574073052e-121	-1.82631045731423	2.72673569024095e-117	0.093	0.317	0.224
Nalf1	6.66848899740215e-117	-1.93709913506016	1.19485985855452e-112	0.035	0.19	0.155
Lrrtm4	1.01653626788877e-115	-1.99938238703978	1.82142968480309e-111	0.03	0.179	0.149
Grm7	7.07379226077485e-115	-2.52043481635422	1.26748209728564e-110	0.025	0.174	0.149
Sgcz	2.95428741563667e-108	-3.37650532715142	5.29349219133778e-104	0.011	0.136	0.125
Lrrc7	3.03232412233924e-108	-3.7158988486594	5.43331836240745e-104	0.009	0.132	0.123
Lingo2	1.63152101534276e-107	-3.98299162077969	2.92335935529116e-103	0.008	0.129	0.121
Ank3	2.46920826633981e-107	-3.11342269812739	4.42432737162768e-103	0.014	0.145	0.131
Rims1	1.02810044896846e-106	-3.8492189016086	1.84215038446168e-102	0.008	0.129	0.121
Erc2	8.99484622880026e-106	-3.53756253241433	1.61169654727643e-101	0.01	0.129	0.119
Kcnip4	9.31924150820581e-103	-1.22104008614623	1.66982169344032e-98	0.115	0.317	0.202
Nrg1	4.39691270126729e-97	-1.28110614984561	7.87838817813073e-93	0.048	0.202	0.154
Grm5	6.90765353189415e-89	-2.52671364731171	1.23771335984479e-84	0.024	0.157	0.133
Cadps	3.91721928584925e-88	-3.06264963862276	7.01887351638469e-84	0.016	0.136	0.12
Nkain2	3.63007186801256e-87	-1.18037184402527	6.5043627731049e-83	0.096	0.278	0.182
Csmd1	1.87178613472137e-82	-0.676604174460801	3.35386639619375e-78	0.208	0.42	0.212
Dlg2	3.2074356636261e-82	-0.842819307984354	5.74708322208524e-78	0.274	0.509	0.235
Ralyl	2.12206736571888e-80	-2.55044370087189	3.80232030589509e-76	0.014	0.12	0.106
Nrxn3	4.05659850451547e-80	-0.788381531252555	7.26861320039082e-76	0.207	0.423	0.216
Ptprd	1.37483769676655e-71	-0.923226065994244	2.4634341850663e-67	0.249	0.462	0.213
Rora	1.10365403016685e-70	-0.389080649966061	1.97752729125295e-66	0.993	0.996	0.003
Ccser1	2.25855386039758e-69	-1.81284720237767	4.04687680706039e-65	0.038	0.164	0.126
Nav3	2.97555487302538e-66	-1.16448382952271	5.33159922148688e-62	0.125	0.301	0.176
Sntg1	6.44530793573368e-62	-2.92560553310807	1.15487027592476e-57	0.015	0.106	0.091
Csmd3	8.23955884313366e-61	-1.84443878325155	1.47636415351269e-56	0.035	0.148	0.113
Gria4	1.42398323459546e-60	-1.20995490026763	2.55149315974814e-56	0.016	0.103	0.087
Mdga2	5.46217093025746e-56	-0.41699388915737	9.78711787283532e-52	0.959	0.967	0.00800000000000001
Magi2	1.00777301992916e-54	-0.361779157300107	1.80572769710907e-50	0.969	0.986	0.017
Hif3a	4.89143590910658e-45	-1.18335646971672	8.76447486193718e-41	0.159	0.306	0.147
Fgf12	4.94385462622545e-43	-1.01443654884935	8.85839871927076e-39	0.144	0.287	0.143
Nlgn1	2.22258453620901e-39	-0.334682429587145	3.9824269719793e-35	0.969	0.975	0.00600000000000001
Kcnma1	4.83922498815611e-39	-0.660774677952214	8.67092333377811e-35	0.317	0.483	0.166
Plekha1	1.6603938169747e-38	1.14792224529846	2.97509364125527e-34	0.129	0.069	0.06
Luc7l2	2.35250917080741e-38	-0.40687710492644	4.21522593225271e-34	0.751	0.819	0.0679999999999999
Adgrb3	1.52624009488372e-36	-0.323753600933361	2.73471700201266e-32	0.978	0.984	0.00600000000000001
Grin2b	4.07582849663813e-34	-1.6717329738616	7.3030695002762e-30	0.043	0.122	0.079
Ptn	1.5623594282111e-33	0.565185262123129	2.79943562346865e-29	0.661	0.525	0.136
Ank2	1.75037741018576e-33	-0.269098839076695	3.13632624357085e-29	0.976	0.983	0.00700000000000001
Cadm2	1.8210199679152e-32	-0.254794336852017	3.26290357851046e-28	0.989	0.986	0.003
Etnppl	8.97366536606631e-31	-0.928831518550907	1.60790136029176e-26	0.203	0.324	0.121
Fgf14	1.33188750295944e-30	-0.445961131927715	2.38647602780273e-26	0.789	0.864	0.075
Grik2	3.30048740255883e-30	-0.505093450973435	5.91381332790491e-26	0.409	0.558	0.149
Phactr1	3.47653378777524e-29	-0.66727060302411	6.22925324093568e-25	0.223	0.35	0.127
Ctnna2	6.31178600985796e-29	-0.370851641132156	1.13094581724635e-24	0.503	0.642	0.139
Kalrn	1.37042558244231e-28	-0.722058735474881	2.45552855862013e-24	0.23	0.354	0.124
Ntrk2	1.20024459467115e-26	-0.310703450800064	2.15059826473177e-22	0.795	0.813	0.0179999999999999
Il1rapl1	1.50806748966027e-25	-0.36572858732748	2.70215532797327e-21	0.734	0.828	0.094
Golga4	1.57401765702897e-25	0.544186233538548	2.8203248378645e-21	0.164	0.13	0.034
Nbea	1.99080090126231e-25	-0.734275297957586	3.5671170548818e-21	0.181	0.294	0.113
Dlgap1	4.86006624029732e-25	-0.295832871967707	8.70826668936473e-21	0.755	0.856	0.101
Mertk	5.307989757574e-25	-0.343134995272954	9.51085604762109e-21	0.766	0.79	0.024
Lrp1b	1.02391499442896e-23	-0.361262149093347	1.83465088701782e-19	0.819	0.885	0.0660000000000001
Cds2	2.82726553945937e-23	0.805274535341283	5.0658943936033e-19	0.129	0.084	0.045
Gria2	3.39227511736522e-23	-0.317842545790008	6.078278555295e-19	0.842	0.879	0.037
Agbl4	4.71851126183368e-23	-1.32942697473584	8.45462847895359e-19	0.043	0.109	0.066
Mical2	2.87419662586819e-22	-0.442465152142836	5.14998551423063e-18	0.527	0.577	0.0499999999999999
Trp53bp1	6.27512659164004e-22	0.963089268618272	1.12437718269006e-17	0.157	0.09	0.067
Zdhhc20	6.88675434448329e-22	0.897091093137225	1.23396864344452e-17	0.141	0.085	0.056
Fth1	1.96297256118804e-21	1.03477376271294	3.51725423513673e-17	0.172	0.104	0.068
Pitpnm2	2.72257535958806e-21	-0.911513465028245	4.87831052930988e-17	0.134	0.227	0.093
Ankrd13c	2.36679787909105e-20	0.839590417004396	4.24082843975534e-16	0.157	0.099	0.058
Sppl3	3.27313671670007e-20	0.469216676329951	5.86480636898319e-16	0.188	0.154	0.034
Nars2	4.15121464745916e-20	1.03188580090976	7.43814640531733e-16	0.1	0.059	0.041
Ppp1r12b	4.75300460968798e-20	0.72893830185424	8.51643365963893e-16	0.225	0.14	0.085
Negr1	4.99838939116734e-20	-0.242582742348265	8.95611411109364e-16	0.887	0.912	0.025
Cyld	1.45320730934013e-19	0.462417459050703	2.60385685687564e-15	0.145	0.12	0.025
Tmem131	2.89564638167188e-19	0.732587841051521	5.18841918667968e-15	0.131	0.09	0.041
Gphn	3.11803825691968e-19	-0.233980888318508	5.58690094874868e-15	0.913	0.92	0.00700000000000001
Prpf40a	3.99621440574822e-19	0.606699037253615	7.16041697221967e-15	0.225	0.166	0.059
Rims2	7.25063480602125e-19	-0.799992514103184	1.29916874454289e-14	0.146	0.237	0.091
Adk	2.20958369885179e-18	-0.213437690737223	3.95913207160264e-14	0.798	0.787	0.011
Snx6	3.35571823026523e-18	0.780917266052412	6.01277592498923e-14	0.138	0.093	0.045
Ints6	3.59439903170239e-18	0.613347353371522	6.44044418500435e-14	0.242	0.181	0.061
Prdm16	4.02255901644627e-18	0.407549459102733	7.20762124566842e-14	0.523	0.412	0.111
Tcf20	5.12626341330859e-18	1.0528342823902	9.18523878396633e-14	0.126	0.067	0.059
Sh3glb2	8.14417115609207e-18	0.630740334672701	1.45927258774858e-13	0.121	0.091	0.03
Ppp3ca	8.4698957566873e-18	-0.33434094220461	1.51763592168323e-13	0.603	0.709	0.106
Arntl	1.16277385872162e-17	0.805799760120802	2.08345820005741e-13	0.181	0.117	0.064
Son	1.29048985143841e-17	-0.196560652650619	2.31229971580733e-13	0.931	0.919	0.012
Tnik	2.16915666856884e-17	-0.17345494725379	3.88669491874165e-13	0.932	0.922	0.01
Gabra4	2.54937390674266e-17	1.15233358104382	4.5679681661015e-13	0.105	0.05	0.055
Scd2	3.64879860831088e-17	0.386011937754294	6.53791734637143e-13	0.493	0.388	0.105
Setbp1	3.65233654789181e-17	0.443803282953293	6.54425662651255e-13	0.366	0.264	0.102
Usp25	4.71844154114935e-17	0.682130537929959	8.4545035534314e-13	0.187	0.133	0.054
Camk2n1	6.74319138450177e-17	-0.853984111987181	1.20824503227503e-12	0.122	0.199	0.077
Kcnd2	7.53965253525538e-17	-0.291419483455614	1.35095494126706e-12	0.585	0.689	0.104
Helz	7.824351156298e-17	0.559213066361739	1.40196724018548e-12	0.223	0.168	0.055
Ubac2	1.71317823647089e-16	0.553492575731402	3.06967276410854e-12	0.168	0.129	0.039
Dpysl2	1.76497099487342e-16	0.551494617838334	3.16247502861419e-12	0.14	0.109	0.031
Usp48	2.05275896035625e-16	0.574833095371066	3.67813350516633e-12	0.116	0.085	0.031
Acbd6	2.71512347344199e-16	0.558679967945194	4.86495823971336e-12	0.125	0.097	0.028
Senp5	2.86000505709402e-16	0.626787179123909	5.12455706130107e-12	0.131	0.095	0.036
Zdhhc17	3.89233969634085e-16	0.403663901983276	6.97429426790353e-12	0.16	0.136	0.024
Med13l	3.90015798892117e-16	0.599276044104978	6.98830308454895e-12	0.206	0.147	0.059
Celf2	4.09231127994734e-16	-0.192253650647563	7.33260335140964e-12	0.82	0.889	0.0690000000000001
Dock4	6.0285362614068e-16	-0.197360973279542	1.08019312731887e-11	0.824	0.812	0.0119999999999999
Tcaf1	7.23971156567099e-16	0.364140724930055	1.29721151833693e-11	0.112	0.1	0.012
Macrod2	7.4656667400674e-16	-0.291118719115802	1.33769816648528e-11	0.513	0.615	0.102
Plcl1	7.57505436534132e-16	-0.380689042239573	1.35729824118186e-11	0.45	0.495	0.045
Cdh19	8.16601383724957e-16	-0.332988494868956	1.46318635935838e-11	0.552	0.58	0.0279999999999999
Atrn	1.00090246071498e-15	0.550451110641561	1.79341702910911e-11	0.178	0.132	0.046
Sun1	1.11775181452453e-15	0.379050707051988	2.00278770126504e-11	0.105	0.092	0.013
Ppme1	1.17227471988549e-15	0.736356258958507	2.10048184309082e-11	0.1	0.067	0.033
Nmt1	1.18715098952206e-15	0.779740493098174	2.12713714302563e-11	0.118	0.077	0.041
Adgrl3	1.33331808971095e-15	-0.195746795376732	2.38903935314409e-11	0.925	0.932	0.00700000000000001
Tril	1.43595859956562e-15	0.724245635201155	2.57295061870168e-11	0.204	0.131	0.073
