gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Prnp	2.26502912490077e-73	-0.646463962512513	4.0584791859972e-69	0.291	0.346	0.055
Wdr17	4.17914000853628e-67	-0.525802891169425	7.4881830672953e-63	0.752	0.783	0.031
Nrxn1	8.00348145741979e-61	-0.261497959128281	1.43406380754048e-56	0.99	0.993	0.003
C4b	6.68514892524932e-54	1.07360785067588	1.19784498442617e-49	0.204	0.101	0.103
Gfap	2.26103705693947e-47	1.29032837663927	4.05132619862414e-43	0.167	0.09	0.077
Lsamp	1.18131394936112e-44	-0.214430840462208	2.11667833446526e-40	0.99	0.996	0.00600000000000001
Ntm	1.3110860619152e-42	-0.205332176501928	2.34920400573965e-38	0.982	0.99	0.00800000000000001
Gpm6a	8.85703976700046e-39	-0.404281299764899	1.58700438545114e-34	0.686	0.744	0.0579999999999999
Nlgn1	6.77074370175853e-38	-0.26771332586245	1.21318185648109e-33	0.971	0.981	0.01
Dclk1	1.47123947543019e-35	-0.349640409481606	2.63616689207582e-31	0.74	0.779	0.039
Gpc5	7.60829540841961e-35	-0.167982908968499	1.36325437128063e-30	0.954	0.973	0.019
Pcdh9	1.01641242606255e-32	-0.213404642031333	1.82120778501887e-28	0.989	0.995	0.00600000000000001
Apoe	6.24085476179143e-32	-0.293939455128019	1.11823635621779e-27	0.835	0.869	0.034
Dgkb	1.85320534478894e-29	-0.212774769752921	3.32057333679282e-25	0.915	0.924	0.00900000000000001
Ptprd	6.94741554265487e-29	-0.543862240970233	1.2448379169329e-24	0.341	0.463	0.122
Adgrb3	1.83954545587889e-28	-0.229819046272032	3.29609754784379e-24	0.981	0.986	0.005
Uty	2.82016545100642e-28	0.425849754576715	5.0531724551133e-24	0.294	0.186	0.108
Pnn	1.3622025376218e-26	-0.44206272262956	2.44079450691075e-22	0.324	0.365	0.041
Eif2s3y	5.07378780847588e-26	0.439470691207311	9.09121299522708e-22	0.242	0.147	0.095
Cpeb4	6.21466371312539e-26	-0.314817731442841	1.11354344411781e-21	0.701	0.723	0.022
Grid2	1.81471551505866e-24	-0.231898348784781	3.2516072598821e-20	0.907	0.917	0.01
Enox1	2.04943539981632e-24	1.26628779395514	3.67217834939089e-20	0.11	0.059	0.051
Cst3	3.48618807198646e-24	-0.389471725462952	6.24655178738535e-20	0.532	0.592	0.0599999999999999
Adgrl3	3.12615259377043e-23	-0.18874561035487	5.60144021751786e-19	0.928	0.932	0.004
