gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Nlgn1	1.2479801600194e-74	-0.45167926555053	2.23613085072275e-70	0.969	0.981	0.012
Nrxn1	7.99626324538599e-68	-0.311236285658731	1.43277044830826e-63	0.992	0.992	0
Nrg3	3.55596428133739e-58	-1.41274468808988	6.37157679930033e-54	0.072	0.197	0.125
Prnp	5.30663517248894e-51	-0.49849603098448	9.50842890206569e-47	0.322	0.352	0.03
Rbfox1	4.10054320634894e-50	-0.972806973626472	7.34735331713603e-46	0.111	0.247	0.136
Ptprd	8.21711906188583e-50	-0.884348507942897	1.4723433935087e-45	0.249	0.407	0.158
Ntm	8.09239767679757e-48	-0.244895418456627	1.44999581572859e-43	0.986	0.988	0.002
Lsamp	2.48207405606767e-46	-0.25731738395034	4.44738029366205e-42	0.992	0.996	0.004
Syt1	6.02454931715651e-46	-1.42980709434986	1.0794787466481e-41	0.054	0.155	0.101
Pcdh9	1.60602674379536e-42	-0.265625698525016	2.87767871953253e-38	0.989	0.995	0.00600000000000001
Kcnip4	3.95272744833788e-41	-0.522344409530959	7.08249704193181e-37	0.115	0.231	0.116
Nalf1	8.99948019737903e-41	-1.60125450602694	1.61252686176638e-36	0.035	0.125	0.09
Adgrb3	2.45392833134876e-40	-0.322084986101498	4.39694878411071e-36	0.978	0.982	0.004
Cntnap2	1.73036067219474e-39	-1.63590047181892	3.10046025243854e-35	0.038	0.124	0.086
Dpp10	6.61761009585001e-39	-1.62497509592253	1.18574337697441e-34	0.042	0.131	0.089
Dgkb	1.95927107912464e-38	-0.281208983353505	3.51062191957552e-34	0.929	0.932	0.003
Trim9	2.23597725797756e-38	-0.323365284559075	4.0064240508442e-34	0.741	0.743	0.002
Snhg11	3.7867573492197e-38	-1.5611004351699	6.78511181833185e-34	0.044	0.135	0.091
Opcml	1.27487678155051e-37	-1.54103608466959	2.28432421718221e-33	0.045	0.133	0.088
Uty	5.22160743456089e-37	0.527050591287921	9.3560762012462e-33	0.292	0.16	0.132
Dclk1	1.19945102512367e-36	-0.379612573591451	2.1491763468166e-32	0.731	0.75	0.019
Tenm2	1.29663900857933e-36	-1.4523576373922	2.32331777557244e-32	0.044	0.131	0.087
Cadm2	1.1534896231949e-35	-0.256867221817844	2.06682270684062e-31	0.989	0.988	0.001
Syne1	1.90501824653291e-35	-0.150479410712133	3.41341169413767e-31	0.927	0.891	0.036
Kif1b	2.21566334102993e-35	-0.153618901513312	3.97002557445743e-31	0.832	0.785	0.0469999999999999
Macf1	2.5548390331439e-35	-0.204212650134376	4.57776057958724e-31	0.987	0.979	0.00800000000000001
Ptk2	9.72532724701921e-35	-0.303853509298464	1.7425841361209e-30	0.553	0.564	0.0109999999999999
Anks1b	1.36156667241036e-34	-1.63161839882862	2.43965516362489e-30	0.033	0.11	0.077
Ntrk2	4.58894312739352e-34	-0.208373382918885	8.22246829566371e-30	0.795	0.765	0.03
Grid2	1.42471291738483e-33	-0.311749392230269	2.55280060537014e-29	0.907	0.906	0.001
Eif2s3y	5.206289413442e-33	0.448251427067179	9.32862937100538e-29	0.242	0.133	0.109
Nrxn3	1.03652790831441e-32	-0.51370062886135	1.85725070611776e-28	0.207	0.329	0.122
Lrrtm4	1.1409980002725e-32	-1.45617314671122	2.04444021688826e-28	0.03	0.104	0.074
C4b	1.17167157536769e-32	1.11493055420103	2.09940112874382e-28	0.196	0.096	0.1
Mast4	1.31696433095574e-32	-0.347020378878685	2.3597366882065e-28	0.531	0.548	0.017
Adgrl3	1.0868660115449e-31	-0.210384698982129	1.94744651948616e-27	0.925	0.915	0.01
Pcmtd1	4.18404652057498e-31	-0.32385973098569	7.49697455556624e-27	0.394	0.402	0.00800000000000001
Nars2	7.42645012469756e-31	1.63785990698425	1.33067133334331e-26	0.1	0.037	0.063
Negr1	8.26026781554683e-31	-0.287379793558906	1.48007478718968e-26	0.887	0.901	0.014
Gria2	1.26050552299851e-30	-0.315141242864078	2.25857379610873e-26	0.842	0.85	0.00800000000000001
Acaca	2.72827897655433e-30	-0.263545077559758	4.88853027019004e-26	0.561	0.553	0.00800000000000001
Appl2	4.07701196213098e-30	-0.182519993746186	7.30519003374628e-26	0.767	0.731	0.036
Cpeb4	1.02293169511359e-29	-0.282699434019563	1.83288901130454e-25	0.728	0.715	0.013
Kmt2e	1.60186244962448e-29	-0.25067922390296	2.87021713723715e-25	0.469	0.472	0.003
Spag9	2.70035244849424e-29	-0.178684325341081	4.83849151721199e-25	0.713	0.68	0.0329999999999999
Pcdh7	3.24738506821942e-29	-0.23816377979486	5.81866456523555e-25	0.895	0.891	0.004
Map2	3.85447741927645e-29	-0.268444628975681	6.90645263985954e-25	0.627	0.62	0.00700000000000001
Nrg1	1.29690623173368e-28	-1.22365930305396	2.32379658602041e-24	0.048	0.128	0.08
Arhgef12	1.78678417068219e-28	-0.149517932459032	3.20155987702835e-24	0.813	0.767	0.0459999999999999
Pnisr	2.58751644222533e-28	-0.170517150107415	4.63631196117934e-24	0.793	0.765	0.028
Pafah1b1	4.33362516675934e-28	-0.211103065947319	7.76498957379939e-24	0.54	0.528	0.012
Dnaaf9	5.82415003549614e-28	-0.181877228805822	1.0435712033602e-23	0.876	0.848	0.028
Arhgap5	6.59019610251096e-28	-0.202111138173829	1.18083133764791e-23	0.872	0.846	0.026
Nwd1	8.5494498685881e-28	-0.120163549485278	1.53189042745362e-23	0.737	0.687	0.0499999999999999
Arhgef26	8.70290301995766e-28	0.105377159971833	1.55938616311601e-23	0.672	0.571	0.101
Fmn2	1.26184214193023e-27	-0.173810756713208	2.26096874991058e-23	0.863	0.833	0.03
Nol4	2.11045104654949e-27	-0.2099192593939	3.78150618520738e-23	0.61	0.597	0.013
Tnks2	3.64317272058716e-27	-0.323466734163694	6.52783688074808e-23	0.298	0.305	0.00700000000000001
Rfx4	6.76446511100367e-27	-0.111374259577433	1.21205685858964e-22	0.589	0.539	0.0499999999999999
Rbm39	1.40778082394148e-26	-0.225037847281346	2.52246168033835e-22	0.67	0.665	0.005
Klf12	1.59167708205162e-26	-0.202822491356408	2.85196699562009e-22	0.759	0.742	0.017
Kidins220	1.70377018984547e-26	-0.193110484361773	3.05281542616511e-22	0.638	0.625	0.013
Gfap	1.8088398542439e-26	1.24106125927763	3.24107925083422e-22	0.161	0.089	0.072
Pdlim5	3.81317605589904e-26	-0.137948097586782	6.8324488569599e-22	0.513	0.47	0.043
Cdc42bpa	8.60004384346367e-26	-0.105992077240128	1.54095585587182e-21	0.571	0.52	0.0509999999999999
Ntsr2	8.9069992480743e-26	-0.141279008183154	1.59595612526995e-21	0.731	0.681	0.0499999999999999
Cntn1	9.96111126141012e-26	0.209415193002101	1.78483191581946e-21	0.531	0.43	0.101
Ddx17	1.40918172704391e-25	-0.137065698933574	2.52497181851728e-21	0.629	0.597	0.032
Fgf14	1.60407841044156e-25	-0.355076111532856	2.87418769582919e-21	0.789	0.845	0.0559999999999999
Dock4	2.35581649169566e-25	-0.139761243935357	4.22115198982029e-21	0.824	0.788	0.0359999999999999
Clasp2	5.1637455939594e-25	-0.13355903703006	9.25239935525646e-21	0.761	0.728	0.033
Gphn	5.20138770068356e-25	-0.139088405979724	9.3198464820848e-21	0.913	0.878	0.035
Dennd1a	6.36171238278491e-25	-0.197729906137385	1.1398916247474e-20	0.739	0.712	0.027
Ddx3y	6.43978180789533e-25	0.616831284507555	1.15388010433869e-20	0.156	0.076	0.08
Hdac8	7.90657745114964e-25	-0.157680389355131	1.41670054769699e-20	0.867	0.835	0.032
Glis3	8.95451892945475e-25	0.262873529693622	1.6044707017797e-20	0.724	0.616	0.108
Zeb1	1.35727019527109e-24	-0.178354995987969	2.43195673588674e-20	0.851	0.824	0.027
Acsl3	1.62139377495229e-24	-0.20866591891285	2.90521336595951e-20	0.782	0.756	0.026
Luc7l2	2.48644462243443e-24	-0.165621729660679	4.45521147447802e-20	0.751	0.727	0.024
Paqr8	4.11405559446267e-24	0.151146474657164	7.37156481415821e-20	0.661	0.563	0.0980000000000001
Arhgap26	7.16525043850868e-24	-0.128535555758284	1.28386957357199e-19	0.534	0.504	0.03
Apc	7.21617951963446e-24	-0.139381499100868	1.2929950463281e-19	0.723	0.693	0.03
Rsrp1	7.52137458046861e-24	-0.295089436005628	1.34767989732837e-19	0.526	0.548	0.022
Luc7l3	9.86042686550024e-24	-0.268470363852557	1.76679128576033e-19	0.535	0.542	0.00700000000000001
Spire1	1.23297731590239e-23	-0.140547286797078	2.20924875463391e-19	0.634	0.598	0.036
