gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb16	5.09847947934144e-15	-1.67623077863123	9.13545553108399e-11	0.2	0.466	0.266
Tef	7.374549192375e-08	-2.75904028157823	0.00132137172428975	0.025	0.151	0.126
Zfp423	2.48907269460942e-07	1.4134667002783	0.00445992045420116	0.283	0.14	0.143
Plekhg1	6.78013217695988e-07	0.782620490929597	0.0121486408346767	0.507	0.342	0.165
Magi1	9.51459189137485e-07	0.636769231474947	0.0170482457509655	0.541	0.418	0.123
Mcf2l	1.12455531402816e-06	-1.37522639612922	0.0201497821167566	0.124	0.302	0.178
Etl4	2.3932195416771e-06	2.40278658172303	0.0428817077477702	0.157	0.051	0.106
Ttll7	4.3771711816898e-06	-1.55857115953835	0.0784301532335179	0.078	0.226	0.148
Klhl2	5.83565278375168e-06	-1.70359861859688	0.104563226579263	0.104	0.283	0.179
Coro2a	6.79196119301064e-06	-1.87243658529456	0.121698360656365	0.062	0.17	0.108
Gnaq	9.47429881787399e-06	0.475207012932628	0.169760486218666	0.77	0.65	0.12
Nr1d2	1.8517425636737e-05	-1.37803558980994	0.331795232559053	0.127	0.251	0.124
Pbx1	1.9845668608837e-05	1.06345563675716	0.355594690133141	0.539	0.369	0.17
Hlf	2.30053414101682e-05	-2.61058918341877	0.412209707387394	0.023	0.132	0.109
Itpr1	2.76839860987335e-05	1.04189175957522	0.496041662917106	0.295	0.17	0.125
Afap1l2	2.8299331477504e-05	1.08132728426492	0.507067421413917	0.399	0.256	0.143
Arhgap18	2.88079491211551e-05	1.26963492383157	0.516180832352857	0.113	0.078	0.035
Krcc1	2.88373793193592e-05	1.12807751305991	0.516708162644279	0.131	0.084	0.047
Gpcpd1	2.9295110113877e-05	-0.516561264353612	0.524909783020448	0.772	0.852	0.08
Nt5c2	7.24941448404048e-05	-1.47596312047434	1	0.159	0.307	0.148
Nptn	8.45309702421092e-05	-1.73767933270714	1	0.051	0.102	0.051
Wdfy3	0.00010333968123819	-0.926359155750834	1	0.18	0.283	0.103
Dnaja1	0.000112983754011943	-1.92668669615091	1	0.032	0.1	0.068
Dbp	0.000123625761426844	-2.72999583241756	1	0.021	0.113	0.092
Gopc	0.000150982220439997	1.15015899784175	1	0.111	0.057	0.054
Smurf1	0.000175092713474504	1.38155603022435	1	0.161	0.078	0.083
Prpf4b	0.000189372867939894	-1.23735318870353	1	0.198	0.396	0.198
Zfand6	0.000240852811936357	0.719101578241796	1	0.329	0.197	0.132
Fmo2	0.000245908268119431	-1.02306432221197	1	0.154	0.261	0.107
Eif2s2	0.000272949800051561	-1.34202698299293	1	0.062	0.121	0.059
Atg3	0.000286951651542062	-2.20185880216321	1	0.03	0.102	0.072
Adgrl3	0.000294076014261171	-0.791514895290417	1	0.332	0.442	0.11
Ier3	0.000306884800905697	-1.7841557811664	1	0.039	0.1	0.061
Cyth1	0.000437476754591426	-0.97440530281726	1	0.145	0.243	0.098
Med15	0.000484147101009499	-2.15930311213007	1	0.039	0.129	0.09
Pcdh7	0.000497404059287625	1.48018936249736	1	0.145	0.073	0.072
Ralbp1	0.000535857489189025	-1.59502281805627	1	0.051	0.121	0.07
Frmd5	0.000606900862595272	0.434847978184144	1	0.737	0.712	0.025
Khdrbs1	0.000627420332260156	-1.61854052416611	1	0.058	0.129	0.071
Per3	0.000663418205459384	-2.25396049067363	1	0.03	0.127	0.097
Ogt	0.000696399087060522	-0.835379414642067	1	0.189	0.321	0.132
Tango6	0.000697512418207365	0.927494546124025	1	0.118	0.089	0.029
Mpzl1	0.000709928785921008	0.62542102118864	1	0.454	0.315	0.139
Eml1	0.000736675044569746	-0.860872273171288	1	0.131	0.237	0.106
Dgkh	0.000980056574483222	-1.9297013911048	1	0.078	0.218	0.14
Kcmf1	0.00101644620434629	0.434464179084461	1	0.212	0.162	0.05
Mob2	0.00105350743951489	0.94079948767645	1	0.152	0.1	0.052
Mdm4	0.00109384567791712	-0.910853662495283	1	0.124	0.181	0.057
Ap3s1	0.00123963827995008	-1.04400445676776	1	0.099	0.164	0.065
Nckap5	0.0013036167518227	-0.692659489610955	1	0.224	0.307	0.083
Rasal2	0.00130541745272751	-0.488198271729459	1	0.749	0.825	0.076
Prkacb	0.00134312842860534	-1.32262052208176	1	0.051	0.137	0.086
Fam13a	0.00136985345961185	-1.74249213856752	1	0.06	0.143	0.083
Clk1	0.00151018476510886	-0.613007181968549	1	0.265	0.369	0.104
Sumo1	0.00152165664269089	-1.41175034926643	1	0.074	0.159	0.085
Ddah1	0.0015357840018573	-1.72091750671551	1	0.032	0.111	0.079
Gbf1	0.00163566303061101	-1.16924586040354	1	0.111	0.199	0.088
Qki	0.00173054702967354	-0.346000757003194	1	0.664	0.736	0.072
Pafah1b1	0.00174854774794361	-0.333540552697229	1	0.191	0.283	0.092
Sos1	0.00178820460896948	-0.583121816005887	1	0.191	0.278	0.087
Pik3ip1	0.00191442318080157	-1.47047743547114	1	0.058	0.124	0.066
Ankrd12	0.001973987854086	-1.13849758454635	1	0.219	0.399	0.18
Pitpnc1	0.00199888526456082	0.760714347096521	1	0.528	0.412	0.116
Tacc2	0.00209287663740393	-1.43705770768879	1	0.039	0.108	0.069
Macf1	0.00227087412986268	0.260038026766702	1	0.876	0.763	0.113
Kif13b	0.00234582215099854	0.646505623047037	1	0.27	0.21	0.06
Fbxl12	0.00235215427075663	-1.24338521544059	1	0.062	0.113	0.051
Dcbld2	0.00235841226038593	-2.0559967688204	1	0.044	0.137	0.093
Taf15	0.00241016976620143	-1.09284626476494	1	0.108	0.175	0.067
Jmjd1c	0.00241542161075637	0.349623829662865	1	0.574	0.474	0.1
Ccdc85a	0.00251739529793169	-0.646670357370424	1	0.424	0.539	0.115
Dennd1b	0.00260978712342739	-0.677755916883701	1	0.217	0.318	0.101
Ehmt1	0.00274195090355075	-1.01912398136183	1	0.111	0.181	0.07
Wwc2	0.00294081790396721	0.400011467966331	1	0.431	0.329	0.102
Id1	0.00316370205314481	-0.764436503476365	1	0.099	0.189	0.09
Nuak1	0.00324491696544901	1.16367150027948	1	0.168	0.094	0.074
