gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Arid1b	3.80480862318974e-06	3.74910234622592	0.0681745609103138	0.342	0.061	0.281
Coro2a	4.66477288103358e-06	-2.96532330237106	0.0835834004823598	0.053	0.265	0.212
Zbtb16	4.82927250927411e-06	-1.6095896424072	0.0865309048211734	0.194	0.49	0.296
Usp25	2.92354102118654e-05	4.69341154895891	0.523840080176205	0.239	0.02	0.219
Tef	3.76873537385493e-05	-3.3114055002129	0.675282004287326	0.025	0.204	0.179
Apoe	4.3755978968056e-05	-1.77260125589109	0.784019631149627	0.13	0.408	0.278
Khdrbs1	4.9529723246244e-05	-3.1931996952359	0.8874735811262	0.035	0.184	0.149
Nr1d2	0.000110533650988857	-1.97927750938313	1	0.12	0.265	0.145
Wdfy3	0.000193855963460857	-1.68158001159238	1	0.173	0.367	0.194
Flt1	0.000200626738605642	0.646498822023535	1	0.951	0.959	0.00800000000000001
Sorbs2	0.00024176344587831	0.653749176056829	1	0.863	0.612	0.251
Ube2g1	0.000251463015056691	-1.67545989098627	1	0.148	0.347	0.199
Fam168a	0.000256409094538184	-3.41246463833522	1	0.018	0.163	0.145
Syne1	0.000299603496144175	1.16625691522283	1	0.683	0.408	0.275
Alkbh3	0.000425987352224045	-4.91775882479445	1	0.007	0.102	0.095
Usp6nl	0.000482092194674892	3.23921389050323	1	0.25	0.061	0.189
Rit1	0.000502225747329389	-5.8207852122885	1	0.004	0.102	0.098
Lcorl	0.000562464620741442	2.86186031249967	1	0.201	0.061	0.14
Kifc3	0.000636514589109306	-2.95913185792743	1	0.014	0.143	0.129
Rint1	0.000683910149359852	-2.3225787777536	1	0.049	0.102	0.053
Tmem234	0.000705370081007393	-2.5856942329948	1	0.042	0.122	0.08
Snx19	0.000726896692109639	-4.98959542302655	1	0.007	0.102	0.095
Atg3	0.000757913664654081	-4.10190232001375	1	0.021	0.163	0.142
Inpp1	0.000921385724617998	-0.200728046810171	1	0.109	0.061	0.048
Nfix	0.000989590745179646	-3.10165487673883	1	0.039	0.163	0.124
Otud7b	0.00120860861335035	-1.53793809206267	1	0.148	0.367	0.219
Terf2	0.00125355212475187	-2.17004831297318	1	0.06	0.184	0.124
Eif4g3	0.00134738181959507	6.10047174564325	1	0.116	0	0.116
Aamdc	0.00135376843235596	-4.88641620205603	1	0.011	0.102	0.091
Fnip1	0.00147509369252156	-3.21772562022422	1	0.025	0.143	0.118
Dcp1b	0.00149141669914761	-3.123403672053	1	0.028	0.122	0.094
Macf1	0.0015364601086702	0.799701125394751	1	0.884	0.694	0.19
Sik2	0.00154546037972042	-1.61946084587617	1	0.155	0.286	0.131
Gbf1	0.0016258311892798	-1.83802732294931	1	0.106	0.245	0.139
Fmnl2	0.00171727816104991	-0.977813250648705	1	0.444	0.51	0.066
Taf15	0.00180140197584228	-1.88141709806612	1	0.113	0.286	0.173
Mdm4	0.00191482416144667	-1.30532597955004	1	0.144	0.224	0.08
Abl2	0.00195990465903694	5.48872445444515	1	0.109	0	0.109
Zfp644	0.00203592060940602	-0.88201791831555	1	0.236	0.306	0.07
Efr3b	0.00211766197369479	0.976269009096247	1	0.313	0.102	0.211
Baz2b	0.00229767107618245	0.206984039825429	1	0.648	0.429	0.219
Rasgrp2	0.00241064537949988	6.03041546397156	1	0.106	0	0.106
Med15	0.00263037852814872	-2.63190008848829	1	0.032	0.143	0.111
Kat6a	0.00278651071569911	-1.13419093326497	1	0.204	0.306	0.102
Kansl3	0.00283621393457585	-3.04543806321578	1	0.021	0.122	0.101
Rabep1	0.0028910218620849	5.67916002377889	1	0.102	0	0.102
Cers5	0.00290875080027911	5.79261656059406	1	0.102	0	0.102
Atrx	0.00339703236111441	1.21510155413062	1	0.511	0.306	0.205
Mmrn2	0.00381267230656096	0.766763915519899	1	0.113	0.02	0.093
Lactb	0.00381894531697334	-3.5124339631622	1	0.014	0.102	0.088
Tmem87b	0.00387261558203659	-2.12320368938724	1	0.067	0.184	0.117
Osbpl1a	0.00456452282077721	-1.13853982857027	1	0.208	0.367	0.159
Uhrf2	0.00482415120263538	0.459926560186871	1	0.229	0.102	0.127
Zmym6	0.00484675737617059	-3.33638248414081	1	0.014	0.102	0.088
Zfand6	0.0048807335783818	1.60560904824909	1	0.335	0.122	0.213
Ptprd	0.00490052582272697	-0.538600998311249	1	0.57	0.796	0.226
Etl4	0.0049645198610622	2.19561773806015	1	0.162	0.02	0.142
Xiap	0.00509716727259981	0.333318636327764	1	0.313	0.163	0.15
Rora	0.00521085128566171	-0.912163900244078	1	0.511	0.735	0.224
Shroom2	0.00592006457747764	-1.33284487683719	1	0.204	0.388	0.184
Sec62	0.00593304489573845	-1.28578396055576	1	0.12	0.163	0.043
Frs2	0.00608768996673048	-1.10266543482357	1	0.137	0.184	0.047
Hnrnpc	0.00632549489378359	-1.25794650980572	1	0.109	0.143	0.034
Fam13c	0.00648751256992943	1.47473654554757	1	0.331	0.122	0.209
Ap2b1	0.00693981007663178	3.2847988565947	1	0.162	0.02	0.142
Pfkfb3	0.00741340819963189	-3.7882608229198	1	0.014	0.102	0.088
Hira	0.00754863408562233	-2.97715327368102	1	0.021	0.122	0.101
Itm2b	0.00786921779664324	-0.959686816882402	1	0.236	0.327	0.091
Rprd2	0.00804245424930775	-1.91274177635484	1	0.063	0.204	0.141
Prrc2b	0.0081641330422441	-2.08206546497007	1	0.049	0.184	0.135
Cep112	0.00821570831081597	-1.00019363363253	1	0.165	0.367	0.202
Mef2c	0.00821828806591263	0.8198643337641	1	0.468	0.245	0.223
Dazap1	0.0089489430973203	-2.50142307669839	1	0.032	0.122	0.09
Ehmt1	0.00905797667170303	-1.45467989961597	1	0.116	0.286	0.17
Krcc1	0.00907252469191742	3.59798796533694	1	0.127	0.02	0.107
Wwc2	0.00926824565720427	0.640240092197297	1	0.412	0.204	0.208
Kif1b	0.00953383098439398	-1.5951292140317	1	0.092	0.143	0.051
Limch1	0.00955957883691185	0.87868867514418	1	0.637	0.449	0.188
Pde4d	0.0109257032022151	1.40063740799436	1	0.412	0.224	0.188
Upf2	0.0109718135693592	-2.38534495140565	1	0.046	0.163	0.117
Crtc3	0.0115933515008593	-1.87853604155106	1	0.07	0.163	0.093
Arhgef2	0.0121679701693417	1.63021902211272	1	0.222	0.061	0.161
Ier3	0.0122226028735196	-2.3855363483268	1	0.046	0.122	0.076
Ptn	0.0124206358192923	-0.788686841754655	1	0.423	0.531	0.108
Nedd1	0.013075946224033	-2.50173316612668	1	0.035	0.122	0.087
Egfl7	0.0136094773863948	0.86001271150423	1	0.644	0.429	0.215
Fry	0.0137607756654986	0.560431434703403	1	0.845	0.857	0.012
Ifnar1	0.0140488069252532	1.92835037925356	1	0.229	0.102	0.127
Rap1a	0.014424444560152	0.796484975737032	1	0.278	0.122	0.156
Slc31a1	0.0145367006383592	-1.13668890963901	1	0.116	0.286	0.17
Adgrl3	0.0147605923651459	-0.741560356048529	1	0.331	0.551	0.22
Coq10b	0.0149902090612475	-1.15682989221633	1	0.028	0.102	0.074
Cyyr1	0.0150499422091261	0.643344312599448	1	0.701	0.653	0.0479999999999999
Mapk8ip3	0.015068247866256	-3.04457060322954	1	0.021	0.102	0.081
Tmx3	0.0152014685363114	-2.63439994423314	1	0.025	0.102	0.077
Arhgef3	0.0152666618878013	1.24366182029655	1	0.363	0.163	0.2
Jarid2	0.0154041355449804	-1.18686929419176	1	0.134	0.306	0.172
Ndnf	0.01549701835593	0.624158274867531	1	0.151	0.204	0.053
Nedd4	0.0158089641196492	-0.914042164625225	1	0.261	0.367	0.106
Hipk3	0.016191904278686	-1.19072459557723	1	0.169	0.286	0.117
Kif13a	0.0163795549247496	-1.39542670749391	1	0.169	0.327	0.158
Sorbs1	0.016743189489928	-0.461289059440994	1	0.701	0.694	0.00700000000000001
Dop1a	0.0168585348909711	-1.05477256826686	1	0.158	0.245	0.087
Adcy4	0.017182325104521	1.08565056382358	1	0.137	0.041	0.096
Dock4	0.0174305928142774	0.775411298844106	1	0.813	0.673	0.14
Arhgap12	0.0175692221261358	-0.577127414798043	1	0.257	0.265	0.00800000000000001
Tpd52	0.0177778134211346	1.21780484896475	1	0.268	0.102	0.166
Sgms1	0.0180972978272697	0.307249364449212	1	0.873	0.939	0.0659999999999999
Ywhab	0.0181073893400314	-2.63671992000266	1	0.025	0.122	0.097
Glg1	0.0181570376657769	-1.24029382548682	1	0.151	0.245	0.094
Cacul1	0.0182195523240783	-1.89341758046301	1	0.056	0.122	0.066
Eml1	0.0182429784078241	-1.00563500413841	1	0.134	0.306	0.172
Daam1	0.0184104696450445	-2.59893376620894	1	0.032	0.122	0.09
Vwf	0.0191562830021085	-0.937016241750285	1	0.465	0.653	0.188
Zfp935	0.019230692546534	-1.12151097927816	1	0.039	0.102	0.063
Gna12	0.0194689698044378	-1.93990336139215	1	0.063	0.184	0.121
Cttn	0.0196228659466927	-2.61945446335952	1	0.025	0.102	0.077
Apbb2	0.0196346768099406	0.44444138771478	1	0.803	0.612	0.191
Kat6b	0.0197078194622728	2.08076866362584	1	0.246	0.102	0.144
Rac1	0.020228290559319	0.558909137866039	1	0.155	0.061	0.094
Aplp2	0.0202845557767419	-1.18652664824375	1	0.18	0.347	0.167
