gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Rasgrf2	9.59479380666909e-10	-1.76275508390582	1.71919515427897e-05	0.116	0.29	0.174
Magi1	1.35322591371214e-07	-0.628405508794952	0.00242471019218941	0.429	0.544	0.115
Rsrp1	1.67706042049902e-07	-1.57945183454269	0.00300495686145015	0.053	0.164	0.111
Zbtb16	7.87850257657958e-07	0.918348715666609	0.0141167009167153	0.388	0.254	0.134
Ddx50	2.80591140108484e-06	-0.760229837798001	0.0502763204846382	0.147	0.221	0.074
Galnt18	3.38477084865603e-06	-1.8124177056257	0.0606483240662188	0.043	0.128	0.085
Dgkh	3.76378241257453e-06	-1.51184882073744	0.0674394532685103	0.089	0.2	0.111
Cadps2	4.47171145678174e-06	2.12727044653845	0.0801241258826152	0.123	0.038	0.085
Fbxl20	6.92570116036912e-06	-1.58415912873844	0.124094713391494	0.065	0.131	0.066
9930021J03Rik	7.74375449865498e-06	-1.25507951683885	0.1387525931069	0.08	0.179	0.099
Thoc2	8.59020652069427e-06	-1.23544348599499	0.1539193204378	0.137	0.269	0.132
Nedd4l	1.22937739385574e-05	-0.847368878122829	0.220279841431071	0.2	0.285	0.085
Rock2	1.60339136649915e-05	-0.675528316133219	0.287295665049318	0.337	0.423	0.086
Phip	1.99446304929835e-05	-0.923462328438795	0.357367889173278	0.246	0.356	0.11
Flrt2	3.21455983876748e-05	0.821688488189269	0.575984831910358	0.434	0.292	0.142
Ube2d3	3.26041950180782e-05	-1.03422498589734	0.584201966333924	0.161	0.267	0.106
Arglu1	3.49974490333835e-05	-0.882879467071333	0.627084291780166	0.157	0.256	0.099
Fgf13	4.72638888282917e-05	-2.0484218726148	0.84687436002533	0.053	0.126	0.073
Nfyc	5.04259522511019e-05	-1.90233451007821	0.903532212435243	0.043	0.118	0.075
Il1r1	5.21944205698582e-05	0.675782959662769	0.935219627770719	0.448	0.333	0.115
Cfh	5.26355309737633e-05	0.626675272255362	0.943123443987891	0.564	0.451	0.113
Dmtf1	6.2781221624391e-05	-1.30404440742638	1	0.075	0.149	0.074
Phf14	6.61031691246862e-05	-1.04091372840524	1	0.125	0.208	0.083
Ptprk	7.69447781074575e-05	0.772062016551811	1	0.46	0.318	0.142
Rc3h2	9.6881506649295e-05	-1.48866957374188	1	0.051	0.11	0.059
Abcc4	9.86345875050252e-05	0.403046681006339	1	0.754	0.685	0.069
Mrtfb	0.000100803491420725	0.391115567549508	1	0.771	0.667	0.104
Ythdf2	0.000107091670240666	-1.60238962775291	1	0.046	0.103	0.057
Kdm7a	0.000112266326673593	-1.59345788129628	1	0.046	0.128	0.082
Acvr2a	0.000127630186075988	-1.83759818940424	1	0.043	0.115	0.072
Osbpl8	0.000131449899015193	-1.44625452288909	1	0.08	0.169	0.089
Sparcl1	0.000200047615822334	1.02520779148696	1	0.26	0.151	0.109
Efr3b	0.000229376907900902	-0.740550996297292	1	0.231	0.338	0.107
Prkg1	0.000249191907597914	0.339095712848529	1	0.858	0.815	0.043
Pam	0.000265413155770064	-0.709025363863005	1	0.251	0.354	0.103
Rundc3b	0.000313108553680809	-0.439408050980424	1	0.672	0.662	0.01
Nckap5	0.00034723420419237	0.668200914446931	1	0.313	0.208	0.105
Adipor2	0.00038473782317172	0.494962903683808	1	0.581	0.469	0.112
Fubp1	0.000442346179350819	-1.00356711677683	1	0.089	0.141	0.052
Kat6b	0.00045484015604879	-0.732124315190588	1	0.166	0.262	0.096
Sppl3	0.000470837358407102	-1.08668152324523	1	0.145	0.241	0.096
Atrnl1	0.000475183711277705	-0.607258581858243	1	0.222	0.3	0.078
Arhgap26	0.000478223939513674	0.673449806802557	1	0.496	0.372	0.124
Vwf	0.00052473986039044	0.481829418770552	1	0.542	0.428	0.114
Adgrl4	0.000538143190925672	0.403598952517536	1	0.896	0.821	0.0750000000000001
Capn7	0.000677118062931531	-1.32975041864423	1	0.048	0.1	0.052
Cul1	0.000689088601468646	-1.05699626602	1	0.116	0.182	0.066
Hif1a	0.000742232845347792	0.957186848888302	1	0.173	0.108	0.065
Tjp1	0.00087417950794749	0.279688020431065	1	0.923	0.854	0.0690000000000001
Dst	0.000879570937642074	0.496908357330638	1	0.308	0.218	0.09
Wdpcp	0.00102460135526842	1.73900794278965	1	0.101	0.044	0.057
Ctps	0.00112733915481557	1.86607516749902	1	0.108	0.041	0.067
Retreg3	0.00113723586736937	-1.76714468129519	1	0.031	0.103	0.072
Btaf1	0.00116463604198353	-1.40567902207728	1	0.065	0.149	0.084
Aplp2	0.00120745593337733	-0.853966996611136	1	0.169	0.267	0.098
Immp1l	0.0012315695634392	-1.35861669662618	1	0.048	0.1	0.052
Zfp592	0.00123300975472803	1.28426266381351	1	0.137	0.064	0.073
Apobec3	0.00123654624414921	0.759992718490321	1	0.253	0.172	0.081
Rhobtb1	0.00132072835405071	0.678774281468516	1	0.318	0.251	0.067
Zfp644	0.0013433318481389	-0.698550088720998	1	0.193	0.285	0.092
