gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Dpp10	3.90955270195487e-73	-3.13309170270487	7.00513653136273e-69	0.003	0.2	0.197
Mdga2	5.34712899566431e-72	-3.78725447969009	9.58098573443131e-68	0.015	0.298	0.283
Syt1	1.31900031556493e-70	-4.6924613889253	2.36338476542924e-66	0.004	0.239	0.235
Nrg3	1.83457713488662e-68	-1.53525946886378	3.28719531028985e-64	0.066	0.285	0.219
Kcnd2	2.04336558549549e-68	-4.54087575490847	3.66130245609082e-64	0.004	0.211	0.207
Lrp1b	1.45725101472945e-66	-3.46493438599377	2.61110236819223e-62	0.014	0.27	0.256
Dlg2	2.49760922486109e-65	-1.7036272755962	4.47521620910611e-61	0.153	0.532	0.379
Lrrc4c	3.03299707681589e-63	-6.11217193216476	5.43452416223871e-59	0.003	0.223	0.22
Opcml	5.07629980570275e-63	-3.46377354793774	9.0957139918582e-59	0.004	0.205	0.201
Cntnap2	7.30215464662933e-61	-4.08899833982968	1.30840006958304e-56	0.003	0.191	0.188
Tenm2	3.5458693851247e-59	-4.7005747473877	6.35348876426643e-55	0.004	0.2	0.196
Il1rapl1	2.53755106819676e-57	-3.74851966033026	4.54678400399495e-53	0.014	0.239	0.225
Dlgap1	5.4036614927832e-56	-4.8868029012673	9.68228066276894e-52	0.003	0.183	0.18
Anks1b	4.68512226321727e-54	-3.6195206274886	8.3948020712327e-50	0.005	0.168	0.163
Nalf1	4.92438622830183e-54	-2.63248983996748	8.82351524387122e-50	0.008	0.177	0.169
Adgrb3	5.12614901258679e-53	-2.10439053054028	9.18503380075302e-49	0.043	0.274	0.231
Nlgn1	6.3171062771325e-53	-1.45926956619314	1.1318991027366e-48	0.06	0.286	0.226
Nrxn1	1.88045019235462e-50	-0.776792352608884	3.369390654661e-46	0.137	0.332	0.195
Ctnna2	2.13548990867591e-48	-4.01038208348637	3.82637081836549e-44	0.006	0.182	0.176
