gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Nrxn1	6.35626653737002e-128	-2.08297016907224	1.13891583816596e-123	0.083	0.522	0.439
Nrg3	5.97717221499279e-125	-3.19611172287665	1.07098971748241e-120	0.034	0.455	0.421
Kcnd2	2.73320317366723e-100	-5.87169278788118	4.89735344657695e-96	0.002	0.346	0.344
Syt1	1.25723955993322e-95	-7.88691664260561	2.25272184348834e-91	0.001	0.375	0.374
Lrp1b	2.67727099484953e-94	-3.2159737662838	4.79713416857139e-90	0.017	0.415	0.398
Adgrb3	6.35212466899185e-92	-3.71326611895484	1.13817369818996e-87	0.022	0.429	0.407
Nrxn3	1.32059688831548e-91	-2.82309949244167	2.36624550448368e-87	0.047	0.475	0.428
Kcnip4	2.27367164711783e-90	-2.10415255748492	4.07396485730574e-86	0.048	0.478	0.43
Dlg2	7.42817979121025e-87	-2.23909254906932	1.33098125498905e-82	0.131	0.643	0.512
Csmd1	1.42620921225847e-86	-2.50924840299496	2.55548166652473e-82	0.044	0.458	0.414
Nlgn1	8.19292789976955e-86	-2.73364937000994	1.46800882108071e-81	0.04	0.438	0.398
Lrrc4c	5.60831371081365e-85	-6.96748419971703	1.00489765070359e-80	0.003	0.359	0.356
Tenm2	7.69199399104702e-85	-5.71410423605278	1.37825148331581e-80	0.003	0.328	0.325
Opcml	2.65534047702343e-83	-8.68565119149861	4.75783906673059e-79	0.001	0.337	0.336
Il1rapl1	1.61544807093483e-82	-4.73406593407295	2.89455985350103e-78	0.012	0.395	0.383
Fgf14	5.64354140161432e-82	-2.5005014472113	1.01120974834125e-77	0.053	0.467	0.414
Dpp10	1.06223518882199e-81	-7.6966366591625	1.90331301133123e-77	0.001	0.326	0.325
Nalf1	1.69943529961097e-77	-4.56421469620949	3.04504816984293e-73	0.004	0.286	0.282
Cntnap2	1.15937747476071e-76	-7.69867085035488	2.07737255927624e-72	0.001	0.312	0.311
Mdga2	5.55126601107903e-75	-2.81547133784435	9.9467584386514e-71	0.037	0.411	0.374
Dlgap1	1.27181757649916e-73	-7.67490788181313	2.2788427335712e-69	0.001	0.301	0.3
Anks1b	2.27782599654946e-73	-6.59690220763305	4.08140862061732e-69	0.001	0.274	0.273
Nkain2	2.26159730915352e-69	-4.7424516506651	4.05233005854127e-65	0.008	0.321	0.313
Nrg1	8.50967337095978e-66	-8.4378813981503	1.52476327460857e-61	0.001	0.272	0.271
Lsamp	2.10056699269647e-63	-0.759508634014122	3.76379593751354e-59	0.196	0.62	0.424
Ctnna2	2.40440913213503e-63	-5.45157469286827	4.30822028295955e-59	0.006	0.295	0.289
Sgcz	8.466240902851e-61	-3.88797939586239	1.51698104497284e-56	0.001	0.139	0.138
Nav3	1.61337082547025e-60	-8.34654730413459	2.8908378450776e-56	0.001	0.25	0.249
Lrrtm4	2.41555098617005e-59	-7.49851634803405	4.32818425701949e-55	0.001	0.25	0.249
Cadm2	2.45100739936074e-58	-1.58906309259947	4.39171505817458e-54	0.169	0.589	0.42
Pcdh9	4.05633318141202e-58	-1.17123592549647	7.26813779445406e-54	0.21	0.623	0.413
Ptprd	1.89588584105625e-55	-1.60787766695742	3.3970482500046e-51	0.139	0.529	0.39
Negr1	1.56653497399544e-54	-4.01244806305899	2.80691736640504e-50	0.01	0.259	0.249
Ctnnd2	7.07608310954157e-50	-4.12314170778264	1.26789257156766e-45	0.02	0.284	0.264
Fgf12	1.18548546257691e-49	-8.06374402997947	2.12415285184531e-45	0.001	0.199	0.198
Gria2	8.99324672009885e-48	-10.8572766623202	1.61140994730731e-43	0	0.192	0.192
Kcnma1	2.33038919125376e-46	-6.09984642442137	4.17559135288848e-42	0.004	0.212	0.208
Ank3	1.00762725921012e-39	-7.69222549893742	1.8054665230527e-35	0.001	0.167	0.166
Ntm	2.35357885707171e-36	-1.51606877532388	4.21714259610109e-32	0.061	0.303	0.242
Lrrc7	2.18160852175072e-34	-10.3804043933013	3.90900614927294e-30	0	0.134	0.134
Grm5	1.04073210355308e-33	-10.3617327926221	1.86478378314641e-29	0	0.13	0.13
Rims1	1.04073210355308e-33	-10.3333650986906	1.86478378314641e-29	0	0.13	0.13
Lingo2	1.04073210355314e-33	-10.3344026014567	1.86478378314652e-29	0	0.13	0.13
Adgrl3	3.12351583550696e-31	-2.2393403899346	5.59671567406138e-27	0.031	0.228	0.197
Snhg11	8.77379027929403e-31	-1.543483929684	1.5720877422439e-26	0.138	0.435	0.297
Rbfox1	6.25075533082466e-29	-0.307370655173063	1.12001034017716e-24	0.348	0.612	0.264
Asic2	5.44270363159329e-26	-3.28745847041286	9.75223636708886e-22	0.006	0.121	0.115
Grm7	2.13690671626948e-23	-1.88514164005349	3.82890945421165e-19	0.05	0.255	0.205
Frmd4a	1.35954434416364e-22	-3.40919324064754	2.43603155587242e-18	0.01	0.138	0.128
Ccser1	1.59513572116415e-22	-2.65541217946768	2.85816418518193e-18	0.01	0.125	0.115
Kalrn	2.99171801118478e-22	-4.89660256394676	5.36056033244089e-18	0.005	0.101	0.096
Csmd3	4.79815022013663e-21	-5.02068948508693	8.59732556444082e-17	0.004	0.103	0.099
Tnrc6b	1.20020161997267e-20	-0.154878936982392	2.15052126266703e-16	0.614	0.498	0.116
Ncor1	9.64902914408566e-19	-0.409473128487438	1.72891304203727e-14	0.47	0.455	0.015
Rere	2.33196395850813e-18	-0.298163470572647	4.17841302085487e-14	0.752	0.726	0.026
Crebbp	5.20483500619423e-18	-0.369572563202016	9.32602336409882e-14	0.56	0.518	0.042
Usp34	1.01053798830147e-17	-0.409457250846165	1.81068196743857e-13	0.596	0.592	0.004
Dmd	2.44013607120746e-17	-2.12024024234246	4.37223581238953e-13	0.04	0.19	0.15
Ppp2ca	1.01155754534019e-16	-0.200973873431086	1.81250880974055e-12	0.147	0.101	0.046
Plcb1	3.34441556500504e-16	-1.46022776369994	5.99252380937603e-12	0.116	0.306	0.19
Nsd1	5.28954259206384e-16	-0.336768334040413	9.47780241646e-12	0.603	0.576	0.027
Tspan5	6.05686525458324e-16	-0.61782218423666	1.08526911631623e-11	0.429	0.435	0.00600000000000001
Fut8	1.36888038306525e-15	-0.412173709220161	2.45275987037632e-11	0.583	0.533	0.0499999999999999
Celf2	2.19380550321108e-15	-0.585537023538985	3.93086070065362e-11	0.825	0.889	0.0640000000000001
Macrod2	2.29478383009187e-15	-1.22194486771307	4.11179366675862e-11	0.158	0.357	0.199
N4bp2l2	2.52363260490401e-15	-0.744352503617968	4.52184490146701e-11	0.197	0.212	0.015
Hnrnph1	8.29645257462166e-15	-0.223747208791703	1.48655837232071e-10	0.386	0.312	0.074
Zbtb16	1.16951661455237e-14	-1.07956720093806	2.09553986995493e-10	0.188	0.292	0.104
Elmo1	3.01981237054747e-14	-1.00266850312859	5.41089980554697e-10	0.266	0.391	0.125
Ube2k	4.82820236036835e-14	-0.496403110135487	8.651172989308e-10	0.319	0.317	0.002
Ankrd12	5.33520848607454e-14	-0.39326613506153	9.55962656534837e-10	0.515	0.505	0.01
Fam172a	6.78038636356403e-14	-0.181096202231654	1.2149096286234e-09	0.585	0.516	0.069
Rnf169	8.54773065689277e-14	-0.741528549128961	1.53158237910205e-09	0.227	0.263	0.036
Mpped2	9.74112431367424e-14	-0.391395015301476	1.74541465452415e-09	0.503	0.486	0.017
Ash1l	1.05863579028717e-13	-0.337602701945671	1.89686360903654e-09	0.446	0.417	0.029
Ube2d3	1.33161415515366e-13	-0.260424095123954	2.38598624320432e-09	0.273	0.226	0.047
Zc3h7a	1.40198241426859e-13	-0.672058536838009	2.51207208988646e-09	0.226	0.243	0.017
Srrm2	4.56498135209194e-13	-0.231970809900552	8.17953358667833e-09	0.549	0.491	0.0580000000000001
Smarcc2	6.03832301268573e-13	-0.33133106422666	1.08194671741303e-08	0.239	0.214	0.025
Atad2b	6.33051827249573e-13	0.285961432217315	1.13430226406579e-08	0.328	0.201	0.127
Kansl1	1.0693581638971e-12	-0.217529071435643	1.91607595807083e-08	0.627	0.562	0.0649999999999999
Rbm5	1.23553397735718e-12	-0.463415360934676	2.2138297806286e-08	0.402	0.411	0.00899999999999995
Dnajc1	1.67936357095578e-12	-0.430027905957075	3.00908364643857e-08	0.433	0.44	0.00700000000000001
Plxdc2	1.71982270894282e-12	0.755295229468811	3.08157832988374e-08	0.479	0.288	0.191
Acin1	1.79451740313214e-12	-0.421746331005544	3.21541628293217e-08	0.255	0.234	0.021
Pkp4	2.03998035581926e-12	-0.542960438640927	3.65523680155694e-08	0.46	0.487	0.027
Phactr1	2.44806562209103e-12	-0.705751386500878	4.38644398166271e-08	0.267	0.426	0.159
Ubn2	4.00082597408507e-12	-0.319671918955604	7.16867998036563e-08	0.492	0.458	0.034
Exoc4	4.57377923392287e-12	-0.427459741895728	8.19529763134299e-08	0.598	0.587	0.011
Stag1	6.15271453742902e-12	-0.345510029317087	1.10244339081653e-07	0.537	0.504	0.033
