gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Mdga2	5.66767872955223e-39	-4.05011375692578	1.01553467476117e-34	0.009	0.152	0.143
Nrg3	2.48746271258362e-35	-0.443506428274943	4.45703568840733e-31	0.064	0.126	0.062
Rapgef4	3.35222990746521e-35	-1.2608056946152	6.00652554819616e-31	0.259	0.507	0.248
Snhg11	2.08515858821147e-34	-1.67186403011056	3.73618715835732e-30	0.121	0.338	0.217
Elmo1	5.15024244125458e-31	-1.39072810704106	9.22820440623996e-27	0.228	0.447	0.219
Dlg2	4.57515107498718e-27	-0.950766111844958	8.19775569616203e-23	0.165	0.352	0.187
Lrp1b	1.09745817316408e-26	-2.77312681021973	1.96642555467539e-22	0.012	0.12	0.108
Gsdme	5.38715525372225e-25	-0.932582553621286	9.65270478361953e-21	0.279	0.495	0.216
Ptprd	4.76115644231972e-24	-0.969643352789467	8.53104011334848e-20	0.127	0.288	0.161
Prkcb	1.82210452097303e-23	-0.886604335076462	3.26484688067948e-19	0.136	0.304	0.168
Gpcpd1	5.68074116511718e-23	-0.942298467999549	1.0178752019657e-18	0.317	0.517	0.2
Lpgat1	5.83060052017106e-22	-2.42803015758517	1.04472700120425e-17	0.026	0.138	0.112
Nrxn1	1.9838908196509e-20	-0.148756687849702	3.55473557065049e-16	0.113	0.17	0.057
Adgrb3	7.112195340093e-20	-1.17859804587951	1.27436316103786e-15	0.035	0.112	0.077
Per2	2.21234947465268e-19	-2.26398621535179	3.96408778868267e-15	0.03	0.134	0.104
Daam1	4.75390615672352e-19	1.28655665795179	8.5180490516172e-15	0.204	0.122	0.082
Csmd1	1.03956902712386e-18	-0.367649183221053	1.86269978280053e-14	0.065	0.126	0.061
Gria3	1.14490428124006e-18	-2.26882673190209	2.05143949112594e-14	0.031	0.131	0.1
Strbp	1.30037672620468e-18	-0.776067408096498	2.33001501801355e-14	0.41	0.583	0.173
Fkbp5	3.64561687766404e-18	-0.71362422823205	6.53221632139842e-14	0.387	0.567	0.18
Eri3	4.85476138105118e-18	0.670563671037481	8.69876144256751e-14	0.21	0.18	0.03
Gramd1b	5.20079681555296e-18	-1.64568171234409	9.31878773410779e-14	0.053	0.169	0.116
Ftl1	2.51172282477634e-17	2.24622276898133	4.50050495743424e-13	0.105	0.029	0.076
Dennd4a	3.08481599453134e-17	0.696516776267259	5.52737329900126e-13	0.454	0.403	0.051
Mthfd1l	4.15048727985331e-17	-2.66289759327178	7.43684310804115e-13	0.017	0.101	0.084
Dock7	1.70365853101753e-16	0.572439280390686	3.0526153558772e-12	0.329	0.289	0.04
Pign	1.75940107639215e-16	0.971138405351474	3.15249484867945e-12	0.183	0.131	0.052
Acadsb	7.02343314918953e-16	0.816395775352677	1.25845875167178e-11	0.266	0.199	0.067
Plekhg1	1.7472920135097e-15	0.812465379001321	3.13079782980668e-11	0.355	0.293	0.062
Nlgn1	1.99186729431326e-15	-0.918937534326442	3.56902781795049e-11	0.051	0.132	0.081
Trim44	2.28042996366828e-15	0.61161768081402	4.08607440890082e-11	0.276	0.226	0.05
Sgms1	3.34208239380301e-15	0.777114710557397	5.98834323321623e-11	0.24	0.188	0.052
Hivep2	3.38344607062671e-15	-0.602259415226742	6.06245866934894e-11	0.293	0.456	0.163
Klhl29	3.62101429993304e-15	-1.85142714626733	6.48813342262001e-11	0.04	0.136	0.096
Fgf14	7.05731791606756e-15	0.111915466639714	1.26453022420099e-10	0.091	0.133	0.042
Per3	1.17427854593787e-14	-0.648052015438069	2.10407229861148e-10	0.227	0.377	0.15
Ctnnd2	1.72597496697987e-14	-1.84066408971895	3.09260194583453e-10	0.023	0.103	0.08
Maco1	2.32632657493164e-14	-1.44121834976795	4.16831195696251e-10	0.059	0.162	0.103
Rsrp1	2.56064178053444e-14	-0.551299092113688	4.5881579423616e-10	0.27	0.418	0.148
Bltp1	2.6999682680866e-14	0.250889345637431	4.83780314275757e-10	0.243	0.264	0.021
Numb	3.75107215897137e-14	0.441830015166891	6.7211710944449e-10	0.26	0.256	0.004
Nckap1	4.19526334287651e-14	-0.317293261571288	7.51707285776612e-10	0.195	0.295	0.1
Magi2	4.7529637957343e-14	-0.136720440317398	8.51636052919672e-10	0.63	0.767	0.137
Nrxn3	5.75374476824524e-14	-0.607093017619441	1.03095598757418e-09	0.072	0.137	0.065
Snrnp70	6.3022520746662e-14	-0.363896267796827	1.12923752673869e-09	0.308	0.448	0.14
Cyfip2	2.29418827989366e-13	-1.35238697629137	4.11072655991345e-09	0.056	0.151	0.095
Pura	2.39583793764467e-13	0.527341140480954	4.29286241667173e-09	0.126	0.117	0.00899999999999999
Lyst	2.7865066922497e-13	0.110833519835244	4.99286269117302e-09	0.143	0.182	0.039
Dapk1	2.94550863407822e-13	0.92287488475	5.27776237054135e-09	0.193	0.138	0.055
Ube2d2a	2.95267233894389e-13	0.321841776598965	5.29059829691966e-09	0.239	0.236	0.003
Arhgap20	3.04189606085286e-13	0.830304419876537	5.45046936183615e-09	0.228	0.161	0.067
Btaf1	3.1230467669128e-13	0.519466480799263	5.59587519695435e-09	0.258	0.22	0.038
Aff3	3.32574836222229e-13	-0.579493636727066	5.95907591542991e-09	0.427	0.583	0.156
Tent2	3.68149195669943e-13	0.119985555873198	6.59649728801403e-09	0.196	0.23	0.034
Tmtc4	4.6682708796921e-13	-0.696881806968218	8.36460776223231e-09	0.32	0.475	0.155
Map4k4	5.98581559642642e-13	0.559707104200718	1.07253843856769e-08	0.261	0.219	0.042
Kcnip4	6.41376661664977e-13	0.284855491833396	1.14921870237131e-08	0.096	0.134	0.038
Cald1	7.29148383545169e-13	0.46054086935656	1.30648807363623e-08	0.605	0.57	0.035
Ubr1	9.20183626999154e-13	0.45926351960512	1.64878502285708e-08	0.241	0.217	0.024
D5Ertd579e	1.01584137267308e-12	0.352854984922107	1.82018457155562e-08	0.193	0.191	0.002
Umad1	1.08223863640539e-12	0.232627925496955	1.93915518871118e-08	0.233	0.251	0.018
Srpk2	1.17262308186623e-12	-0.434238950379703	2.1011060380879e-08	0.19	0.299	0.109
Ptpn11	1.88941070661381e-12	0.509128080676603	3.38544610411062e-08	0.124	0.116	0.00799999999999999
Pbx1	1.96384902117894e-12	0.342840606613447	3.51882467614843e-08	0.704	0.696	0.00800000000000001
Rgl1	2.58496411904752e-12	0.733532620539819	4.63173870850935e-08	0.181	0.149	0.032
Arhgef10l	2.79892492428779e-12	1.21843875591137	5.01511367933887e-08	0.128	0.072	0.056
Myo9a	3.04775846202567e-12	-0.598760714212703	5.46097361225759e-08	0.268	0.409	0.141
Cadm2	3.09118227612536e-12	-0.803502682073442	5.53878040236142e-08	0.196	0.33	0.134
Hectd4	3.13541477966269e-12	-1.01460029547655	5.61803620219961e-08	0.049	0.117	0.068
Canx	3.152274980886e-12	0.402520248690612	5.64824631075154e-08	0.132	0.131	0.001
Dennd1b	3.65226886340264e-12	0.572937800234286	6.54413534944486e-08	0.197	0.168	0.029
Cert1	4.54049243162495e-12	0.220095587992928	8.13565433898559e-08	0.258	0.284	0.026
Nsf	5.78032810702415e-12	-0.758114525452364	1.03571919021659e-07	0.07	0.145	0.075
Pcsk5	9.10533661538051e-12	1.00656988429651	1.63149421474388e-07	0.291	0.196	0.095
Stxbp5	9.24056683112101e-12	-0.162497415157664	1.65572476480026e-07	0.113	0.162	0.049
Ddx10	1.02124206705859e-11	1.05610458141267	1.82986153575558e-07	0.105	0.066	0.039
Anapc10	1.09109682412728e-11	0.920067515550818	1.95502728947127e-07	0.109	0.082	0.027
Ttc3	1.14020298359807e-11	-0.274581158969741	2.04301570601101e-07	0.332	0.455	0.123
Camta1	1.19355579767748e-11	-1.02566172548188	2.1386132782785e-07	0.071	0.161	0.09
Paip2	1.23797163351425e-11	-0.623615455823003	2.21819757293083e-07	0.084	0.158	0.074
Ewsr1	1.48335094121447e-11	0.194778809987226	2.65786821646808e-07	0.218	0.228	0.01
Rsbn1	1.48377035792474e-11	0.362619222874141	2.65861972732956e-07	0.155	0.158	0.003
Add3	1.49429743609443e-11	0.476280408539583	2.677482145994e-07	0.612	0.566	0.046
Tango2	1.74983304606524e-11	-1.46444054264033	3.13535085193969e-07	0.042	0.121	0.079
Helz	1.89659827585159e-11	0.241360296296735	3.39832479067087e-07	0.207	0.229	0.022
Wdfy3	2.04417738726981e-11	-0.14171585627635	3.66275704251005e-07	0.182	0.247	0.065
Crebrf	2.28446145802747e-11	-0.582553467658069	4.09329804049361e-07	0.237	0.368	0.131
Sec24a	2.66529802797805e-11	0.453569502166516	4.77568100653107e-07	0.148	0.146	0.002
Memo1	2.80635816257039e-11	0.10387120567752	5.02843255569362e-07	0.213	0.245	0.032
Odf2	3.28263973143877e-11	-1.16008950768461	5.88183387079199e-07	0.048	0.122	0.074
Erc2	3.42998256701407e-11	1.18393028569324	6.14584276357581e-07	0.187	0.156	0.031
Yme1l1	3.72532888521514e-11	0.354523168128009	6.6750442965285e-07	0.223	0.216	0.00700000000000001
Pkn2	3.88341508640344e-11	0.322284319469763	6.95830315181769e-07	0.232	0.236	0.00399999999999998
Tef	5.97319502430848e-11	-0.446639099429224	1.07027708445559e-06	0.356	0.493	0.137
Ccnt2	6.94248588142383e-11	-0.61385116538184	1.24395462023352e-06	0.207	0.326	0.119
Kmt2e	8.70288790465003e-11	0.238756290400848	1.55938345475519e-06	0.439	0.449	0.01
Pi4ka	8.85235766305053e-11	-0.734186548108017	1.58616544606539e-06	0.122	0.222	0.1
Ccny	1.10134299622678e-10	0.369458506440435	1.97338638063914e-06	0.277	0.256	0.021
Mbd2	1.12908783399324e-10	0.519758334289476	2.02309958094909e-06	0.18	0.164	0.016
Kat6a	1.15976250591028e-10	-0.206763992785662	2.07806245809003e-06	0.196	0.269	0.073
Pkd1	1.24288077616257e-10	0.61683673801189	2.22699377472809e-06	0.221	0.19	0.031
Rnf169	1.25306011008079e-10	0.406680767365728	2.24523310524276e-06	0.216	0.211	0.005
Antxr1	1.27651598484371e-10	0.52043074042993	2.28726134164296e-06	0.3	0.279	0.021
Tpr	1.34157929634838e-10	0.177785325486064	2.40384178319703e-06	0.246	0.277	0.031
Fth1	1.36924925197215e-10	1.59280602624669	2.45342080968369e-06	0.115	0.044	0.071
Mbd5	1.38183974991252e-10	-0.491171828153635	2.47598046389326e-06	0.428	0.568	0.14
Apbb2	1.5133693700771e-10	0.322508023442983	2.71165523730416e-06	0.305	0.307	0.002
Cd2ap	1.56080904015146e-10	0.355585337326439	2.79665763814339e-06	0.329	0.314	0.015
Arpc2	1.56527959533273e-10	0.343407124610509	2.80466797891718e-06	0.131	0.137	0.00600000000000001
Papola	1.6698268331874e-10	0.294381974363704	2.99199571970518e-06	0.263	0.256	0.00700000000000001
Nalcn	1.68953038805573e-10	-0.486154361474141	3.02730054931826e-06	0.386	0.525	0.139
Riok3	1.69107717597498e-10	-1.20568986660421	3.03007208391197e-06	0.081	0.175	0.094
Rbbp4	1.78215029362237e-10	0.179109830668101	3.19325689611257e-06	0.173	0.191	0.018
Xrcc5	1.92200890673806e-10	0.384898410861433	3.44385555909326e-06	0.108	0.106	0.002
Mphosph8	1.92563545364753e-10	0.224274662887725	3.45035360584564e-06	0.162	0.178	0.016
Prodh	2.24382849245884e-10	-0.685556712176776	4.02049189278774e-06	0.097	0.184	0.087
Nemf	2.26577487554642e-10	0.444041771143444	4.05981542200407e-06	0.201	0.185	0.016
Cpeb3	2.28356652685245e-10	-0.804223149213707	4.09169450281422e-06	0.057	0.121	0.064
Fam222b	2.31462885085574e-10	0.37725513965896	4.14735197496332e-06	0.16	0.16	0
Rnf115	2.45343634724575e-10	0.485970699276855	4.39606724699493e-06	0.182	0.167	0.015
Rnf146	2.56831133653348e-10	0.554285911992634	4.60190025280068e-06	0.14	0.127	0.013
Farp1	2.69948511179873e-10	0.794012754801551	4.83693742332097e-06	0.287	0.208	0.079
Atf7ip	2.91641310280187e-10	0.325087735951768	5.22562899760039e-06	0.273	0.275	0.002
Trerf1	2.95661305533714e-10	-0.34838794935795	5.29765927255309e-06	0.083	0.136	0.053
Psma3	3.00793524717109e-10	-0.2297224411417	5.38961837588117e-06	0.149	0.213	0.064
Dst	3.14420164837069e-10	-0.480648722940202	5.6337805135506e-06	0.13	0.214	0.084
Znrf1	3.35711477651377e-10	0.5171879073894	6.01527825655737e-06	0.165	0.15	0.015
Zranb2	3.64848908840611e-10	-0.45602513149507	6.53736274860606e-06	0.114	0.188	0.074
Tm9sf3	3.70743303525475e-10	0.619155671018792	6.64297851256946e-06	0.1	0.079	0.021
Bclaf3	3.76209012869466e-10	0.264168426883804	6.74091309259509e-06	0.108	0.12	0.012
Wasl	3.85073480926694e-10	-0.547701078507332	6.8997466312445e-06	0.116	0.196	0.08
Pafah1b1	3.95011209716097e-10	-0.280516678177046	7.07781085569303e-06	0.303	0.409	0.106
Rngtt	3.96462861536407e-10	0.247743615109223	7.10382155300933e-06	0.141	0.146	0.005
Vti1a	4.02858547376162e-10	0.154245024063925	7.21841945188606e-06	0.333	0.353	0.02
Clasp2	4.04949560180812e-10	-0.435898415825	7.25588621931979e-06	0.196	0.304	0.108
Grk5	4.2007695471645e-10	0.559976691638203	7.52693887460936e-06	0.455	0.4	0.055
Klhl24	4.71446390611771e-10	-0.685131558350979	8.44737642698171e-06	0.116	0.206	0.09
Adam10	5.03395553772731e-10	0.271851492640184	9.01984153249979e-06	0.268	0.276	0.00800000000000001
Aak1	5.1473806346135e-10	-0.61266558730349	9.22307662110047e-06	0.165	0.272	0.107
Mef2a	5.53299606010662e-10	0.38186312563193	9.91402234049904e-06	0.423	0.405	0.018
Tspan13	6.19022577048848e-10	-0.188665794501456	1.10916465355613e-05	0.126	0.187	0.061
Map4k5	6.5690152837483e-10	-0.257964576585886	1.17703615854202e-05	0.144	0.204	0.06
Spast	6.60657539262841e-10	0.279620382664173	1.18376617885116e-05	0.113	0.119	0.00599999999999999
Wdr26	6.77945853112557e-10	0.225812084722632	1.21474337960708e-05	0.312	0.323	0.011
Dcdc2a	6.83796393592096e-10	0.840561374035733	1.22522637803832e-05	0.316	0.222	0.094
Tnpo3	7.06236600771154e-10	0.222095962902626	1.26543474126175e-05	0.142	0.152	0.01
Ap3b1	7.33601450244674e-10	0.213924449723581	1.31446707854841e-05	0.296	0.304	0.00800000000000001
Cnbp	8.1125947916289e-10	0.591760439687952	1.45361473476407e-05	0.112	0.1	0.012
Arhgef12	8.57700902791001e-10	0.216720403028224	1.53682847762092e-05	0.515	0.547	0.032
Mysm1	8.90995111369152e-10	0.375489029713043	1.59648504055125e-05	0.202	0.198	0.004
Brwd1	9.13294195299929e-10	-0.300007983596992	1.63644053913841e-05	0.266	0.362	0.096
Rabep1	9.2164680839081e-10	-0.133982309596421	1.65140675127465e-05	0.236	0.3	0.064
Kif5b	9.26746580562273e-10	0.38798504474103	1.66054452305148e-05	0.293	0.277	0.016
Dcaf6	9.37112003322034e-10	-0.172938929510014	1.67911728755242e-05	0.258	0.34	0.082
Abi2	9.48450282934148e-10	-0.781616749200695	1.69943321696141e-05	0.097	0.181	0.084
Samd4	1.11037406315311e-09	0.521996439282266	1.98956824635774e-05	0.47	0.406	0.0639999999999999
Rap1gds1	1.1515760341355e-09	0.18350862507587	2.06339393796398e-05	0.171	0.19	0.019
Ppp2r2a	1.19290164305587e-09	-0.494201704815237	2.13744116402751e-05	0.121	0.197	0.076
Tgfbr2	1.24591710950169e-09	0.753244790413575	2.23243427680514e-05	0.254	0.196	0.058
Vwa8	1.40086456294755e-09	0.21954043831374	2.51006912388941e-05	0.217	0.235	0.018
Cept1	1.45412878327557e-09	0.459628528845694	2.60550795387316e-05	0.127	0.125	0.002
Atf6	1.52634451225955e-09	-0.151204714542708	2.73490409706666e-05	0.073	0.1	0.027
Ppp2r5e	1.53696956375505e-09	0.112563850860641	2.7539420643363e-05	0.178	0.201	0.023
Mipol1	1.59790303536764e-09	0.285886161012917	2.86312265877173e-05	0.136	0.147	0.011
Xpo7	1.66828949905023e-09	0.131788159594088	2.9892411243982e-05	0.224	0.252	0.028
Dnajc5	1.75193651795717e-09	-0.610137553491327	3.13911985287565e-05	0.097	0.168	0.071
Exoc2	1.84205400747168e-09	0.522800239235357	3.30059237058775e-05	0.215	0.184	0.031
Zkscan3	1.96290405787095e-09	-0.109445523003384	3.51713149089316e-05	0.146	0.198	0.052
Phf14	2.03616389619373e-09	-0.110849540070221	3.64839846919992e-05	0.344	0.427	0.083
Asb3	2.17067639857185e-09	0.170370242585616	3.88941797096103e-05	0.254	0.271	0.017
U2surp	2.27262440722745e-09	0.149518372117357	4.07208841287015e-05	0.236	0.258	0.022
Ptp4a2	2.28591673105476e-09	0.61550928939869	4.09590559870392e-05	0.219	0.196	0.023
Qser1	2.42093899382103e-09	0.148536834631319	4.33783848912852e-05	0.152	0.171	0.019
Macrod2	2.50601170910175e-09	-0.800421615718242	4.49027178036851e-05	0.109	0.204	0.095
Ubr3	2.5357819023307e-09	-0.475885289145532	4.54361401259616e-05	0.217	0.323	0.106
Creb1	2.5943919031414e-09	0.209391541167243	4.64863141204875e-05	0.238	0.257	0.019
Lrch1	2.6324272490027e-09	0.837496383559548	4.71678314476304e-05	0.14	0.105	0.035
Esyt2	2.89165345229206e-09	0.222323113182831	5.18126465581691e-05	0.269	0.283	0.014
Sf3b1	2.91710976423238e-09	-0.160920986020795	5.22687727555158e-05	0.304	0.391	0.087
Chd6	3.02344461115837e-09	-0.169899523871213	5.41740805427356e-05	0.304	0.389	0.085
Gna12	3.24107124726332e-09	0.955753561480585	5.80735146084642e-05	0.102	0.07	0.032
Rab3gap1	3.34164150432518e-09	0.107149707505384	5.98755324744986e-05	0.143	0.165	0.022
Ythdc1	3.56125052266844e-09	0.11010239869907	6.38104868651732e-05	0.22	0.25	0.03
Nucks1	3.61232781937206e-09	0.567526682531159	6.47256898675085e-05	0.151	0.129	0.022
Phf12	3.6730914195355e-09	0.203553501569372	6.58144520552371e-05	0.187	0.201	0.014
Rabgap1	3.75319638388604e-09	-0.314036225622206	6.724977280647e-05	0.28	0.384	0.104
Ankfy1	3.87131856385516e-09	0.280181426260169	6.93662860271568e-05	0.152	0.154	0.002
Map4k3	3.9423727732446e-09	0.336144913189186	7.06394353509968e-05	0.179	0.179	0
Mapk1	4.04377880138532e-09	-0.286349007277645	7.24564285632221e-05	0.102	0.15	0.048
Srek1	4.17404260219169e-09	-0.320730175655306	7.47904953460707e-05	0.297	0.405	0.108
Ndufs4	4.21820151761402e-09	0.528374869497403	7.55817347926081e-05	0.209	0.173	0.036
Pcdh9	4.32102514797837e-09	0.241803958057018	7.74241286014764e-05	0.232	0.268	0.036
Klhl12	4.36530260979144e-09	-0.415865268710274	7.82174921622429e-05	0.076	0.133	0.057
Btbd1	4.40116804834698e-09	0.517165458743985	7.88601290902812e-05	0.173	0.156	0.017
Flnb	4.42955952507024e-09	0.176509988956069	7.93688475702085e-05	0.194	0.223	0.029
Ncoa5	4.51110506531202e-09	0.541016216277466	8.08299805602608e-05	0.114	0.104	0.01
Snx14	4.61758365146730e-09	-0.347933420850322	8.2737863866991e-05	0.092	0.144	0.052
Arhgap21	5.00414214259666e-09	-0.375988795598909	8.9664218911047e-05	0.237	0.336	0.099
Ubr5	5.17433332115155e-09	0.259477888346879	9.27137044483935e-05	0.449	0.447	0.002
Ctnnb1	5.49431980663194e-09	0.571705972481736	9.84472222952311e-05	0.162	0.141	0.021
Tbl1x	5.68689951376588e-09	0.399729953929958	0.000101897865487657	0.39	0.355	0.035
