gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ptpn12	6.47155511263117e-18	-1.8237318989538	1.15957324508125e-13	0.031	0.109	0.078
Mmp16	9.16403216656649e-16	-1.38236766060327	1.64201128360538e-11	0.118	0.226	0.108
Glrb	2.11377065995627e-15	-1.18109194222214	3.78745426850964e-11	0.073	0.138	0.065
Dync1i2	4.13169583359286e-14	-1.38225501002801	7.40317259463168e-10	0.045	0.109	0.064
Ndrg2	7.3425396339509e-14	1.82687587657205	1.31563625161132e-09	0.131	0.038	0.093
Lrrc4	9.0251486788817e-14	-1.64343409545268	1.61712614028202e-09	0.038	0.103	0.065
Rngtt	9.35296068386399e-14	-1.2851509688505	1.67586349533475e-09	0.086	0.181	0.095
Atp6v1h	2.40983557560666e-12	-1.25050943981858	4.317943384372e-08	0.071	0.146	0.075
Fbxo8	2.81601012725232e-12	-1.4301510430729	5.0457269460107e-08	0.048	0.109	0.061
Bdp1	2.85434276622205e-12	1.2094429134074	5.11441136851667e-08	0.149	0.081	0.068
Nudcd3	3.31374314106092e-12	-1.00456612013771	5.93756496015295e-08	0.139	0.232	0.093
Slc2a13	4.16791011659644e-12	-1.24419637943888	7.4680613469175e-08	0.095	0.171	0.076
Arhgap20	1.03151427130497e-11	-0.958750805364165	1.84826727132424e-07	0.1	0.177	0.077
Rtn4	1.21499265246308e-11	-0.96976818017222	2.17702383468334e-07	0.082	0.159	0.077
Eif5	1.2719706472497e-11	1.81724195643722	2.279117005742e-07	0.121	0.045	0.076
Cpeb4	2.20855399192037e-11	-1.05639559305258	3.95728704272292e-07	0.062	0.127	0.065
Herc1	5.05220185951325e-11	-0.508986294569655	9.05253529187585e-07	0.192	0.265	0.073
Wdr7	1.40776019555097e-10	-1.04712826302135	2.52242471838823e-06	0.049	0.111	0.062
Zranb2	1.58090080182307e-10	-0.43935088279439	2.83265805670658e-06	0.121	0.175	0.054
Abi2	1.91467911566895e-10	-0.795020080598385	3.43072203945562e-06	0.116	0.183	0.067
Sned1	1.92065151564711e-10	0.301119987958083	3.44142338573649e-06	0.697	0.63	0.0669999999999999
Son	2.07686156274144e-10	0.321152405266687	3.72132054812011e-06	0.843	0.795	0.0479999999999999
Ssh2	5.10662601056367e-10	-0.68820163626548	9.15005248572799e-06	0.176	0.269	0.093
Igf1r	6.18317115152244e-10	0.39931277327429	1.10790060692979e-05	0.505	0.408	0.097
Cdc42bpa	8.80598023718357e-10	-0.677943705885512	1.57785553889855e-05	0.124	0.2	0.076
Scai	9.86437499234643e-10	-0.875359473271291	1.76749871112863e-05	0.068	0.132	0.064
Ntrk3	9.98213209250033e-10	-0.568185812573171	1.78859842833421e-05	0.228	0.322	0.094
Ptch1	1.24094076153074e-09	1.59364169961295	2.22351765651078e-05	0.105	0.043	0.062
Nsf	1.53399774264593e-09	-0.875197272835255	2.74861715527297e-05	0.09	0.155	0.065
Pip4k2a	1.56605275462761e-09	-0.903704836387125	2.80605332574175e-05	0.056	0.11	0.054
Mast2	3.51716753379293e-09	-0.731906377947007	6.30206078705016e-05	0.126	0.204	0.078
Trp53bp1	8.93797100251331e-09	-1.46675422273473	0.000160150564423033	0.052	0.126	0.074
Ndrg3	8.94281404782508e-09	-0.795684511144608	0.00016023734210893	0.083	0.144	0.061
Togaram1	1.06881092576097e-08	-0.980313030642467	0.00019150954167785	0.059	0.115	0.056
Fam193b	1.79380665388222e-08	1.18942550519031	0.000321414276242616	0.148	0.08	0.068
Luc7l	2.12947612382154e-08	-1.20225220807162	0.000381559531866344	0.08	0.163	0.083
Ncoa3	2.13811130400163e-08	0.642686395385739	0.000383106783451013	0.435	0.317	0.118
Zc3h15	2.28281367158652e-08	-1.01626320667903	0.000409034553674873	0.072	0.133	0.061
Slc38a1	2.98047529262627e-08	-1.0990538737467	0.000534041562932774	0.078	0.161	0.083
Clock	3.11363366794375e-08	-0.916985607253211	0.000557900880622161	0.083	0.144	0.061
Usp50	3.27311153560805e-08	-1.32496897135144	0.00058647612495025	0.044	0.104	0.06
Pals2	3.32287085855036e-08	0.274209331068814	0.000595392000435054	0.701	0.677	0.0239999999999999
Sipa1l1	5.31231120805344e-08	-0.759132581267595	0.000951859922259016	0.114	0.173	0.059
Sfswap	5.63625500248867e-08	0.516175789895562	0.00100990417134592	0.18	0.155	0.025
Sgcd	6.02776958427223e-08	-1.02531735171971	0.0010800557541099	0.183	0.259	0.076
Prpf39	7.09423177476233e-08	0.593120663209855	0.00127114444940191	0.296	0.225	0.071
Abca3	8.46270389824068e-08	-1.59146660478385	0.00151634728448676	0.043	0.112	0.069
Serbp1	9.52746263969265e-08	-0.844151086765476	0.00170713075578013	0.089	0.161	0.072
Ralgapa2	1.1991025158309e-07	-0.912152001915211	0.00214855188786581	0.052	0.1	0.048
Cdh11	1.24966800564708e-07	-0.726349774635733	0.00223915513251843	0.118	0.181	0.063
Rora	1.29325756010685e-07	0.135598482866807	0.00231725889619946	0.926	0.943	0.0169999999999999
Cyrib	1.48549675950541e-07	-0.695656912229299	0.00266171309368179	0.087	0.134	0.047
Prickle1	2.02827525752976e-07	-0.441982714147054	0.00363426360644183	0.293	0.393	0.1
Cmss1	2.28071101140633e-07	0.771347740147184	0.00408657799023786	0.164	0.093	0.071
Cyfip2	2.89046763351653e-07	-0.706988458977469	0.00517913990573492	0.102	0.15	0.048
Atf6	2.9288211442896e-07	-0.87611442367095	0.0052478617263381	0.061	0.104	0.043
Rprd1a	3.018289200821e-07	-0.92600040007116	0.00540817059003108	0.061	0.103	0.042
Prkca	3.363204198331e-07	-0.296651541140043	0.00602618928256948	0.288	0.343	0.055
Map2k4	3.70740139567669e-07	-0.623654893182712	0.0066429218207735	0.111	0.175	0.064
Cdon	4.17794210766324e-07	-0.471282106583689	0.00748603666851099	0.104	0.159	0.055
Klf7	5.29818630202219e-07	0.157520203816764	0.00949329021596335	0.15	0.164	0.014
Rbpj	5.3540240890073e-07	0.343111287528658	0.00959334036268329	0.171	0.159	0.012
Eif4g2	5.63601564702454e-07	0.698374754773319	0.0100986128363386	0.135	0.1	0.035
Mycbp2	6.29537431130792e-07	-0.374246179698925	0.0112800516910015	0.335	0.393	0.058
Rgs7bp	6.49733080187013e-07	-0.369903220035531	0.0116419173307909	0.129	0.175	0.046
Arid5b	7.10652349952711e-07	0.28945989013706	0.0127334688064527	0.359	0.342	0.017
Faf1	7.51365849764247e-07	-0.485075896354013	0.0134629732960758	0.191	0.268	0.077
Macf1	7.63756827246169e-07	0.170181734323198	0.0136849948305968	0.667	0.616	0.051
Skil	8.69954315049186e-07	-1.0825240775537	0.0155878414170513	0.06	0.121	0.061
Gprasp1	8.76004983348124e-07	-0.103392752472746	0.0156962572916317	0.08	0.11	0.03
Sptan1	1.01767908568408e-06	-0.651481042528274	0.0182347738572873	0.178	0.257	0.079
Nlk	1.02013919593287e-06	-0.68148954401687	0.0182788541127252	0.084	0.13	0.046
Fus	1.18153017508226e-06	-0.386222000157638	0.0211706576771239	0.463	0.553	0.09
Pcdh7	1.20673200311071e-06	-0.809504310765077	0.0216222240317378	0.234	0.341	0.107
Rap1b	1.31385525671873e-06	0.186665948663507	0.0235416584898863	0.157	0.156	0.001
Ube2b	1.55616549523462e-06	-0.502437236944835	0.0278833733436139	0.183	0.238	0.055
Wipf1	1.60295928699938e-06	0.409081601901955	0.0287218245044549	0.304	0.28	0.024
Cspp1	1.66344350637684e-06	-0.406460275250347	0.0298055807472603	0.143	0.189	0.046
Camsap1	1.82867802087522e-06	-1.17371932526828	0.0327662527780421	0.059	0.114	0.055
Galnt13	1.8767068570683e-06	-1.03617600752362	0.0336268334649497	0.085	0.138	0.053
Myl6	2.08689339962211e-06	0.606227447293094	0.037392955934429	0.188	0.127	0.061
Carmil1	2.0875073880028e-06	-0.191389949572364	0.0374039573782342	0.074	0.11	0.036
Ewsr1	2.14813196508802e-06	-0.552991601427315	0.0384902285504471	0.174	0.226	0.052
Mapk1	2.19300740029793e-06	-0.37921134713617	0.0392943065985383	0.1	0.133	0.033
Fam193a	2.49464159150518e-06	0.324212929764035	0.0446989880365898	0.507	0.455	0.052
Rap1gds1	2.55358775911875e-06	-0.659099972665864	0.0457551854678897	0.141	0.192	0.051
Anapc5	2.71407131802112e-06	0.803918585229895	0.0486307298763023	0.223	0.145	0.078
Agps	2.74090507349529e-06	-1.0278276936293	0.0491115371068886	0.107	0.171	0.064
Parg	2.79397825089897e-06	-0.64109904523752	0.0500625022996077	0.101	0.134	0.033
Zfhx3	2.82989316624912e-06	0.651690227039359	0.0507060257528518	0.352	0.287	0.065
Bicd1	2.90938959334981e-06	-0.766828168889432	0.0521304427336419	0.073	0.123	0.05
Chd4	3.13477924950345e-06	0.63362398871671	0.0561689745926028	0.288	0.205	0.083
Il15	3.18226821574243e-06	0.347676893796364	0.0570198818896728	0.156	0.141	0.015
Arid1b	3.18785597168993e-06	0.233626712210205	0.0571200033007401	0.4	0.362	0.038
Cacna1c	3.56765339434094e-06	0.844419952600288	0.063925213519801	0.251	0.154	0.097
Tulp3	3.79820218645798e-06	0.690576445062659	0.068056186776954	0.166	0.127	0.039
Hnrnpu	3.82552252431101e-06	-0.180001673756139	0.0685457125906048	0.216	0.258	0.042
Grip1	3.90966909663282e-06	-0.727524274792779	0.0700534508734669	0.142	0.206	0.064
Dhx36	3.97756912920135e-06	-0.474024340501069	0.0712700836570297	0.111	0.145	0.034
Qki	3.9793082874737e-06	0.142782567040725	0.0713012458949537	0.537	0.541	0.004
Ppp1r12a	4.00844398344087e-06	0.346701046008511	0.0718232992952936	0.473	0.401	0.072
Psd3	4.05909778049066e-06	-0.432052170104103	0.0727309140308316	0.344	0.429	0.085
Fyco1	4.18430946610155e-06	0.921090048697158	0.0749744570136075	0.163	0.106	0.057
Sppl3	4.23024994753425e-06	-0.586787204602149	0.0757976185599186	0.141	0.209	0.068
Agrn	4.47271783643783e-06	1.47949823294976	0.080142158193293	0.103	0.038	0.065
Plekha6	4.63265903755515e-06	-0.517008158375122	0.0830079846349132	0.075	0.117	0.042
Hnrnpm	4.87221165714266e-06	0.415480539466989	0.0873002884726822	0.316	0.264	0.052
Tgfbr3	4.98420883501742e-06	0.182291883237442	0.0893070539058421	0.689	0.652	0.0369999999999999
Sfpq	5.05326933661086e-06	-0.130513919074807	0.0905444799733934	0.333	0.377	0.044
Id3	5.05560048543739e-06	-0.522577879510615	0.0905862494980672	0.088	0.135	0.047
Slc25a12	5.42576659741894e-06	0.861322725212551	0.0972188858925525	0.172	0.117	0.055
Flt1	5.46902663731489e-06	0.782452076708472	0.0979940192874082	0.204	0.13	0.074
Tm9sf3	5.55506157880452e-06	-1.05584026580629	0.0995355933690194	0.05	0.1	0.05
Ylpm1	5.62538906111161e-06	-0.313167171397194	0.100795721196998	0.187	0.234	0.047
Ppm1h	6.23645144661651e-06	-0.308935275621862	0.111744737020475	0.194	0.246	0.052
Sumo2	6.33662107342601e-06	0.574782897685339	0.113539576393647	0.14	0.115	0.025
Tfcp2	6.41031732650794e-06	0.81376403275334	0.114860065856369	0.155	0.11	0.045
Snx3	7.21400392170427e-06	0.457202655260244	0.129260522269097	0.1	0.093	0.00700000000000001
Abl2	8.41847577714611e-06	-0.668652580410557	0.150842248974904	0.063	0.103	0.04
Stxbp5	8.53309606775325e-06	-0.341947461144428	0.152896015342003	0.118	0.161	0.043
Ube3a	8.74520147030194e-06	-0.308100515366327	0.15669651994487	0.147	0.177	0.03
Lysmd4	8.91230789156164e-06	-0.576087150991111	0.159690732801001	0.064	0.103	0.039
Tef	9.16297276457633e-06	0.40446621863757	0.164182145995679	0.505	0.406	0.099
Smarcc1	1.06169992255057e-05	-0.858151697068495	0.190235392122612	0.072	0.117	0.045
Cdk17	1.16524906871569e-05	-0.719400563928828	0.208789328132478	0.083	0.134	0.051
Rfx7	1.17490505009281e-05	-0.106407516116539	0.210519486875629	0.146	0.179	0.033
Dpp8	1.18299802797348e-05	0.509779089024865	0.211969586652289	0.241	0.186	0.055
Acaca	1.19372487743355e-05	-0.318736129271577	0.213891623538543	0.1	0.136	0.036
Ankib1	1.20248476671826e-05	-0.729675569446953	0.215461220500578	0.092	0.14	0.048
Arhgap5	1.21484062530941e-05	0.507355283307235	0.21767514324294	0.302	0.241	0.061
