gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rps8	4.02315406364164e-131	0.790366096375556	7.20868745123309e-127	0.365	0.237	0.128
Rps16	1.95931422062337e-97	1.06871495657143	3.51069922051295e-93	0.171	0.091	0.08
Rpl17	6.21355474357836e-77	0.768041943025756	1.11334473895437e-72	0.229	0.143	0.086
Rplp1	1.02728097209198e-69	0.89922264996008	1.84068204579441e-65	0.159	0.096	0.063
Ube3a	1.68140811660222e-59	-0.198786789133335	3.01274706332786e-55	0.879	0.906	0.027
Rpl13	1.23903461868283e-58	0.637227182938231	2.22010222975589e-54	0.231	0.158	0.073
Rpl27a	3.07074683125818e-58	0.630012320688562	5.50216417224841e-54	0.244	0.167	0.077
Rpl24	5.17505110680272e-53	0.719360071696919	9.27265657316911e-49	0.189	0.126	0.063
Rpl19	6.77107006387474e-51	0.768649585020111	1.21324033404508e-46	0.154	0.096	0.058
Rpl35a	2.05284398211269e-49	0.733360530480383	3.67828584714952e-45	0.157	0.1	0.057
Rpsa	9.11978994085161e-48	0.698798002950896	1.63408396160179e-43	0.163	0.108	0.055
Rpl37	3.360606367021e-46	0.755827303943883	6.02153448842823e-42	0.141	0.088	0.053
Rpl32	3.48069499811135e-45	0.798860206148658	6.23670929761592e-41	0.126	0.076	0.05
Ctnna3	3.96835994354536e-45	-0.272647409480043	7.11050734684458e-41	0.688	0.731	0.043
Rps19	4.09621710704193e-43	0.778993386296802	7.33960181239773e-39	0.126	0.081	0.045
Prnp	5.46480846192385e-42	0.397488839454841	9.79184380207515e-38	0.255	0.205	0.05
Rpl13a	4.85116533469632e-41	0.637908898478252	8.69231804670886e-37	0.155	0.105	0.05
Rpl9	6.52981660015801e-41	0.630995816921499	1.17001253841631e-36	0.164	0.109	0.055
Rpl37a	2.09287679654603e-40	0.634623272125798	3.75001664405117e-36	0.145	0.095	0.05
Kcnc1	3.11750498950616e-39	0.351345124139899	5.58594544019713e-35	0.45	0.389	0.061
Rpl34	4.36089404412441e-38	0.67251085141505	7.81384994826211e-34	0.126	0.08	0.046
Gabrb1	9.58094311572039e-36	-0.144811658614511	1.71671338747478e-31	0.857	0.895	0.038
Rps5	1.16614750923101e-35	0.77697176034776	2.08950310704013e-31	0.102	0.062	0.04
Rps7	3.28706286296713e-35	0.606316880470612	5.8897592378645e-31	0.143	0.095	0.048
Rps29	2.58184023305816e-34	0.677408399784495	4.6261413295936e-30	0.119	0.08	0.039
Scd2	9.51799662730696e-34	0.483208424753774	1.70543463568086e-29	0.186	0.132	0.054
Cdk5r1	3.00808380369936e-33	0.607562755961908	5.38988455946851e-29	0.138	0.092	0.046
Fau	1.12444447395628e-31	0.59515097738014	2.01477960843485e-27	0.151	0.104	0.047
Fth1	2.02849138233716e-31	0.458583703473035	3.63465085887172e-27	0.198	0.145	0.053
Gad1	5.30486203550011e-31	0.337147362252022	9.5052517952091e-27	0.512	0.46	0.052
Rps21	9.9314530984026e-31	0.49102746915092	1.77951776617178e-26	0.178	0.132	0.046
Atp1b1	2.00106124496461e-29	0.234834791357426	3.58550153872758e-25	0.675	0.626	0.049
Kmt2a	4.0774373234021e-29	0.180492873093553	7.30595219607189e-25	0.756	0.709	0.047
Ralyl	5.50620937659556e-29	-0.103005334672563	9.86602596098393e-25	0.825	0.868	0.043
Rps24	6.36526730698228e-29	0.484573042000835	1.14052859606508e-24	0.178	0.131	0.047
Rps25	8.03744366587326e-28	0.600173546167144	1.44014915605117e-23	0.107	0.07	0.037
Rps15	1.62365790940035e-27	0.526741640588054	2.90927024206356e-23	0.156	0.113	0.043
Rps11	2.22778426031218e-27	0.597316396008605	3.99174383762736e-23	0.131	0.09	0.041
Timp2	4.03344769882081e-27	0.459501602157622	7.22713158674713e-23	0.213	0.167	0.046
Purb	1.06164497225993e-26	0.367581058287435	1.90225546129534e-22	0.227	0.176	0.051
Hsp90ab1	2.31149965177243e-26	0.311216202441454	4.14174507604583e-22	0.271	0.215	0.056
Lingo2	9.35821949842225e-26	-0.153733835001887	1.6768057697273e-21	0.824	0.864	0.04
Rims1	1.21268162568549e-25	-0.123825990643619	2.17288293690326e-21	0.955	0.97	0.015
Hsp90aa1	1.53393208710206e-25	0.280477384569256	2.74849951366947e-21	0.297	0.242	0.055
Rps13	1.99989879390482e-25	0.463320470963968	3.58341865891865e-21	0.162	0.12	0.042
Ftl1	2.89250178094076e-25	0.580588822255692	5.18278469108965e-21	0.109	0.074	0.035
Itm2c	6.22264364461289e-25	0.451018592262627	1.11497328824174e-20	0.172	0.127	0.045
Ubash3b	7.56721643649384e-25	0.316057488888833	1.35589384109097e-20	0.403	0.366	0.037
Syt11	1.70474710961654e-24	0.240604740317778	3.05456587101092e-20	0.474	0.42	0.054
Atp6v0c	3.05268425544074e-24	0.327097461910036	5.46979964889871e-20	0.291	0.235	0.056
Rpl21	1.71674032915394e-23	0.430127168097271	3.07605532177804e-19	0.191	0.147	0.044
Eef1a1	3.17109426435162e-23	0.335454231257345	5.68196670286523e-19	0.237	0.189	0.048
Slitrk4	3.36572360555906e-23	0.453374707408947	6.03070355644072e-19	0.171	0.13	0.041
Syt4	1.87477799825657e-22	0.392908759996234	3.35922721727612e-18	0.225	0.178	0.047
Scn2b	2.25070435412625e-22	0.405739668110022	4.03281206172342e-18	0.186	0.144	0.042
