gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Luc7l2	1.84555564298772e-56	-0.236617976788601	3.30686660110539e-52	0.938	0.97	0.032
Pde10a	1.80998112831831e-47	0.356506229676629	3.24312418572074e-43	0.881	0.887	0.00600000000000001
Rplp1	3.29256210112261e-40	0.907580625980178	5.8996127727915e-36	0.163	0.104	0.059
Nrxn1	1.73638941228748e-38	-0.148335596819074	3.11126254893672e-34	0.995	0.999	0.004
Grin1	1.8363612711644e-38	-0.282019401486327	3.29039212567236e-34	0.725	0.806	0.0810000000000001
Snap25	2.46530217297723e-38	-0.218861109428194	4.41732843354061e-34	0.919	0.957	0.0379999999999999
Rps8	1.01511736677507e-37	0.560032099653827	1.81888729778757e-33	0.332	0.254	0.078
Rbm39	3.79003531934409e-36	-0.244356218875084	6.79098528520073e-32	0.833	0.886	0.053
Slc8a1	1.84691482432215e-35	-0.239548524904001	3.30930198222043e-31	0.747	0.833	0.086
Mast4	2.33479539060142e-35	-0.190062373202754	4.18348638087962e-31	0.552	0.656	0.104
R3hdm1	2.07569132100036e-33	-0.115966007001987	3.71922370896844e-29	0.831	0.901	0.0700000000000001
Ptk2	3.51249219011695e-33	-0.287289081959872	6.29368350625155e-29	0.668	0.756	0.088
Cdk14	3.81317260560042e-33	-0.305015334062711	6.83244267471484e-29	0.614	0.702	0.088
Gabrb1	3.24912800812168e-32	-0.161043233785845	5.82178756495242e-28	0.821	0.891	0.0700000000000001
Ddx17	3.89906699916674e-32	-0.293211550060591	6.98634824910696e-28	0.651	0.73	0.079
Pde4d	4.59683930747047e-32	-0.140592585155552	8.23661667112559e-28	0.878	0.933	0.055
Gpr88	1.82059606473424e-31	1.19480353487746	3.26214402879081e-27	0.103	0.057	0.046
Cadps	4.4057062149243e-31	-0.138375851123958	7.89414439590136e-27	0.957	0.978	0.021
Ppm1e	1.84656416215419e-30	-0.398996333591646	3.30867366574788e-26	0.68	0.753	0.073
Rsrp1	1.8781691739549e-30	-0.285410215269393	3.3653035258924e-26	0.679	0.749	0.07
Prnp	2.11457130351231e-30	0.488633070355746	3.78888886163336e-26	0.332	0.266	0.066
Magi2	2.14796354058076e-30	-0.104956994170243	3.84872107201261e-26	0.989	0.997	0.00800000000000001
Gpm6b	2.39248136835453e-30	0.14882273711478	4.28684811581765e-26	0.434	0.48	0.046
Nrcam	5.14367184290635e-30	-0.23113717179483	9.2164312081196e-26	0.793	0.86	0.0669999999999999
Dync1i1	5.73482150427322e-30	-0.346161000682486	1.02756531713568e-25	0.743	0.811	0.0680000000000001
Cacna2d3	1.5303241400574e-29	0.271177690418855	2.74203479415486e-25	0.676	0.696	0.0199999999999999
Adcy5	3.16046221361426e-28	0.519125635040836	5.66291619435402e-24	0.4	0.337	0.063
Apc	6.247897080889e-28	-0.265723876520337	1.11949819895369e-23	0.857	0.898	0.041
Cdk5r1	8.8787212167571e-28	0.817366175383171	1.59088926761854e-23	0.135	0.085	0.05
Slc4a10	1.0721262101267e-27	-0.215857602191157	1.92103574330502e-23	0.775	0.84	0.0649999999999999
Hsp90ab1	1.77098566550781e-27	0.581317137410615	3.1732521154569e-23	0.273	0.201	0.072
Son	3.43926027454752e-27	-0.263411951857534	6.16246655993424e-23	0.711	0.778	0.0670000000000001
Dscam	4.40449569314676e-27	-0.230342204802032	7.89197538298037e-23	0.689	0.768	0.0790000000000001
Gng7	5.24789364504766e-27	0.600589423350777	9.4031758331964e-23	0.263	0.204	0.059
Foxp1	5.47210063482951e-27	0.232373453434666	9.80490991748752e-23	0.714	0.772	0.0580000000000001
Gria4	5.7681517422152e-27	-0.149775731532497	1.03353742917012e-22	0.948	0.974	0.026
Ryr2	1.55509576156718e-26	-0.154137083649911	2.78642058557607e-22	0.838	0.897	0.0590000000000001
Dlg2	3.52946765188732e-26	-0.123967826027031	6.32410013865171e-22	0.999	1	0.001
