gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rps8	5.91184854963529e-116	0.958885595349247	1.05928502312365e-111	0.39	0.216	0.174
Rps16	1.5892453489849e-104	1.60272222371505	2.84760981631115e-100	0.186	0.069	0.117
Rpl17	9.8096787321682e-94	1.10026981724257	1.7576982352299e-89	0.249	0.122	0.127
Rpl13	1.6643725395898e-93	1.05280455633706	2.982222716437e-89	0.251	0.126	0.125
Ctnna3	1.02253403192179e-91	-0.552849043254702	1.83217647839746e-87	0.69	0.769	0.0790000000000001
Rps21	4.75525388012069e-88	1.00378941722628	8.52046390240025e-84	0.183	0.091	0.092
Rpl27a	8.90150916267482e-88	0.940814012790699	1.59497241176807e-83	0.267	0.14	0.127
Rpl37a	4.0081821519009e-77	1.09049233324265	7.18186077977604e-73	0.149	0.066	0.083
Rps29	1.43792108928776e-72	1.31778083514182	2.5764670077858e-68	0.121	0.05	0.071
Ube3a	2.95744882273611e-72	-0.34320206549596	5.29915680057856e-68	0.894	0.924	0.03
Rpl13a	4.47966348320626e-71	1.17539099759119	8.02666102920899e-67	0.164	0.075	0.089
Rpsa	4.52120769913375e-67	0.871227625951548	8.10109995530785e-63	0.164	0.089	0.075
Fth1	1.52735749941389e-63	0.395781881752228	2.73671916744981e-59	0.206	0.137	0.069
Rpl19	2.4624298378466e-63	1.043578779009	4.41218178345354e-59	0.164	0.079	0.085
Rpl9	6.6489927915529e-61	0.895516618826897	1.19136652839045e-56	0.18	0.096	0.084
Rps19	9.32596311319662e-59	1.21280939019559	1.67102607062257e-54	0.136	0.062	0.074
Rps2	1.24313930183536e-58	0.455364760964261	2.22745700102859e-54	0.173	0.113	0.06
Rpl35a	1.75748351697892e-58	1.00388717450219	3.14905896572283e-54	0.163	0.083	0.08
Rplp1	1.93973721760004e-58	0.904741034336417	3.47562114649575e-54	0.157	0.086	0.071
Rps7	8.29613205228428e-58	0.999949094945017	1.4865009411283e-53	0.156	0.078	0.078
Ftl1	1.7168548152184e-56	1.07224158874322	3.07626045790833e-52	0.116	0.054	0.062
Rpl35	2.89289562354841e-53	1.12882039553596	5.18349037827404e-49	0.102	0.045	0.057
ENSMUSG00000095041	9.95565225874531e-53	-0.170384666118089	1.78385377172198e-48	0.79	0.825	0.0349999999999999
Rpl37	4.02807420802284e-52	0.85623657920008	7.21750336593532e-48	0.141	0.079	0.062
Rps24	4.31753089943625e-52	0.603661670960445	7.73615186560987e-48	0.177	0.113	0.064
Rps5	1.45765024778473e-51	1.0896967587027	2.61181771398067e-47	0.109	0.05	0.059
Rpl24	2.14004985630514e-51	0.888910296348593	3.83454133252755e-47	0.201	0.114	0.087
Scd2	6.14164175232618e-51	0.66368200337082	1.10045936918181e-46	0.208	0.124	0.084
Rpl41	1.20877384384926e-50	0.730022320787545	2.1658809734091e-46	0.193	0.115	0.078
Selenow	1.94713107884136e-50	0.22160376459351	3.48886946706796e-46	0.191	0.148	0.043
Rpl26	2.06306793373128e-50	0.789672138319069	3.6966051236597e-46	0.119	0.068	0.051
Rpl28	4.55310323657432e-50	0.672405970287535	8.15825037929386e-46	0.153	0.092	0.061
Rpl34	1.44806934328744e-49	1.03067179352837	2.59465064930244e-45	0.127	0.062	0.065
Rpl21	4.73794970524345e-49	0.706299578210725	8.48945828185521e-45	0.202	0.124	0.078
Rps15	3.76360107852776e-47	0.816038968685577	6.74362041250604e-43	0.165	0.095	0.07
Rpl32	6.90577404897345e-47	1.01638595162535	1.23737659409506e-42	0.131	0.066	0.065
Gsdme	5.58805103382645e-46	-0.54152637333403	1.00126698424102e-41	0.284	0.337	0.053
Rpl38	1.84337883464003e-45	0.601434599919545	3.302966195908e-41	0.121	0.076	0.045
Cox4i1	3.09934647195777e-45	0.377217328967041	5.55340900845392e-41	0.213	0.152	0.061
Rps3a1	7.29733128889859e-43	0.864106470255832	1.30753582034485e-38	0.114	0.062	0.052
Rpl23	9.34270888521228e-43	0.639277167397474	1.67402657805234e-38	0.145	0.088	0.057
Mid1	1.7400395128557e-42	-0.679334265804786	3.11780279913484e-38	0.17	0.233	0.063
Rps11	1.0996012999741e-40	0.709678378596066	1.97026560929359e-36	0.136	0.084	0.052
Man2a2	4.1116579886338e-40	0.272514820517556	7.36726878403405e-36	0.373	0.287	0.086
Rps27	4.90898806752945e-40	0.705355973052827	8.79592481939927e-36	0.168	0.103	0.065
Fau	1.29154768164309e-39	0.742883742650483	2.31419513596809e-35	0.159	0.095	0.064
Rps25	1.29700852524224e-39	0.886825011431269	2.32397987552905e-35	0.109	0.057	0.052
Safb2	1.84388216680634e-39	0.157096531141873	3.3038680664836e-35	0.279	0.219	0.06
Gapdh	2.99604608892733e-39	-0.26753845589501	5.36831538213999e-35	0.177	0.181	0.004
Myo16	1.27002408924806e-38	0.645053044092595	2.27562916311468e-34	0.555	0.498	0.0570000000000001
Rps27a	4.77695596091717e-38	0.689412817596158	8.55934969077139e-34	0.148	0.092	0.056
Rpl14	8.26039086037113e-38	0.78690772061535	1.4800968343613e-33	0.121	0.069	0.052
Pcbp3	1.12792878530674e-37	0.714530866469442	2.02102279751262e-33	0.429	0.349	0.08
Rps14	1.74576798812482e-37	0.667146206087696	3.12806708112205e-33	0.118	0.074	0.044
Dnaja1	2.10567955898912e-36	-0.20867897755859	3.7729566337967e-32	0.227	0.221	0.00600000000000001
Rps12	2.67038252437892e-36	0.61575307070121	4.78479140718215e-32	0.16	0.101	0.059
Sfswap	5.35259754528298e-36	0.216790201548736	9.59078428163804e-32	0.378	0.302	0.076
Gad1	5.6289015943818e-36	0.517138073630515	1.00858658768133e-31	0.513	0.429	0.084
Apc	8.66524866480006e-36	0.349839080708123	1.55263925575888e-31	0.92	0.895	0.025
Rpl11	1.69896682681677e-35	0.414790725044207	3.04420876029029e-31	0.211	0.149	0.062
Acsl6	1.87965293535399e-35	0.126201648873882	3.36796212956728e-31	0.253	0.202	0.051
Eef1a1	2.21247448857956e-35	0.312714215032095	3.96431178863686e-31	0.239	0.178	0.061
P2ry14	3.78131377139765e-35	-0.474709855359977	6.7753580155903e-31	0.304	0.349	0.045
Anapc5	4.35108809284894e-35	0.219984264879744	7.79627964476673e-31	0.351	0.278	0.073
Akap8	1.51703037106375e-34	0.168812588281091	2.71821501887203e-30	0.368	0.298	0.07
Ncor2	2.87405449748738e-34	0.289298578393516	5.14973084859788e-30	0.316	0.242	0.074
Cox8a	3.87971984134654e-34	0.168529259584925	6.95168201172473e-30	0.205	0.168	0.037
Ap3s1	6.34519614248465e-34	-0.313601426910328	1.1369322448104e-29	0.266	0.274	0.00800000000000001
Ablim3	6.89804276928974e-34	0.565260969260881	1.23599130340134e-29	0.381	0.296	0.085
Rpl12	8.53890886809307e-34	0.756195990472314	1.53000169098492e-29	0.14	0.084	0.056
Rps18	1.15702969264768e-33	0.758154686320526	2.0731658032861e-29	0.107	0.061	0.046
Rps13	1.32110166266395e-33	0.502865811311329	2.36714995916126e-29	0.16	0.109	0.051
Vapa	2.11481879739634e-33	-0.196156951688121	3.78933232117476e-29	0.334	0.327	0.00700000000000001
Ankrd10	2.79547682939572e-33	0.127234647360409	5.00893538291124e-29	0.327	0.268	0.059
Egr1	6.49463512647702e-33	1.1598489207822	1.16370872196215e-28	0.11	0.058	0.052
Trpm2	9.21405340388006e-33	0.186842769871698	1.65097408890723e-28	0.183	0.138	0.045
Zcchc14	1.96668336231209e-32	0.283576942836071	3.52390324859081e-28	0.311	0.239	0.072
Mapk1ip1	3.67541342907517e-32	0.215720553873389	6.58560578221689e-28	0.25	0.193	0.057
Eif4g1	4.16934356002694e-32	0.27961384749951	7.47062979085627e-28	0.327	0.254	0.073
Madd	5.90462900907866e-32	0.108001553794838	1.05799142584672e-27	0.328	0.274	0.054
Lrrc4b	6.80550276818759e-32	0.132739493106458	1.21940998600385e-27	0.247	0.203	0.044
Hspa8	7.66139104649505e-32	-0.199869639962393	1.37276804771098e-27	0.204	0.202	0.00199999999999997
Rpl8	1.80177877326345e-31	0.590614752806541	3.22842720593345e-27	0.138	0.09	0.048
Rpl30	2.3668558110039e-31	0.451198846945456	4.24093224215679e-27	0.223	0.158	0.065
Hsph1	3.33510582749034e-31	-0.157461799682271	5.97584262169719e-27	0.149	0.144	0.005
Adgrl1	3.55013528412628e-31	0.240190483168692	6.36113240209746e-27	0.339	0.269	0.07
Scamp5	3.59384524116012e-31	0.264340729409492	6.4394519031107e-27	0.306	0.239	0.067
Cabin1	4.29074912104651e-31	0.16791795111921	7.68816427509114e-27	0.351	0.287	0.064
Serinc1	8.50959908999206e-31	0.166979614703188	1.52474996494478e-26	0.381	0.312	0.069
Iffo1	8.6415539557557e-31	0.126200485972006	1.54839363779231e-26	0.155	0.121	0.034
Apc2	9.04996876443614e-31	0.289502367217421	1.62157340321167e-26	0.176	0.13	0.046
Vstm5	9.69657602806312e-31	0.275216904988421	1.73743249270835e-26	0.163	0.118	0.045
Sirpa	1.00516043347561e-30	0.427243788713056	1.80104646470161e-26	0.227	0.163	0.064
Chd4	1.28558749085353e-30	0.291169046496776	2.30351566611135e-26	0.387	0.307	0.08
Rpl3	1.37147149069421e-30	0.459759245231215	2.45740261702589e-26	0.157	0.107	0.05
Mon2	4.13469440206399e-30	0.208592856367372	7.40854542961826e-26	0.394	0.32	0.074
Slc24a5	4.44133862909084e-30	-0.48662294003941	7.95799055560496e-26	0.263	0.334	0.071
Tm9sf3	5.06124358141669e-30	0.121188548099497	9.06873624918242e-26	0.248	0.204	0.044
Dlgap1	6.43129144904043e-30	0.262024052753231	1.15235880183906e-25	0.981	0.977	0.004
Rap1gap	9.54770610802396e-30	-0.168473383508946	1.71075798043573e-25	0.359	0.346	0.013
Slc38a1	1.18744432195596e-29	0.179099495147289	2.12766273608069e-25	0.417	0.343	0.074
Rps23	1.30424994597472e-29	0.651643029254963	2.3369550531975e-25	0.103	0.063	0.04
Ubr2	1.39123379733382e-29	0.170076862707144	2.49281271806275e-25	0.404	0.335	0.069
Rasa2	1.55307273501814e-29	0.579403470410303	2.7827957266055e-25	0.4	0.322	0.078
Zbtb7a	1.89824201238783e-29	0.210841253057566	3.40127003779652e-25	0.202	0.159	0.043
Usp4	2.59578624381859e-29	0.154072260092445	4.65112979167415e-25	0.268	0.218	0.05
Ubb	3.60537137702967e-29	-0.411719163235314	6.46010443336176e-25	0.177	0.198	0.021
Brdt	4.06076122092157e-29	-0.152870691544749	7.27607195564728e-25	0.208	0.195	0.013
Rpl10	6.0424230904316e-29	0.421284666538404	1.08268136934353e-24	0.11	0.078	0.032
Rps20	6.5544634159723e-29	0.405103643281289	1.17442875487392e-24	0.115	0.082	0.033
Fndc5	6.71631597406472e-29	0.514354497386095	1.20342949623292e-24	0.131	0.083	0.048
Usp48	7.26770288649309e-29	0.113774768672878	1.30222700320183e-24	0.417	0.354	0.063
Pura	9.74268046547114e-29	0.183108720970651	1.74569348580312e-24	0.485	0.406	0.079
Macf1	9.85401866584715e-29	0.138205679528486	1.76564306454649e-24	0.976	0.961	0.015
Tecr	1.05871580837401e-28	0.107017717415107	1.89700698544455e-24	0.417	0.358	0.059
Cmtr1	1.08685201105558e-28	0.185309980140023	1.94742143340939e-24	0.233	0.183	0.05
Kcnc1	1.26073727471468e-28	0.373742039192779	2.25898904883376e-24	0.431	0.345	0.086
Ric8b	1.26243363544356e-28	-0.144745833966941	2.26202858798778e-24	0.457	0.436	0.021
Cacna1a	1.37938652972817e-28	0.181088152559057	2.47158478396693e-24	0.915	0.877	0.038
Fbrsl1	1.39744976315497e-28	0.16102501661246	2.50395048562108e-24	0.242	0.193	0.049
Cpa6	1.75871082276831e-28	1.09920413385751	3.15125805223625e-24	0.115	0.066	0.049
Aldh7a1	1.7975029629983e-28	0.102092317519747	3.22076580910036e-24	0.161	0.129	0.032
Smpd3	1.95185997624616e-28	-0.312465869684434	3.49734270543788e-24	0.291	0.304	0.013
Taf1b	1.97769347266756e-28	0.181611585853359	3.54363116432574e-24	0.339	0.276	0.063
Rpl36	2.15151012443444e-28	0.521436816179175	3.85507584096162e-24	0.167	0.115	0.052
Fbxw8	2.48195858980638e-28	0.181348212361501	4.44717340121507e-24	0.218	0.171	0.047
