gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Prnp	6.17619919012083e-161	0.923496921276878	1.10665137088585e-156	0.297	0.17	0.127
Eif2s3y	2.45638108045064e-153	0.626477960991218	4.40134361995146e-149	0.317	0.157	0.16
Kdm5d	7.31030074212371e-138	0.664935499044657	1.30985968697373e-133	0.202	0.093	0.109
Uty	2.11688337109909e-132	0.662177722492464	3.79303162433535e-128	0.396	0.2	0.196
Ddx3y	3.60007298037328e-113	0.807598792142085	6.45061076623285e-109	0.184	0.082	0.102
Ube3a	3.24751742010945e-99	-0.334055119928541	5.81890171335211e-95	0.876	0.907	0.031
Slc1a2	4.19699023544746e-94	-0.516248232737143	7.52016710387477e-90	0.198	0.291	0.093
Unc5c	6.07696226800953e-93	-0.522274321526482	1.08887009918195e-88	0.672	0.762	0.09
R3hdm1	1.38953346668345e-89	-0.240009833037336	2.48976606560341e-85	0.868	0.922	0.054
Mid1	9.27409474547084e-84	0.620427138595331	1.66173229649347e-79	0.295	0.198	0.097
Tcf4	2.11501944512537e-80	0.101420301131282	3.78969184177563e-76	0.637	0.695	0.0579999999999999
Cnksr2	8.85708769453273e-78	-0.21368221676659	1.58701297310638e-73	0.643	0.735	0.092
Cacna2d1	5.55102777941689e-74	-0.267939492189895	9.94633157515919e-70	0.616	0.716	0.1
Gpm6a	7.51730742046713e-74	-0.203394873482778	1.3469511435993e-69	0.842	0.896	0.054
Arpp21	1.01528216084715e-68	-0.285534912008015	1.81918257580593e-64	0.624	0.72	0.096
Slc24a5	2.48331325004751e-64	-0.449627379327907	4.44960068143514e-60	0.257	0.293	0.036
Kcnh7	2.69587390114337e-63	-0.252118117654428	4.83046685606869e-59	0.798	0.866	0.0679999999999999
Grm3	5.25363185337589e-62	-0.218572625548904	9.41345755487892e-58	0.44	0.522	0.082
Cacna1a	1.0043398056345e-59	0.133614993913072	1.79957606373589e-55	0.892	0.898	0.00600000000000001
Pde4b	7.88753801371732e-59	-0.101142185175203	1.41328906129787e-54	0.698	0.773	0.0750000000000001
Nptn	1.24527919890407e-58	-0.196462344793392	2.23129126859632e-54	0.846	0.895	0.049
Psd3	1.30962315941079e-56	-0.314923676303209	2.34658277703226e-52	0.51	0.591	0.081
Mef2c	2.9222525217468e-55	-0.107713900705795	5.23609206846592e-51	0.605	0.683	0.0780000000000001
Dgkb	6.53013048726667e-54	-0.252889467993757	1.17006878070844e-49	0.823	0.883	0.0600000000000001
Ptk2	2.44800633239377e-52	-0.211120332108798	4.38633774638316e-48	0.715	0.778	0.0630000000000001
Rasgef1b	2.49992373056657e-50	-0.214489415157609	4.47936334042919e-46	0.451	0.528	0.077
Pde1a	4.95345148479403e-50	-0.195331848890252	8.87559437045395e-46	0.41	0.481	0.071
Pcsk2	1.35165619399401e-49	-0.11173698018002	2.42189756839847e-45	0.64	0.712	0.072
Slit3	1.67294691282623e-49	-0.219529245013938	2.99758627840205e-45	0.431	0.51	0.079
Ahi1	2.07422127855381e-49	-0.174751516527012	3.71658968691272e-45	0.947	0.968	0.021
Sh3gl2	3.88190663102609e-49	-0.275041098048358	6.95560030147254e-45	0.653	0.711	0.0579999999999999
Rbm39	5.38524595682331e-48	-0.176426506522416	9.64928370543601e-44	0.861	0.903	0.042
Akt3	6.9199021851091e-48	-0.136255776905119	1.23990807352785e-43	0.868	0.906	0.038
Slc4a10	7.72851096796094e-48	-0.203596886753887	1.38479459523924e-43	0.809	0.855	0.0459999999999999
Pak5	1.23365191662053e-46	-0.145683086150175	2.21045750420066e-42	0.64	0.702	0.0619999999999999
Il1rapl1	1.45735575902555e-46	-0.265427364201594	2.61129004902198e-42	0.974	0.983	0.00900000000000001
Ubash3b	1.67461104772077e-46	0.376670067942533	3.00056807530608e-42	0.42	0.352	0.068
Npas3	3.22593418123452e-46	0.239176536798058	5.78022886593602e-42	0.586	0.604	0.018
Ppfia2	1.9916356559787e-45	-0.229721489731475	3.56861276838264e-41	0.922	0.952	0.0299999999999999
Atp2b1	1.54796540485504e-44	-0.264545317420505	2.77364441241926e-40	0.699	0.765	0.0660000000000001
Stag1	1.90618938467176e-44	-0.149854680457386	3.41551013945487e-40	0.864	0.902	0.038
Grip1	7.81153532534158e-44	0.191068917736732	1.3996708995947e-39	0.922	0.921	0.001
Prkg1	9.1056934251288e-44	-0.273164472184094	1.63155814791458e-39	0.704	0.772	0.0680000000000001
Nrg1	1.19731417694521e-43	-0.186447340971942	2.14534754225043e-39	0.83	0.884	0.054
Dlg1	1.28505572928958e-43	-0.24229743047153	2.30256285574108e-39	0.572	0.643	0.0710000000000001
Nrcam	2.08173046373348e-43	-0.192512785497438	3.73004464491765e-39	0.828	0.871	0.043
Zbtb20	2.99209933565466e-43	-0.132048135654	5.36124358962602e-39	0.744	0.804	0.0600000000000001
Adcy2	6.1643074661091e-43	-0.108079317611605	1.10452061177743e-38	0.494	0.554	0.0600000000000001
Kcnc2	2.9465326663441e-42	0.151659158704038	5.27959723155535e-38	0.685	0.7	0.0149999999999999
Ncam2	2.99780523299456e-42	-0.170487085102604	5.37146741647965e-38	0.803	0.858	0.0549999999999999
Arglu1	7.80550769702228e-42	-0.163750241964268	1.39859086915245e-37	0.74	0.783	0.043
Ctnna3	8.29678625060392e-42	-0.278389199621992	1.48661816038321e-37	0.692	0.724	0.032
Cdh12	9.11410802945055e-42	-0.169603489663659	1.63306587671695e-37	0.522	0.586	0.0639999999999999
Csmd3	2.28493669307967e-41	-0.161592766027201	4.09414956666016e-37	0.923	0.954	0.0309999999999999
Slc8a1	4.45636114463829e-41	-0.228183553341091	7.9849078989629e-37	0.792	0.843	0.0509999999999999
Pbx1	1.52042848806992e-40	-0.307066951781585	2.72430376492369e-36	0.862	0.905	0.043
Nell2	2.39687832899039e-40	-0.14749839327504	4.29472658988498e-36	0.435	0.497	0.062
Nfia	3.90579969327241e-40	-0.285131616281255	6.99841189040551e-36	0.205	0.258	0.053
Cdk14	6.21744605344425e-40	-0.166019157665981	1.11404198385614e-35	0.66	0.718	0.0579999999999999
Ext1	9.29736356273736e-40	-0.187038869379311	1.66590160317128e-35	0.672	0.735	0.0629999999999999
Gria2	4.60208923933047e-39	-0.154040012626739	8.24602349903234e-35	0.988	0.993	0.005
Erbb4	8.88711577864177e-39	0.138454691634758	1.59239340521703e-34	0.72	0.751	0.031
Afap1	2.51050909823426e-38	0.439552689741495	4.49833020221614e-34	0.262	0.205	0.057
Hdac9	1.36243420728988e-37	-0.111572771019344	2.44120961262201e-33	0.754	0.805	0.051
Stxbp5l	1.70408446030181e-37	-0.166148578644203	3.05337853596878e-33	0.874	0.906	0.032
Celf1	1.76292535182261e-37	-0.191132171935488	3.15880964539575e-33	0.713	0.762	0.049
Meis2	1.80819075126738e-37	-0.323754438123795	3.2399161881209e-33	0.403	0.482	0.079
Naaladl2	3.91391046994251e-37	-0.189947023559389	7.01294478004299e-33	0.657	0.712	0.0549999999999999
Kcnd2	5.40220349262143e-37	-0.224398848343548	9.67966821807908e-33	0.945	0.968	0.023
Cdh10	7.35695558459563e-37	-0.158532157101903	1.31821930164785e-32	0.615	0.675	0.0600000000000001
Gphn	7.58470255591175e-37	-0.143050604932465	1.35902700396827e-32	0.968	0.98	0.012
Chsy3	2.09130227597887e-36	-0.264873736045879	3.74719541809895e-32	0.615	0.683	0.0680000000000001
Rsrp1	2.14438529670203e-36	-0.148999488588426	3.8423095746307e-32	0.716	0.76	0.044
Sv2b	5.61607068505574e-36	-0.328836245737888	1.00628754534829e-31	0.178	0.226	0.048
Zbtb16	6.42640741132418e-36	0.460763903365961	1.15148367996107e-31	0.255	0.195	0.06
Gpm6b	1.17736934128502e-35	-0.138041708385665	2.1096103857145e-31	0.458	0.519	0.061
Nlgn1	1.9199743770116e-35	-0.208810757531334	3.44021008872938e-31	0.958	0.976	0.018
Egfem1	4.24835102203694e-35	0.127523871001276	7.61219536128579e-31	0.614	0.639	0.025
Ano3	7.01921936100462e-35	-0.428231413591995	1.25770372510481e-30	0.425	0.496	0.071
Pnisr	1.05432717199078e-34	-0.134766488153199	1.88914342677308e-30	0.864	0.901	0.037
Gls	1.63454508804072e-34	-0.125866051495724	2.92877788875136e-30	0.838	0.876	0.038
Myo9a	1.80678839339153e-34	-0.108022787262811	3.23740344327894e-30	0.823	0.861	0.038
Kcnmb2	2.10621796344996e-34	0.347073846483368	3.77392134690964e-30	0.422	0.359	0.063
Tmeff2	5.151348677007e-34	-0.103536527975131	9.23018655946115e-30	0.793	0.84	0.0469999999999999
Abtb3	6.48983018337569e-34	0.315253655608905	1.16284777225726e-29	0.457	0.389	0.068
Dlg2	7.49627265654794e-34	-0.195075421357172	1.34318213460026e-29	0.999	0.999	0
5730522E02Rik	9.20782583991857e-34	-0.182453946586554	1.64985823399661e-29	0.639	0.701	0.0619999999999999
Maf	1.00188424730639e-33	0.427894075484841	1.7951761943236e-29	0.263	0.205	0.058
Snap25	1.99649315796466e-33	-0.204494925583818	3.57731644044108e-29	0.939	0.959	0.02
Son	2.26423733969548e-33	-0.126364318957411	4.05706046526635e-29	0.746	0.793	0.047
Gabrb1	2.4657866782574e-33	-0.111688306879575	4.41819657010161e-29	0.858	0.891	0.033
Zfp536	3.74663378894468e-33	0.319627633239663	6.71321842303107e-29	0.425	0.374	0.051
