gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atxn7	4.65577407249889e-07	2.34790159882271	0.00834221598310351	0.311	0.07	0.241
Nos1ap	4.35679605889796e-06	3.19586430331453	0.0780650717833336	0.17	0.03	0.14
Acap2	5.72084466008838e-06	1.07013399393556	0.102506094619464	0.57	0.36	0.21
Snta1	1.73820620363004e-05	3.10935011989443	0.311451787566431	0.148	0.02	0.128
Clec7a	2.58142996972419e-05	-2.53868333331814	0.462540621975181	0.044	0.14	0.096
Fmnl1	2.88272537276372e-05	6.70919682519091	0.516526732291803	0.107	0	0.107
Ptk2b	6.45604313488991e-05	1.86596379917166	1	0.274	0.13	0.144
Prune2	7.4722718625945e-05	-2.61855691400667	1	0.044	0.16	0.116
Kdm5d	8.59904062347481e-05	-8.04941078154443	1	0	0.1	0.1
Tbl1xr1	0.000146367259884486	1.15581398567924	1	0.407	0.23	0.177
Slc4a7	0.000255339124253582	0.824236599894058	1	0.181	0.16	0.021
Dlst	0.000281839133770599	-1.39309384557373	1	0.093	0.18	0.087
Cyth4	0.000288293451825477	-0.629862316006386	1	0.507	0.62	0.113
Invs	0.000300032559689042	1.95619030910425	1	0.159	0.05	0.109
Man1a2	0.000369360779248757	1.05346592427632	1	0.378	0.21	0.168
Ptprj	0.000435231967077404	0.844882704457932	1	0.811	0.67	0.141
Larp1	0.000454579401517874	1.65939121250303	1	0.233	0.11	0.123
Rps18	0.000462148449376245	-2.0808797599223	1	0.026	0.11	0.084
Ptprm	0.000491610357120537	0.744689638439235	1	0.567	0.4	0.167
Reep3	0.000553051844307723	-1.10482891837703	1	0.148	0.24	0.092
Nptn	0.000678612698636258	-0.703077652110665	1	0.2	0.34	0.14
Ankhd1	0.000753153262493929	-1.18544779651368	1	0.267	0.46	0.193
Dpp8	0.000870889049513427	1.45488817381679	1	0.237	0.11	0.127
Ank	0.000906354322813037	-1.45542183077464	1	0.093	0.23	0.137
Srsf5	0.000944778914629986	-0.898042378219037	1	0.259	0.44	0.181
Tpp2	0.000948765019705934	-1.3017705514743	1	0.156	0.31	0.154
Usp4	0.000950170756689504	2.37691268517776	1	0.159	0.03	0.129
Mplkip	0.00103185845966805	-3.58359899540831	1	0.015	0.1	0.085
Mrtfa	0.00115243604409588	0.764670078730235	1	0.289	0.24	0.049
Cp	0.00121191720821644	-1.19066171791154	1	0.044	0.15	0.106
Naa20	0.00124874525913129	-1.58925651497474	1	0.044	0.11	0.066
