gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atp8a1	3.96443645502586e-06	-0.985176655288583	0.0710347724011534	0.503	0.778	0.275
Acap2	5.97627284789696e-06	1.49601388059612	0.107082856888618	0.569	0.27	0.299
Slc24a3	6.09869029084033e-06	2.04274405967324	0.109276332631277	0.293	0.048	0.245
Gpcpd1	2.50898388413709e-05	-2.775387009787	0.449559732359684	0.042	0.254	0.212
Ambra1	2.8119858402098e-05	1.63507964330214	0.503851622848791	0.461	0.222	0.239
N4bp2l1	4.93045672684764e-05	6.95316855079239	0.88343923631656	0.162	0	0.162
Clec7a	5.01846359618023e-05	-2.46537864215354	0.899208307163573	0.066	0.19	0.124
Prune2	5.10148593874e-05	-2.5920218757047	0.914084250503432	0.072	0.254	0.182
Vgll4	5.65902920806117e-05	0.996507656146451	1	0.275	0.206	0.069
Ptpro	0.000113236835351637	4.38400688534713	1	0.222	0.016	0.206
Ptk2b	0.000154429605913331	2.01010934872011	1	0.383	0.175	0.208
Arhgef12	0.000155862927365781	-1.88193597214732	1	0.078	0.333	0.255
Tasor	0.000162100894680309	-1.16474541112486	1	0.305	0.429	0.124
Nos1ap	0.00020827505888539	3.75750671982672	1	0.168	0.016	0.152
Plcl2	0.000224397040588699	0.851967816464752	1	0.653	0.54	0.113
Man1a	0.000236113539447857	2.37039730913055	1	0.389	0.127	0.262
Snta1	0.000248841426656389	3.78055250165078	1	0.15	0.016	0.134
Vps50	0.000282175457569037	-3.23119841540123	1	0.024	0.19	0.166
Man1a2	0.000313102982320879	1.43988624979806	1	0.407	0.175	0.232
Rab10	0.000340776554166173	1.53821263566848	1	0.377	0.175	0.202
Ptpre	0.000445208382517961	3.22264585887937	1	0.198	0.032	0.166
Fmnl1	0.000451224123254686	6.07462496914846	1	0.108	0	0.108
Tapbp	0.000692722440331915	6.39561041185286	1	0.132	0	0.132
Ogdh	0.000703483139949568	-1.67238280397273	1	0.108	0.302	0.194
Tmem199	0.00070928490622864	-4.81971982442229	1	0.006	0.111	0.105
Nup160	0.000709284906228664	-4.65070689187726	1	0.006	0.111	0.105
Rbm27	0.000714168404184549	-2.33824957711818	1	0.048	0.143	0.095
Gpbp1l1	0.000744108161629658	-1.92826336433232	1	0.078	0.222	0.144
Ap1g1	0.000842763341278406	1.08223590884857	1	0.257	0.175	0.082
Galk2	0.000844523615202042	3.31367015529512	1	0.198	0.016	0.182
Arid1b	0.000847856316313316	0.741608495273648	1	0.527	0.444	0.083
Invs	0.000863755108224679	3.68353250895265	1	0.15	0.016	0.134
Lrba	0.000921179689724164	2.01850554927609	1	0.269	0.095	0.174
Dctn2	0.000945846302877803	-2.06873124414295	1	0.036	0.143	0.107
Rtn1	0.000951675645483043	6.42531450056536	1	0.114	0	0.114
Slc4a7	0.00102452233108316	1.16054718913694	1	0.24	0.175	0.065
Nrd1	0.00106875984221483	-1.40401054638361	1	0.084	0.254	0.17
Map2k5	0.00107417980350863	-0.876909403401349	1	0.222	0.349	0.127
Atxn7	0.00111137095241596	1.77718425934916	1	0.311	0.095	0.216
Cdin1	0.00111416619696447	-2.25024853333041	1	0.054	0.238	0.184
Cox4i1	0.00126762170961288	-3.30294066526828	1	0.018	0.175	0.157
Fgf13	0.00127413218007382	-0.954259409819795	1	0.473	0.635	0.162
Pid1	0.00131094163988135	1.22553636185765	1	0.479	0.19	0.289
Rps18	0.00131483519878684	-1.71356792185747	1	0.036	0.143	0.107
Gng2	0.00136114327233065	1.71559278305347	1	0.365	0.143	0.222
Caprin1	0.001362403965209	2.08481395193108	1	0.234	0.079	0.155
Naa20	0.00136323791495273	-1.57678030156789	1	0.054	0.127	0.073
Ank	0.00138200039584117	-1.34789311137289	1	0.132	0.302	0.17
Myl6	0.00149236827467706	-2.87498733870249	1	0.018	0.143	0.125
Stx4a	0.00155112827117084	-2.22489307710575	1	0.024	0.127	0.103
Dlst	0.00156347532154816	-1.95078639470921	1	0.078	0.222	0.144
Tbl1xr1	0.00156814971654297	1.40781749826624	1	0.413	0.238	0.175
Iars2	0.0017129092105974	-2.30248799748803	1	0.036	0.143	0.107
Atm	0.00182581040686698	-0.52961061709783	1	0.072	0.143	0.071
Pkp4	0.00183839463130278	-2.2650053182254	1	0.054	0.254	0.2
Ube2h	0.00195424153311987	0.667151229072786	1	0.413	0.381	0.032
Larp1	0.00200097266427214	1.73267564020258	1	0.311	0.143	0.168
Acrbp	0.00230728138033314	-2.36948000223228	1	0.03	0.127	0.097
Stxbp5	0.00243991768296466	2.43551221123154	1	0.204	0.032	0.172
Ptchd1	0.00245596305929815	-1.17298984095128	1	0.048	0.143	0.095
Riok1	0.00253528926106336	-2.66330632264579	1	0.024	0.159	0.135
Ankhd1	0.00258514721921692	-0.991364115306183	1	0.329	0.524	0.195
Ap3b1	0.00279639733003589	0.179299944283561	1	0.365	0.429	0.064
Prkg1	0.00281555402333696	-1.66521800991772	1	0.084	0.159	0.075
Tsc22d2	0.0030161201889183	1.58981035920633	1	0.329	0.159	0.17
Cyth4	0.00310577707077038	-0.836997969024722	1	0.479	0.651	0.172
Stat3	0.00320858905922507	1.12500214696515	1	0.192	0.127	0.065
Pum1	0.00324753323560382	1.01045084734837	1	0.341	0.254	0.087
Appl2	0.00326179717196541	-1.0412701558039	1	0.114	0.222	0.108
Usp4	0.00336882331030263	2.30913748086982	1	0.18	0.032	0.148
Rnf138	0.00338967825343575	-2.49846187599523	1	0.03	0.159	0.129
Zfp869	0.00340380748313525	-1.92409062820174	1	0.042	0.19	0.148
Cab39	0.00341310989078828	0.630527861886695	1	0.257	0.238	0.019
Trafd1	0.00350822058183475	4.10041300984753	1	0.15	0.016	0.134
St13	0.00353576181086359	2.04756257832569	1	0.162	0.048	0.114
Tubgcp4	0.00364345045269798	6.14747853225771	1	0.108	0	0.108
Reep3	0.00365173440449179	-1.50149964407461	1	0.114	0.254	0.14
Nav1	0.00370669594179316	-2.05951731285722	1	0.018	0.143	0.125
Pacs1	0.00385153735109453	1.49818049347555	1	0.353	0.175	0.178
Rap2a	0.00397864199237047	-1.73431272551123	1	0.024	0.111	0.087
Pcyt1a	0.00397864199237051	-2.62343388814318	1	0.024	0.111	0.087
Fbxl17	0.00401620965801934	-0.37197983444938	1	0.575	0.778	0.203
Ust	0.00405670589438999	6.09463304612723	1	0.102	0	0.102
Cep85l	0.0041372509205124	-1.58956870944021	1	0.06	0.159	0.099
Rmdn1	0.00421974283427256	2.77189930921694	1	0.168	0.032	0.136
Fgd4	0.00427819278620471	2.11270859688136	1	0.24	0.095	0.145
Rasal2	0.00429633798707853	-1.84691102160216	1	0.072	0.206	0.134
Plgrkt	0.0043034862972525	-0.708467543354227	1	0.138	0.286	0.148
Gpatch2	0.00435781110666234	2.39210876532965	1	0.174	0.048	0.126
Itgb1	0.00438966757979189	1.4644510219571	1	0.234	0.127	0.107
Arhgef18	0.00439870071856092	-1.31998410984761	1	0.042	0.127	0.085
Usp10	0.00461021291619702	-2.39060396536452	1	0.03	0.175	0.145
Map3k5	0.00461671363945962	1.50270725213365	1	0.365	0.159	0.206
M6pr	0.00464236011865545	-3.30411200564402	1	0.012	0.127	0.115
Cp	0.00470748992634925	-1.06532700806203	1	0.048	0.159	0.111
Smarca2	0.00477512158265429	-1.16920388006133	1	0.299	0.492	0.193
Ino80d	0.00479473392651104	1.58855830233579	1	0.246	0.127	0.119
Rnf38	0.00483472151658909	1.34398991091766	1	0.323	0.127	0.196
Abr	0.00492575640783541	-0.525652450920319	1	0.251	0.381	0.13
Camsap1	0.00493946478710436	2.16141668651642	1	0.222	0.048	0.174
Ly6e	0.004984986526252	-0.970446907797278	1	0.114	0.302	0.188
Herpud2	0.00501951256914631	2.67576328145419	1	0.15	0.032	0.118
Cryl1	0.00532775153444622	1.72489241451861	1	0.216	0.111	0.105
Zfp704	0.00549986828181417	-1.07960747602486	1	0.072	0.159	0.087
Srrm2	0.00557865457248848	1.04388827364046	1	0.479	0.302	0.177
Tgfbrap1	0.00559873259374523	-1.18638609432663	1	0.048	0.19	0.142
Auh	0.00566523884526845	-2.10300971070322	1	0.042	0.159	0.117
Uspl1	0.00574520887250207	-2.16068846732126	1	0.03	0.111	0.081
Tmem131l	0.00578342114938298	2.53494810356216	1	0.24	0.063	0.177
Zfp638	0.00608579647382863	-0.905603583436629	1	0.21	0.413	0.203
Nedd4l	0.00612302196373382	-0.794562914629853	1	0.072	0.143	0.071
Gm4951	0.00614115591674049	3.94167670069649	1	0.156	0.016	0.14
Rsf1	0.00616282315293728	1.09219929686732	1	0.299	0.206	0.093
Pdzd8	0.00617986117414178	3.55750088438458	1	0.162	0.016	0.146
Hpcal1	0.00630845266553906	-0.339857464712369	1	0.102	0.206	0.104
Synrg	0.00663541534368272	1.44061899526009	1	0.204	0.111	0.093
Gpbp1	0.00681192608692758	1.37552545469502	1	0.269	0.127	0.142
Nup98	0.00684390896837507	-1.55271993696105	1	0.102	0.238	0.136
Prag1	0.00695339842936446	-1.80771592351439	1	0.048	0.175	0.127
Kdm7a	0.0071490871402415	2.60797374120516	1	0.246	0.063	0.183
Taok3	0.00715486293491912	-0.297133316550724	1	0.323	0.476	0.153
0610040J01Rik	0.00717937726456478	0.93682089983333	1	0.527	0.333	0.194
Sos1	0.00718820383824318	-2.82005802171303	1	0.018	0.111	0.093
Btbd7	0.00720870556807051	1.47546384869159	1	0.317	0.143	0.174
Eri3	0.00729806064561433	-1.03975156391229	1	0.192	0.365	0.173
Ep300	0.00761843572649407	1.03612489625396	1	0.347	0.222	0.125
Herc2	0.00764625147713623	0.505219428577486	1	0.557	0.556	0.001
Ube2l3	0.00778515173714385	2.4149702750499	1	0.138	0.032	0.106
Fam20c	0.00785731316717957	-1.46484704653778	1	0.042	0.111	0.069
Kdm4b	0.00790510726328296	-1.63441223361305	1	0.036	0.111	0.075
Ubac2	0.00813756227273174	0.353789296033266	1	0.299	0.333	0.034
Bptf	0.00819683913228449	0.768756537901265	1	0.293	0.238	0.055
Frmd4b	0.0082095534594325	-0.504589601401246	1	0.701	0.857	0.156
Wdr70	0.00828081384284021	-2.27804316517912	1	0.054	0.19	0.136
Xrn1	0.00844562560812673	1.4123647755386	1	0.246	0.079	0.167
Elavl1	0.00856361434371589	1.83500964919717	1	0.21	0.079	0.131
Trak1	0.00856744312612009	3.14067114853314	1	0.216	0.032	0.184
Abcg1	0.00862412043492919	-1.68661636689843	1	0.072	0.19	0.118
Atp8a2	0.00868722833065217	0.607340422559814	1	0.611	0.524	0.087
Ktn1	0.00878754553289075	-1.69962468884325	1	0.078	0.238	0.16
St7l	0.00948902238008799	-1.55740430537282	1	0.06	0.159	0.099
Hk2	0.00950984360395939	-0.72948221891449	1	0.281	0.492	0.211
Tsg101	0.00981513747388241	2.60092288721463	1	0.12	0.032	0.088
Ptprj	0.00987272595749196	0.804523850872432	1	0.826	0.667	0.159
Jmjd1c	0.00990976443412591	-0.19662259751621	1	0.617	0.794	0.177
Vamp4	0.00991706521727179	-1.58103847108398	1	0.09	0.206	0.116
Smurf2	0.0101145854562581	0.665565281344247	1	0.437	0.381	0.056
Gpatch2l	0.010156038185739	0.524846770342225	1	0.162	0.159	0.003
Zfp207	0.0101980998134403	0.675447366059901	1	0.192	0.159	0.033
Memo1	0.0102918395122483	0.830347838258351	1	0.269	0.19	0.079
Arih2	0.0103213477558798	0.724043402730662	1	0.257	0.206	0.051
Foxn2	0.0104908786774608	-1.05343277179724	1	0.042	0.111	0.069
Eps15	0.0105035820883295	2.11932272927096	1	0.299	0.079	0.22
Pcmtd1	0.0111329633788418	-0.975688730468475	1	0.246	0.365	0.119
Atxn7l1	0.0111701933502398	0.915977858301309	1	0.389	0.302	0.087
Stk3	0.0112744092865887	-1.35245110750876	1	0.21	0.349	0.139
Sbno2	0.011537687702223	0.366510015533435	1	0.174	0.175	0.001
Magi1	0.0116430797238329	0.821365520233852	1	0.659	0.508	0.151
Pum2	0.0119236582144118	0.607311523003586	1	0.467	0.381	0.086
Sf3b3	0.0119705658328092	0.760131338714958	1	0.138	0.111	0.027
Smad1	0.0119840373986791	0.277567753868874	1	0.168	0.19	0.022
Ahcyl2	0.0120070718633419	2.33929917429483	1	0.12	0.016	0.104
St3gal5	0.0123374967639753	1.5083121566056	1	0.287	0.143	0.144
Cdc27	0.0126679995722081	-1.95172456015298	1	0.03	0.111	0.081
Hapstr1	0.0128278010766582	-1.62196628100949	1	0.072	0.206	0.134
Brox	0.0131949816059	-1.05435637201106	1	0.066	0.175	0.109
Kansl1	0.0134126749209608	-0.207763598907963	1	0.683	0.825	0.142
Rnf180	0.013556217664983	0.911132872339119	1	0.449	0.333	0.116
Ctps2	0.0136229878170693	2.87986177538497	1	0.162	0.032	0.13
Ubc	0.0136759609118376	-1.37925942347687	1	0.066	0.175	0.109
Ppp2r5a	0.0137548914031662	-2.77669800962628	1	0.042	0.159	0.117
Marchf3	0.0138183835638068	-0.92191385348848	1	0.204	0.27	0.066
Tjp1	0.013940426283507	-1.49523471279644	1	0.108	0.286	0.178
Arrdc1	0.0140405983482219	-2.39293301443133	1	0.03	0.143	0.113
Ppp4r3a	0.0140568576658399	-1.05955833176642	1	0.12	0.27	0.15
Klhl5	0.0141020689670087	-1.12750957974873	1	0.102	0.254	0.152
Was	0.0141437615824244	-2.01525393030158	1	0.042	0.127	0.085
Kdm6a	0.01422901715419	-0.792480299613084	1	0.228	0.317	0.089
Trio	0.0144440469428358	2.81031818612358	1	0.156	0.032	0.124
Fndc3a	0.014535681325355	1.47191731684926	1	0.293	0.159	0.134
Prpf4b	0.0146728341332264	-1.34694489611579	1	0.084	0.222	0.138
Ppm1a	0.0149689691638229	-3.19316523710398	1	0.012	0.111	0.099
Lair1	0.015027746182736	-0.299518347785546	1	0.629	0.794	0.165
Ccnd3	0.0150600601458637	-0.792927609175482	1	0.491	0.508	0.017
Trappc9	0.0152268059907295	0.591154028914087	1	0.222	0.222	0
Sec24a	0.015264440945659	-2.27300290563463	1	0.042	0.143	0.101
Fggy	0.0153303065302513	-1.85113777700433	1	0.054	0.159	0.105
Acvr1	0.0155003087671721	1.49585069667644	1	0.287	0.127	0.16
Vps35	0.0157004310835037	-1.83122649661081	1	0.042	0.143	0.101
Ctnnbip1	0.0157395386301716	-2.22331723096457	1	0.024	0.111	0.087
