gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Grm3	3.55621449902361e-06	-9.27703968649056	0.063720251393505	0	0.263	0.263
Ccnd3	5.88369605247978e-06	-1.44075890980109	0.105424065868333	0.551	0.526	0.025
Prrc2c	9.44773850380341e-06	-1.03738944755026	0.16928457851115	0.222	0.158	0.064
Ppp3ca	1.10586683232948e-05	-1.34615342948593	0.198149219016796	0.601	0.842	0.241
Ppp1r12a	1.74177448119174e-05	-1.57196711615672	0.312091151539937	0.348	0.474	0.126
Fam193a	2.11030200530279e-05	-1.54019035125045	0.378123913310154	0.241	0.263	0.022
Il1rapl1	2.57111226449437e-05	-9.23450655958206	0.460691895552101	0	0.211	0.211
Crebrf	2.93718946664711e-05	-1.60521559138959	0.526285608633829	0.196	0.211	0.015
Dhx9	3.84030630576186e-05	0.477812391693855	0.68810608386641	0.316	0.053	0.263
Tut7	9.07906766082298e-05	-2.30948015502861	1	0.158	0.421	0.263
Fam13b	0.000110364186640519	-0.109639209345519	1	0.304	0.105	0.199
Pias1	0.00016636382403438	1.14675524221929	1	0.475	0.105	0.37
Pum2	0.00016727943356465	1.45508623350155	1	0.386	0.053	0.333
Snd1	0.000176404033274514	6.34321546339284	1	0.361	0	0.361
Cyth4	0.00020520794935098	-1.29589310772714	1	0.589	0.842	0.253
Wdr26	0.000220028459712774	6.22262024363478	1	0.342	0	0.342
Camk2d	0.000227749612310767	0.358789033454455	1	0.652	0.263	0.389
Pds5a	0.00024477175527291	-1.58759345182095	1	0.272	0.579	0.307
Ppp1r9a	0.000261092705680932	-1.74994870824768	1	0.354	0.526	0.172
Arid5b	0.000261565124466021	6.58499040470974	1	0.348	0	0.348
Zfp91	0.000266269221097891	-2.39188111289245	1	0.114	0.368	0.254
Atp6v0a1	0.000292845077760416	5.98894872101205	1	0.342	0	0.342
Sf3b1	0.000329546823541619	6.08151526272438	1	0.335	0	0.335
Sall3	0.000331662349390113	-0.749455255182699	1	0.152	0.053	0.099
Mctp1	0.00034032426112878	1.1468514405471	1	0.538	0.105	0.433
Exoc4	0.000363645048725506	0.170964677437359	1	0.709	0.368	0.341
Kdm3b	0.000371225272694003	0.42339798583922	1	0.291	0.053	0.238
Fbxw11	0.000373410084908635	6.10101633725955	1	0.335	0	0.335
Mllt10	0.000378141966618184	-1.35996935469022	1	0.367	0.526	0.159
Etv6	0.00040596997432748	-0.303830201461742	1	0.741	0.474	0.267
Usp34	0.00042653363078721	0.937099998726159	1	0.31	0.053	0.257
Pcdh9	0.000448775301197181	-2.80190890974555	1	0.196	0.526	0.33
Stard9	0.000449298760838981	0.32332963540964	1	0.506	0.158	0.348
Mbnl1	0.00045848141924375	-0.895518159287852	1	0.911	0.947	0.0359999999999999
Cyrib	0.00048624402876906	-0.2290171482329	1	0.835	0.526	0.309
Abca1	0.000495755931898224	0.720169520882351	1	0.589	0.211	0.378
St3gal5	0.000514538329704681	6.0338379404053	1	0.304	0	0.304
Kdm2a	0.00054542171864857	-0.101779861589057	1	0.43	0.211	0.219
ENSMUSG00000095041	0.000610639906142777	0.122903587181084	1	0.633	0.316	0.317
Asxl1	0.000627269697497506	6.0286751579473	1	0.297	0	0.297
Ppp2r5c	0.000627269697497517	5.73938893379694	1	0.297	0	0.297
Ehmt1	0.000664463572841701	0.492562611637739	1	0.228	0.053	0.175
Usp8	0.000709251507602331	5.84177063418379	1	0.291	0	0.291
Stau1	0.000752366691376955	-1.22387500026121	1	0.228	0.263	0.035
