gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atxn7	2.80285466796976e-08	3.5413547727647	0.000502215499406821	0.375	0.049	0.326
Prune2	5.10964400861267e-06	-3.68700359185533	0.0915546013463218	0.027	0.198	0.171
Ptchd1	1.44682253524079e-05	-6.941464797489	0.259241661864445	0	0.123	0.123
Abr	1.55418856487693e-05	-1.84950325625439	0.278479507054649	0.089	0.309	0.22
Rps18	2.39926250954081e-05	-6.54389422140547	0.429899856459522	0	0.111	0.111
Stx4a	2.89667184656792e-05	-6.84396173754501	0.519025661468039	0	0.123	0.123
Pcyt1a	3.5033292938083e-05	-7.15630323308892	0.627726542864571	0	0.136	0.136
Atp8a1	4.92561679087304e-05	-1.0223793332187	0.882572016588631	0.384	0.654	0.27
Nup98	8.28728527528452e-05	-2.78835465472207	1	0.036	0.222	0.186
Cdkl3	0.000108681423603818	-7.09036789069165	1	0	0.123	0.123
Kdm5d	0.000108681423603818	-7.08395629344131	1	0	0.123	0.123
Ankhd1	0.000115486626841821	-1.46765745666414	1	0.25	0.543	0.293
Acap2	0.000142414271705309	1.19570294379382	1	0.562	0.358	0.204
Arhgef12	0.000150868302991206	-1.51959774770747	1	0.089	0.309	0.22
Man1a	0.00022144234043317	1.74036316204169	1	0.375	0.185	0.19
Arhgef18	0.00028300833536379	-1.97473859465698	1	0.018	0.16	0.142
Vamp4	0.000309999466105255	-3.05897696162362	1	0.027	0.173	0.146
Slc24a3	0.0003198551184703	1.45781790225956	1	0.348	0.136	0.212
Gpbp1l1	0.000365118214027396	-2.64904781663591	1	0.054	0.247	0.193
Cp	0.000382695539819272	-1.08373110340373	1	0.027	0.148	0.121
Reep3	0.000384049707284088	-2.55630411461043	1	0.054	0.235	0.181
Hapstr1	0.000384621542047042	-2.68513190303524	1	0.036	0.21	0.174
Dlst	0.000443807082393511	-2.74140410590273	1	0.045	0.185	0.14
Brwd1	0.000444421623624139	-2.54510693192713	1	0.027	0.198	0.171
Nrd1	0.000485438371992208	-2.01019444606978	1	0.045	0.21	0.165
Ambra1	0.00049146968107321	1.25146414468041	1	0.491	0.284	0.207
Pkp4	0.000576637512815952	-1.81745960904442	1	0.054	0.21	0.156
Ubac2	0.000599224408888405	0.311808499996022	1	0.304	0.383	0.079
Hk2	0.000600954508038725	-0.543181372628402	1	0.223	0.432	0.209
Btbd7	0.000610069327815171	1.82747024936034	1	0.348	0.148	0.2
