gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Cadm1	5.00033006485546e-11	1.25278006053832	8.95959141020802e-07	0.613	0.293	0.32
Cacna1d	7.19482213883128e-10	2.55942388178037	1.28916823083579e-05	0.326	0.093	0.233
Cers6	1.83319487212144e-09	7.45988455261861	3.2847185718672e-05	0.122	0	0.122
Axl	3.19838293062974e-09	3.77141823804994	5.73086253510236e-05	0.148	0.014	0.134
Marchf3	3.97408571789944e-09	4.51804395904945	7.12076678933222e-05	0.222	0.021	0.201
Akt3	4.49145428781501e-09	1.06722577940424	8.04778779290693e-05	0.296	0.107	0.189
Acaca	9.89564954885495e-09	3.90579891344827	0.000177310248616383	0.183	0.014	0.169
Abr	1.69744634696219e-08	1.65831048717736	0.000304148436448684	0.287	0.1	0.187
Serpine2	3.11728976062378e-08	4.33501459415191	0.000558555979308568	0.183	0.014	0.169
Rai14	5.26053342237698e-08	7.40568022353784	0.000942582378621507	0.109	0	0.109
Prune2	8.32785299483005e-08	7.46672694932179	0.00149218469961365	0.122	0	0.122
Fgr	1.1685957395404e-07	4.66321114426575	0.00209388984610848	0.157	0.007	0.15
Chst11	1.26027656930066e-07	2.29470069541028	0.00225816355687293	0.3	0.057	0.243
Fmn1	1.42050526659681e-07	1.83966978627571	0.00254526133668817	0.191	0.043	0.148
Tmem131l	1.47210754610376e-07	3.75341208987841	0.00263772230110872	0.191	0.021	0.17
Ptk2b	3.3833833459063e-07	2.36368758375883	0.00606234627919491	0.326	0.086	0.24
Slc43a2	5.08252388664914e-07	6.73766463434053	0.00910686630009793	0.1	0	0.1
Tbc1d8	6.26506926229712e-07	2.74852167226246	0.011225751104184	0.27	0.071	0.199
Nav2	7.81030605541571e-07	-0.510598837866974	0.0139945063900939	0.883	0.871	0.012
Oxct1	8.86576304212338e-07	2.12934609633126	0.0158856742188767	0.209	0.071	0.138
