gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Cacna1d	4.97328018429109e-09	2.66124165762668	8.91112343421278e-05	0.323	0.087	0.236
Gpcpd1	5.14839716810703e-09	-3.55904595784575	9.22489804581417e-05	0.042	0.34	0.298
Cers6	1.67969241476781e-08	7.20230967277018	0.000300967286878095	0.132	0	0.132
Akt3	3.47506837911941e-08	0.875848219323394	0.000622662752170615	0.281	0.107	0.174
Cadm1	4.40351047672902e-08	1.23914719177495	0.000789021007220306	0.593	0.32	0.273
Fmn1	4.83433252459689e-08	2.55530591622441	0.000866215701757271	0.21	0.029	0.181
Tmem131l	4.986528822253e-08	4.52812181669146	0.000893486234371293	0.24	0.019	0.221
Axl	5.10252524731886e-08	3.99984644175373	0.000914270473814593	0.144	0.01	0.134
Acaca	6.82017330077583e-08	4.15684760536165	0.00122203865203301	0.174	0.01	0.164
Prkca	1.86479120930967e-07	-0.98203375339062	0.00334133288884106	0.287	0.592	0.305
Ptk2b	3.4121533273705e-07	2.48492402330828	0.00611389633198246	0.383	0.097	0.286
Myo5a	3.71858452868486e-07	2.3128571181062	0.00666295975849754	0.156	0.029	0.127
Timp2	4.0811093853257e-07	5.23384097839333	0.00731253179662658	0.186	0.01	0.176
Ptpro	5.90551456025768e-07	4.7951674219565	0.0105815009890697	0.222	0.01	0.212
Ptpre	7.75949521896441e-07	7.71593506323515	0.0139034635333404	0.198	0	0.198
Rai14	8.15907859888628e-07	7.11424174289241	0.0146194370334844	0.12	0	0.12
Tbc1d8	1.15170254730143e-06	3.07319280730293	0.0206362062425471	0.251	0.058	0.193
Celf2	1.49808906725601e-06	1.0566470319562	0.0268427599070933	0.641	0.272	0.369
Agmo	1.78382082256967e-06	-1.12376421401149	0.0319625014988033	0.449	0.699	0.25
Ubn2	1.81168341368313e-06	0.810031632318723	0.0324617434063744	0.473	0.214	0.259
Arid1b	1.97011012671724e-06	1.68386562317507	0.0353004332505196	0.527	0.262	0.265
Slc43a2	2.23528698513664e-06	6.5135151372539	0.0400518721996783	0.114	0	0.114
Clk1	2.26136059532718e-06	1.07967462505848	0.0405190591470725	0.305	0.107	0.198
Abr	2.4935305909572e-06	1.36337987179101	0.0446790811287711	0.251	0.117	0.134
Fgr	2.79738382896995e-06	4.42524137626182	0.0501235234474835	0.162	0.01	0.152
Siglech	4.34438173895968e-06	-0.887979447205084	0.0778426319986796	0.575	0.777	0.202
Magi2	4.37184165854525e-06	-2.12239936633238	0.0783346588378137	0.06	0.32	0.26
Scmh1	4.39828923478545e-06	1.51218798167744	0.0788085465088856	0.281	0.087	0.194
Serpine2	4.68637703061787e-06	3.87993375515294	0.083970503634611	0.168	0.019	0.149
Rasa1	5.67258471866797e-06	2.07730062880651	0.101641372989093	0.341	0.097	0.244
Otud4	6.44812896093449e-06	1.8818542061054	0.115537574722024	0.168	0.029	0.139
Marchf3	7.79527170322208e-06	3.76064294270471	0.139675678378333	0.204	0.029	0.175
Tnks	1.02839877211995e-05	1.52856973777185	0.184268491988453	0.281	0.078	0.203
Eif4a1	1.12759994704018e-05	3.84326612891828	0.202043358510659	0.132	0.01	0.122
Mon2	1.21840094189305e-05	1.26153034199283	0.218313080768397	0.204	0.068	0.136
Phf12	1.26773368885871e-05	2.33169140802631	0.227152522369704	0.228	0.039	0.189
Csf2ra	1.29193033740886e-05	3.28146206653334	0.23148807785692	0.18	0.029	0.151
Osbpl8	1.53108784449501e-05	1.1957994467712	0.274340319976615	0.311	0.155	0.156
Lyst	1.53605773151861e-05	2.09416181430032	0.275230824333505	0.359	0.087	0.272
Fbxw11	1.96963025337804e-05	1.45926160760078	0.352918348800278	0.395	0.184	0.211
P2ry12	2.14725326048378e-05	-0.763818927571045	0.384744839213484	0.683	0.796	0.113
Galk2	2.17742119858906e-05	3.63638862383003	0.390150330363187	0.198	0.019	0.179
Dlgap4	2.36183065792895e-05	2.51138269579068	0.423192817287709	0.108	0.01	0.098
Slc16a7	2.61603219764247e-05	2.55228905710288	0.468740649173578	0.132	0.029	0.103
Plekha1	2.75646952991572e-05	0.89618153817495	0.493904210370299	0.174	0.068	0.106
Fgd4	2.83797930541504e-05	1.56116428933111	0.508509131944268	0.24	0.068	0.172
Trak1	3.06725793047684e-05	1.53730287194488	0.549591275982841	0.216	0.068	0.148
Hif1a	3.23481149140919e-05	2.11359160608169	0.579613523030699	0.198	0.058	0.14
Oxct1	3.28620380100991e-05	1.7813026637952	0.588821997064956	0.21	0.097	0.113
Lrp1	3.51475971757234e-05	1.88757402605479	0.629774646194612	0.341	0.117	0.224
Mef2a	3.63177050769512e-05	-0.547553700434491	0.650740639568812	0.928	0.961	0.0329999999999999
Zfp148	4.03862352034607e-05	0.141511595452026	0.723640562375609	0.353	0.223	0.13
Camsap1	4.43217151082036e-05	3.26793841381217	0.794156491308792	0.222	0.029	0.193
Csnk1g3	4.5753859533635e-05	1.37349628185861	0.819817655123672	0.18	0.049	0.131
Cmip	4.80907073494043e-05	1.09183459412996	0.861689294286626	0.521	0.252	0.269
Copa	5.93496673014377e-05	1.91941201350725	1	0.144	0.019	0.125
Nav2	5.96510134337912e-05	-0.339157165697494	1	0.868	0.874	0.00600000000000001
Ptprm	5.96782802081718e-05	-0.592640014654838	1	0.503	0.67	0.167
Ctsb	6.54029624304557e-05	1.72983266227334	1	0.365	0.126	0.239
R3hdm2	6.75428712024674e-05	3.38519754115219	1	0.246	0.029	0.217
Uhrf2	7.02562798154343e-05	1.80882038664401	1	0.192	0.058	0.134
Bank1	7.15543385451513e-05	-1.28725917631068	1	0.222	0.456	0.234
Morf4l1	7.58132922775392e-05	2.23340936532004	1	0.24	0.068	0.172
Arih2	7.68538214729826e-05	2.36558851068391	1	0.257	0.049	0.208
Atp6v0b	8.74367572326175e-05	2.22212528036583	1	0.263	0.068	0.195
Gls	8.86748448353098e-05	1.54893686409357	1	0.21	0.097	0.113
Ppfia4	9.30871413743381e-05	4.44162138074214	1	0.168	0.01	0.158
Soat1	9.41076321262175e-05	3.36215844079949	1	0.156	0.019	0.137
Lin9	9.78194674812753e-05	3.87022627603852	1	0.102	0.01	0.092
Gsap	0.000104153287707633	1.05297632292166	1	0.443	0.223	0.22
Smad2	0.00011051460918031	2.30451085968198	1	0.192	0.039	0.153
Mbp	0.000117342132223976	-2.2515375869681	1	0.042	0.175	0.133
Chst11	0.000119093150896949	2.079766052859	1	0.257	0.058	0.199
Naa15	0.000120520733114852	1.88008636674486	1	0.216	0.049	0.167
Slf2	0.000121662804880165	2.4327739583825	1	0.281	0.078	0.203
Rock2	0.000122210328899126	-0.430744589593944	1	0.479	0.553	0.0740000000000001
P2rx4	0.000125728730000481	2.06021136215428	1	0.234	0.058	0.176
Arid5b	0.00012685611846789	1.15087299814589	1	0.323	0.204	0.119
Dnajb14	0.000137303179307195	3.23116034233369	1	0.126	0.019	0.107
Zadh2	0.000138652774550005	-2.21436541323992	1	0.042	0.136	0.094
Apoe	0.000138801797495284	0.774426349458538	1	0.395	0.214	0.181
Cd83	0.000147372302491888	2.40029911810216	1	0.126	0.019	0.107
Supt5	0.000149219937069137	3.79145056421747	1	0.108	0.01	0.098
Tardbp	0.000160507354452532	1.60547990340896	1	0.204	0.068	0.136
Nkain2	0.000169965100240555	-2.61765175658536	1	0.03	0.194	0.164
