gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Serpini1	1.42851593347834e-10	-5.70472130842876	2.55961484960648e-06	0.008	0.41	0.402
Mast4	5.76179412254944e-08	1.09730701221487	0.00103239827087841	0.954	0.916	0.0379999999999999
Galnt17	2.01797587437207e-07	5.96030952084968	0.00361580917169988	0.362	0.012	0.35
Psd3	8.09479037111807e-07	1.24660304704513	0.0145042453869693	0.754	0.482	0.272
Per2	5.24594447351517e-06	-5.03484647913464	0.0939968330764447	0.008	0.181	0.173
Atosa	1.66817627479801e-05	-1.66556264520642	0.298903824918307	0.131	0.301	0.17
Plxdc1	0.000114649732889905	1.81302075923552	1	0.438	0.217	0.221
Trpc3	0.000217863856155203	0.81008790292152	1	0.815	0.602	0.213
Ano4	0.000331859108191376	-1.27623658046666	1	0.285	0.53	0.245
Plcb4	0.00040106070147525	-1.30802311354659	1	0.215	0.349	0.134
Golga4	0.000480853468753916	-4.24146869498977	1	0.008	0.12	0.112
Itm2b	0.000490706983003049	-1.01327952044023	1	0.231	0.349	0.118
Atxn1	0.000568054890985883	-0.826575994618991	1	0.162	0.386	0.224
Lin7a	0.000627998805222371	-1.65799079255604	1	0.254	0.518	0.264
Tef	0.000671243426647291	-1.92742482311068	1	0.115	0.277	0.162
Actn4	0.000715675771195566	-1.56854507603108	1	0.146	0.349	0.203
Dlc1	0.000744890265791973	0.569396333503384	1	1	0.988	0.012
Baz1b	0.000875350269476023	-1.96805130291758	1	0.069	0.241	0.172
Stag2	0.000884531800351912	-1.01236491494797	1	0.231	0.361	0.13
Dock9	0.000999615933580658	1.20342381463118	1	0.154	0.12	0.034
Kctd1	0.00102189991728654	-2.4311319315901	1	0.062	0.229	0.167
Ubr5	0.00108452510139799	-2.46618951984265	1	0.038	0.229	0.191
Maco1	0.00116600450219435	-3.15907936851963	1	0.008	0.108	0.1
Nckap5	0.00126558250589206	3.47871696724696	1	0.123	0.012	0.111
Rnf152	0.00136867850147729	-1.36222512579031	1	0.115	0.337	0.222
Ndst3	0.00139393832126518	-1.86697174876989	1	0.123	0.41	0.287
Kank2	0.00140464415909565	1.53276229341289	1	0.323	0.181	0.142
Ncoa7	0.00143438825885971	-7.49582402144852	1	0	0.12	0.12
Septin4	0.00148226007423517	1.02917882666569	1	0.508	0.325	0.183
Lrch1	0.00191701819518354	-1.70159136440337	1	0.1	0.337	0.237
Setd5	0.00193248783028742	0.655724588091334	1	0.4	0.289	0.111
Cert1	0.00197440996960845	-1.46327832787029	1	0.108	0.145	0.037
Cask	0.00217674818751629	0.678291485941451	1	0.192	0.217	0.025
Tnrc18	0.0024218176109395	2.43460500288115	1	0.177	0.048	0.129
Snd1	0.00250403168447294	-0.918935560347325	1	0.162	0.217	0.055
Ube2g1	0.00253007732357431	-3.47488803654284	1	0.015	0.145	0.13
D5Ertd579e	0.00263292453366233	-1.81031670433387	1	0.085	0.181	0.096
Serinc3	0.0031812252065918	-1.53339897215415	1	0.123	0.301	0.178
Rsrp1	0.00325410733281353	-1.92054141891566	1	0.062	0.193	0.131
Ptprk	0.00325472320587785	0.511192529736341	1	0.9	0.795	0.105
Lama2	0.00333595474620277	0.967236326454811	1	0.8	0.651	0.149
Rbms1	0.00346313158792056	0.741675061032208	1	0.746	0.59	0.156
Ablim1	0.00356235239867768	-1.65862879752559	1	0.077	0.169	0.092
Tinagl1	0.00357361895932835	-1.4325005244312	1	0.031	0.12	0.089
Khdrbs1	0.00371718445583647	-3.0400480471911	1	0.023	0.181	0.158
Pde4d	0.00390523035533786	0.907516410375954	1	0.854	0.639	0.215
Mthfd1l	0.00433453256983896	-7.85186533545869	1	0	0.12	0.12
Pakap	0.00433453256983903	-7.6617277625827	1	0	0.12	0.12
Actn1	0.00438906862341197	-5.16122979725668	1	0.008	0.145	0.137
Brd1	0.00449500104952091	-3.54272001937329	1	0.015	0.169	0.154
Daam1	0.00453130154583749	1.02604503640207	1	0.562	0.337	0.225
Cysltr2	0.00454455501553465	1.89556094516533	1	0.315	0.096	0.219
Scaf4	0.00485383655262321	-3.12880772712178	1	0.015	0.12	0.105
Ntrk3	0.00488112104822313	-2.41894726209649	1	0.015	0.145	0.13
Stk38l	0.00501925983148374	-2.70598650817359	1	0.023	0.133	0.11
B3galt1	0.00527791895210095	0.991760852856176	1	0.238	0.06	0.178
Dym	0.00546060042582143	-2.54361113794442	1	0.031	0.157	0.126
Gpcpd1	0.00608181063174034	0.819654195990968	1	0.623	0.41	0.213
Cbl	0.00634586553751371	-2.26005553596484	1	0.023	0.169	0.146
Notch3	0.00683661506630495	0.599879675492192	1	0.808	0.747	0.0610000000000001
Arap2	0.00704412932108347	1.43305741177688	1	0.377	0.145	0.232
Mrtfb	0.00725704448664842	-3.64409840831841	1	0.015	0.181	0.166
Mical3	0.00729224880418894	-2.42153300029735	1	0.023	0.145	0.122
Ywhaq	0.00736907201753505	1.57014035159625	1	0.192	0.072	0.12
Cbx5	0.00755810769856042	-1.12173838623351	1	0.2	0.337	0.137
Zzef1	0.00756553233711785	0.822824841844737	1	0.108	0.108	0
Kmt5b	0.00812295918241611	1.13915132754098	1	0.269	0.133	0.136
Phkb	0.00832335417250546	1.53644903770841	1	0.269	0.145	0.124
Actg1	0.00850910897458301	-2.72017513800207	1	0.023	0.145	0.122
Dennd2b	0.00879878830916497	0.48623160136276	1	0.569	0.602	0.033
Ppp4r2	0.00886578712892197	-1.03966165272381	1	0.023	0.12	0.097
