gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ptpn9	1.43973733303216e-06	1.41533104666278	0.0257972135332702	0.424	0.216	0.208
Tbl1x	3.64307336488878e-05	-0.914804471399634	0.652765885520771	0.286	0.404	0.118
Nup153	4.17150899328695e-05	-2.67637846379512	0.747450981417155	0.031	0.113	0.082
Ubr5	6.26124002788258e-05	1.60035572562568	1	0.269	0.113	0.156
Med13	7.57897049244541e-05	-1.2652934243652	1	0.138	0.272	0.134
Fbxl20	8.19886275150499e-05	1.31301834241978	1	0.114	0.038	0.076
Abl1	0.000232538378074283	0.557482752787609	1	0.186	0.089	0.097
Zbtb38	0.000431680552158571	0.791484192588695	1	0.183	0.094	0.089
Prr5l	0.000454076577537087	2.00901097023913	1	0.121	0.033	0.088
Rc3h2	0.000474023875065398	-2.15178379161823	1	0.041	0.122	0.081
Akap10	0.000705017134208749	0.795801999709013	1	0.207	0.103	0.104
Zfp638	0.000774473282043721	1.23980678386087	1	0.266	0.122	0.144
Col18a1	0.000864851257279127	1.93637747093256	1	0.117	0.033	0.084
Btbd3	0.000893812687345004	1.15401795619346	1	0.245	0.108	0.137
Aff4	0.000934080181847625	-0.776842951304939	1	0.179	0.254	0.075
Septin7	0.000990774671326037	-0.446689682755129	1	0.548	0.634	0.086
Epb41	0.00111747396706852	0.809819510134745	1	0.134	0.056	0.078
Ccdc191	0.00123365614293663	-2.43314121561335	1	0.034	0.122	0.088
Pag1	0.00125053844255577	-1.11017861916177	1	0.055	0.108	0.053
Fxr1	0.00134379487806421	1.49774788632678	1	0.138	0.052	0.086
Dock9	0.00139326912682418	0.181306493584052	1	0.231	0.141	0.09
Fbxw11	0.00150457784816708	1.06931634149702	1	0.2	0.108	0.092
Ldlrad4	0.00153345461557442	0.549063859630369	1	0.31	0.197	0.113
Zfp207	0.00156058099257009	-0.704066907490714	1	0.086	0.103	0.017
Bclaf1	0.00159246095161446	-0.988058244773567	1	0.162	0.254	0.092
Taok1	0.00160519191878161	-1.04685609443407	1	0.11	0.188	0.078
Trpc3	0.0017038763949784	-0.258988230110073	1	0.638	0.732	0.094
Fam117b	0.00172631721469928	-0.501785562933992	1	0.155	0.155	0
Atp2c1	0.00202771680819853	-0.860451116940917	1	0.086	0.15	0.064
Zeb2	0.0020946632475018	-0.440698465945883	1	0.403	0.549	0.146
Eif4a2	0.00248662946392946	-0.234634788332195	1	0.148	0.131	0.017
Tmcc1	0.00251688864879336	-0.503067169746527	1	0.276	0.343	0.067
Anapc1	0.00254109919991133	1.65412158309468	1	0.145	0.061	0.084
Rere	0.00255296664179747	0.487887935285833	1	0.61	0.474	0.136
Sema6d	0.00270257216544148	-1.99706686621651	1	0.045	0.127	0.082
Plcb4	0.00270840621608882	0.222488933772139	1	0.379	0.268	0.111
Chd1	0.00271593566894987	0.347114686001648	1	0.114	0.07	0.044
Srek1	0.00284683452539964	1.00745778105767	1	0.19	0.094	0.096
Atosa	0.00288493948983393	0.693204856896639	1	0.314	0.197	0.117
Insr	0.00298484309146413	1.02680353069415	1	0.362	0.202	0.16
Inpp5a	0.00322836106944486	0.795587115604932	1	0.279	0.192	0.087
Trps1	0.00344945327172352	-0.780867633868509	1	0.345	0.507	0.162
Map3k20	0.00366261647648782	0.319407031309098	1	0.593	0.498	0.095
Sesn1	0.00373944952497067	0.897998895331574	1	0.21	0.122	0.088
Ehmt1	0.00384115545602774	-1.01144010430398	1	0.121	0.23	0.109
Aopep	0.00396520774794812	0.661885953817432	1	0.469	0.324	0.145
Ptpra	0.0040022684742772	-1.60286348424278	1	0.045	0.103	0.058
Tmem45a	0.00409515699280351	-0.542853279217753	1	0.11	0.202	0.092
Smarca2	0.0041435307626707	1.22353666204553	1	0.1	0.038	0.062
Srcap	0.00426161361019145	1.16897422166374	1	0.145	0.07	0.075
Cnot10	0.00426319601674022	1.54483550744757	1	0.114	0.042	0.072
Prr14	0.00438143930242764	0.902172047265267	1	0.117	0.052	0.065
Cacna1c	0.00450321988798372	0.268787990442108	1	0.903	0.92	0.017
Cop1	0.00451607261252298	-0.997109507346601	1	0.117	0.15	0.033
Ythdc1	0.00492354222844761	-1.07883521406192	1	0.141	0.23	0.089
Rasa1	0.00497768284159243	-1.51178651173059	1	0.069	0.136	0.067
Coro2b	0.00504007165512729	-1.40482517511126	1	0.055	0.136	0.081
Septin8	0.00506805393629324	-0.499122487216629	1	0.107	0.113	0.00600000000000001
Gucy1b1	0.0056595317157225	-0.506148868811858	1	0.428	0.582	0.154
Zfp407	0.00568010383913733	1.18953012535213	1	0.21	0.103	0.107
Adcy5	0.00606195830157551	1.39482102417796	1	0.131	0.056	0.075
Uqcc1	0.00619530167102856	1.68466783249796	1	0.117	0.033	0.084
Tacc1	0.00622586030086585	-0.268440093427387	1	0.369	0.357	0.012
Mkln1	0.00631213218674962	0.363853932908038	1	0.366	0.263	0.103
Lrp1	0.00643067718889089	-0.824266108529663	1	0.114	0.178	0.064
Phlpp1	0.00654288956099773	0.694007379681364	1	0.469	0.362	0.107
Nt5c2	0.00660156242938625	0.344551621501908	1	0.176	0.108	0.068
Setd2	0.00676090897308583	-0.617599060970869	1	0.117	0.117	0
Phf3	0.00687213242626243	-0.87328925918779	1	0.114	0.146	0.032
Dst	0.00692784019083748	0.436310785665619	1	0.362	0.277	0.085
Slc24a3	0.00697744188112569	-0.989632604698352	1	0.166	0.23	0.064
Ptgis	0.00700487385696777	-0.200224951619099	1	0.117	0.07	0.047
Crebbp	0.00712487090210059	-0.381974440474762	1	0.393	0.432	0.039
Lats2	0.00743332122951307	0.675705480268598	1	0.183	0.117	0.066
Asxl1	0.00744308858217497	0.625630860434928	1	0.176	0.113	0.063
Ppp1r12b	0.00803061800707566	0.401305484151163	1	0.324	0.216	0.108
Tdrd3	0.0081664665701059	0.192717918554265	1	0.131	0.094	0.037
Hdac9	0.00827796218290087	-0.274116352498737	1	0.141	0.108	0.033
Gpc3	0.00839421316056149	-0.568525450677609	1	0.255	0.315	0.06
Csnk1g1	0.0084897817093677	1.06203226993386	1	0.248	0.131	0.117
Map2k5	0.0086597038233218	-0.818960653512327	1	0.097	0.122	0.025
Dock10	0.00877200346933161	0.597065891422844	1	0.41	0.291	0.119
Stxbp3	0.0092822797775433	0.653907278720622	1	0.107	0.056	0.051
Pakap	0.00931304069998646	1.25656410595818	1	0.11	0.047	0.063
