gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ubr5	4.07300522639974e-10	3.31464491222515	7.29801076466305e-06	0.313	0.038	0.275
Pakap	3.57938052712769e-09	7.75172996516122	6.41353402850739e-05	0.123	0	0.123
Zeb2	7.70822217545489e-07	-1.0293938243839	0.0138115924939801	0.301	0.562	0.261
Epb41	9.79667187230637e-07	1.8462503440628	0.0175536766607986	0.172	0.023	0.149
Btbd3	2.13390858255357e-06	1.73118312855359	0.0382353739821949	0.276	0.062	0.214
Aopep	3.76364846442998e-06	1.38302314585742	0.0674370531856564	0.552	0.269	0.283
Ntrk3	3.78630126838751e-06	2.74905342247234	0.0678429461269674	0.178	0.015	0.163
Ptpn9	5.26240858827861e-06	1.45846576108727	0.0942918370847761	0.466	0.215	0.251
Ppp1r12b	5.3884944251969e-06	0.786279188134475	0.0965510431106781	0.411	0.169	0.242
Actn1	7.54902437110237e-06	5.25537488320191	0.135263418681412	0.135	0.008	0.127
Arhgef7	7.86388654697229e-06	2.76446222798191	0.140905119148649	0.16	0.023	0.137
Slit3	8.34464091769441e-06	4.97727386249032	0.149519275963248	0.135	0.008	0.127
Chd6	8.70562933303213e-06	1.38903619898221	0.15598746638927	0.387	0.138	0.249
Cnot10	9.89995164327355e-06	3.2088691627885	0.177387333544175	0.172	0.023	0.149
Rapgef4	1.51112581206977e-05	0.834027037931273	0.270763523006662	0.282	0.138	0.144
Sil1	1.69210950991752e-05	3.7024070676628	0.303192181987022	0.153	0.015	0.138
Zbtb38	1.97628354662881e-05	2.06145436162746	0.35411048588495	0.233	0.062	0.171
Kdm4c	2.01471184138194e-05	0.235049440607979	0.360996067738816	0.153	0.069	0.084
Serpini1	2.11054023904567e-05	3.61649167066278	0.378166600032203	0.117	0.008	0.109
Sesn1	3.37286509512018e-05	1.55191337844652	0.604349967743633	0.282	0.1	0.182
Lcor	3.76708036723818e-05	1.7394109542612	0.674985460201737	0.16	0.046	0.114
Ncor1	4.29382189490494e-05	0.264892245861807	0.769367007129067	0.368	0.231	0.137
Nt5c2	5.07233474241657e-05	1.23016392504272	0.908860939146202	0.184	0.062	0.122
Erc1	5.8793038414044e-05	3.80846399124537	1	0.104	0.008	0.096
Son	7.42923689457937e-05	-0.108437819246128	1	0.736	0.685	0.0509999999999999
Mical3	7.84339692396375e-05	3.27883286994414	1	0.178	0.023	0.155
Fam110b	8.23215453688006e-05	1.7550006333513	1	0.196	0.054	0.142
Tbl1x	0.000103664216961972	-0.684333053933992	1	0.38	0.431	0.051
Uqcc1	0.000110959613471321	4.54528478010079	1	0.135	0.008	0.127
Khdrbs1	0.000117978942753157	1.98637588200384	1	0.129	0.023	0.106
Rabgap1	0.000127042496079955	1.21105688904842	1	0.221	0.1	0.121
Col4a2	0.000130311577050574	1.14582879587779	1	0.319	0.115	0.204
Ppm1l	0.000132938718480627	4.53428186322706	1	0.104	0.008	0.096
Trpc3	0.0001339780224682	-0.416585927176453	1	0.656	0.815	0.159
Ldlrad4	0.000134704434345172	1.07836851781032	1	0.313	0.138	0.175
Smg1	0.000140647045025216	-0.28383073593936	1	0.196	0.131	0.065
Pik3r1	0.000141259536341043	-0.960329472785251	1	0.35	0.423	0.073
Ralgapa1	0.000159613138675226	0.891808422882593	1	0.497	0.246	0.251
Atp2a2	0.000162992846656072	1.49093281321114	1	0.19	0.054	0.136
Arap2	0.000199257903242182	-1.33286747207301	1	0.196	0.377	0.181
Spag9	0.000237253852353455	1.2562654129541	1	0.184	0.077	0.107
Dst	0.000257936142208202	0.241444832522338	1	0.374	0.262	0.112
Fbxl20	0.000275724717828087	1.71888811509908	1	0.123	0.031	0.092
Dcaf1	0.000282377826448948	3.75266673255482	1	0.129	0.008	0.121
Ahctf1	0.000284148808158251	2.19724101246945	1	0.11	0.023	0.087
Cd200	0.000293884500416686	0.763609389469755	1	0.117	0.038	0.079
Fbxo42	0.000304340700871017	1.8989273342871	1	0.117	0.023	0.094
Trps1	0.000306811895368376	-0.99927029313982	1	0.331	0.538	0.207
Ralgapb	0.000340829586214203	0.303556988386745	1	0.11	0.054	0.056
Enox2	0.000369520832726018	-0.549128018267322	1	0.196	0.185	0.011
Fancc	0.00044097047251502	3.96756064060988	1	0.117	0.008	0.109
Msi2	0.00046323025210635	-0.409687764107674	1	0.485	0.5	0.015
Atosa	0.000479104643235213	1.52642700045028	1	0.301	0.131	0.17
Dlc1	0.000481272969065185	-0.23890153481565	1	0.994	1	0.00600000000000001
Asxl1	0.000512888018839869	1.04096816630349	1	0.178	0.077	0.101
Mapk1	0.000517730822604163	1.87578844461211	1	0.104	0.023	0.081
Srcap	0.000524359216278036	1.58106346095797	1	0.202	0.077	0.125
Insr	0.000525763627784721	1.0826854206342	1	0.417	0.2	0.217
Tmcc1	0.000534629771043575	-0.724468764476163	1	0.239	0.269	0.03
Actn4	0.000548341616750039	1.43282615061824	1	0.337	0.146	0.191
Cnot2	0.000614609031772128	0.511388501821481	1	0.166	0.085	0.081
Brd1	0.000654946386357745	2.74101373589932	1	0.104	0.015	0.089
Sp4	0.000659590805682439	2.04888642469252	1	0.104	0.023	0.081
Msrb3	0.000670296242208957	1.05199999344644	1	0.356	0.231	0.125
Arl15	0.000677574054074666	1.45125514017517	1	0.227	0.092	0.135
Wdfy3	0.000686900464652293	0.117422546930454	1	0.282	0.185	0.097
Bltp1	0.000738704234342197	-0.653919725737843	1	0.123	0.138	0.015
Ralgapa2	0.000786721486336102	1.90037260360964	1	0.209	0.054	0.155
Sparcl1	0.000803774182283292	-0.500381698515583	1	0.35	0.485	0.135
Eps15	0.000840422120290258	-1.23651342468075	1	0.104	0.169	0.065
Galnt1	0.000848986322620558	-1.64559581464312	1	0.067	0.146	0.079
Lats2	0.000884288908560109	0.430763214796809	1	0.209	0.123	0.086
Lrch1	0.000922166897404668	1.75022490201508	1	0.288	0.1	0.188
Ift43	0.00100722355586331	1.46741688493268	1	0.11	0.031	0.079
Usp15	0.00101022748485411	1.37984241885805	1	0.104	0.031	0.073
Rsbn1l	0.00105821067712873	-0.594523566790034	1	0.166	0.192	0.026
Map2k5	0.00107304872006565	-0.185791558026285	1	0.129	0.092	0.037
Arhgef11	0.00109497901437059	-0.847072601673305	1	0.129	0.162	0.033
Vti1a	0.00111682886468459	0.710523584072094	1	0.307	0.146	0.161
Ddx50	0.00111742281676852	1.31676642488907	1	0.184	0.062	0.122
Limd1	0.00113483867609679	-0.473300018692649	1	0.448	0.415	0.033
Runx1t1	0.00115315417431081	1.3280497208015	1	0.245	0.092	0.153
Slain2	0.00119477843265485	1.63581418095441	1	0.147	0.038	0.109
Slc24a3	0.00123238372819699	-1.26549190878393	1	0.19	0.292	0.102
Setd2	0.00124087324494905	-0.522243526448511	1	0.135	0.1	0.035
Raf1	0.00126104172782231	1.81489769812613	1	0.141	0.038	0.103
Arhgap6	0.00126856293437823	-0.283102277530196	1	0.834	0.769	0.0649999999999999
Grb10	0.00128993241164538	1.60313746635152	1	0.356	0.138	0.218
Plxdc1	0.0012939739868321	-0.681022544884092	1	0.325	0.438	0.113
Terf1	0.00134695721258074	1.66555735410563	1	0.19	0.062	0.128
Tbc1d12	0.00135726463233048	2.12002666021301	1	0.104	0.015	0.089
Rasal2	0.00139177132348231	0.380549152369152	1	0.485	0.354	0.131
