gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Fth1	2.07507571253324e-322	0.679446326624657	3.71812066171705e-318	0.451	0.242	0.209
Rps29	1.15692601718678e-210	0.875857884910072	2.07298003759528e-206	0.15	0.068	0.082
Rps21	2.50677190603244e-193	0.851601563904393	4.49163390122893e-189	0.218	0.105	0.113
Rpl26	8.9592940866342e-180	1.09136400304463	1.60532631444312e-175	0.163	0.066	0.097
Cox4i1	3.54230787432746e-178	0.157443615748256	6.34710724921994e-174	0.199	0.142	0.057
Rplp1	4.21588911895918e-178	0.914194079243483	7.55403012335106e-174	0.19	0.087	0.103
Rpl13a	1.18886940026971e-177	0.707546678691806	2.13021619140327e-173	0.187	0.1	0.087
Rpl13	6.05567875256633e-175	0.789214087760191	1.08505651888483e-170	0.281	0.149	0.132
Rpl37	1.66589531651442e-168	1.11387167069348	2.98495122813053e-164	0.198	0.084	0.114
Rps8	2.13695864046621e-165	0.856098001969429	3.82900249198735e-161	0.42	0.24	0.18
Tpt1	2.54916100516934e-164	0.386482157601449	4.56758668906242e-160	0.142	0.086	0.056
Rpl38	3.96173888905123e-164	0.599961473014374	7.09864374140199e-160	0.186	0.104	0.082
Fau	2.03393205703021e-163	0.8646841775393	3.64439945978672e-159	0.193	0.092	0.101
Snhg11	7.96980873052136e-160	0.194661330549656	1.42803032833482e-155	1	1	0
Rpl35a	1.19942048837284e-156	1.00610905632209	2.14912163106646e-152	0.212	0.099	0.113
Rpsa	1.73016118958463e-154	0.482772469331616	3.10010281949774e-150	0.135	0.08	0.055
Egr1	1.43577075636066e-153	0.851107320533455	2.57261404124702e-149	0.292	0.155	0.137
Rps19	5.19191445900204e-153	1.08598501826682	9.30287232763985e-149	0.16	0.068	0.092
Rpl17	5.77613499124135e-152	0.96282954497464	1.03496786773063e-147	0.304	0.156	0.148
Rpl34	3.16735329776902e-151	0.794070846511487	5.67526363894253e-147	0.177	0.087	0.09
Rpl19	1.21432705802243e-149	0.568656139802159	2.17583122256459e-145	0.185	0.106	0.079
Rps20	1.88059389885189e-149	0.610530239471956	3.36964814796281e-145	0.151	0.081	0.07
Rps16	2.26234958136365e-147	1.12244490903283	4.05367797988738e-143	0.215	0.096	0.119
Cox8a	2.36310450581369e-147	0.217609405728971	4.23421065351696e-143	0.272	0.194	0.078
Rpl37a	2.52367246410492e-144	0.649100996535939	4.5219163211832e-140	0.189	0.103	0.086
Mid1	4.11141097419059e-142	-0.771494267159144	7.36682618355469e-138	0.211	0.266	0.055
Rps24	2.80948590994093e-141	0.847656415739681	5.03403685343216e-137	0.236	0.124	0.112
ENSMUSG00000095041	1.4254667871742e-138	-0.208241758924164	2.55415138925874e-134	0.915	0.903	0.012
Arntl	2.83646895101008e-137	0.406875504005301	5.08238506641987e-133	0.456	0.311	0.145
Akap8	1.4879428528866e-136	0.157589244826311	2.6660960038022e-132	0.38	0.28	0.1
Glp2r	2.10742783211323e-135	-0.349946791961541	3.77608918958049e-131	0.5	0.483	0.017
Ctnna3	3.39415481158498e-134	-0.543027558731059	6.08164659139796e-130	0.64	0.686	0.046
Rps10	5.24532400809865e-134	0.577182957654763	9.39857155771116e-130	0.12	0.067	0.053
Rpl32	4.39408903221899e-133	0.843424716304311	7.87332872792999e-129	0.174	0.087	0.087
Gapdh	8.0787705719886e-133	-0.312408493665824	1.44755411108892e-128	0.178	0.169	0.00899999999999998
Zfp532	2.27567110900291e-132	0.270195757948773	4.07754749311141e-128	0.557	0.418	0.139
Agrn	5.40239363465654e-132	0.237809158533595	9.68000891457759e-128	0.414	0.298	0.116
Kmt5b	1.51539053172383e-131	0.14507418907817	2.71527675474276e-127	0.43	0.325	0.105
Celf5	3.81755262506858e-131	0.174542729404646	6.84029079359788e-127	0.493	0.376	0.117
Smarcc2	1.16729882955822e-130	0.131455882338658	2.09156604280242e-126	0.404	0.305	0.099
Trrap	1.89957054735341e-130	0.118645219692418	3.40365050674784e-126	0.393	0.296	0.097
Mt3	4.25218903181888e-130	0.221419139441742	7.61907230721306e-126	0.148	0.108	0.04
Safb	7.67905263298684e-130	0.225856505381508	1.37593265077858e-125	0.309	0.215	0.094
Lrp1	1.3315414829596e-129	0.331122405109537	2.38585602916701e-125	0.394	0.275	0.119
