gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Clock	0	0.249420204759783	0	0.689	0.441	0.248
Scg5	0	0.271453842381702	0	0.754	0.509	0.245
Srcin1	0	0.240876951176653	0	0.745	0.503	0.242
Arntl	0	0.488856217474851	0	0.538	0.297	0.241
Gfod1	0	0.367663866001355	0	0.692	0.451	0.241
Hdac4	0	0.292285677724007	0	0.673	0.435	0.238
Unc13a	0	0.252008462293369	0	0.65	0.413	0.237
Prnp	0	0.638268962811661	0	0.521	0.285	0.236
Hnrnph1	0	0.372649984103676	0	0.552	0.317	0.235
Zfp532	0	0.237440210901472	0	0.621	0.388	0.233
Hnrnpa2b1	0	0.316141447066345	0	0.57	0.338	0.232
Kcnb1	0	0.305438044670994	0	0.719	0.488	0.231
Nvl	0	0.266915270133132	0	0.617	0.386	0.231
Ewsr1	0	0.180630628441944	0	0.688	0.457	0.231
Hnrnpm	0	0.242069267639667	0	0.585	0.357	0.228
Zfp445	0	0.154932772499498	0	0.703	0.475	0.228
Atp1a3	0	0.190497573760592	0	0.727	0.501	0.226
Rab6b	0	0.161652921162303	0	0.691	0.467	0.224
Sel1l3	0	0.291718201853324	0	0.655	0.432	0.223
Ktn1	0	0.170251843081627	0	0.772	0.549	0.223
Bach2	0	0.313633554300863	0	0.602	0.38	0.222
Camk2b	0	0.183522987160214	0	0.729	0.507	0.222
Fbxl5	0	0.197143110856286	0	0.615	0.394	0.221
Senp6	0	0.108354836365445	0	0.701	0.48	0.221
Soga3	0	0.135604311865193	0	0.699	0.478	0.221
Paxbp1	0	0.200010333171162	0	0.562	0.342	0.22
Slc12a5	0	0.216585046778898	0	0.63	0.41	0.22
Myo18a	0	0.170124740158479	0	0.633	0.414	0.219
Phf3	0	0.136058243958505	0	0.652	0.433	0.219
Sfswap	0	0.143502169636183	0	0.645	0.426	0.219
D5Ertd579e	0	0.165346774038836	0	0.615	0.396	0.219
Rmdn1	0	0.167143125642571	0	0.62	0.401	0.219
Cacng2	0	0.39891812363809	0	0.541	0.324	0.217
Dync1h1	0	0.153364713953502	0	0.664	0.447	0.217
Micu3	0	0.12603098500257	0	0.661	0.444	0.217
U2surp	0	0.133255289465894	0	0.672	0.455	0.217
Zfp292	0	0.129978353939435	0	0.675	0.459	0.216
Dlgap3	0	0.20506444500437	0	0.706	0.49	0.216
Ttll11	0	0.131523321957588	0	0.743	0.527	0.216
Zc3h13	0	0.190741466847785	0	0.6	0.384	0.216
Eml4	0	0.152173428564663	0	0.658	0.443	0.215
Fbxl20	0	0.129959094138716	0	0.683	0.468	0.215
Acin1	0	0.149311340282204	0	0.614	0.399	0.215
