gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Prnp	0	1.15282146213277	0	0.57	0.307	0.263
Mid1	7.58601707666687e-214	0.518681207242983	1.35926253979717e-209	0.361	0.234	0.127
Slc24a5	1.3068524313636e-192	-0.570985027819012	2.3416181865173e-188	0.282	0.321	0.039
Zbtb16	1.19249319970878e-187	0.315068669346482	2.13670931523818e-183	0.571	0.439	0.132
Pde4a	1.30261825510019e-183	0.365077460010866	2.33403138948851e-179	0.534	0.403	0.131
Uty	6.33413962884621e-182	0.706980508308603	1.13495113869666e-177	0.412	0.206	0.206
Unc5c	2.31662268933826e-169	-0.490008878273196	4.1509245347563e-165	0.76	0.813	0.0529999999999999
Ube3a	4.2816761704528e-166	-0.316506214820836	7.67190736221732e-162	0.92	0.925	0.005
Fth1	5.66109474799226e-166	-0.262409556039418	1.01435495694525e-161	0.383	0.365	0.018
Ddx3y	2.64879280803701e-162	0.607172767237028	4.74610695344071e-158	0.181	0.089	0.092
Sfswap	2.65542332947335e-154	0.167607234725209	4.75798752175036e-150	0.611	0.504	0.107
Dop1b	5.26762508441131e-154	0.187547615756848	9.43853062624818e-150	0.529	0.425	0.104
Rabl6	2.13120039168615e-153	0.184160046060585	3.81868486182325e-149	0.542	0.439	0.103
Tet3	3.85360875361641e-151	0.251706420507151	6.90489616472988e-147	0.561	0.448	0.113
Rai1	1.02662082687379e-150	0.184135873704015	1.83949919759245e-146	0.518	0.419	0.099
Calm1	6.89087302110576e-148	-0.244158849314351	1.23470662792173e-143	0.659	0.643	0.016
Pnn	2.83769578151079e-146	-0.196588650649567	5.08458330131104e-142	0.588	0.566	0.022
Mgll	5.51879184226126e-145	0.215739628892458	9.88857122296372e-141	0.5	0.394	0.106
Ptbp2	8.70353010562547e-145	-0.13287588651853	1.55949852432597e-140	0.695	0.659	0.0359999999999999
Eif2s3y	2.16169882510128e-144	0.569003880235919	3.87333195481648e-140	0.315	0.167	0.148
Serinc1	4.44974740845075e-144	-0.196931422137443	7.97305740646205e-140	0.435	0.419	0.016
Map6	3.86374289366715e-143	0.177191690276773	6.9230545168728e-139	0.582	0.481	0.101
Phc2	5.10578209431386e-143	0.166013798696302	9.14854035659157e-139	0.546	0.443	0.103
Cabp1	8.68217826462009e-143	0.275844258349447	1.55567270145463e-138	0.602	0.49	0.112
Kdm5d	4.09099695084403e-141	0.61181371879954	7.33024833652233e-137	0.183	0.091	0.092
Kcnip3	2.25228486650103e-140	0.282048990409363	4.03564402379655e-136	0.575	0.46	0.115
Usp33	2.6551223825821e-140	0.146461339338031	4.75744828511061e-136	0.541	0.443	0.098
Lrpprc	6.76878449409328e-139	0.192285806965648	1.21283080565163e-134	0.487	0.389	0.098
Pkd1	1.3291279021126e-138	0.153979612562291	2.38153137500535e-134	0.703	0.597	0.106
Grik5	2.63064298961988e-138	0.22262294526034	4.71358610880091e-134	0.626	0.512	0.114
Osbpl3	8.31907046631013e-138	0.266121394697108	1.49061104615345e-133	0.563	0.45	0.113
Vps8	1.22132154982612e-137	0.127263720499755	2.18836395297844e-133	0.541	0.447	0.094
Mapk14	6.08174816111593e-137	0.120648541226275	1.08972763550875e-132	0.634	0.535	0.099
Polb	7.33482880848662e-137	0.135592860963694	1.31425462590463e-132	0.661	0.56	0.101
Shank1	8.46174674864473e-137	0.131127256713136	1.51617578242216e-132	0.705	0.605	0.1
Sv2a	9.38441626186326e-137	0.103370310147346	1.68149970580066e-132	0.475	0.394	0.081
Sel1l3	1.24564705128388e-136	0.189883333476688	2.23195038649045e-132	0.627	0.519	0.108
Scg5	2.2415915790829e-136	0.115728675619151	4.01648379140074e-132	0.713	0.614	0.099
Rps6kc1	3.69153006400157e-135	0.169017743585595	6.61448356867801e-131	0.505	0.411	0.094
Asap2	4.88645476183396e-135	0.222992683917216	8.75554964225408e-131	0.531	0.428	0.103
Chd8	5.66687469911761e-135	0.141929941883244	1.01539060858789e-130	0.538	0.441	0.097
Kcnb1	6.16279045012787e-135	0.105464949089894	1.10424879285391e-130	0.669	0.573	0.0960000000000001
Pcnx2	9.53947142303149e-135	0.128083234613406	1.70928248957878e-130	0.638	0.54	0.098
Madd	1.5469526565641e-134	0.146769654135255	2.77182977003156e-130	0.571	0.475	0.096
Mat2a	1.79180646455823e-134	0.134920558201516	3.21055882319543e-130	0.487	0.397	0.09
Senp5	1.82739005159669e-134	0.12930422612952	3.27431749445095e-130	0.526	0.433	0.093
Pde2a	2.26043925406171e-134	0.188540956582828	4.05025505542778e-130	0.523	0.425	0.098
Rapgef1	2.85924603533389e-134	0.195205561280172	5.12319704611127e-130	0.5	0.402	0.098
Bin1	3.61036587295089e-134	0.144659497867982	6.46905357115341e-130	0.604	0.507	0.097
Sanbr	5.73214363462183e-134	0.133305928176633	1.02708549645154e-129	0.556	0.459	0.097
Clec16a	7.64992340351627e-134	0.130260093116525	1.37071327544204e-129	0.571	0.476	0.095
Svop	1.81725914391903e-133	0.108265209911574	3.25616493407413e-129	0.619	0.523	0.096
Slc25a27	4.46285790989718e-133	0.241513716229191	7.99654880295377e-129	0.483	0.382	0.101
Hacd3	7.97689670642841e-133	0.18523496101546	1.42930035185784e-128	0.492	0.396	0.096
Slc23a2	1.02046269141834e-132	0.120885673761987	1.82846505048338e-128	0.654	0.553	0.101
Ptpn5	1.43533426548095e-132	0.105262767824255	2.57183193688877e-128	0.556	0.465	0.091
Bod1l	2.0070789801259e-132	0.152425104778265	3.5962841165896e-128	0.482	0.392	0.09
Hectd1	2.17129495576292e-132	0.107032359109037	3.89052630173599e-128	0.48	0.398	0.082
Myo18a	1.66574991884805e-131	0.122498631271447	2.98469070459193e-127	0.594	0.499	0.095
Sik2	2.40027966795475e-131	0.284317528173177	4.30082110904133e-127	0.571	0.464	0.107
Plekha6	5.96595222295473e-131	0.133658479791174	1.06897931930903e-126	0.666	0.565	0.101
Ptpn12	1.04031099767138e-130	0.137469325749088	1.86402924562758e-126	0.621	0.521	0.1
Sorl1	4.91938671930454e-130	0.170275865591208	8.81455712364987e-126	0.593	0.494	0.099
Aifm3	4.97855208490251e-130	0.225701020634083	8.92056962572831e-126	0.537	0.431	0.106
Catspere2	5.22076365586966e-130	0.192515193746567	9.35456431858726e-126	0.578	0.476	0.102
Pip5k1a	7.70474998406096e-130	0.116919408794509	1.38053710214404e-125	0.593	0.499	0.094
