gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Prnp	0	1.20494060284073	0	0.623	0.359	0.264
Mid1	8.95485868993336e-163	0.84026674246995	1.60453158006226e-158	0.355	0.211	0.144
Sik2	2.22104718458052e-130	0.541572246046097	3.97967234533138e-126	0.609	0.485	0.124
Eif2s3y	6.45124983913857e-115	0.325713158992353	1.15593494617685e-110	0.278	0.173	0.105
Homer1	3.35546872711625e-114	0.500056534717054	6.0123288652469e-110	0.852	0.81	0.0419999999999999
Uty	8.85355423125158e-112	0.434836690979738	1.58637984715566e-107	0.337	0.21	0.127
Mical2	3.94539677942849e-109	0.300155840617604	7.06936194937997e-105	0.877	0.808	0.069
Ddx3y	2.11385675128344e-101	0.369566481381354	3.78760852694967e-97	0.15	0.088	0.062
Kdm5d	3.21914154026598e-96	0.416589891911236	5.76805781184859e-92	0.159	0.092	0.067
Sgsm1	1.41597098773288e-95	0.526792631581449	2.53713681581978e-91	0.451	0.346	0.105
Ntrk2	1.0541932828558e-94	0.304517501865118	1.88890352422101e-90	0.971	0.957	0.014
Mast3	2.28836285085896e-94	0.474952964472603	4.10028855616908e-90	0.501	0.403	0.098
Unc5c	2.5120765901745e-93	-0.415976781450983	4.50113883427467e-89	0.75	0.823	0.073
Ptbp2	9.91527058347863e-88	-0.226761698633908	1.7766181831477e-83	0.677	0.689	0.0119999999999999
Spred2	7.08263145640951e-87	0.303042091612341	1.26906590435946e-82	0.735	0.637	0.098
Etv5	3.30898013463808e-85	0.449065712614438	5.9290306052445e-81	0.417	0.308	0.109
Osbpl3	1.80643825914077e-76	0.354948061851196	3.23677607272844e-72	0.59	0.485	0.105
Lrrk2	3.0555888241452e-76	0.445638422037736	5.47500405510337e-72	0.525	0.441	0.084
Galnt9	4.49893830826464e-76	0.409382947397191	8.06119766074859e-72	0.439	0.336	0.103
Zbtb16	5.25550468147648e-76	0.312714371065793	9.41681328826955e-72	0.577	0.474	0.103
Rps8	8.20036311674835e-75	-0.359517295677475	1.46934106325897e-70	0.395	0.42	0.025
