gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Fth1	6.28676303759663e-126	1.47886735089994	1.12646220107656e-121	0.782	0.461	0.321
Kcnab1	1.79243864622428e-27	-1.13161597634658	3.21169156630466e-23	0.187	0.361	0.174
Ftl1	5.24497255735088e-25	2.67532939343212	9.39794182826131e-21	0.108	0.02	0.088
Klf9	9.55479546888695e-21	-1.43962327040473	1.71202825211516e-16	0.075	0.178	0.103
Elmo1	1.26399265987376e-19	-0.424209306961244	2.2648220479618e-15	0.786	0.859	0.073
Tmem132d	5.45798535755657e-19	0.958062919830782	9.77961816366986e-15	0.347	0.204	0.143
Tmod2	8.28878580340502e-19	-0.663651864682125	1.48518464025411e-14	0.422	0.549	0.127
Luc7l2	1.67099988870166e-17	-0.382179469478476	2.99409760057564e-13	0.711	0.797	0.0860000000000001
Oxr1	2.24106783825221e-17	-0.761019273201329	4.01554535258032e-13	0.253	0.386	0.133
Rcan2	6.84286678778899e-17	-0.669025379632204	1.22610487103603e-12	0.3	0.434	0.134
Mat2a	7.8219894176709e-16	-0.668886516850836	1.40154406385827e-11	0.271	0.39	0.119
Fam168a	4.50386426338381e-14	0.679015923465186	8.07002398713112e-10	0.333	0.22	0.113
Mboat2	3.09465431646037e-13	1.17924953801397	5.54500160423369e-09	0.166	0.078	0.088
Gse1	3.97978116408711e-13	0.945466950371236	7.13097188981129e-09	0.229	0.132	0.097
Efr3b	4.77994616127924e-13	1.46552524481708	8.56470753178015e-09	0.132	0.056	0.076
Insr	4.78615786403233e-13	-0.666614345302948	8.57583766077313e-09	0.233	0.327	0.094
Sesn1	1.45412396592755e-12	1.40228488068594	2.60549932214898e-08	0.118	0.047	0.071
Ccser2	1.84452763488089e-12	0.930651972428262	3.30502461617958e-08	0.189	0.115	0.074
Lrrtm3	2.02913543931416e-12	-1.48192489873774	3.63580488016312e-08	0.048	0.128	0.08
Fam219a	4.36847061586745e-12	-1.14436904201783	7.82742564951129e-08	0.061	0.115	0.054
Nr3c1	6.28956768403237e-12	0.517570575397017	1.12696473762492e-07	0.288	0.228	0.06
Map7	8.08382460775951e-12	-0.221103297753191	1.44845969321835e-07	0.917	0.952	0.0349999999999999
Tbc1d5	8.69591183701106e-12	-0.316429620629974	1.55813348295564e-07	0.829	0.876	0.047
Btbd9	1.56970753079158e-11	0.759795886322039	2.81260195367235e-07	0.244	0.152	0.092
Msantd2	1.68676541317787e-11	1.09718623581445	3.02234626733211e-07	0.134	0.071	0.063
