gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Dpp10	3.52450664035944e-33	-6.25621600515034	6.31521099819604e-29	0.001	0.159	0.158
Dlgap1	2.92506051471892e-30	-5.88071942799253	5.24112343027336e-26	0.003	0.127	0.124
Cntnap2	8.03301636262853e-29	-5.97219985438202	1.43935587185578e-24	0.001	0.142	0.141
Lrrtm3	1.00887955737442e-27	-1.82197298619089	1.80771039090349e-23	0.058	0.174	0.116
Ntm	1.9618394490288e-27	-5.37635367354175	3.5152239247698e-23	0.001	0.124	0.123
Nrg1	3.9473840969414e-26	-5.98895199633948	7.0729228248996e-22	0.001	0.12	0.119
Snhg11	1.50036966143409e-25	-4.14193561345474	2.68836235935761e-21	0.005	0.153	0.148
Nalf1	4.18783815744936e-25	-3.80786447600403	7.50376841051776e-21	0.001	0.122	0.121
Kcnd2	2.08153360881138e-22	-3.73390563910954	3.72969192026824e-18	0.012	0.168	0.156
Son	3.84477262575612e-21	0.770388375543377	6.88906359082982e-17	0.657	0.452	0.205
Lrrtm4	5.71436684630854e-19	-4.74614871853448	1.02390025152156e-14	0.001	0.103	0.102
Scd2	2.90941920303319e-18	-0.735234397096435	5.21309732799486e-14	0.458	0.609	0.151
Ap2b1	1.81913710568809e-15	-1.42463787479581	3.25952986597192e-11	0.048	0.115	0.067
Ctnnd2	1.97317126897563e-15	-2.92318064547649	3.53552827975054e-11	0.02	0.143	0.123
Syt1	3.56726880781326e-12	-2.26100695451933	6.39183224983979e-08	0.036	0.188	0.152
Pacrg	8.13786404952825e-12	-0.482020756853086	1.45814248039447e-07	0.49	0.575	0.085
Srsf5	8.12420921383693e-11	-0.721766954081299	1.4556958069353e-06	0.149	0.209	0.06
Nrg3	2.65939888192822e-10	-0.835785259200843	4.76511091663899e-06	0.128	0.262	0.134
Fus	3.93925262797875e-10	-0.905065935754513	7.05835285881232e-06	0.089	0.169	0.08
Fbxw15	6.52140446971297e-10	-0.802128303213559	1.16850525288317e-05	0.104	0.174	0.07
Spred1	9.31988442874178e-10	-0.949312586180063	1.66993689194195e-05	0.086	0.143	0.057
Luc7l2	1.57908498729859e-09	0.368892018934999	2.82940448024162e-05	0.802	0.669	0.133
Tial1	1.9411080932955e-09	-0.927239795987611	3.47807748156688e-05	0.102	0.159	0.057
Nr6a1	2.18172975510971e-09	-0.966534263297628	3.90922337520558e-05	0.079	0.15	0.071
Eif4g3	2.81327785439928e-09	-0.931817691311278	5.04083125951263e-05	0.104	0.174	0.07
Adam22	4.18190582900676e-09	-0.694254592692391	7.49313886441431e-05	0.067	0.123	0.056
Zfhx2	6.73551205682003e-09	-1.00096594489939	0.000120686905034101	0.073	0.128	0.055
Nav3	1.79659870225275e-08	-1.07107862668604	0.000321914555469647	0.063	0.172	0.109
Parg	2.14283037872424e-08	1.00333871770501	0.00038395234725981	0.222	0.132	0.09
Rab11fip4	2.19157892838197e-08	-1.26675121438053	0.000392687112387482	0.071	0.137	0.066
Dgki	2.4720758272611e-08	0.264215482808053	0.000442946546728643	0.762	0.748	0.014
Negr1	2.49994899460436e-08	-1.78274806269392	0.00044794086085321	0.044	0.145	0.101
Rora	3.20451275127915e-08	-1.93280841921547	0.000574184594774198	0.031	0.113	0.082
