gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Syt11	4.72707540941302e-18	0.850097142545201	8.46997371858626e-14	0.357	0.203	0.154
Fat3	1.35351681721009e-16	0.416477343295924	2.42523143307703e-12	0.669	0.507	0.162
Rpl13	6.08792495131573e-16	0.780161744203838	1.09083439277675e-11	0.318	0.18	0.138
Nlgn1	2.50436970460832e-14	-0.194154056868889	4.48732963671718e-10	0.999	1	0.001
Ptprs	2.78977657232026e-14	0.636861818593679	4.99872166228344e-10	0.449	0.309	0.14
Olig1	1.00806065013875e-12	0.580111655874601	1.80624307291861e-08	0.385	0.253	0.132
Arhgef3	4.91243031384942e-12	1.08923645339545	8.80209263635539e-08	0.208	0.109	0.099
Cacna1c	3.87678656384011e-11	0.442747097563315	6.94642616508871e-07	0.57	0.439	0.131
Plcb1	5.28938972263004e-11	-0.272046002659661	9.4775285050085e-07	0.901	0.926	0.025
Arhgap5	5.51113262363237e-11	-0.450547060493065	9.87484743502448e-07	0.174	0.193	0.019
Pdzrn4	7.423651409542e-11	0.474889316052909	1.33016985956174e-06	0.462	0.332	0.13
Rac1	8.09828825629176e-11	1.29916277205355	1.45105128976236e-06	0.121	0.049	0.072
Pacrg	8.27648847827104e-11	-0.812094390343794	1.48298120553661e-06	0.151	0.233	0.082
Lrrn3	9.0006642743478e-11	1.22138534315589	1.61273902467764e-06	0.117	0.047	0.07
Kif26b	1.4163879743711e-10	0.91054256160161	2.53788397247814e-06	0.178	0.09	0.088
Ahcyl1	1.42864626272621e-10	-0.751875528328317	2.55984837355283e-06	0.125	0.183	0.058
Pnpla8	2.24058250662916e-10	-0.713448483650448	4.01467573537813e-06	0.095	0.132	0.037
Nbeal1	2.76200700081919e-10	0.651960299055423	4.94896414406782e-06	0.287	0.178	0.109
Otud7b	4.50956162897622e-10	-0.341392929579455	8.08023252679958e-06	0.278	0.296	0.018
Ptprr	7.26814736638141e-10	0.757009621798814	1.30230664510822e-05	0.249	0.151	0.098
Grik2	7.38172993028406e-10	-0.24806815021457	1.3226583689083e-05	0.893	0.913	0.02
Rbms1	8.32795379293693e-10	1.29063511625577	1.49220276061844e-05	0.111	0.043	0.068
Clcn4	8.56356320633999e-10	1.18743454273603	1.534419255312e-05	0.127	0.06	0.067
Lhfpl3	1.41040343266987e-09	0.151905619928336	2.52716087065788e-05	0.998	0.998	0
Lpcat1	1.46554564665071e-09	1.01548664200449	2.62596468966874e-05	0.153	0.075	0.078
Mgat4a	1.70019784110842e-09	0.626682816620133	3.04641449169807e-05	0.199	0.118	0.081
Afdn	1.80035672174385e-09	0.805593557004328	3.22587917402063e-05	0.216	0.126	0.09
Vapa	1.94968451382446e-09	-0.272223876338177	3.49344471187067e-05	0.226	0.228	0.002
Map3k5	2.56114269844082e-09	0.873236177214739	4.58905548706627e-05	0.172	0.09	0.082
Usp54	2.7809290186764e-09	-0.609878856618321	4.98286861566437e-05	0.142	0.181	0.039
Arhgef12	3.27471428553628e-09	-0.171544557593918	5.8676330568239e-05	0.384	0.366	0.018
Ctnna2	3.85475659995994e-09	-0.188927685365673	6.90695287580823e-05	0.989	0.989	0
Cers4	4.63769974255256e-09	0.837691801785035	8.30983039870567e-05	0.207	0.121	0.086
Ano6	5.17718902061194e-09	0.756808060704593	9.27648728713248e-05	0.21	0.124	0.086
Foxp2	5.97979693104548e-09	0.968825844098754	0.000107146001410473	0.141	0.07	0.071
Tmem161b	8.20441003465939e-09	-0.553968550721389	0.000147006619001027	0.133	0.166	0.033
Gabrb1	1.42379497703278e-08	-0.707435709844547	0.000255115583984734	0.222	0.307	0.085
Mettl15	1.43474170326172e-08	-0.116603115893192	0.000257077018390435	0.194	0.166	0.028
Eif4h	1.51334421855513e-08	-0.149175076770649	0.000271161017080709	0.117	0.113	0.004
Unc13c	1.86456137746375e-08	-0.269518437902502	0.000334092107613954	0.704	0.721	0.017
Efcab14	1.89528018236316e-08	-0.596962212815048	0.00033959630307583	0.082	0.109	0.027
Lrp1b	2.34751339670885e-08	-0.144993120154394	0.000420627450422292	0.997	0.997	0
Tenm2	3.61500704927513e-08	-0.50966864519312	0.000647736963089118	0.377	0.467	0.09
Pcdh9	3.87651062667066e-08	-0.154456285116726	0.000694593174086849	0.999	0.998	0.001
Mgat3	4.00434426079964e-08	1.01917954272055	0.00071749840465008	0.135	0.07	0.065
Fez1	4.50584434585027e-08	-0.839388982938551	0.000807357189889452	0.078	0.122	0.044
Gucy1a2	5.1321141052361e-08	0.375594614937725	0.000919572205376204	0.354	0.257	0.097
Strbp	5.41707721676038e-08	-0.435606819259619	0.000970631895699126	0.38	0.433	0.053
Wwc1	5.74627854359986e-08	-0.630045450445773	0.00102961818944222	0.132	0.174	0.042
U2surp	5.80004417909917e-08	-0.382512322996481	0.00103925191601099	0.222	0.263	0.041
Fstl5	7.13726102033823e-08	0.724504348160391	0.0012788544296242	0.223	0.142	0.081
Cux1	7.85172096415077e-08	-0.30218688256453	0.00140687136235653	0.251	0.267	0.016
Ppp4r3b	8.06750010510762e-08	-0.611860902874817	0.00144553466883318	0.139	0.193	0.054
Psap	8.56298869633595e-08	0.47552504386406	0.00153431631460948	0.247	0.168	0.079
Golga4	1.04140796538709e-07	-0.28893842675953	0.00186599479238059	0.175	0.186	0.011
Cadm2	1.10150849993807e-07	-0.171935733756335	0.00197368293018904	0.996	0.994	0.002
Fars2	1.27010895053138e-07	-0.243793810022077	0.00227578121756212	0.239	0.248	0.00900000000000001
Nxpe4	1.27152735639068e-07	-0.628743232899193	0.00227832271718082	0.124	0.165	0.041
Exoc4	1.30223319115982e-07	-0.245507928417759	0.00233334143192017	0.692	0.71	0.018
Map7d2	1.39521680436596e-07	-0.60437955317505	0.00249994947006293	0.155	0.207	0.052
Rcn2	1.47999524670655e-07	-0.599176076937671	0.00265185548304879	0.077	0.101	0.024
Ryr3	1.48822058071345e-07	0.472192824409823	0.00266659363652237	0.281	0.194	0.087
Wdr7	1.9493708510162e-07	0.136646763601286	0.00349288269085082	0.241	0.196	0.045
Suclg2	1.99214902369953e-07	0.283333723837592	0.00356953262066481	0.162	0.113	0.049
Csmd1	2.12096194429671e-07	-0.134968832355542	0.00380033961179084	0.999	0.999	0
Dcbld1	2.1465505645788e-07	0.705924229417853	0.0038461893016123	0.107	0.058	0.049
Ndufs4	2.17075000397544e-07	-0.343002037056454	0.0038895498571232	0.18	0.206	0.026
Abca1	2.19358991286195e-07	0.271261515331184	0.00393047440586603	0.356	0.27	0.086
Rbfox1	2.33271777675396e-07	-0.219236074473963	0.00417976371238775	0.968	0.975	0.00700000000000001
Sdc3	2.42272705530835e-07	0.528160080101126	0.00434104233770151	0.295	0.203	0.092
Pcmtd1	3.15379422394716e-07	-0.143787439109833	0.00565096849046852	0.308	0.299	0.00900000000000001
Grik4	3.22181335692061e-07	0.194858802058325	0.00577284517293035	0.623	0.521	0.102
Rtn4	3.83978617661971e-07	-0.503988967372687	0.0068801288712672	0.253	0.32	0.067
Actb	4.26245399318029e-07	0.889142875710946	0.00763746506498043	0.143	0.078	0.065
Ap3b1	4.42420787775074e-07	-0.36319711223622	0.00792729567535378	0.253	0.284	0.031
Ptprj	4.76542375873737e-07	-0.241829074600773	0.00853868629090561	0.511	0.518	0.00700000000000001
Vps8	4.81282751079175e-07	-0.331805819609369	0.00862362433383665	0.237	0.25	0.013
Nrxn1	4.94629467302921e-07	-0.130397619517369	0.00886277079513375	0.999	0.998	0.001
Arhgef7	5.06767306561513e-07	0.685147221825278	0.00908025659896919	0.207	0.142	0.065
Apba2	6.03271538729604e-07	-0.291469047654005	0.0108094194309571	0.328	0.352	0.024
Tpr	6.45736156925895e-07	-0.284476594421268	0.0115703004597982	0.209	0.224	0.015
Apoe	6.91890390828969e-07	0.190502093594989	0.0123972920228735	0.672	0.573	0.0990000000000001
Slc1a2	6.94188495156242e-07	-0.321167438174039	0.0124384694562096	0.477	0.502	0.025
Dcaf8	7.29629225616321e-07	-0.309470462331492	0.0130734964645932	0.167	0.184	0.017
Dbi	7.89705477781371e-07	0.295609777922958	0.0141499427508866	0.183	0.129	0.054
Dlg2	8.18477365566053e-07	-0.184082297210792	0.0146654774362125	0.988	0.991	0.003
Snrnp48	8.2553575803976e-07	-0.405983088385988	0.0147919497125564	0.17	0.193	0.023
Acsl3	8.79588228311734e-07	-0.687264862743796	0.0157604618748897	0.13	0.187	0.057
Hnrnph3	8.83242731569512e-07	-0.378640003024061	0.0158259432642625	0.199	0.23	0.031
Nrg3	9.63718944249063e-07	-0.195300356302351	0.0172679160430547	0.937	0.948	0.0109999999999999
Rorb	1.0303263386508e-06	-0.387407356310279	0.018461387335945	0.253	0.273	0.02
Aco2	1.04875822887184e-06	-0.395360773321136	0.0187916499449256	0.102	0.12	0.018
Dnajb6	1.06100848898468e-06	0.592883394188582	0.0190111501056275	0.197	0.125	0.072
Il1rapl1	1.08139052378145e-06	-0.152188890073372	0.019376355405116	0.995	0.998	0.003
Usp33	1.10127753552944e-06	-0.217346578386474	0.0197326908816165	0.199	0.199	0
Baz1b	1.106272103001e-06	0.537203951121122	0.0198221835415719	0.242	0.162	0.08
Tmed10	1.23954695652413e-06	-0.128053566825651	0.0222102023669993	0.121	0.114	0.00699999999999999
Bmerb1	1.27796123043534e-06	0.653767881659295	0.0228985093269403	0.193	0.122	0.071
Aff4	1.36748508846661e-06	-0.259517966018147	0.0245025978151447	0.243	0.263	0.02
Jakmip2	1.42890294737515e-06	0.317285828718546	0.0256030830110679	0.288	0.212	0.076
Arhgap35	1.43568861898416e-06	0.103197370881176	0.0257246686749581	0.498	0.426	0.072
Smad4	1.4466346221175e-06	-0.467610306416884	0.0259207991591014	0.117	0.144	0.027
Memo1	1.48198154922177e-06	-0.323619659604987	0.0265541453989556	0.179	0.198	0.019
Gpd2	1.53802510991496e-06	-0.373028332383737	0.0275583339194563	0.12	0.126	0.00600000000000001
Ubl3	1.68941248488688e-06	0.350370347271615	0.0302708929042032	0.188	0.133	0.055
Prpf38b	2.08875668089183e-06	-0.256069344859034	0.0374263422082198	0.168	0.178	0.00999999999999998
Adgrb3	2.12438460905233e-06	-0.168720705284352	0.0380647234249997	0.971	0.962	0.00900000000000001
Tcf25	2.13794196286246e-06	-0.313106205997319	0.0383076440905696	0.338	0.38	0.042
Sntg1	2.14399178872479e-06	-0.138662136395206	0.0384160448703707	0.968	0.963	0.005
Afap1l2	2.17867068997996e-06	0.330226565380975	0.0390374214230609	0.496	0.397	0.099
Fndc3b	2.24556522304041e-06	0.171926057296921	0.0402360376664381	0.241	0.192	0.049
Kmt2a	2.26198816851188e-06	0.457599424080561	0.0405303040033958	0.3	0.217	0.083
Lsamp	2.27783279595642e-06	-0.119495443956971	0.0408142080379471	1	0.999	0.001
Lnpep	2.34120792761731e-06	0.11041151281475	0.041949763647047	0.12	0.1	0.02
Scd2	2.34633058574839e-06	0.466095656528958	0.0420415514354397	0.29	0.206	0.084
Chd4	2.52062066690719e-06	-0.191185755718383	0.045164481109643	0.277	0.276	0.001
Gnai1	2.55119506021178e-06	-0.835161753229126	0.0457123130888747	0.076	0.122	0.046
Prr14	2.62206013086795e-06	-0.654962913886573	0.0469820734248919	0.085	0.119	0.034
