gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Itm2b	4.8006395712792e-15	2.97959159895095	8.60178598381808e-11	0.116	0.014	0.102
Pdzrn4	7.8968076497215e-15	0.819208330279824	1.4149499946771e-10	0.487	0.282	0.205
Nlgn1	1.19173320959928e-14	-0.241389724989346	2.13534756496e-10	0.997	1	0.003
Pclo	3.10341043945283e-14	0.786638215614705	5.56069082541157e-10	0.403	0.219	0.184
Cacna1c	5.97324851621544e-14	0.605043804649303	1.07028666913548e-09	0.672	0.469	0.203
Lrrn3	1.28711886745698e-12	1.89695814751568	2.30625958670941e-08	0.156	0.041	0.115
Lrfn2	2.00522004421975e-12	1.59607828471727	3.59295327523295e-08	0.171	0.055	0.116
Clptm1	2.87751316724129e-12	2.26483008768955	5.15592809306294e-08	0.127	0.028	0.099
Vapa	3.1194371598894e-12	-0.421017807756292	5.58940750308983e-08	0.231	0.241	0.00999999999999998
Ago3	3.60402087354056e-12	-0.419963852994724	6.45768460120998e-08	0.34	0.357	0.017
Kif26b	1.01158205076455e-11	1.39364008890818	1.81255271855992e-07	0.189	0.067	0.122
Ano6	5.37716898284833e-11	1.18667079722091	9.63481138346764e-07	0.239	0.108	0.131
Syt11	1.02151004890184e-10	0.820350311509379	1.83034170562231e-06	0.37	0.21	0.16
Dync1i2	1.61621210876899e-10	1.28755334944308	2.89592885649227e-06	0.14	0.05	0.09
Rbms1	1.80017343101029e-10	1.83884386305132	3.22555075368424e-06	0.132	0.034	0.098
Ctnna2	2.08560106427907e-10	-0.237138408521745	3.73697998697525e-06	0.992	0.987	0.005
Slc1a2	2.53199323600381e-10	-0.578458556383384	4.53682548027163e-06	0.468	0.548	0.08
Hecw2	3.63927859244472e-10	0.483115539957215	6.52085938194245e-06	0.381	0.239	0.142
Golga4	4.26800561317732e-10	-0.304549205596203	7.64741245769113e-06	0.186	0.188	0.002
Rpl13	7.56007454628766e-10	0.705854599072455	1.35461415720382e-05	0.346	0.2	0.146
Rbm39	1.0655344827947e-09	-0.352959380537575	1.90922468627154e-05	0.596	0.626	0.03
Fat3	1.12918907626987e-09	0.402494477571947	2.02328098686036e-05	0.696	0.531	0.165
Lpcat1	1.16906449733773e-09	1.26382451974087	2.09472976632974e-05	0.181	0.072	0.109
Otud7b	1.38835216770373e-09	-0.50317495694962	2.48764941409154e-05	0.275	0.313	0.038
Ptprr	1.56815121427858e-09	1.03752869674038	2.80981334574435e-05	0.267	0.133	0.134
Csmd1	1.82140187093691e-09	-0.206276477758122	3.26358787234475e-05	0.999	1	0.001
Rac1	1.90798810883555e-09	1.18547837993599	3.41873309341154e-05	0.113	0.042	0.071
Tmem178b	1.91379569910513e-09	0.486217485542409	3.42913913365658e-05	0.586	0.418	0.168
Chd4	2.16957195427458e-09	-0.301896526046657	3.88743902766919e-05	0.293	0.294	0.001
Bscl2	2.39366162680105e-09	2.06652109728923	4.28896290290211e-05	0.104	0.025	0.079
Prpf38b	3.60882666849066e-09	-0.614046749959145	6.46629562460156e-05	0.167	0.213	0.046
Foxp2	4.99597201069742e-09	1.29336524389268	8.95178264876765e-05	0.197	0.088	0.109
Abhd18	5.82803085614872e-09	-0.600164797011863	0.000104426656880473	0.16	0.208	0.048
Zup1	8.33379310030935e-09	-0.638353428921185	0.000149324904771343	0.17	0.211	0.041
Lrrc4c	8.87930201155366e-09	-0.180746171283282	0.000159099333443018	0.999	0.998	0.001
Runx1t1	8.919295680117e-09	1.06921237208204	0.000159815939996336	0.244	0.124	0.12
Ryr3	9.77791177027953e-09	0.839011288211151	0.000175200623099869	0.307	0.172	0.135
Atxn2	1.02322567661028e-08	-0.108528372172706	0.00018334157673503	0.348	0.313	0.035
Map4k3	1.24302475817469e-08	-0.436170069680242	0.00022272517616974	0.23	0.25	0.02
Hnrnph3	1.2848516592287e-08	-0.554297875490194	0.000230219720300599	0.201	0.252	0.051
Herc2	1.66336986430302e-08	-0.165362527418928	0.000298042612285815	0.24	0.225	0.015
Lrp1b	1.78747780841482e-08	-0.18846945911962	0.000320280273711768	0.996	0.997	0.001
Grik2	2.67531390378308e-08	-0.293454576454411	0.000479362745279852	0.911	0.928	0.017
Cpeb4	2.69568344308421e-08	-0.333795611983212	0.000483012559331829	0.312	0.335	0.023
Pacrg	2.88880595353815e-08	-0.862519661592225	0.000517616250754966	0.146	0.225	0.079
Cux1	3.36889638780025e-08	-0.531256017271951	0.000603638854766049	0.253	0.308	0.055
Clasp2	3.58376940683444e-08	-0.359955855711896	0.000642139802316594	0.561	0.61	0.0489999999999999
Bcas3	3.75578387246016e-08	-0.38973632441708	0.000672961354267412	0.47	0.512	0.042
Ptprs	4.02901813398115e-08	0.675384671563842	0.000721919469246742	0.442	0.302	0.14
Sarnp	4.46933541002187e-08	-0.359254030640771	0.000800815518767719	0.219	0.224	0.005
Efcab14	4.75370919123213e-08	-0.730405422843503	0.000851769612884973	0.091	0.128	0.037
Actb	4.81845240870458e-08	1.32224884960102	0.000863370302591687	0.142	0.055	0.087
Fam76b	4.92472651059986e-08	-0.477738026414922	0.000882412496169284	0.125	0.144	0.019
Sdccag8	5.76316155441292e-08	0.944530181775223	0.00103264328731971	0.158	0.074	0.084
Tmem135	5.96227380402459e-08	-0.297180176520291	0.00106832022020513	0.299	0.299	0
Ahcyl1	6.50657366767049e-08	-0.734531262701792	0.0011658478697732	0.119	0.175	0.056
Son	7.83593939884592e-08	-0.334206360767344	0.00140404362148521	0.663	0.682	0.019
Dcaf8	8.00815762341536e-08	-0.176392669699741	0.00143490168296356	0.17	0.167	0.003
Vps8	8.39377764780917e-08	-0.581242311862377	0.00150399707893445	0.229	0.271	0.042
Zkscan3	9.04133339630501e-08	-0.394413991970567	0.00162002611794993	0.165	0.18	0.015
Il1rapl1	1.03826942803067e-07	-0.20542821331902	0.00186037116114535	0.992	0.998	0.00600000000000001
Gdpd1	1.04165375662418e-07	-0.748406869952161	0.00186643520111921	0.108	0.155	0.047
Hivep1	1.10070424966469e-07	-0.383233997198556	0.00197224187454919	0.141	0.146	0.005
Gucy1a2	1.12051390589527e-07	0.476026047974308	0.00200773681658315	0.386	0.257	0.129
Adcy3	1.13612454046386e-07	1.72810160879154	0.00203570795160314	0.113	0.038	0.075
Fars2	1.59137277728281e-07	-0.236823453211716	0.00285142174233534	0.277	0.271	0.00600000000000001
Kdm5c	1.61441224958274e-07	-0.205571530040245	0.00289270386880235	0.153	0.147	0.00600000000000001
Arhgef12	1.61940236093383e-07	-0.150127485483157	0.00290164515032124	0.394	0.371	0.023
Ncoa6	1.64911565895878e-07	-0.559395838860039	0.00295488543772235	0.205	0.25	0.045
Galnt17	1.68880017926683e-07	1.58510523868395	0.0030259921612103	0.131	0.049	0.082
Tmem161b	1.85120268681302e-07	-0.780389960505106	0.00331698497423158	0.135	0.189	0.054
Arih2	1.86551287447862e-07	-0.502492189079641	0.00334262596849078	0.151	0.175	0.024
Plekhm3	1.98242236494693e-07	-0.273491327433885	0.00355210439351191	0.142	0.141	0.001
Snap91	2.02623418503716e-07	0.533405890095366	0.00363060641274958	0.313	0.199	0.114
Pcmtd1	2.09800129577777e-07	-0.293372341674631	0.00375919872177461	0.307	0.322	0.015
Tmem170b	2.42452526243954e-07	1.18249357272702	0.00434426436523916	0.102	0.039	0.063
Jak1	2.45312022033937e-07	-0.478780630172021	0.00439550081080408	0.108	0.13	0.022
Pnpla8	2.73211683617486e-07	-0.675525173001159	0.00489540694705812	0.097	0.131	0.034
Vps13b	2.75271763947152e-07	-0.106609490280957	0.00493231946640507	0.413	0.372	0.041
Clk4	2.84003876248245e-07	-0.310054321312864	0.00508878145461606	0.24	0.244	0.004
Nrxn1	2.88736232709287e-07	-0.178004324376632	0.00517357581768501	0.999	1	0.001
Ldb2	2.95389366313059e-07	0.573659637170553	0.0052927866655974	0.231	0.138	0.093
Scd2	3.01728709489317e-07	0.733096062785548	0.00540637501662958	0.309	0.186	0.123
Myo9a	3.13069361078749e-07	0.635828371333666	0.00560957681180903	0.352	0.224	0.128
Ubl3	3.20252201976437e-07	0.518745847719905	0.00573827895501379	0.209	0.131	0.078
Mib1	3.20576714422088e-07	0.122519226296504	0.00574409356901497	0.281	0.227	0.054
Spin1	3.38224627039334e-07	0.595157116374699	0.00606030886729079	0.126	0.072	0.054
Suclg2	3.44487571253339e-07	0.610940148454928	0.00617252830171732	0.195	0.11	0.085
Sorbs1	3.51568127762321e-07	0.467405452714332	0.00629939771324528	0.319	0.211	0.108
Arhgef26	3.85198324918865e-07	0.359873010380196	0.00690198358589623	0.262	0.175	0.087
Gria2	4.04929600926795e-07	-0.238163429763893	0.00725552858940631	0.921	0.922	0.001
Rbm25	4.17979173548672e-07	-0.266078941043031	0.0074893508316451	0.462	0.477	0.015
Gnai2	4.29103724378254e-07	0.711038032753668	0.00768868053340955	0.128	0.067	0.061
Tnrc6c	4.51474254623767e-07	-0.347312026016372	0.00808951569434866	0.436	0.466	0.03
Eif4h	4.69397735556768e-07	-0.28402021404666	0.00841066862570616	0.113	0.113	0
Sdc3	5.31361702985136e-07	0.528884068656999	0.00952093899408767	0.309	0.199	0.11
Map7d2	5.3428973691314e-07	-0.731938860642189	0.00957340350600965	0.166	0.238	0.072
Ankrd12	5.54869978622998e-07	-0.17373950548849	0.00994216027696688	0.543	0.521	0.022
Etv5	5.63762488444625e-07	-0.429285618743954	0.0101014962679508	0.394	0.448	0.054
Aff4	5.78205293705396e-07	-0.257130716182969	0.0103602824526133	0.244	0.255	0.011
Msl1	5.82757884767948e-07	-0.379176784392178	0.0104418557792721	0.127	0.138	0.011
Riok3	5.83803912710718e-07	-0.383526278923786	0.0104605985079506	0.196	0.216	0.02
Mff	6.03835592422379e-07	-0.504636922647896	0.0108195261450242	0.14	0.174	0.034
Pals1	6.12513051679689e-07	-0.168939517321185	0.0109750088599967	0.179	0.163	0.016
Adgrb1	6.16958684435937e-07	0.918693050390935	0.0110546657077231	0.189	0.097	0.092
