gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rpl13	4.5402654431697e-21	1.4919108900971	8.13524762107147e-17	0.35	0.14	0.21
Arhgef3	1.11878082047994e-15	1.71258472627804	2.00463147413595e-11	0.227	0.097	0.13
Apoe	1.7379470463275e-15	0.698475173923452	3.11405351760961e-11	0.713	0.53	0.183
Ptprs	1.66380012221823e-14	0.839944390416256	2.98119705899063e-10	0.479	0.329	0.15
Pacrg	6.26396030111587e-12	-1.21160979678235	1.12237640675394e-07	0.128	0.272	0.144
Itm2b	1.13146959935817e-10	2.24289125054836	2.02736722812997e-06	0.104	0.022	0.082
Actb	1.72861992636495e-10	1.50704066244646	3.09734118406072e-06	0.174	0.069	0.105
Rtn4	4.25624932659409e-09	-0.753808616736217	7.62634754339128e-05	0.225	0.37	0.145
Lpcat1	5.21190246824048e-09	1.32731847112534	9.3386868425933e-05	0.165	0.075	0.09
Sycp2	1.28608711435708e-08	-0.789479757590444	0.000230441089150502	0.14	0.257	0.117
Rac1	1.38818970752781e-08	1.43273988467159	0.000248735831794833	0.146	0.058	0.088
Rph3a	1.57679565296266e-08	-1.69119347899196	0.00028253024509785	0.032	0.108	0.076
Ctnna3	2.20757930932364e-08	-0.497073455916157	0.00039555406064461	0.5	0.646	0.146
Ewsr1	2.68959239652311e-08	-0.661985247602046	0.000481921165609011	0.232	0.371	0.139
Cst3	3.15393452351282e-08	1.97539284016724	0.000565121987923028	0.113	0.035	0.078
Grid1	1.04315912532314e-07	0.244157860472044	0.001869132520754	0.859	0.883	0.024
Map7d2	1.17750528242263e-07	-0.920982618792599	0.00210985396504487	0.146	0.262	0.116
St3gal4	1.21557923305414e-07	-0.910410447816745	0.0021780748697864	0.104	0.208	0.104
ENSMUSG00000121513	1.91860919865693e-07	0.280941310746452	0.00343776396215349	0.866	0.85	0.016
Pcsk1n	2.24377110918363e-07	1.60647118933117	0.00402038907343522	0.105	0.035	0.07
Olig1	2.58870811076133e-07	0.706293763904461	0.00463844719286215	0.404	0.286	0.118
Vti1b	2.65450351214857e-07	-1.25498258872423	0.00475633939306781	0.069	0.15	0.081
Fat3	2.94607960449961e-07	0.411731052271381	0.0052787854353424	0.664	0.549	0.115
Ttc14	1.02752512262438e-06	-0.563214185529636	0.0184111951471837	0.254	0.38	0.126
Srebf2	1.06466817164517e-06	-1.21606785292221	0.0190767242995382	0.066	0.137	0.071
Dclk1	1.46183250022504e-06	-0.860609236038008	0.0261931147390322	0.128	0.23	0.102
Syt11	1.51735906973496e-06	0.62411353209773	0.027188039811511	0.351	0.249	0.102
Nav3	1.73542711672239e-06	0.203411162889384	0.0310953830774317	0.985	0.99	0.005
Mat2a	1.83131061230702e-06	-0.72250030390073	0.0328134235513172	0.164	0.273	0.109
Tshz3	2.01668701925666e-06	0.70624656965871	0.0361349980110409	0.192	0.149	0.043
Prr14	2.14364824921923e-06	-1.25336432108226	0.0384098893295101	0.066	0.139	0.073
Scd2	2.31688335553974e-06	0.708303654660295	0.0415139159645611	0.304	0.211	0.093
Ntrk3	2.54212488550835e-06	0.271111889731055	0.0455497936985387	0.8	0.798	0.002
Baz1b	2.66327773465555e-06	0.668388775621953	0.0477206104495581	0.225	0.163	0.062
Tcf4	2.7701704008467e-06	0.224226786779186	0.0496359132423712	0.932	0.948	0.0159999999999999
Cacna1c	2.89535140210212e-06	0.413138774690833	0.0518789064228657	0.545	0.49	0.055
Gnao1	3.10987630658796e-06	-0.551789640419435	0.0557227636614431	0.208	0.319	0.111
Smyd3	3.28862276453614e-06	0.264614608810328	0.0589255426949585	0.486	0.487	0.001
