gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Dlg4	8.53534675924696e-16	1.8406076296692	1.52936343232187e-11	0.125	0.034	0.091
Cacna1c	3.49805198791762e-14	0.343434379409919	6.26780955195079e-10	0.582	0.432	0.15
Bpnt2	2.03841342904157e-13	-0.862129511063815	3.65242918215669e-09	0.076	0.114	0.038
Wdr17	1.19787370856149e-12	-1.09484817360464	2.14635011100048e-08	0.105	0.16	0.055
Kcnip4	4.67664020891274e-11	-1.21230658032822	8.37960392632985e-07	0.088	0.18	0.092
Ctnna3	5.16968891185959e-11	-0.410064270980001	9.26304859227002e-07	0.544	0.572	0.0279999999999999
Foxp2	6.40260568109893e-11	1.12538785173257	1.14721888593931e-06	0.149	0.064	0.085
Exoc6b	7.80065280190398e-11	-0.1976975833249	1.39772096904516e-06	0.51	0.48	0.03
Hip1	9.30095031731401e-11	0.351196825093517	1.66654427785632e-06	0.681	0.55	0.131
Hnrnpd	4.02175882260491e-10	-0.682420841904387	7.20618745834347e-06	0.125	0.175	0.05
Rph3a	1.76855563419621e-09	-1.41082247475564	3.16889798535277e-05	0.044	0.109	0.065
Zfhx3	4.08051001468233e-09	0.804299162584059	7.31145784430781e-05	0.185	0.095	0.09
Evi5	4.16705942881729e-09	-0.481636536683918	7.46653708455482e-05	0.206	0.245	0.039
Tenm1	6.7056352692812e-09	-0.336154770852482	0.000120151572754981	0.598	0.631	0.033
Vps13b	1.21947474840127e-08	-0.15446125524161	0.00021850548541854	0.395	0.373	0.022
Ap2b1	1.79049702529318e-08	-0.281726872624027	0.000320821256992032	0.204	0.206	0.002
Tef	2.11529275715856e-08	0.359382438018402	0.000379018156227672	0.25	0.176	0.074
Btaf1	2.15079367439794e-08	-0.20420887496236	0.000385379210578623	0.253	0.249	0.004
Rsrp1	3.59130351130605e-08	-0.578061493438961	0.000643489763155819	0.159	0.216	0.057
Braf	3.62840914525321e-08	-0.264576281136189	0.00065013835064647	0.395	0.413	0.018
Aftph	4.03969654018155e-08	-0.439832622712328	0.00072383282606973	0.157	0.182	0.025
Ppp4r4	5.12543710007776e-08	1.01494362828832	0.000918375819591932	0.172	0.085	0.087
Pja2	6.04105020465881e-08	-0.2887382597847	0.00108243537567077	0.13	0.134	0.004
Pias2	6.5377243403486e-08	-0.41342544751615	0.00117142944730366	0.259	0.304	0.045
Ntan1	6.93727451916529e-08	-0.567842131228682	0.00124302084834404	0.084	0.104	0.02
Cpeb4	1.15967415689468e-07	0.298997689916776	0.00207790415432388	0.322	0.24	0.082
Rapgef6	1.20029185530188e-07	0.625653655004994	0.00215068294632991	0.21	0.126	0.084
Ube2h	1.31743514854904e-07	-0.239845344947653	0.00236058029917016	0.281	0.284	0.00299999999999995
Ckb	1.35025498051653e-07	-0.309377464519875	0.00241938687408951	0.215	0.224	0.00900000000000001
Scai	1.38990257219871e-07	-0.459476278072681	0.00249042742886564	0.229	0.274	0.045
Dnajb6	2.00242306102819e-07	-0.440364579663772	0.0035879416407503	0.151	0.182	0.031
Nova2	2.66439511602018e-07	0.160743504732832	0.00477406316888496	0.13	0.101	0.029
Afdn	2.90572649008822e-07	-0.367259415520162	0.00520648072494007	0.164	0.191	0.027
Snx10	3.26567845716888e-07	-0.505728326425362	0.0058514426595552	0.098	0.113	0.015
Ptpn12	3.50949102997392e-07	-0.292178154740912	0.00628830602750727	0.215	0.219	0.004
Ube2w	3.83650974704694e-07	-0.208619441563334	0.0068742581647587	0.172	0.171	0.000999999999999973
Fnip1	4.019674529357e-07	-0.165301360308563	0.00720245282170188	0.192	0.188	0.004
Adgrb1	4.49189738286405e-07	0.444127008207554	0.00804858173061581	0.148	0.096	0.052
Rabgap1l	4.70890773180073e-07	-0.193011885200278	0.00843742087384055	0.645	0.639	0.00600000000000001
Ktn1	5.41442642629016e-07	-0.344964950712948	0.0097015692706267	0.236	0.263	0.027
Arid1b	5.87618864113212e-07	-0.250207241815268	0.0105289548071805	0.362	0.369	0.00700000000000001
Kansl1	6.66588472693846e-07	0.194437374250046	0.0119439322537283	0.639	0.545	0.094
Krit1	7.02679932168188e-07	0.257567821461972	0.0125906190245896	0.255	0.188	0.067
Hdac4	8.20232372922548e-07	-0.436853810510045	0.0146969236580262	0.101	0.12	0.019
Dcx	1.13679153174901e-06	-0.661844465639678	0.0203690306658787	0.082	0.115	0.033
Actb	1.18154546844772e-06	-0.556676769224193	0.0211709317036462	0.103	0.128	0.025
Asxl3	1.29134912367196e-06	-0.464383285126032	0.0231383935979543	0.169	0.199	0.03
Zfhx4	1.29219476247943e-06	0.82132959685919	0.0231535457541063	0.101	0.061	0.04
Cmss1	1.30682731730226e-06	0.405457743109276	0.0234157318714219	0.268	0.193	0.075
Mapk14	1.43629736276738e-06	0.629816176171638	0.0257355761460659	0.121	0.069	0.052
Gspt1	1.44035392733824e-06	0.139765615901006	0.0258082616700465	0.1	0.079	0.021
Dync2h1	1.4560453188586e-06	0.59192493851537	0.0260894200233083	0.236	0.152	0.084
Capza1	1.52896332408227e-06	-0.240473300813956	0.0273959648409062	0.158	0.157	0.001
Hnrnpll	1.55277810746545e-06	-0.349718108592946	0.027822678129566	0.152	0.166	0.014
Fkbp5	1.57020130787492e-06	1.19907463239488	0.0281348670345028	0.105	0.046	0.059
Jam2	1.59014697077617e-06	0.284291874390315	0.0284922534223675	0.282	0.203	0.079
Med13	1.63355224971897e-06	-0.144384302481247	0.0292699892104645	0.324	0.312	0.012
Yipf5	1.65125645123753e-06	0.811104916415628	0.029587213093274	0.109	0.057	0.052
Luc7l2	1.70646443723482e-06	0.218685084750817	0.0305764297863736	0.556	0.451	0.105
Jazf1	1.80535267033088e-06	-0.320780548893563	0.0323483091469887	0.245	0.274	0.029
Pafah1b1	1.80598493057049e-06	-0.130529365288885	0.0323596379859621	0.543	0.523	0.02
Zfyve1	1.86120384276562e-06	-0.266559972736545	0.0333490504546743	0.119	0.114	0.00499999999999999
Zfp804a	1.90488021250643e-06	-0.362214927158416	0.0341316436476901	0.225	0.23	0.005
Dmxl2	2.14411458170063e-06	-0.295388802769545	0.0384182450749118	0.156	0.172	0.016
Rufy3	2.22009559960409e-06	0.404072693008113	0.0397796729537061	0.328	0.236	0.092
Uty	2.36537701793626e-06	0.677381499322383	0.0423828254073819	0.233	0.123	0.11
Slc2a13	2.36975728416612e-06	-0.912593325662789	0.0424613110176886	0.059	0.102	0.043
Prkaa2	2.37262487203271e-06	0.872597698760091	0.0425126924570821	0.125	0.07	0.055
Large1	2.81918309918817e-06	-0.254979858411883	0.0505141227712536	0.562	0.572	0.0099999999999999
Csmd3	2.83184724426139e-06	-0.10198896310986	0.0507410389226755	0.994	0.986	0.00800000000000001
Dlg1	2.91997088954219e-06	-0.273084086655943	0.052320038398817	0.335	0.353	0.018
Stat1	2.99728756246066e-06	1.09033409168148	0.05370539854417	0.127	0.061	0.066
Fbxo11	3.21299633496855e-06	-0.246754713212317	0.0575704683299665	0.338	0.337	0.001
Adgrb3	3.2920484227859e-06	-0.198770228592131	0.0589869236394778	0.967	0.967	0
Thrb	3.45652254144386e-06	-0.299576672130754	0.0619339708975912	0.379	0.4	0.021
Pip5k1b	3.51657963023412e-06	0.222421105082196	0.0630100738145351	0.24	0.18	0.06
Leng8	3.87491003250838e-06	0.752237611876987	0.0694306379624852	0.199	0.117	0.082
Ddb2	4.09598814316943e-06	-0.496726511387383	0.0733919155493099	0.101	0.122	0.021
Nedd4	4.13535562261305e-06	-0.231112360580252	0.0740973020459807	0.409	0.428	0.019
Utrn	4.21065004547395e-06	0.27455291789507	0.0754464275148023	0.468	0.373	0.095
