gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ctnna3	1.18042161696513e-16	-0.748251936445469	2.11507945327812e-12	0.532	0.656	0.124
Wdr17	5.77819217311304e-15	-1.93002664953078	1.03533647357839e-10	0.085	0.218	0.133
Ssbp2	9.27427955121064e-11	-1.14096597989403	1.66176540998592e-06	0.125	0.256	0.131
Gls	1.17379485819868e-10	-1.12291947278176	2.1032056269204e-06	0.113	0.202	0.089
Hip1	7.19826846512635e-10	0.604629394142749	1.28978574358134e-05	0.687	0.515	0.172
Atp8a1	1.57654011523523e-09	-0.89885416923924	2.82484457847848e-05	0.224	0.353	0.129
Kansl1	5.72835489424619e-09	0.491494566220595	0.000102640662995103	0.635	0.492	0.143
Runx1t1	6.48598948377974e-09	-0.922402766208697	0.000116215959570365	0.124	0.177	0.053
Stag1	1.13447365823871e-08	-0.495229526368222	0.000203274990083211	0.462	0.523	0.061
Hectd4	2.96140278611391e-08	-0.760467978343239	0.000530624151215891	0.205	0.282	0.077
Myo9a	1.20843297217904e-07	-0.628505014233622	0.00216527019955041	0.224	0.321	0.097
Pclo	1.27827438673371e-07	-0.680686875653878	0.00229041204614947	0.219	0.334	0.115
Egfem1	2.17996259375827e-07	-0.57694297492951	0.00390605697549608	0.402	0.534	0.132
BC005537	2.66067754640341e-07	-1.58781067392111	0.00476740202764563	0.052	0.135	0.083
Son	3.0572417637158e-07	0.384871315254947	0.00547796579222597	0.682	0.605	0.0770000000000001
Slc4a10	3.88127398141597e-07	-1.1484502795501	0.00695446671990113	0.067	0.149	0.082
Nav1	4.89120905778545e-07	0.340856076101724	0.00876406838973997	0.822	0.752	0.07
Cadps2	5.06915558898813e-07	-0.75589241739541	0.00908291298434893	0.128	0.204	0.076
Dmxl2	7.7537068531282e-07	-0.669907852754329	0.0138930919394351	0.117	0.16	0.043
Zfhx4	8.15841532701788e-07	2.29653278848329	0.0146182485829506	0.102	0.025	0.077
Scn8a	8.37533262182296e-07	-1.03973486012445	0.0150069209917824	0.072	0.151	0.079
Bin1	1.15844541371167e-06	-1.23599732379324	0.0207570249228856	0.056	0.126	0.07
Slc25a3	1.25863026894413e-06	-1.09399387909634	0.022552137158941	0.058	0.105	0.047
Zfp638	1.29594207248385e-06	0.47824800653777	0.0232206900547656	0.513	0.378	0.135
Rcor3	1.39797633360104e-06	-1.66734649784884	0.0250489399454635	0.055	0.145	0.09
Stox2	1.68549498485594e-06	0.343441651378606	0.0302006991386488	0.452	0.376	0.076
Nucks1	1.76625458195838e-06	-1.46087325011185	0.0316477495995303	0.049	0.115	0.066
Megf9	2.82900216685254e-06	-0.691860410839643	0.0506900608256639	0.205	0.269	0.064
Wdr44	4.26072699877174e-06	-1.03078960380346	0.0763437063639921	0.085	0.143	0.058
Csrnp3	4.7597546262173e-06	-0.697171905322806	0.0852852833925616	0.114	0.177	0.063
Pdzrn4	5.80744704864548e-06	-0.629130649437987	0.10405783621763	0.282	0.393	0.111
Lrfn2	5.88008001037452e-06	-1.23811012037379	0.105359273625891	0.055	0.124	0.069
Slc1a2	6.80559517302261e-06	0.243620651956934	0.121942654310219	0.548	0.447	0.101
Pja2	7.72355525625511e-06	-0.638410069365726	0.138390663081579	0.125	0.162	0.037
Tnrc6c	8.15838021035211e-06	0.57869573392628	0.146181856609089	0.466	0.328	0.138
Zfp804a	9.41842016849494e-06	-0.510788698736118	0.168759252579092	0.199	0.214	0.015
Gpr158	1.22796881536023e-05	-0.621652516968397	0.220027452336246	0.197	0.3	0.103
Rab27b	1.30823014321735e-05	-0.823744557112848	0.234408677061685	0.141	0.204	0.063
Ppard	1.40448819688214e-05	1.13937027256586	0.251656195117342	0.116	0.055	0.061
Rph3a	1.82815613081803e-05	-1.22592063004293	0.327569015519974	0.067	0.141	0.074
Cul3	1.83476654946389e-05	-0.547213284131873	0.328753470332939	0.142	0.181	0.039
Rsrp1	1.84933183437187e-05	-0.824715257419724	0.331363278082752	0.135	0.219	0.084
Nr3c2	1.87197136601971e-05	-0.729429198732987	0.335419829363412	0.255	0.336	0.081
Macf1	2.33130446143647e-05	0.186751668375365	0.417723133400187	0.762	0.637	0.125
Sgk1	2.41260050085706e-05	0.629398680070953	0.432289757743567	0.396	0.269	0.127
Cux1	2.54490407656962e-05	0.658949729459783	0.455995912439744	0.308	0.216	0.092
Jmjd1c	2.5481816991405e-05	0.407129969668374	0.456583196851996	0.579	0.475	0.104
Rock2	2.6739128948967e-05	-0.74440168771908	0.47911171250759	0.116	0.185	0.069
Sik3	2.86108901784194e-05	0.346466473917295	0.512649930216919	0.563	0.49	0.073
Prkaa2	3.1064378658463e-05	1.21317901642936	0.55661153680234	0.111	0.053	0.058
Lamp1	3.25299556735842e-05	-1.43609238528161	0.582871745759282	0.042	0.101	0.059
Phip	3.47469487045894e-05	0.458376074083997	0.622595826888833	0.404	0.307	0.097
Nrxn2	3.73269241877866e-05	0.3346289079711	0.66882382759676	0.736	0.639	0.097
Unc80	3.98091280470801e-05	-1.00095505541455	0.713299956347582	0.08	0.147	0.067
Spata13	4.42055448261284e-05	0.858516233441179	0.792074952194569	0.191	0.126	0.065
Hecw2	4.54902900021062e-05	-0.533050046871036	0.815095016257739	0.239	0.347	0.108
Etv4	4.56907864638435e-05	0.533418942668245	0.818687511859148	0.401	0.292	0.109
Osbpl8	4.86088069421855e-05	-0.71174358998231	0.87097260279008	0.102	0.156	0.054
Mfsd6	4.88481520752052e-05	-0.908505951211036	0.875261188883527	0.058	0.107	0.049
Gtdc1	4.91759199296623e-05	-0.45503708065957	0.881134133299689	0.349	0.429	0.08
Tpst1	5.11571234888985e-05	-0.933565497755731	0.916633338674083	0.08	0.126	0.046
Rab3c	5.3217907004363e-05	-0.87659705401609	0.953558457704177	0.135	0.208	0.073
Serbp1	5.84670748394433e-05	0.871642296347242	1	0.224	0.134	0.09
Gabrb2	5.99353182133844e-05	-1.19211024926098	1	0.053	0.107	0.054
Chst2	6.80255170461252e-05	1.5453989240468	1	0.1	0.036	0.064
Krit1	8.23254934817871e-05	0.896115781561027	1	0.282	0.147	0.135
Cfap20	8.34316148127497e-05	-0.621958048958029	1	0.197	0.282	0.085
Far1	9.17335024346945e-05	-0.22997213485024	1	0.158	0.156	0.002
Phldb1	9.56052686562254e-05	0.420296713589714	1	0.523	0.387	0.136
Hnrnpd	9.91504249070521e-05	-0.865920243806314	1	0.116	0.198	0.082
Magi2	0.000103528558418494	0.107449948132865	1	0.992	0.985	0.00700000000000001
Epb41l4b	0.00011501065342056	-0.589478633292968	1	0.119	0.164	0.045
Fgfr2	0.000118320055794744	-0.691438683579238	1	0.214	0.311	0.097
Dlst	0.000124994342366915	1.21436019974553	1	0.136	0.063	0.073
Ncam1	0.000162262405740545	0.190496879844084	1	0.901	0.828	0.0730000000000001
Fry	0.000176095807426674	0.299724239555783	1	0.811	0.746	0.0650000000000001
Abcc5	0.000176260636678909	0.551627918194319	1	0.355	0.233	0.122
Phc2	0.000176388740270944	-1.28933886034335	1	0.063	0.126	0.063
Kcnj3	0.000182337613969987	-0.589027254068358	1	0.131	0.195	0.064
Clip2	0.000187097703375378	0.61619516690108	1	0.293	0.197	0.096
Cspp1	0.000192342182380954	-0.680942321338716	1	0.141	0.208	0.067
Lmbrd1	0.00020480683043465	-0.671938957790912	1	0.114	0.158	0.044
Xrn1	0.000205783150005485	0.414908154220683	1	0.358	0.294	0.064
Amfr	0.000224583119625776	1.03764183361243	1	0.127	0.063	0.064
Stx12	0.000237521116203839	1.44536333475721	1	0.131	0.05	0.081
Fgfr1op2	0.000244448912197299	-0.733814954580955	1	0.094	0.147	0.053
Rap1gap	0.000253191396798271	0.3087605250998	1	0.44	0.389	0.051
Cdh11	0.000255822204788416	-0.38604882344581	1	0.326	0.361	0.035
Srgap3	0.000259925317925303	-0.444970359432176	1	0.286	0.321	0.035
Mark1	0.000261320270116894	-0.449207391926877	1	0.139	0.155	0.016
Fam193b	0.000261977787509165	0.529330564987784	1	0.208	0.155	0.053
Ptpn12	0.000271985054256204	-0.504048634949984	1	0.207	0.223	0.016
Ankrd10	0.000278422063471252	1.1998181091526	1	0.174	0.08	0.094
Basp1	0.000294843038576843	-0.697822291791393	1	0.11	0.172	0.062
Tcf25	0.000333169465563535	0.407686983164274	1	0.421	0.33	0.091
Dync2h1	0.000345109732683438	0.701685741929621	1	0.239	0.132	0.107
Cenpc1	0.000355539932712291	0.696250920941133	1	0.214	0.147	0.067
Pias2	0.000381369405483853	-0.55969888593115	1	0.235	0.311	0.076
Mef2d	0.000419072683135337	1.02824340880232	1	0.1	0.055	0.045
Rbm6	0.000430359331259257	-0.211156512361768	1	0.424	0.406	0.018
Kcnip3	0.000434983028364588	0.304911929472575	1	0.757	0.664	0.093
Trafd1	0.000443451122246893	0.910727625068662	1	0.171	0.084	0.087
Kif26b	0.000476419974962338	-0.89584548129507	1	0.067	0.118	0.051
Jazf1	0.000482760392182305	-0.481883321686133	1	0.196	0.24	0.044
Tnpo1	0.000488737965590094	0.441712595356438	1	0.534	0.418	0.116
Eif4g1	0.000490530116189527	0.768538931031592	1	0.178	0.116	0.062
Ganab	0.000501346065793397	1.36747512786938	1	0.111	0.038	0.073
Rpl13	0.000509195536953063	0.280432038516551	1	0.2	0.155	0.045
Dcx	0.00053346888822637	-0.914967287588802	1	0.086	0.145	0.059
Arid1a	0.000535509962466064	0.534703855093818	1	0.288	0.212	0.076
Dock9	0.000536707915831864	0.289312893590904	1	0.634	0.561	0.073
Msl1	0.000537834177129066	0.801783450081025	1	0.138	0.086	0.052
Hivep1	0.000576635863467105	0.93776201004159	1	0.146	0.084	0.062
Zeb1	0.000587676582691883	0.19411104598238	1	0.959	0.916	0.0429999999999999
Rapgef4	0.00061521177931837	-1.06773780634501	1	0.056	0.107	0.051
Nck1	0.000617752257155036	-0.802549217000064	1	0.075	0.137	0.062
Ano6	0.000623945921839281	-0.57102322894908	1	0.108	0.143	0.035
Strbp	0.000627596782326274	-0.391941118925865	1	0.412	0.458	0.046
Tmem29	0.000634315168465425	-0.801983258479882	1	0.11	0.174	0.064
Pkm	0.000658596343089276	0.865857474632295	1	0.152	0.084	0.068
Dcc	0.000700845327654453	-0.134253964042934	1	0.984	0.962	0.022
Rab6a	0.000702165107068995	-0.588226870613498	1	0.136	0.187	0.051
Map4k3	0.000704780633397718	0.43661712998615	1	0.25	0.204	0.046
Osbpl1a	0.000716854974565644	-1.14721053952137	1	0.049	0.109	0.06
Pip5k1b	0.000749764434453761	0.483567225846878	1	0.214	0.151	0.063
Cnbp	0.000750289768498281	1.14229926040316	1	0.125	0.061	0.064
Shisa6	0.000760436327321649	-0.639570185532699	1	0.239	0.307	0.068
Atn1	0.000810820399160983	-1.08128120341133	1	0.069	0.109	0.04
Bcas1	0.000814688746404272	0.369975106532435	1	0.612	0.565	0.047
Vmp1	0.000815051417672234	-0.769848918103062	1	0.095	0.147	0.052
Gramd1b	0.000821615266446645	0.499417037628179	1	0.274	0.202	0.072
Cplane1	0.000838703019344373	-0.473797124422843	1	0.188	0.229	0.041
Slc24a5	0.000850393349151085	-0.689060093883043	1	0.08	0.105	0.025
Arl5a	0.000862861223549142	1.21856734564529	1	0.114	0.059	0.055
Large1	0.000868874432051099	-0.376914235003334	1	0.516	0.55	0.034
Chd8	0.000896267892685172	0.956983360765638	1	0.194	0.103	0.091
Fam168a	0.000905496727763962	0.466948596401325	1	0.38	0.281	0.099
Sbno1	0.000938822181717275	0.52476697125553	1	0.311	0.221	0.09
Cacng4	0.000941866019236615	0.178297707678672	1	0.795	0.735	0.0600000000000001
Focad	0.000993455373619368	-0.901343857943427	1	0.085	0.137	0.052
Apba2	0.000993693107096543	0.274326433777447	1	0.374	0.324	0.05
Ryr3	0.00103887477334991	-0.479335001603567	1	0.172	0.221	0.049
Chst9	0.00105097168166665	-0.59601899995854	1	0.13	0.174	0.044
Tbc1d12	0.00105212892821857	-0.129413188995371	1	0.224	0.263	0.039
Thrb	0.00109897488946518	-0.512282150513856	1	0.349	0.45	0.101
Scai	0.00113244424728168	-0.534014144539218	1	0.189	0.24	0.051
Ankrd12	0.00114259194581422	0.283739328205391	1	0.521	0.468	0.053
Sgce	0.00117348024911198	0.543052574794215	1	0.272	0.193	0.079
Ngly1	0.00117550572151587	0.31398655235464	1	0.152	0.137	0.015
Hipk1	0.0011942803759294	1.08786151936492	1	0.114	0.057	0.057
Ywhae	0.00121031746549386	0.542202157544127	1	0.28	0.193	0.087
Ivd	0.00121322844910513	0.795887329987401	1	0.124	0.078	0.046
Ctif	0.00125333157218079	0.467953418769678	1	0.216	0.166	0.05
Klhl7	0.00126484359291698	-0.523603045865978	1	0.186	0.216	0.03
Cwf19l2	0.00127480754501649	0.612294536212268	1	0.266	0.187	0.079
Fars2	0.00127883726255226	0.429074840207361	1	0.271	0.221	0.05
Luzp1	0.00128826016230584	-0.413904884340095	1	0.133	0.149	0.016
Zup1	0.00132300049870132	0.736996914395571	1	0.211	0.139	0.072
Hectd2	0.00139456555342738	-0.465611752718307	1	0.119	0.143	0.024
N4bp2	0.00144465397492248	0.713363004696223	1	0.116	0.076	0.04
Tle2	0.00144651863182081	0.544008746701187	1	0.155	0.132	0.023
Smurf2	0.00145530911087697	0.393275785807211	1	0.358	0.282	0.076
Sybu	0.00146635503082877	-0.648229773171764	1	0.124	0.177	0.053
Atg16l2	0.00148229866716757	-0.762026477817427	1	0.125	0.187	0.062
Herpud2	0.00162371010516622	0.746559900051979	1	0.102	0.065	0.037
Atxn1	0.00167260885893447	-0.469158883911643	1	0.305	0.359	0.054
Foxp1	0.00173711628948462	-0.753039687765903	1	0.091	0.151	0.06
Pabpn1	0.00179492687100636	0.266918190246338	1	0.346	0.305	0.041
Ptn	0.00184222002733548	-0.358934852032897	1	0.571	0.653	0.0820000000000001
Atm	0.00189432912513381	0.705155626898296	1	0.161	0.107	0.054
Ggps1	0.00193860615267882	-0.798081822291851	1	0.078	0.115	0.037
Rasal2	0.00193882017337857	-0.464149523429621	1	0.167	0.233	0.066
Atrnl1	0.00198379308686166	-0.562926331056818	1	0.11	0.156	0.046
Trio	0.0019871686063262	0.198980834721194	1	0.629	0.571	0.0580000000000001
Gnai1	0.00199184594575163	-0.73080654374026	1	0.102	0.147	0.045
Creb5	0.00199722137125043	0.405629062148504	1	0.455	0.366	0.089
Dlg1	0.00200863574963936	-0.358360253762863	1	0.333	0.37	0.037
Pdzd2	0.00214056084031129	0.201334428801336	1	0.393	0.384	0.00900000000000001
Pam	0.00214551564795916	-0.739089184853475	1	0.102	0.151	0.049
