gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Asic2	2.89081487641829e-99	-1.67813827693094	5.17976209556629e-95	0.106	0.307	0.201
Wdr17	1.18855362867549e-72	-0.580205862434286	2.12965039186075e-68	0.723	0.848	0.125
Lingo2	6.03813840454526e-58	-1.8584588586052	1.08191363932642e-53	0.04	0.155	0.115
Grm5	6.65701533528448e-57	-1.70800572412828	1.19280400777627e-52	0.048	0.167	0.119
Rims1	3.56898276136803e-56	-1.79945970233156	6.39490331181924e-52	0.042	0.156	0.114
Erc2	6.44529696935493e-56	-1.80309181362564	1.15486831096902e-51	0.041	0.155	0.114
Lrrc7	7.81877127947729e-56	-1.74384158968192	1.40096743785674e-51	0.044	0.16	0.116
Ralyl	5.7390120795138e-55	-1.90534917641736	1.02831618440728e-50	0.032	0.135	0.103
Sgcz	6.96971083954391e-54	-1.62639963950988	1.24883278822948e-49	0.048	0.163	0.115
Kcnh7	9.81741455330451e-54	-2.35654569233979	1.7590843396611e-49	0.022	0.115	0.093
Frmpd4	2.25668966272099e-50	-2.13857197453213	4.04353653766346e-46	0.024	0.115	0.091
Xkr4	5.17314135754761e-50	-2.33390987795742	9.26923468445382e-46	0.022	0.11	0.088
Kcnq5	9.12839718419913e-50	-2.42534202533505	1.6356262074648e-45	0.018	0.102	0.084
Ank3	1.24234308794584e-49	-1.44552606399739	2.22603034498136e-45	0.057	0.174	0.117
Cadps	1.64839470340576e-47	-1.85206378268261	2.95359362956243e-43	0.037	0.133	0.096
Ccser1	2.47360065427345e-46	-1.41182394257574	4.43219765232716e-42	0.055	0.161	0.106
Lrfn5	1.86126711910081e-45	-2.5692690913314	3.33501842400482e-41	0.015	0.09	0.075
Kctd16	4.16714920244205e-45	-2.56328972928098	7.46669794093567e-41	0.015	0.09	0.075
Etl4	8.96654653901695e-45	-2.34234023932912	1.60662580886106e-40	0.019	0.097	0.078
Grin2a	7.66656353916942e-44	-2.53462828441359	1.37369485494838e-39	0.015	0.088	0.073
Dlgap2	3.30642770589841e-43	-2.71163283591707	5.92445716342877e-39	0.012	0.081	0.069
Kalrn	1.29208096457874e-42	-0.707046477171211	2.31515067233219e-38	0.277	0.436	0.159
Cntn4	4.41439064293726e-42	-2.99825676220912	7.90970515401498e-38	0.009	0.073	0.064
Sntg1	2.79159113064299e-41	-1.86559655714446	5.00197298788612e-37	0.032	0.116	0.084
Csmd3	1.05625198926539e-39	-1.23976617065054	1.89259231436573e-35	0.066	0.166	0.1
Fgf12	1.16496751354473e-39	-0.801781917653911	2.08738879076945e-35	0.186	0.329	0.143
