gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Nrxn1	2.56903626473153e-121	-0.261497959128281	4.60319917914596e-117	0.99	0.993	0.003
Lsamp	4.72262670617435e-79	-0.214430840462208	8.4620025321232e-75	0.99	0.996	0.00600000000000001
Ntm	7.92574077798269e-72	-0.205332176501928	1.42013423259894e-67	0.982	0.99	0.00800000000000001
C4b	8.42619539783337e-61	1.07360785067588	1.50980569138378e-56	0.204	0.101	0.103
Nlgn1	3.6304373426126e-58	-0.26771332586245	6.50501763049326e-54	0.971	0.981	0.01
Cpne8	6.51613422864444e-57	2.6837729568474	1.16756093108851e-52	0.061	0.01	0.051
Wdr17	5.55420531035234e-56	-0.525802891169425	9.95202507508932e-52	0.752	0.783	0.031
Pcdh9	1.40682408729013e-52	-0.213404642031333	2.52074739960645e-48	0.989	0.995	0.00600000000000001
Ptprd	3.40417574432267e-51	-0.543862240970233	6.09960209867737e-47	0.341	0.463	0.122
Man1a	2.1506421788697e-46	1.63569659855528	3.85352065609873e-42	0.096	0.036	0.06
Cadm2	2.52482278107702e-45	-0.178930152254859	4.5239774591338e-41	0.988	0.992	0.004
Gpm6a	7.85639254052587e-45	-0.404281299764899	1.40770841541142e-40	0.686	0.744	0.0579999999999999
Gpc5	1.19609366373975e-44	-0.167982908968499	2.14316062668888e-40	0.954	0.973	0.019
Adgrb3	5.65415938369125e-44	-0.229819046272032	1.0131122783698e-39	0.981	0.986	0.005
Dclk1	1.22525833223357e-42	-0.349640409481606	2.1954178796961e-38	0.74	0.779	0.039
Gfap	1.98663090865041e-41	1.29032837663927	3.5596452621198e-37	0.167	0.09	0.077
Uty	7.18103741919679e-40	0.425849754576715	1.28669828477168e-35	0.294	0.186	0.108
Nrg3	4.25806415844563e-39	-0.707611601621217	7.62959935910287e-35	0.155	0.246	0.091
Negr1	4.34733527210604e-39	-0.222820043197248	7.7895553405596e-35	0.898	0.919	0.021
Eif2s3y	2.09103085689452e-38	0.439470691207311	3.7467090893836e-34	0.242	0.147	0.095
Dgkb	1.16160949756259e-37	-0.212774769752921	2.08137189773265e-33	0.915	0.924	0.00900000000000001
Sulf1	1.47655234863611e-35	1.73225027163944	2.64568649828619e-31	0.064	0.021	0.043
Sgcd	2.96237429123402e-35	1.43901465071181	5.30798225503312e-31	0.068	0.023	0.045
Ctnna2	5.04604214042723e-35	-0.438340420056702	9.04149830721751e-31	0.563	0.653	0.0900000000000001
Mdga2	1.93918950985014e-34	-0.170555082465033	3.47463976374949e-30	0.962	0.971	0.00900000000000001
Syt1	5.27706552577185e-34	-0.721662129158463	9.455446009078e-30	0.128	0.207	0.079
Nalf1	5.05821395411723e-33	-0.777390998740718	9.06330776298725e-29	0.102	0.174	0.072
Apoe	2.05688463226898e-32	-0.293939455128019	3.68552588409955e-28	0.835	0.869	0.034
Adgrl3	2.36713386031392e-32	-0.18874561035487	4.24143045091049e-28	0.928	0.932	0.004
Ddx3y	1.9873687091882e-31	0.583881322183082	3.56096725312342e-27	0.168	0.098	0.07
Grid2	2.70036012964231e-31	-0.231898348784781	4.8385052802931e-27	0.907	0.917	0.01
Dpp10	7.90341529324415e-31	-0.777372929704449	1.41613395224349e-26	0.113	0.185	0.072
Rbfox1	9.36389265919144e-31	-0.513971367545728	1.67782228667392e-26	0.207	0.294	0.087
Cntnap2	2.76135237970519e-30	-0.749702123230383	4.94779119395576e-26	0.108	0.178	0.07
Ddx60	2.99088223025693e-30	1.41431482262834	5.35906278017437e-26	0.056	0.018	0.038
Snhg11	1.46680440816787e-29	-0.708195346907957	2.62822013855519e-25	0.115	0.186	0.071
Ctnnd2	2.74965985851528e-29	-0.140030760361221	4.92684053448767e-25	0.987	0.988	0.001
Opcml	6.18242621735998e-29	-0.685769031585257	1.10776712962656e-24	0.116	0.186	0.07
Tenm2	1.83329856196189e-28	-0.69980677318656	3.28490436332332e-24	0.114	0.183	0.069
Enox1	7.87533411665187e-28	1.26628779395514	1.41110236702168e-23	0.11	0.059	0.051
Lrrtm4	1.20052390463968e-27	-0.729313566376981	2.15109873233337e-23	0.094	0.158	0.064
Grin2b	1.06650175981738e-26	-0.852827008343716	1.91095785324079e-22	0.077	0.136	0.059
Anks1b	2.7621024448907e-26	-0.71564484653802	4.94913516075516e-22	0.1	0.163	0.063
Castor2	3.09438226294209e-26	1.56219719847848	5.54451413873963e-22	0.058	0.022	0.036
Chl1	3.87934249167875e-26	0.829106244985721	6.95100587658998e-22	0.147	0.088	0.059
Pcdh7	1.04200073912163e-25	-0.181411628701269	1.86705692435813e-21	0.897	0.907	0.01
Cpeb4	2.44489106774883e-24	-0.314817731442841	4.38075581519235e-20	0.701	0.723	0.022
Nrg1	3.97229369725805e-24	-0.617792966176752	7.11755584674698e-20	0.114	0.178	0.064
Clip3	7.61630530955821e-24	1.32097983068135	1.36468958536664e-19	0.059	0.024	0.035
Grm7	1.50132979518961e-23	-0.710234985244531	2.69008272702074e-19	0.089	0.146	0.057
Itfg1	2.15385657502405e-23	0.561557460279071	3.85928021112809e-19	0.2	0.139	0.061
Gria2	3.3966267560586e-23	-0.193953320118258	6.0860758215058e-19	0.858	0.875	0.017
Nars2	9.42774139903846e-23	1.06765750445043	1.68926270387971e-18	0.082	0.042	0.04
Ski	1.74405803518004e-22	0.728506478306292	3.1250031874356e-18	0.165	0.109	0.056
Pdzd2	2.14159787337474e-22	1.27145718983311	3.83731506951287e-18	0.057	0.024	0.033
Gjb6	2.93122272559497e-22	0.370405497528475	5.25216487972106e-18	0.284	0.21	0.074
Fgf14	3.27783492651257e-22	-0.194623912422356	5.87322462132522e-18	0.821	0.866	0.045
Lrriq1	7.58633308892475e-22	1.23461338133708	1.35931916287354e-17	0.04	0.013	0.027
Samd4	1.04687786461118e-21	0.368739707685058	1.87579575781031e-17	0.339	0.26	0.079
Cst3	2.43915024032734e-21	-0.389471725462952	4.37046940061852e-17	0.532	0.592	0.0599999999999999
Cmip	2.86879257718904e-21	0.554128378835306	5.14030253980732e-17	0.176	0.12	0.056
Prnp	5.26070845598661e-21	-0.646463962512513	9.42613741143681e-17	0.291	0.346	0.055
Qki	7.47373359797168e-21	-0.13600414761893	1.33914358608457e-16	0.972	0.969	0.003
Dst	8.79605703171397e-21	0.250993184244775	1.57607749894251e-16	0.602	0.52	0.082
Tmem87b	1.13440129595463e-20	0.938035958953618	2.0326202420915e-16	0.085	0.046	0.039
Cacnb2	2.14214166042707e-20	0.995327764533431	3.83828942715322e-16	0.052	0.022	0.03
Mbnl2	5.86738075908373e-20	0.296428564224734	1.05131728441262e-15	0.402	0.331	0.071
Arhgef4	8.89487103000574e-20	0.251492200998831	1.59378299115643e-15	0.571	0.485	0.086
B3galt1	9.324280829076e-20	-0.174979342561786	1.67072463895384e-15	0.938	0.941	0.003
Ggta1	1.28706538127996e-19	0.930630275705432	2.30616375017743e-15	0.083	0.045	0.038
Lrp1b	2.8513644265052e-19	-0.205670924249568	5.10907477941201e-15	0.847	0.88	0.033
Nucks1	4.64167234932271e-19	0.689360203358598	8.31694851551643e-15	0.112	0.068	0.044
Slc39a14	6.36458805902825e-19	0.661623169137289	1.14040688841668e-14	0.146	0.096	0.05
Rgl1	7.2651527101294e-19	0.418618666490024	1.30177006260099e-14	0.289	0.223	0.066
Prune2	1.03522996194024e-18	0.892586489827715	1.85492504580452e-14	0.1	0.059	0.041
Asap3	1.19874393463486e-18	1.04229200232438	2.14790938207874e-14	0.06	0.029	0.031
Aspg	2.18253056329509e-18	1.22581713718714	3.91065826331214e-14	0.049	0.021	0.028
Stoml1	2.4102273053045e-18	1.67273874027514	4.3186452856446e-14	0.03	0.009	0.021
Cuedc1	3.01547187609224e-18	0.306784739558173	5.40312250758208e-14	0.364	0.292	0.072
Slc43a2	3.41593713772155e-18	0.771743160239619	6.12067616336947e-14	0.099	0.059	0.04
Nxn	3.62263861240549e-18	0.263165001892642	6.49104386570816e-14	0.444	0.365	0.079
Megf9	4.64778445602531e-18	0.482205310880391	8.32790018830616e-14	0.196	0.142	0.054
Auts2	6.86663423834022e-18	-0.166694877508395	1.2303635228258e-13	0.918	0.932	0.014
Frmd4b	8.03964763076794e-18	0.952226130078714	1.440544062481e-13	0.069	0.036	0.033
Plce1	8.49332712653928e-18	0.307179058519388	1.52183435453331e-13	0.438	0.363	0.075
Ptn	1.23084295631937e-17	-0.306720010441887	2.20542440913305e-13	0.602	0.636	0.034
Cfap44	1.33466404579986e-17	1.3999619340338	2.39145103726419e-13	0.045	0.019	0.026
Macrod2	1.43288616141024e-17	-0.243539916605378	2.56744542401486e-13	0.557	0.626	0.069
Sbno2	1.94091381467144e-17	0.946346513866721	3.47772937312829e-13	0.08	0.045	0.035
Eftud2	2.05776445163294e-17	0.872565429380114	3.68710234443589e-13	0.086	0.05	0.036
Shisa6	2.16736790928846e-17	1.35182578111004	3.88348981986307e-13	0.05	0.023	0.027
Sgms1	2.2042166944559e-17	0.425437364874954	3.94951547312609e-13	0.212	0.158	0.054
Wdr26	3.39852802308596e-17	0.302236807897077	6.08948251176542e-13	0.308	0.243	0.065
Kalrn	3.9584262199428e-17	-0.402716362452021	7.0927081008935e-13	0.283	0.353	0.07
Noct	4.61541716556918e-17	1.18281378557507	8.26990447726685e-13	0.06	0.03	0.03
