gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Wdr17	1.26766171565197e-111	-0.922173305372161	2.27139626210521e-107	0.712	0.848	0.136
Apoe	1.30924954788821e-48	-0.514707882713486	2.34591333990609e-44	0.804	0.899	0.095
Gpm6a	3.44844956977119e-40	-0.535696658400574	6.17893193911602e-36	0.668	0.772	0.104
Ptn	1.46500090342317e-37	-0.649329472580217	2.62498861875364e-33	0.525	0.644	0.119
Cst3	2.2519941754811e-35	-0.626162115685518	4.03512316362704e-31	0.521	0.655	0.134
Sgcd	6.24618226438391e-33	2.13421480650579	1.11919093813231e-28	0.088	0.02	0.068
C4b	4.34948149062734e-30	1.04683199224651	7.79340093490608e-26	0.215	0.106	0.109
Nrxn1	5.04809080228448e-29	-0.199367022287647	9.04516909953333e-25	0.989	0.994	0.005
Sulf1	1.28556379899862e-28	2.08306827263704	2.30347321504572e-24	0.079	0.018	0.061
Cpne8	7.18931791183625e-28	2.64154237971449	1.28818198344282e-23	0.07	0.015	0.055
Tspan7	1.7679370930507e-27	-0.356549379454572	3.16778968332825e-23	0.787	0.851	0.0639999999999999
Gpc5	1.01027638565151e-23	-0.194837956769856	1.81021322781037e-19	0.946	0.974	0.028
Ski	1.92677200539171e-23	1.09951761606332	3.45239007926086e-19	0.183	0.096	0.087
Gfap	7.34324818118258e-23	1.3485812756298	1.31576320910429e-18	0.174	0.091	0.083
Grm3	4.36652725881737e-22	-0.390897454908155	7.82394354234897e-18	0.751	0.81	0.0590000000000001
Scd2	1.04478752315199e-21	-0.558976703646547	1.87205028398374e-17	0.388	0.492	0.104
Prnp	3.10399385182866e-21	-0.887396427794972	5.56173618370659e-17	0.248	0.34	0.092
Ywhaz	8.20576679666843e-21	-1.85633845630295	1.47030929462705e-16	0.026	0.083	0.057
Sorbs1	3.71582880189961e-19	0.433019081901626	6.65802204724372e-15	0.671	0.579	0.0920000000000001
Pdzd2	5.14934773226722e-19	1.63422518955913	9.22660126667641e-15	0.071	0.023	0.048
Cpeb4	6.52098776316488e-19	-0.35424719120217	1.16843058740388e-14	0.665	0.731	0.0659999999999999
Dclk1	6.74846470458468e-19	-0.299923072488325	1.20918990576748e-14	0.751	0.809	0.0580000000000001
Phyhd1	7.60025112932453e-19	0.855455886409802	1.36181299735237e-14	0.193	0.112	0.081
Ndrg2	8.34160047543983e-19	0.365663796476652	1.49464797318931e-14	0.751	0.662	0.089
Ntm	4.61019685881412e-18	-0.154746040834793	8.26055073162314e-14	0.978	0.991	0.013
Lrriq1	6.29298644365635e-17	1.73505581988218	1.12757731097434e-12	0.049	0.012	0.037
Cacnb2	9.94096679008256e-17	1.50616753033836	1.78122242944699e-12	0.067	0.023	0.044
Man1a	1.21855345288509e-16	1.42725135972768	2.18340407687951e-12	0.101	0.047	0.054
Mbnl2	1.94009242829091e-16	0.475537259671823	3.47625761301166e-12	0.419	0.318	0.101
Lsamp	9.30753368847274e-16	-0.153140256215342	1.66772388630055e-11	0.988	0.996	0.00800000000000001
Asap3	1.08163127564519e-15	1.63562002425729	1.93806691970105e-11	0.066	0.024	0.042
Cfap44	1.32979913793015e-15	1.88709305781414	2.38273409534325e-11	0.054	0.017	0.037
Samd4	3.14027579005507e-15	0.556759142021713	5.62674616062067e-11	0.338	0.245	0.093
Igf1r	3.92063105970795e-15	0.370104061093126	7.0249867327847e-11	0.51	0.416	0.094
Ell	4.06415976591731e-15	1.36532701781432	7.28216146857064e-11	0.085	0.037	0.048
Gabra4	4.57405872712084e-15	-1.12835732812559	8.19579842725512e-11	0.05	0.105	0.055
Pclo	5.90419735476089e-15	-1.3393650287437	1.05791408202606e-10	0.053	0.108	0.055
Ddx60	1.7803768570041e-14	1.32574614851445	3.19007925237995e-10	0.057	0.019	0.038
Pigk	2.38879876622818e-14	-0.916934552758805	4.28024962932765e-10	0.159	0.229	0.07
Psme4	2.93334535422475e-14	0.413580231337634	5.25596820569991e-10	0.425	0.334	0.091
Ccdc88c	3.02828194892888e-14	0.607565943973224	5.42607559609076e-10	0.258	0.177	0.081
Ndufs7	4.21213519166055e-14	2.5562628654951	7.54730383641737e-10	0.039	0.01	0.029
Rapgef3	4.49270149086932e-14	0.459961088651542	8.05002253133965e-10	0.423	0.338	0.085
Prr16	4.75447592256909e-14	-0.979923452335625	8.5190699580593e-10	0.055	0.11	0.055
Aplp2	4.91125495488811e-14	-0.920665570840681	8.79998662816851e-10	0.078	0.139	0.061
Pitpnm2	5.81916847011029e-14	0.65891921690267	1.04267860647436e-09	0.227	0.153	0.074
Slc39a14	6.99949861882407e-14	0.875869437418492	1.2541701625209e-09	0.16	0.096	0.064
Aspg	8.74582516475889e-14	1.73772679751493	1.5670769530215e-09	0.054	0.018	0.036
Megf9	9.15265869938798e-14	0.621696327129713	1.63997338575634e-09	0.224	0.151	0.073
Dpyd	1.2214559155804e-13	0.473848206659675	2.18860470953695e-09	0.343	0.256	0.087
Eif2s3y	1.24687403380517e-13	0.411459794618351	2.2341488937721e-09	0.243	0.163	0.08
Cfap54	1.64733351599033e-13	1.64191520435463	2.95169219395147e-09	0.042	0.012	0.03
Cmip	1.77487613749695e-13	0.690687285480757	3.18022306316704e-09	0.179	0.113	0.066
Ufsp2	2.43910465472364e-13	1.27485949582495	4.37038772033381e-09	0.085	0.04	0.045
Adamtsl3	2.56091993844735e-13	2.09477821395898	4.58865634570996e-09	0.037	0.009	0.028
Slc24a4	2.58361740587462e-13	2.62724629065854	4.62932566784614e-09	0.026	0.004	0.022
Ggta1	3.26093191751867e-13	1.192764641002	5.84293780980996e-09	0.09	0.043	0.047
Dcc	4.07704133494498e-13	-0.972002142742336	7.30524266395441e-09	0.135	0.203	0.068
Mau2	4.36419447178442e-13	0.79095024328698	7.81976365454333e-09	0.17	0.106	0.064
Ppp2r2b	4.56577943173567e-13	-0.25016321795961	8.18096358578398e-09	0.805	0.824	0.0189999999999999
Zfp462	4.66862483986568e-13	0.50081823842654	8.36524198807132e-09	0.309	0.228	0.081
Hip1	5.57973841033943e-13	0.442616551271864	9.99777528364619e-09	0.382	0.297	0.085
Qki	7.81283540594041e-13	-0.152325693724196	1.3999038480364e-08	0.966	0.973	0.00700000000000001
Sbno2	9.13795304127773e-13	1.200316007531	1.63733842593614e-08	0.085	0.041	0.044
Cuedc1	9.32780347917861e-13	0.458246830108624	1.67135582739922e-08	0.369	0.283	0.086
Aebp1	1.07878328313947e-12	2.01329385681906	1.9329638867293e-08	0.029	0.005	0.024
Homer1	1.2670745597899e-12	-2.42142765769836	2.27034419623155e-08	0.007	0.034	0.027
Dnah9	1.29816685038383e-12	2.1984964129062	2.32605536251775e-08	0.033	0.008	0.025
Rap1gap	1.59645159800411e-12	-2.6876962685361	2.86052197330377e-08	0.005	0.03	0.025
Arhgef10	1.67756796669906e-12	0.983525387406641	3.00586628273138e-08	0.11	0.059	0.051
Itpr1	1.67967731779167e-12	1.04858708530092	3.00964581801912e-08	0.084	0.04	0.044
Acot11	2.69503775265373e-12	0.456452099191881	4.82896864520495e-08	0.305	0.226	0.079
Ccnd3	5.56620779441759e-12	0.465060395884955	9.97353112603744e-08	0.308	0.23	0.078
Pou6f1	6.05148667237448e-12	0.681600790656177	1.08430538195606e-07	0.187	0.123	0.064
Tmem132b	6.9689822303287e-12	2.21459565167988	1.2487022360303e-07	0.022	0.003	0.019
Slc7a11	9.37816006751277e-12	-0.431299454710725	1.68037872089694e-07	0.355	0.434	0.079
Setbp1	1.16085649921296e-11	-0.471547424522174	2.08002267528978e-07	0.264	0.333	0.069
Rpl21	1.19399644471227e-11	0.984869017717975	2.13940282963544e-07	0.066	0.029	0.037
Hip1r	1.55827677817934e-11	0.773693368231717	2.79212033114174e-07	0.139	0.085	0.054
Adamts20	1.56192193014527e-11	1.06680322540626	2.79865171443429e-07	0.146	0.091	0.055
Gjb6	1.65461581328051e-11	0.453139899262692	2.96474061423602e-07	0.29	0.213	0.077
