gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb16	8.18512388033914e-18	-1.67623077863123	1.46661049687917e-13	0.2	0.466	0.266
Klhl2	2.92638379759931e-11	-1.70359861859688	5.24349448853845e-07	0.104	0.283	0.179
Prpf4b	4.50338778274879e-11	-1.23735318870353	8.06917022912928e-07	0.198	0.396	0.198
Tef	1.04465358415227e-10	-2.75904028157823	1.87181029208403e-06	0.025	0.151	0.126
Uty	1.17651212647014e-10	-2.22006189985422	2.10807442820919e-06	0.039	0.178	0.139
Mcf2l	4.35707746922633e-10	-1.37522639612922	7.80701140935974e-06	0.124	0.302	0.178
Ttll7	2.3663749142419e-09	-1.55857115953835	4.24007057133864e-05	0.078	0.226	0.148
Ankrd12	3.15770328006834e-09	-1.13849758454635	5.65797273722645e-05	0.219	0.399	0.18
Hlf	3.63921553010124e-09	-2.61058918341877	6.52074638683539e-05	0.023	0.132	0.109
Dgkh	6.43177732823776e-09	-1.9297013911048	0.000115244586167364	0.078	0.218	0.14
Pbx1	8.15721752764096e-09	1.06345563675716	0.000146161023660271	0.539	0.369	0.17
Nt5c2	2.15218706207086e-08	-1.47596312047434	0.000385628877781857	0.159	0.307	0.148
Dbp	7.23630508642519e-08	-2.72999583241756	0.00129660114538566	0.021	0.113	0.092
Gpcpd1	8.69535865150091e-08	-0.516561264353612	0.00155803436317593	0.772	0.852	0.08
Gnaq	1.1541688247377e-07	0.475207012932628	0.00206803970016502	0.77	0.65	0.12
Per3	1.50060071783271e-07	-2.25396049067363	0.00268877636621264	0.03	0.127	0.097
Plekhg1	2.05664191147108e-07	0.782620490929597	0.00368509097697388	0.507	0.342	0.165
Zfp423	2.4143653733838e-07	1.4134667002783	0.00432605987602909	0.283	0.14	0.143
Etl4	7.22944115497129e-07	2.40278658172303	0.0129537126614776	0.157	0.051	0.106
Coro2a	7.8734110048256e-07	-1.87243658529456	0.0141075778384465	0.062	0.17	0.108
Nr1d2	8.86045912178684e-07	-1.37803558980994	0.0158761706544177	0.127	0.251	0.124
Afap1l2	1.53029581187985e-06	1.08132728426492	0.0274198403572632	0.399	0.256	0.143
Dcbld2	1.60137301514017e-06	-2.0559967688204	0.0286934016852815	0.044	0.137	0.093
Med15	1.66291210522249e-06	-2.15930311213007	0.0297960591013766	0.039	0.129	0.09
Maco1	3.95531991890153e-06	-1.89202751557463	0.0708714223068776	0.035	0.119	0.084
Clcn3	5.30933418059626e-06	-1.88660982248293	0.0951326498479239	0.037	0.121	0.084
Rasal2	5.43750211981989e-06	-0.488198271729459	0.0974291629829327	0.749	0.825	0.076
Ranbp9	5.60620383173739e-06	-1.03797765523358	0.100451960257071	0.175	0.299	0.124
Ggnbp2	8.06068326289602e-06	-1.1792099703046	0.144431322704571	0.076	0.181	0.105
Itpr1	8.40484877573567e-06	1.04189175957522	0.150598080363632	0.295	0.17	0.125
Ogt	8.71584448806483e-06	-0.835379414642067	0.156170501537146	0.189	0.321	0.132
Rundc3b	9.83247138834982e-06	-0.646391675810914	0.176178222336452	0.62	0.722	0.102
Pitpnb	1.11829708670261e-05	-1.94878478912549	0.200376471995373	0.023	0.094	0.071
Cd47	1.12122364564037e-05	-2.28839712288485	0.200900852825841	0.016	0.081	0.065
Ddah1	1.23792237953669e-05	-1.72091750671551	0.221810931965385	0.032	0.111	0.079
Ccdc85a	1.38450396404352e-05	-0.646670357370424	0.248075420277318	0.424	0.539	0.115
Lrrn3	1.53336445901944e-05	-1.84716843749467	0.274748243767102	0.03	0.105	0.075
Abcg2	1.69969699953329e-05	-0.464289872789238	0.304551708376375	0.611	0.725	0.114
Mtf2	1.702220638698e-05	-2.88923844502743	0.305003894041907	0.009	0.065	0.056
Atg3	2.00269002592678e-05	-2.20185880216321	0.358841998845561	0.03	0.102	0.072
Magi3	2.05120415116626e-05	-0.893954461008152	0.36753475980597	0.286	0.41	0.124
Taok1	2.12934965017506e-05	-0.96452776245084	0.381536870318367	0.099	0.205	0.106
Zfand6	2.16661028832935e-05	0.719101578241796	0.388213231462853	0.329	0.197	0.132
Pfkfb3	2.19333824917941e-05	-2.53352853788182	0.393002347487966	0.016	0.078	0.062
Lama3	2.21164566403893e-05	1.43425060009312	0.396282670082495	0.2	0.097	0.103
Prkacb	2.21464843203704e-05	-1.32262052208176	0.396820706052398	0.051	0.137	0.086
Pitpnc1	2.34901460194395e-05	0.760714347096521	0.420896436376317	0.528	0.412	0.116
Golga4	2.46853846673386e-05	-2.19310864188331	0.442312722469374	0.025	0.094	0.069
Magi1	2.58738176347639e-05	0.636769231474947	0.4636070643797	0.541	0.418	0.123
Tmx3	2.70257665684782e-05	-2.30536586435482	0.484247685373992	0.023	0.089	0.066
Zcchc8	3.0509205573689e-05	-2.88674024698104	0.54666394546936	0.016	0.075	0.059
Foxp1	3.39925612409754e-05	0.282382982958411	0.609078712315797	0.933	0.925	0.00800000000000001
Fam168a	3.41718979171536e-05	-1.78881151489993	0.612292066879559	0.028	0.097	0.069
Spin1	3.57301080100498e-05	-2.39262983744803	0.640212075324072	0.016	0.075	0.059
Mpzl1	4.0589751806941e-05	0.62542102118864	0.727287172876769	0.454	0.315	0.139
Dusp1	4.66416926039281e-05	4.42328454820528	0.835725848077184	0.051	0.003	0.048
Fam13a	4.95859163465119e-05	-1.74249213856752	0.8884804490968	0.06	0.143	0.083
Sdha	5.07762589775795e-05	-2.17043635518	0.909809008360269	0.023	0.086	0.063
Akt3	5.29263409335381e-05	-0.506546951722687	0.948334176847136	0.389	0.523	0.134
Snx24	5.41695634118481e-05	1.30638027674482	0.970610237213494	0.194	0.094	0.1
Fmo2	6.03502562222678e-05	-1.02306432221197	1	0.154	0.261	0.107
Traf6	6.06871427505452e-05	-2.50829993542041	1	0.016	0.073	0.057
Cry1	6.20729220988991e-05	-3.33313753463908	1	0.002	0.043	0.041
Srek1	6.23261847671114e-05	-1.03064808041076	1	0.076	0.167	0.091
Dnaja1	6.36533324457697e-05	-1.92668669615091	1	0.032	0.1	0.068
S100pbp	6.58765379102682e-05	-3.75678478902623	1	0.005	0.049	0.044
Ddx3x	6.88840657220762e-05	1.00446436618987	1	0.177	0.081	0.096
Adgrl3	7.0992546392584e-05	-0.791514895290417	1	0.332	0.442	0.11
Sumo1	7.38189869902666e-05	-1.41175034926643	1	0.074	0.159	0.085
Dkk2	7.52821712880206e-05	2.79804938665137	1	0.071	0.013	0.058
Cep83	7.56823986205749e-05	-2.32241018765964	1	0.023	0.084	0.061
Pecam1	7.89647134119221e-05	0.472415225581992	1	0.604	0.464	0.14
