gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb16	2.150551662937e-11	-1.57221403823349	3.85335846965052e-07	0.251	0.553	0.302
Uty	1.48685012998304e-07	-2.48446235347692	0.00266413806290362	0.048	0.218	0.17
Gpcpd1	6.50634770413871e-07	-0.611162408319083	0.0116580738162757	0.767	0.872	0.105
Nt5c2	2.04743912386476e-06	-1.51829286586065	0.0366860142214088	0.141	0.33	0.189
Tnks2	3.17286742100522e-06	-1.86014603160908	0.0568514384495716	0.119	0.287	0.168
Abcg2	4.03966852636665e-06	-0.687192533036021	0.0723827806554376	0.621	0.782	0.161
Ttll7	1.87777509726951e-05	-1.74335581385972	0.33645974192875	0.075	0.218	0.143
Adgrl3	3.58380576694671e-05	-1.05503629781628	0.642146317321512	0.322	0.484	0.162
Dcbld2	4.35788599774556e-05	-2.50013379933384	0.78084601307605	0.04	0.154	0.114
Plekhg1	4.74164288702407e-05	0.8597132038447	0.849607572496973	0.511	0.324	0.187
Pbx1	4.76632348051357e-05	0.974034547287433	0.854029841238422	0.555	0.378	0.177
Dennd1b	6.21143998875491e-05	-0.949239337488099	1	0.225	0.399	0.174
Hlf	7.5033634484478e-05	-1.91911329705098	1	0.031	0.138	0.107
Eif2ak4	7.68717986833148e-05	-2.63624028253711	1	0.031	0.133	0.102
Coro2a	8.88693855295963e-05	-1.8292978969955	1	0.066	0.191	0.125
Mcf2l	8.96657981677301e-05	-0.994422819336216	1	0.167	0.335	0.168
Arih2	9.79988355276867e-05	2.26852599353734	1	0.167	0.048	0.119
Prpf4b	0.000103493112522813	-0.992210297136416	1	0.203	0.362	0.159
Ranbp9	0.000107023237272699	-1.09670620882575	1	0.181	0.335	0.154
Nckap5	0.000115503959730467	-1.09307735924151	1	0.238	0.404	0.166
Sdha	0.000123541126681555	-3.48968204010206	1	0.013	0.096	0.083
Ankrd12	0.000149305739588853	-0.946196552472445	1	0.251	0.42	0.169
Taf15	0.000163483191828097	-1.55442506433736	1	0.075	0.197	0.122
Naxe	0.000226603775274704	-7.41843032544051	1	0	0.059	0.059
Polr3a	0.000226603775274704	-7.29239014514841	1	0	0.059	0.059
Usp54	0.000233806345447317	-1.07791212580192	1	0.198	0.351	0.153
Dapk1	0.000247311402412842	-1.17072852630593	1	0.084	0.213	0.129
Pfkfb3	0.000258167865931333	-2.27622734258074	1	0.026	0.117	0.091
Gas6	0.000326735865022876	-2.55797690532988	1	0.035	0.128	0.093
Gnaq	0.000334142501226886	0.441384180190903	1	0.771	0.628	0.143
Fmo2	0.000350096621166163	-1.16083924486159	1	0.167	0.303	0.136
Adipor2	0.000361873303358021	-0.729781275587528	1	0.52	0.654	0.134
Ubxn4	0.000387598231583994	2.94316500897241	1	0.11	0.021	0.089
Cops5	0.000445856650001105	-6.68725528676081	1	0	0.053	0.053
Serpinb9	0.000454461910551545	-3.46575494522828	1	0.013	0.085	0.072
Rora	0.000469606053765522	-0.719362455073067	1	0.524	0.644	0.12
Nipa2	0.000516368584484044	-2.51382524445047	1	0.031	0.117	0.086
Abi1	0.000538464026752499	0.769511624322089	1	0.432	0.271	0.161
Nek6	0.000544472075428169	6.98046895164768	1	0.062	0	0.062
Sbf2	0.000550840323036442	0.59322486331336	1	0.581	0.426	0.155
Magi1	0.000559453798286138	0.842838151671164	1	0.498	0.346	0.152
Cyth3	0.000561946302748294	-0.767426855696048	1	0.335	0.484	0.149
