gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Tef	2.19098694032789e-10	-5.08425512511612	3.92581039967952e-06	0.01	0.202	0.192
Klhl2	5.55151553703748e-10	-2.49829104577216	9.94720553926376e-06	0.058	0.295	0.237
Dgkh	6.1830134357594e-09	-2.29447179312682	0.000110787234741937	0.092	0.322	0.23
Dync1i2	1.2735114343705e-08	-5.18095550835196	0.000228187778810507	0.01	0.169	0.159
Zbtb16	1.53276896622377e-08	-1.9504584402382	0.000274641543367975	0.145	0.377	0.232
Itpr1	2.63271255277429e-08	1.91586736949413	0.000471729435206097	0.357	0.126	0.231
Maco1	2.88453832088741e-08	-3.83193563015288	0.000516851576336607	0.014	0.175	0.161
Prpf4b	7.08265376941209e-08	-1.45404677151661	0.00126906990240326	0.193	0.432	0.239
Rundc3b	1.25771999820385e-07	-1.08678717591183	0.00225358269278166	0.58	0.754	0.174
Ptk2	2.36351832840194e-07	-1.09061366606849	0.0042349521408306	0.324	0.563	0.239
Foxp1	2.52805666206235e-07	0.527208113116004	0.00452977192708331	0.942	0.902	0.0399999999999999
Mcf2l	2.7477687364239e-07	-2.10725845875032	0.00492345202192435	0.077	0.268	0.191
Dbp	2.97739898048911e-07	-8.46374990008239	0.00533490349324039	0	0.12	0.12
Clcn3	4.36022070928315e-07	-3.18729608897824	0.00781264346689354	0.019	0.164	0.145
Mllt10	6.09157522704038e-07	-1.01770501322092	0.010914884491811	0.319	0.541	0.222
Huwe1	9.59775756197512e-07	-1.31381324171222	0.017197261999547	0.174	0.388	0.214
Snx24	2.10646508458269e-06	2.09600567196614	0.0377436413855527	0.232	0.06	0.172
Frmd5	2.29658430003368e-06	0.961254840775726	0.0411501974880034	0.749	0.645	0.104
Per3	3.16579091219447e-06	-2.58328351821702	0.0567246415647006	0.024	0.158	0.134
Zfp423	3.23780979153746e-06	2.07532844187154	0.0580150758447682	0.304	0.12	0.184
Ankrd12	3.2812828308957e-06	-1.41202405585057	0.0587940257639891	0.184	0.377	0.193
Mrtfa	3.36631467543883e-06	-2.68738094640823	0.0603176263545129	0.029	0.164	0.135
Lrrn3	3.69537495010869e-06	-2.84021251144392	0.0662137283560475	0.014	0.137	0.123
Ptprb	3.74418751843111e-06	0.5872854054129	0.0670883519552487	0.913	0.825	0.0880000000000001
Rptor	4.8063573686121e-06	2.59187203935859	0.0861203113307916	0.169	0.027	0.142
Etl4	7.31578895088183e-06	2.87440346777245	0.131084306421901	0.188	0.044	0.144
Nfia	9.19947158035409e-06	0.610373317616108	0.164836131776785	0.787	0.617	0.17
Mthfd1l	9.23569701568439e-06	-5.18803246388961	0.165485219127033	0.005	0.104	0.099
Fam168a	9.7595877037033e-06	-4.55421689734604	0.174872292474956	0.01	0.115	0.105
Cep170	9.85968974647605e-06	-4.49618667013652	0.176665920877358	0.01	0.115	0.105
Hlf	1.01877411296617e-05	-3.77052031171806	0.182543945561278	0.014	0.126	0.112
Pkp4	1.11818752911265e-05	0.72607858752742	0.200356841466405	0.652	0.481	0.171
Auts2	1.33369566334048e-05	1.08513972681392	0.238971588957348	0.594	0.41	0.184
Foxj3	1.45636931406682e-05	-3.64374600390442	0.260952253694494	0.019	0.131	0.112
Cd47	1.95987646111832e-05	-3.81361099493693	0.351170664303181	0.01	0.109	0.099
Focad	2.04053459769146e-05	-3.8890729802533	0.365622989214356	0.01	0.109	0.099
Lysmd4	2.07196155672429e-05	-2.62810141558351	0.371254071733858	0.039	0.164	0.125
Nhs	2.12609330259731e-05	1.93049784203431	0.380953397959386	0.246	0.087	0.159
Zfhx3	2.15964719256017e-05	1.79800039799588	0.386965583962931	0.217	0.066	0.151
Plaa	2.75420329024607e-05	-7.46212509119466	0.493498145546292	0	0.082	0.082
Malsu1	2.75420329024607e-05	-7.31823111966252	0.493498145546292	0	0.082	0.082
Ttll7	3.33905302735003e-05	-1.37620332571094	0.598291521440578	0.082	0.235	0.153
Apbb2	3.40582759449423e-05	0.615664675208539	0.610256188381475	0.787	0.661	0.126
Eml1	3.7188760370824e-05	-1.46328496759345	0.666348208324424	0.106	0.262	0.156
Nr1d2	4.0593303875126e-05	-2.15166078551263	0.727350818834508	0.097	0.235	0.138
Stxbp5	4.57030606811578e-05	-2.39874826934034	0.818907441284985	0.029	0.142	0.113
Osbpl1a	4.68505791394276e-05	-1.2555589992867	0.839468677020264	0.179	0.344	0.165
Gsk3b	4.9390598846112e-05	-1.07192601862314	0.884980750124636	0.271	0.443	0.172
Fubp1	5.15153555052966e-05	-1.38252950678182	0.923052139943904	0.072	0.219	0.147
Gon4l	5.60354942678194e-05	-2.76408723384495	1	0.024	0.131	0.107
Pbx1	6.1490747397079e-05	1.15808857899607	1	0.522	0.361	0.161
Smap1	6.17048829472776e-05	-2.47718091769809	1	0.043	0.164	0.121
Pcmtd2	6.53706918423729e-05	-3.53194903147841	1	0.014	0.109	0.095
Tmx3	6.56260120767096e-05	-2.65615779848211	1	0.019	0.12	0.101
Pcgf5	6.76488153660444e-05	-4.5178116745439	1	0.005	0.087	0.082
Ildr2	7.20509846488288e-05	3.0318475794293	1	0.13	0.022	0.108
Gnaq	7.28471671364845e-05	0.511893630683528	1	0.768	0.672	0.096
Senp7	7.534903548288e-05	-2.78067339782138	1	0.043	0.158	0.115
Utrn	7.68664070653209e-05	0.360458374233692	1	0.966	0.929	0.0369999999999999
Ddx3y	8.38885041039001e-05	-2.43893495210687	1	0.014	0.109	0.095
Tek	9.30149833718156e-05	0.580244837819591	1	0.807	0.667	0.14
Mfsd4a	9.89868357379683e-05	-7.50202804948257	1	0	0.071	0.071
Stxbp1	9.89868357379683e-05	-6.745006816411	1	0	0.071	0.071
Pals1	0.000107397191135744	-2.1108676739043	1	0.034	0.142	0.108
Msi2	0.000109040395548783	0.511831037474235	1	0.729	0.601	0.128
Synpo	0.000109214780134911	4.76242113677622	1	0.092	0.005	0.087
Uty	0.000114717595992179	-1.85909019557901	1	0.029	0.137	0.108
Psma3	0.0001179928534085	-1.83763578708959	1	0.058	0.18	0.122
Spag9	0.000120769419672905	-0.698114943666773	1	0.372	0.541	0.169
Rgs5	0.000122317659895901	-4.35209993963641	1	0.01	0.093	0.083
Med15	0.000123636313277939	-2.61720077266969	1	0.029	0.131	0.102
Pitpnb	0.000128506925045178	-3.01661502305396	1	0.014	0.104	0.09
Aqr	0.000129251164401929	-2.65705885770103	1	0.019	0.115	0.096
Magi3	0.00012966353606773	-1.06637979168195	1	0.266	0.437	0.171
Limch1	0.00013117294256587	0.715824462217058	1	0.667	0.514	0.153
Nfx1	0.000133604721205457	-3.62291758677874	1	0.01	0.093	0.083
Phf20l1	0.000134267232291515	-1.27045011825204	1	0.14	0.29	0.15
Fryl	0.000138285340329179	0.577639900544159	1	0.754	0.617	0.137
Ghr	0.000151425832619452	0.868038470698607	1	0.483	0.306	0.177
Rasal2	0.000152511843854633	-0.482346081003785	1	0.734	0.82	0.086
Baz1b	0.000157564346432722	-1.96230851964973	1	0.053	0.169	0.116
Arhgef28	0.000161456364392126	1.54021174573862	1	0.309	0.158	0.151
Ube2r2	0.00016239460090318	-1.91363400087478	1	0.053	0.169	0.116
Mpzl1	0.00017893325468066	0.811518097064955	1	0.488	0.301	0.187
Pkm	0.000187436492822516	-6.90622990136967	1	0	0.066	0.066
Relch	0.000197636852905394	-1.31659745896314	1	0.072	0.202	0.13
Tacc2	0.000199159985798226	-2.36720309883198	1	0.034	0.137	0.103
Alcam	0.000201344436100037	2.50119777607178	1	0.15	0.038	0.112
Top1	0.000217387178177419	-1.7711547754258	1	0.111	0.24	0.129
Cep83	0.000225325771243139	-3.37553960046467	1	0.014	0.098	0.084
Syne1	0.000229911856095173	0.635989538840096	1	0.691	0.519	0.172
Mat2a	0.000234042465723066	-2.38528213068612	1	0.019	0.109	0.09
Ywhab	0.00023812854064603	-2.4476748733978	1	0.029	0.126	0.097
Larp4	0.000244382179006856	-2.89756482922649	1	0.014	0.098	0.084
Taf1	0.000249249933616301	-3.37316844016753	1	0.01	0.087	0.077
Afap1l2	0.000249530086349924	0.944724771435113	1	0.415	0.251	0.164
Zbtb20	0.00025324438415769	0.280690133727183	1	0.981	0.962	0.019
S100pbp	0.000256580747602346	-3.57885580218882	1	0.01	0.087	0.077
Lrrc4	0.00025962772767671	-3.52677448228401	1	0.005	0.077	0.072
Xpa	0.000261577386243774	-3.00992678139197	1	0.01	0.087	0.077
Sec62	0.000273779226977798	-1.57035169350241	1	0.116	0.246	0.13
Prkd1	0.000282881866465982	-2.03876195011782	1	0.039	0.142	0.103
Lama3	0.000289539401610609	1.51009189984885	1	0.246	0.109	0.137
Rbm5	0.000289924261794222	-1.29442569035875	1	0.13	0.268	0.138
Lats1	0.000291168912620719	-2.40559691998638	1	0.034	0.131	0.097
Phlpp1	0.000320004838700098	-1.10639406757546	1	0.087	0.219	0.132
Add1	0.000323825016066757	-1.46011706444851	1	0.068	0.186	0.118
Zmym4	0.000326817781986758	-1.27859020893569	1	0.126	0.262	0.136
Ppp4r3a	0.000330046760774296	-2.3917116743923	1	0.048	0.153	0.105
Serf2	0.000343233694629248	-2.95980254025325	1	0.019	0.104	0.085
Srrm2	0.000346773078807554	-1.0410980860726	1	0.164	0.311	0.147
Ccdc191	0.000348650323009953	7.01477579066201	1	0.068	0	0.068
Bhlhe40	0.000354820140048581	-7.22979806247276	1	0	0.06	0.06
Fam76a	0.00037822009580853	-2.76250599009891	1	0.029	0.12	0.091
Akt3	0.000385707555170304	-0.699593290924748	1	0.357	0.53	0.173
Ddah1	0.000386095603138731	-2.55331297703618	1	0.019	0.104	0.085
Faf1	0.000386450383714825	-1.08614872535594	1	0.121	0.262	0.141
Otud4	0.000389341105445201	-2.37115184555227	1	0.019	0.104	0.085
Kifc3	0.000402579759720187	-2.24760558395312	1	0.019	0.104	0.085
Qki	0.000405737017374244	-0.502591981804491	1	0.667	0.765	0.098
Khdrbs1	0.000409385863768556	-2.36423553991979	1	0.043	0.142	0.099
Zfp148	0.000421576712415576	-0.973112583447737	1	0.188	0.339	0.151
Ap3s1	0.000430988353956477	-1.95801975546477	1	0.072	0.186	0.114
Commd10	0.000432276017918761	1.84684911614573	1	0.159	0.049	0.11
Kdm5b	0.000437876999084858	-4.16478234937805	1	0.005	0.071	0.066
Ubr4	0.000437876999084858	-4.64530662048609	1	0.005	0.071	0.066
Trappc8	0.000445120453771444	-1.74250571926973	1	0.048	0.153	0.105
Rps6ka5	0.00044738288610751	0.700859326320415	1	0.469	0.29	0.179
Casc3	0.000454765146826168	-3.68430064790871	1	0.01	0.082	0.072
Zmym2	0.000470809665791935	-1.41632983833446	1	0.111	0.235	0.124
Kif2a	0.000471120966329275	-1.60147517758379	1	0.121	0.246	0.125
Ogt	0.000485793021524246	-0.72090156294082	1	0.164	0.322	0.158
Usp34	0.000495888206606913	-0.710634145689901	1	0.372	0.497	0.125
Scai	0.000495934311405989	-1.56032304844346	1	0.014	0.093	0.079
Caml	0.00049652860877249	-2.65456861554781	1	0.005	0.071	0.066
Scaf4	0.000497842865031238	-1.99473730747341	1	0.058	0.164	0.106
Zscan26	0.000500111195649491	-1.86030731146546	1	0.039	0.137	0.098
Ksr1	0.000524523155259804	-2.43674995623107	1	0.01	0.082	0.072
Safb	0.000524523155259804	-2.78717950062504	1	0.01	0.082	0.072
Chd6	0.000536846227317166	-1.46531696524265	1	0.063	0.175	0.112
Acbd5	0.000568419655120572	-2.228448730504	1	0.034	0.126	0.092
Fam219a	0.000602099028057199	-2.13791635739601	1	0.034	0.126	0.092
Exoc5	0.00060368860753565	-1.34212764646281	1	0.15	0.279	0.129
