gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Gpcpd1	1.0256571001357e-08	-0.79343822123186	0.000183777239202314	0.713	0.863	0.15
Ttll7	1.86279548371186e-08	-3.23962478949369	0.000333775694771491	0.033	0.245	0.212
Zbtb16	5.76422282251919e-08	-1.55155744694806	0.00103283344533899	0.213	0.463	0.25
Dgkh	1.12055861019642e-07	-3.02231036022846	0.00200781691774995	0.04	0.239	0.199
Rundc3b	4.37758554156935e-07	-0.998222396386605	0.00784375777338396	0.62	0.755	0.135
Pbx1	6.11798826892195e-07	1.09942471970604	0.0109622113802543	0.547	0.348	0.199
Plekhg1	1.60637312397554e-06	1.04064124474965	0.0287829936353937	0.527	0.332	0.195
Nt5c2	2.31997177344473e-06	-1.67687163799639	0.0415692542365826	0.133	0.332	0.199
Klhl2	2.6694413424334e-06	-1.46970950163829	0.0478310499737216	0.1	0.304	0.204
Zfp423	5.02634086810684e-06	1.53163384374646	0.0900619756747383	0.307	0.14	0.167
Prpf4b	5.99366417231231e-06	-1.09669730118738	0.107394474639492	0.207	0.416	0.209
Itpr1	7.33665509440809e-06	1.35781140904845	0.131458185981604	0.327	0.158	0.169
Akt3	8.66962406774821e-06	-0.782492352051866	0.155342324045912	0.34	0.565	0.225
Dcbld2	1.13161197914487e-05	-3.07362320243428	0.202762234423177	0.02	0.158	0.138
Ogt	2.07514702490671e-05	-1.11089924148867	0.371824843922784	0.147	0.339	0.192
Mcf2l	2.31224038819931e-05	-1.19779796035304	0.414307232757552	0.127	0.314	0.187
Kremen1	2.65027996529864e-05	1.96030257544651	0.47487716418221	0.133	0.031	0.102
Ptgs1	3.0009620156144e-05	7.19007205053875	0.537712373957787	0.053	0	0.053
Stard6	3.0009620156144e-05	7.5881706562199	0.537712373957787	0.053	0	0.053
Gopc	3.56563439452543e-05	1.72794584089571	0.638890370811067	0.173	0.056	0.117
Plcl1	5.24159328994135e-05	3.3719003066999	0.939188685691691	0.087	0.012	0.075
Ccdc191	6.23576676750791e-05	5.03000594227462	1	0.06	0.003	0.057
Smarcb1	6.79452556679391e-05	4.07253652229001	1	0.06	0.003	0.057
Rcan2	7.36452031521735e-05	-2.12196242796681	1	0.053	0.189	0.136
Dbp	7.40128367247578e-05	-3.8276935633687	1	0.013	0.124	0.111
Per3	7.4083048258425e-05	-3.03555708339183	1	0.02	0.137	0.117
Tnks2	9.46346662560192e-05	-1.50446467351428	1	0.113	0.264	0.151
Id1	9.49681676127492e-05	-1.46314036426114	1	0.06	0.202	0.142
Ubl4a	9.63992960985442e-05	7.57421731557352	1	0.047	0	0.047
Gnaq	0.000103107196406737	0.474514696513064	1	0.76	0.649	0.111
Pou2f1	0.000116502272889846	-2.07214593120056	1	0.053	0.183	0.13
Sae1	0.000119736467953298	2.99708738410265	1	0.107	0.025	0.082
Tef	0.000130132130607131	-2.47531143651937	1	0.027	0.143	0.116
Dnaja1	0.000133382596314565	-3.85931326598485	1	0.007	0.106	0.099
Plcb1	0.000159763030102969	-0.382516842537613	1	0.913	0.944	0.0309999999999999
St6galnac3	0.000186076538667483	0.507179394318275	1	0.86	0.77	0.09
Hlf	0.000195628822785601	-2.41970962698549	1	0.027	0.14	0.113
Rbm27	0.00019729340392846	-2.93147794700603	1	0.027	0.137	0.11
Nfu1	0.000200301904675337	4.99026259802677	1	0.053	0.003	0.05
Zfp950	0.000208827775887984	-1.2928183556747	1	0.093	0.242	0.149
Ly6c1	0.000268230725435116	-1.08932870728806	1	0.113	0.27	0.157
Rpl35a	0.000300512699283022	3.76276261674019	1	0.06	0.006	0.054
Tmed10	0.000303636198639991	-4.2610368409156	1	0.007	0.096	0.089
Rps13	0.000310820520871413	6.90831657681016	1	0.04	0	0.04
Mtrex	0.000352127578413294	-7.12410911043798	1	0	0.081	0.081
Pcdh7	0.000392245927041557	1.79306729431425	1	0.173	0.071	0.102
Ranbp9	0.000413935864648466	-0.965574342678128	1	0.16	0.317	0.157
Txlnb	0.000419594612172818	-2.27886397514605	1	0.02	0.118	0.098
Adat1	0.000463054086296661	2.60909694257339	1	0.08	0.016	0.064
Spin1	0.000464602657334961	-6.77753027252014	1	0	0.078	0.078
Ccdc58	0.000464603812949051	-7.09262143532152	1	0	0.078	0.078
Ralbp1	0.000475627104472644	-2.70627386003899	1	0.027	0.127	0.1
Pitpnc1	0.000539834092424625	0.792794848446122	1	0.527	0.394	0.133
Eif2s2	0.000543011040436984	-3.08230790815734	1	0.02	0.115	0.095
Scaf4	0.000556134511736123	-2.91176925748786	1	0.027	0.124	0.097
Ppp1r12a	0.000569426434961232	0.726581300837676	1	0.493	0.357	0.136
Naa16	0.000589575861822668	1.39353922703041	1	0.187	0.081	0.106
Etl4	0.000600071204507768	2.23404718260329	1	0.147	0.056	0.091
Rabl3	0.000626783812936029	4.69667285530037	1	0.047	0.003	0.044
Pik3ip1	0.000634947289442059	-2.7737393167401	1	0.027	0.124	0.097
Dusp1	0.000641886712691511	4.333709144797	1	0.047	0.003	0.044
Mob1b	0.000642069683011831	2.32892276378903	1	0.107	0.031	0.076
Nxn	0.000725241090156377	0.66717485411832	1	0.573	0.416	0.157
Clk1	0.000748687012563838	-0.914373046077059	1	0.22	0.366	0.146
Esr1	0.000781406094549533	1.52996897929963	1	0.187	0.084	0.103
Cdc73	0.000823364135897899	-1.24969089294243	1	0.087	0.214	0.127
Hdgfl3	0.000853349175865445	-2.94744443540077	1	0.02	0.109	0.089
Ankrd12	0.000856578887172572	-0.809851274772438	1	0.26	0.422	0.162
Sfmbt1	0.000863426096252409	1.95934090536981	1	0.107	0.031	0.076
Rbm4	0.000908831177680607	2.58107586851057	1	0.087	0.022	0.065
Bbx	0.000910660935726679	0.808790635423433	1	0.327	0.193	0.134
Cct4	0.000969458079088509	3.12917340121174	1	0.08	0.019	0.061
Vps39	0.000969830258184301	3.09033949042143	1	0.053	0.006	0.047
Ssu2	0.00100875250571254	7.72768786180309	1	0.033	0	0.033
Mbd4	0.00100875250571254	6.38364925251259	1	0.033	0	0.033
Sympk	0.00100875250571254	6.70633583259511	1	0.033	0	0.033
Cenpt	0.00100875250571254	6.88081832103233	1	0.033	0	0.033
Mapk7	0.00100875250571254	6.96160625914794	1	0.033	0	0.033
Gpr180	0.00100875250571254	6.54528060682747	1	0.033	0	0.033
