gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Dync1i2	7.1275206367702e-08	-4.81959339633321	0.00127710914769648	0.011	0.169	0.158
Ptk2	7.97836409561286e-08	-1.08215086653427	0.00142956327865191	0.309	0.563	0.254
Flrt2	2.51872511990141e-07	1.32071213918102	0.00451305166983935	0.489	0.273	0.216
Kif2a	2.81926505644381e-07	-2.4765058028075	0.00505155912813602	0.059	0.246	0.187
Adipor2	4.90658116165203e-07	1.08511819632832	0.00879161212544811	0.654	0.437	0.217
Dgkh	7.4873253789428e-07	-1.81119712116284	0.0134157896139897	0.117	0.322	0.205
Abcc4	9.21519156383987e-07	0.751581792632687	0.0165117802440883	0.835	0.678	0.157
Acvr2a	1.42456564732005e-06	-4.61052529578614	0.0255253672686807	0.011	0.142	0.131
Rasgrf2	1.60602944230103e-06	-2.14936736685843	0.0287768355471499	0.09	0.273	0.183
Arglu1	1.71469356086004e-06	-1.70913551279841	0.0307238792234901	0.128	0.328	0.2
Rsrp1	1.91031736608455e-06	-2.47485543589258	0.034229066565503	0.043	0.202	0.159
Il1r1	2.22012496486305e-06	1.21119609947728	0.0397801991204161	0.537	0.311	0.226
Cfh	2.46079256619506e-06	1.05384275337675	0.044092481201083	0.622	0.415	0.207
Lysmd4	4.50629741310701e-06	-3.42727280550473	0.0807438370480515	0.027	0.164	0.137
Ptprk	7.41223935809165e-06	1.22921477016872	0.132812504818286	0.495	0.306	0.189
Rab5a	8.09659156494477e-06	-4.76852865412158	0.14507472766068	0.005	0.115	0.11
Frmd5	8.65296131203406e-06	0.761866856129586	0.155043760789026	0.777	0.645	0.132
Lef1	1.020740785436e-05	0.675287739051585	0.182896333934422	0.819	0.694	0.125
Galnt18	1.65918567411848e-05	-2.93393765886236	0.29729288908855	0.027	0.153	0.126
Ubxn4	1.72212463456317e-05	-3.20984819628095	0.308570292021029	0.021	0.142	0.121
Adgrl4	2.38525530132848e-05	0.577167764900976	0.427390044892037	0.92	0.803	0.117
Ptma	2.72888778389995e-05	-2.02076231921616	0.488962113119193	0.043	0.18	0.137
Nckap5	2.73937680816861e-05	1.12674110145379	0.490841536487651	0.404	0.208	0.196
Dst	4.17696168443923e-05	1.26006304993664	0.748427994617821	0.351	0.169	0.182
Sgms1	5.04180456513665e-05	0.557953165748484	0.903390541981184	0.936	0.891	0.045
Atp6v1h	5.14904200623184e-05	-3.53894188423425	0.922605346676621	0.016	0.12	0.104
Xpo7	5.39033345551406e-05	-2.20086772229887	0.96583994855901	0.053	0.186	0.133
Mapk8	5.45123259801296e-05	-3.45394727987077	0.976751856911963	0.016	0.12	0.104
