gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Syt1	9.99949203577173e-93	-7.88691664260561	1.79170898296958e-88	0.001	0.375	0.374
Lrp1b	1.38016006783716e-89	-3.2159737662838	2.47297080955063e-85	0.017	0.415	0.398
Il1rapl1	1.77746796713182e-89	-4.73406593407295	3.1848671035068e-85	0.012	0.395	0.383
Adgrb3	2.99703129203207e-89	-3.71326611895484	5.37008066906306e-85	0.022	0.429	0.407
Dlg2	4.20778660594146e-87	-2.23909254906932	7.5395120405259e-83	0.131	0.643	0.512
Lrrc4c	1.50077423485901e-86	-6.96748419971703	2.68908727402038e-82	0.003	0.359	0.356
Nrg3	1.20294863977596e-84	-3.19611172287665	2.15544337275057e-80	0.034	0.455	0.421
Kcnd2	1.06331303884779e-83	-5.87169278788118	1.90524430300747e-79	0.002	0.346	0.344
Opcml	1.36914739959298e-82	-8.68565119149861	2.45323831059071e-78	0.001	0.337	0.336
Kcnip4	2.02866485195715e-82	-2.10415255748492	3.63496168173681e-78	0.048	0.478	0.43
Nrxn3	5.41429320842872e-82	-2.82309949244167	9.70133057086259e-78	0.047	0.475	0.428
Csmd1	3.45321616329061e-80	-2.50924840299496	6.18747272138412e-76	0.044	0.458	0.414
Dpp10	2.52395639054958e-79	-7.6966366591625	4.52242506058674e-75	0.001	0.326	0.325
Nlgn1	9.88027380530178e-79	-2.73364937000994	1.77034746043397e-74	0.04	0.438	0.398
Tenm2	8.39488561468549e-78	-5.71410423605278	1.50419560443935e-73	0.003	0.328	0.325
Fgf14	1.82329458669704e-76	-2.5005014472113	3.26697924044376e-72	0.053	0.467	0.414
Mdga2	2.84351796262575e-76	-2.81547133784435	5.09501548543282e-72	0.037	0.411	0.374
Cntnap2	1.90133782145812e-75	-7.69867085035488	3.40681710848866e-71	0.001	0.312	0.311
Dlgap1	1.47866806935961e-72	-7.67490788181313	2.64947744667855e-68	0.001	0.301	0.3
Nkain2	6.2440274012429e-72	-4.7424516506651	1.1188048297547e-67	0.008	0.321	0.313
Nrxn1	2.99450735365219e-68	-2.08297016907224	5.36555827627399e-64	0.083	0.522	0.439
Ctnna2	8.33724781368965e-67	-5.45157469286827	1.49386806325691e-62	0.006	0.295	0.289
Nalf1	7.68665685691373e-66	-4.56421469620949	1.3772951756218e-61	0.004	0.286	0.282
Anks1b	1.9373356607432e-65	-6.59690220763305	3.47131803691966e-61	0.001	0.274	0.273
Nrg1	3.17247398718165e-65	-8.4378813981503	5.68443889023209e-61	0.001	0.272	0.271
Nav3	1.30270817606222e-59	-8.34654730413459	2.33419250986828e-55	0.001	0.25	0.249
Lrrtm4	2.21740228490775e-59	-7.49851634803405	3.9731414140977e-55	0.001	0.25	0.249
Cadm2	6.86443296351597e-58	-1.58906309259947	1.22996909840279e-53	0.169	0.589	0.42
Ctnnd2	3.77788129862146e-55	-4.12314170778264	6.76920771086994e-51	0.02	0.284	0.264
Negr1	1.49325442890266e-54	-4.01244806305899	2.67561328570779e-50	0.01	0.259	0.249
Ptprd	4.30807139816992e-54	-1.60787766695742	7.71920233124087e-50	0.139	0.529	0.39
Kcnma1	9.32755694472247e-48	-6.09984642442137	1.67131165335537e-43	0.004	0.212	0.208
Fgf12	7.5246297100636e-47	-8.06374402997947	1.3482631514492e-42	0.001	0.199	0.198
Gria2	8.07097780397423e-46	-10.8572766623202	1.4461578029161e-41	0	0.192	0.192
Lsamp	4.69378355959958e-45	-0.759508634014122	8.41032138209053e-41	0.196	0.62	0.424
Pcdh9	2.29650547688514e-44	-1.17123592549647	4.11487851348279e-40	0.21	0.623	0.413
Ank3	7.08996519472627e-39	-7.69222549893742	1.27037996359105e-34	0.001	0.167	0.166
Snhg11	1.38140939236528e-38	-1.543483929684	2.47520934924011e-34	0.138	0.435	0.297
Ntm	4.61878990563744e-36	-1.51606877532388	8.27594775292117e-32	0.061	0.303	0.242
Adgrl3	2.31099840806027e-34	-2.2393403899346	4.14084694756239e-30	0.031	0.228	0.197
Sgcz	3.02326398361827e-32	-3.88797939586239	5.41708440584721e-28	0.001	0.139	0.138
Lrrc7	7.38158751867535e-32	-10.3804043933013	1.32263285159625e-27	0	0.134	0.134
Grm7	2.06043474233581e-31	-1.88514164005349	3.6918869713173e-27	0.05	0.255	0.205
Rims1	5.28059193984941e-31	-10.3333650986906	9.46176463782217e-27	0	0.13	0.13
Lingo2	5.28059193984941e-31	-10.3344026014567	9.46176463782217e-27	0	0.13	0.13
Grm5	5.28059193984941e-31	-10.3617327926221	9.46176463782217e-27	0	0.13	0.13
Frmd4a	1.49836269636597e-25	-3.40919324064754	2.68476627934855e-21	0.01	0.138	0.128
Asic2	4.18703689439932e-24	-3.28745847041286	7.5023327073847e-20	0.006	0.121	0.115
Ccser1	2.65138914157086e-22	-2.65541217946768	4.75075906386667e-18	0.01	0.125	0.115
Dmd	3.43260239014418e-22	-2.12024024234246	6.15053696266034e-18	0.04	0.19	0.15
Plcb1	7.83889682442319e-22	-1.46022776369994	1.40457353300015e-17	0.116	0.306	0.19
Csmd3	1.28939553413273e-21	-5.02068948508693	2.31033891805903e-17	0.004	0.103	0.099
Kalrn	1.36009604492494e-20	-4.89660256394676	2.4370200932965e-16	0.005	0.101	0.096
Macrod2	1.55920874569687e-20	-1.22194486771307	2.79379023053964e-16	0.158	0.357	0.199
Grik2	2.6780981148015e-19	-5.55508828293165	4.79861620210132e-15	0.002	0.087	0.085
Cadps	3.47711831013578e-17	-9.54655811837563	6.23030058810129e-13	0	0.071	0.071
Celf2	1.69697901867189e-14	-0.585537023538985	3.04064700565629e-10	0.825	0.889	0.0640000000000001
Rbfox1	6.78398598024688e-13	-0.307370655173063	1.21555460794064e-08	0.348	0.612	0.264
Ralyl	1.86059673621614e-12	-4.53562950052597	3.33381723195209e-08	0.003	0.06	0.057
Magi2	3.00973066532767e-12	-0.416629045836929	5.39283540613412e-08	0.698	0.862	0.164
Phactr1	5.3993136407011e-12	-0.705751386500878	9.67449018140823e-08	0.267	0.426	0.159
Cask	1.83525029410516e-11	0.916401388208167	3.28840147697762e-07	0.331	0.176	0.155
Qrich1	4.04295165709849e-11	1.29127328215357	7.24416077918907e-07	0.194	0.069	0.125
Plxdc2	4.31273665647284e-11	0.755295229468811	7.72756154106804e-07	0.479	0.288	0.191
Bltp1	6.57416393287834e-11	1.02643107499525	1.17795869349314e-06	0.265	0.121	0.144
Mill2	6.99688401548653e-11	0.757774549684638	1.25370167789488e-06	0.424	0.252	0.172
Lcorl	7.88808246934079e-11	1.78624551262623	1.41338661685648e-06	0.142	0.036	0.106
Elmo1	1.67934428432089e-10	-1.00266850312859	3.00904908864617e-06	0.266	0.391	0.125
Zfhx3	2.11302594427669e-10	0.820951423793848	3.78611988695498e-06	0.362	0.203	0.159
Runx1t1	2.17120208745739e-10	1.16390002220612	3.89035990030616e-06	0.209	0.083	0.126
Rsf1	2.67956379746992e-10	1.27378517820465	4.8012424123066e-06	0.223	0.096	0.127
Cpeb4	3.13707918668919e-10	1.68382481752646	5.6210184867097e-06	0.146	0.042	0.104
Auts2	3.73962231979462e-10	-0.28255544565915	6.700655272608e-06	0.949	0.969	0.02
Mapre2	6.90320733043361e-10	1.44719963913985	1.23691668946709e-05	0.146	0.042	0.104
Marcks	1.11624665962968e-09	3.5890198712644	2.00009076472445e-05	0.081	0.007	0.074
Vcpip1	1.15819344294332e-09	4.68274113816558	2.07525101106583e-05	0.072	0.004	0.068
Map4k5	1.49398140328516e-09	1.22308569008378	2.67691587840635e-05	0.193	0.078	0.115
Prrc2c	2.34387719068388e-09	0.585396721815028	4.19975915026738e-05	0.401	0.234	0.167
Phlpp1	3.52151395935437e-09	0.840423079331184	6.30984871237116e-05	0.228	0.1	0.128
Bcl9	5.59857016788965e-09	1.12371886838017	0.000100315180268247	0.173	0.065	0.108
Farp1	7.22984820665237e-09	0.773944517354145	0.000129544420166797	0.266	0.132	0.134
Eif4g3	8.23203859573859e-09	0.907837780063369	0.000147501667558444	0.246	0.125	0.121
Orc4	9.37268938078177e-09	1.59851466180004	0.000167939848324848	0.131	0.04	0.091
Ddr2	9.96457971636994e-09	0.526910733145622	0.000178545339357917	0.46	0.283	0.177
Fbxl5	1.02847355594071e-08	2.20017093014079	0.000184281891753457	0.103	0.024	0.079
Spats2l	1.10363219196985e-08	0.863094708741281	0.000197748816157158	0.247	0.12	0.127
Ttc7b	1.14247129717835e-08	1.12811070063171	0.000204708007028417	0.22	0.107	0.113
Arhgap20	1.25641071834241e-08	1.50606805265218	0.000225123672512594	0.182	0.08	0.102
Senp7	1.64162625795225e-08	0.732778830597025	0.000294146592899885	0.372	0.221	0.151
Nfs1	1.82169394254127e-08	2.86315875147241	0.000326411120624545	0.088	0.016	0.072
Cemip	1.83376322610703e-08	1.09725733488507	0.000328573694853857	0.252	0.129	0.123
Rnf213	1.91611875236661e-08	1.17435464642456	0.000343330158049048	0.21	0.096	0.114
Sik2	1.93573456039841e-08	1.08946618630849	0.000346844918532187	0.213	0.1	0.113
