gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Sidt1	7.22812014389422e-13	2.42532039733967	1.29513456738297e-08	0.121	0.029	0.092
Setbp1	1.91166587847464e-12	0.501745827641478	3.42532292105087e-08	0.604	0.409	0.195
Herc2	3.86238522220859e-12	1.23065755321626	6.92062184115335e-08	0.202	0.083	0.119
Atp5a1	4.7351202412754e-11	2.42592700359477	8.48438844831727e-07	0.091	0.018	0.073
Rabep1	9.66168725971588e-11	0.759961643279292	1.73118112319589e-06	0.285	0.155	0.13
Fam171a1	3.60714862506539e-10	2.15576293184183	6.46328890639216e-06	0.086	0.018	0.068
Armh4	6.36937038966116e-09	1.53357342635689	0.000114126378641949	0.132	0.052	0.08
Depdc5	1.36060323032582e-08	1.47549693889831	0.000243792886809781	0.103	0.033	0.07
Phactr1	2.13022890888695e-08	0.863369119110429	0.000381694415894364	0.267	0.161	0.106
Actg1	2.72472887153258e-08	-2.14907457681145	0.000488216919201208	0.023	0.074	0.051
Bmper	4.10796640554923e-08	1.98234481917836	0.00073606542054631	0.088	0.027	0.061
Dpy19l4	5.14441268820663e-08	1.31769389541911	0.000921775865472865	0.113	0.042	0.071
Zfp318	5.97417962959975e-08	1.62396022189607	0.00107045350603168	0.091	0.028	0.063
Itgav	7.38005033250452e-08	0.836595348356272	0.00132235741857816	0.166	0.079	0.087
Hacd1	8.03814839677666e-08	2.41448375438549	0.00144027542973444	0.053	0.008	0.045
Slc2a13	8.48077661974779e-08	1.34584503030559	0.00151958555472641	0.141	0.064	0.077
Ano4	1.22046062087318e-07	-1.66158497990927	0.00218682134048057	0.016	0.06	0.044
Mpc1	1.37213452748022e-07	1.54247471322077	0.00245859064633905	0.092	0.031	0.061
Tmem30a	1.50797248915066e-07	-1.73388161863673	0.00270198510606016	0.024	0.073	0.049
Actn2	1.89147106252712e-07	1.27699946751629	0.0033891378498361	0.133	0.06	0.073
Blmh	2.87310717701882e-07	1.50570396268747	0.00514803343978233	0.103	0.041	0.062
Zranb1	2.88275938286605e-07	0.636598006003093	0.00516532826221938	0.234	0.138	0.096
Lmbrd1	3.23376199564192e-07	1.50065826192072	0.00579425474379119	0.094	0.034	0.06
Lcorl	3.26417797294978e-07	0.92713687314905	0.00584875409193142	0.169	0.087	0.082
Ppm1e	3.81976819361941e-07	0.575492350227927	0.00684426064932726	0.277	0.17	0.107
Efr3a	6.01626797242336e-07	0.850509434256493	0.0107799489529882	0.166	0.087	0.079
Camk2g	6.41375746164467e-07	1.47699365373383	0.0114921706197749	0.094	0.036	0.058
Ttc7b	6.90962345581059e-07	0.651098111813967	0.0123806633081214	0.259	0.162	0.097
Cdc27	7.44352301405663e-07	0.956875214229476	0.0133373045365867	0.167	0.089	0.078
Zfp30	7.98275807342019e-07	3.03953921378328	0.0143035059159543	0.045	0.006	0.039
Ubr5	8.36644109069218e-07	0.375911072373059	0.0149909891463023	0.485	0.349	0.136
Lsamp	8.47924942536916e-07	-0.569900264123587	0.0151931191203765	0.18	0.273	0.093
Fras1	9.15935605434593e-07	-4.80323986014259	0.016411734178177	0.001	0.023	0.022
Cyld	9.16721495034703e-07	1.07544035929394	0.0164258157480318	0.11	0.046	0.064
Eif2s3y	9.24291382070222e-07	1.13858506926995	0.0165614529839342	0.091	0.033	0.058
Cog3	1.02700991160855e-06	1.27379003480618	0.018401963596202	0.113	0.05	0.063
Pank1	1.13203658211535e-06	1.81230090477153	0.0202838314783429	0.065	0.018	0.047
Elp1	1.30604626118028e-06	1.7341219995682	0.0234017369078282	0.056	0.013	0.043
Edem3	1.40558614015913e-06	1.26036669330943	0.0251852924593714	0.091	0.034	0.057
Nkain2	1.81266695421372e-06	-8.45584985450926	0.0324793664856014	0	0.019	0.019
