gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rps8	1.56753979409424e-112	0.958885595349247	2.80871780305806e-108	0.39	0.216	0.174
Rps16	7.00074906821817e-97	1.60272222371505	1.25439421804333e-92	0.186	0.069	0.117
Rpl17	7.80532196591203e-82	1.10026981724257	1.39855758985212e-77	0.249	0.122	0.127
Rpl13	2.72225454928243e-78	1.05280455633706	4.87773570140425e-74	0.251	0.126	0.125
Rpl27a	1.52412344509472e-73	0.940814012790699	2.73092438892072e-69	0.267	0.14	0.127
Ctnna3	4.26917580090857e-71	-0.552849043254702	7.64950920006798e-67	0.69	0.769	0.0790000000000001
Ube3a	2.20969003785155e-65	-0.34320206549596	3.95932260982241e-61	0.894	0.924	0.03
Rpl13a	2.64335553613955e-59	1.17539099759119	4.73636444965484e-55	0.164	0.075	0.089
Rpl37a	6.37019416517864e-55	1.09049233324265	1.14141139051671e-50	0.149	0.066	0.083
Rps21	1.68191906298468e-54	1.00378941722628	3.01366257705594e-50	0.183	0.091	0.092
Rpl19	3.40488387695311e-51	1.043578779009	6.10087093072459e-47	0.164	0.079	0.085
Rps29	1.96401959477272e-50	1.31778083514182	3.51913030991375e-46	0.121	0.05	0.071
Rps19	4.98184114264079e-48	1.21280939019559	8.92646295938377e-44	0.136	0.062	0.074
Rpl35a	7.13836750637173e-46	1.00388717450219	1.27905268979169e-41	0.163	0.083	0.08
Rpl24	2.12120484587651e-45	0.888910296348593	3.80077484284152e-41	0.201	0.114	0.087
Rps7	2.27824400764219e-45	0.999949094945017	4.08215761289327e-41	0.156	0.078	0.078
Rpl9	2.80090402613839e-45	0.895516618826897	5.01865983403477e-41	0.18	0.096	0.084
Rpsa	7.08925779225492e-40	0.871227625951548	1.27025321121624e-35	0.164	0.089	0.075
Ftl1	3.46486762396595e-39	1.07224158874322	6.20834980862219e-35	0.116	0.054	0.062
Rpl34	1.31959983503259e-38	1.03067179352837	2.36445898441139e-34	0.127	0.062	0.065
Rpl35	5.49311691512725e-38	1.12882039553596	9.84256688852501e-34	0.102	0.045	0.057
Rps5	1.13745029273022e-37	1.0896967587027	2.03808343451401e-33	0.109	0.05	0.059
Rpl32	1.14357797737546e-37	1.01638595162535	2.04906301986134e-33	0.131	0.066	0.065
Rplp1	5.3838446409641e-37	0.904741034336417	9.64677282767947e-33	0.157	0.086	0.071
Scd2	1.35251603313112e-36	0.66368200337082	2.42343822816434e-32	0.208	0.124	0.084
Rpl41	2.13522159205709e-35	0.730022320787545	3.82589004864789e-31	0.193	0.115	0.078
Rpl21	2.14087073432419e-34	0.706299578210725	3.83601218176208e-30	0.202	0.124	0.078
Snhg11	6.6880849393966e-34	0.132620208144917	1.19837105944108e-29	0.999	0.998	0.001
Rps15	8.34990581070612e-34	0.816038968685577	1.49613612316232e-29	0.165	0.095	0.07
Rpl37	3.29940661069053e-30	0.85623657920008	5.9118767650353e-26	0.141	0.079	0.062
Apc	5.29734772689509e-30	0.349839080708123	9.49178765705063e-26	0.92	0.895	0.025
Fau	1.02030151769644e-29	0.742883742650483	1.82817625940847e-25	0.159	0.095	0.064
Egr1	2.04570029023707e-29	1.1598489207822	3.66548578004678e-25	0.11	0.058	0.052
Cacna1a	7.66544092205628e-29	0.181088152559057	1.37349370441405e-24	0.915	0.877	0.038
Macf1	8.40722865604587e-29	0.138205679528486	1.5064072305903e-24	0.976	0.961	0.015
Rps25	1.46132003999994e-28	0.886825011431269	2.6183932476719e-24	0.109	0.057	0.052
Clu	2.16553152606271e-28	1.13007681740232	3.88019938839917e-24	0.075	0.033	0.042
Mid1	2.98277470263398e-28	-0.679334265804786	5.34453571217956e-24	0.17	0.233	0.063
Slc24a5	3.09111635294591e-28	-0.48662294003941	5.53866228120848e-24	0.263	0.334	0.071
Dlgap1	3.29112888188684e-28	0.262024052753231	5.89704473056484e-24	0.981	0.977	0.004
Rps27	3.91945774668932e-28	0.705355973052827	7.02288439051793e-24	0.168	0.103	0.065
Gad1	8.02607974737906e-28	0.517138073630515	1.43811296913538e-23	0.513	0.429	0.084
Rpl18	2.14811817867445e-27	1.06826620650389	3.84899815254889e-23	0.08	0.037	0.043
Rpl28	5.14762399922166e-27	0.672405970287535	9.22351268180537e-23	0.153	0.092	0.061
Rps3a1	1.85314610774423e-26	0.864106470255832	3.32046719585611e-22	0.114	0.062	0.052
ENSMUSG00000095041	3.08430914153279e-26	-0.170384666118089	5.52646511979845e-22	0.79	0.825	0.0349999999999999
Rps24	8.65241419978059e-26	0.603661670960445	1.55033957631669e-21	0.177	0.113	0.064
Kmt2a	1.1609395618511e-25	0.214186136787906	2.0801715069248e-21	0.762	0.697	0.0650000000000001
Ablim3	2.28367529616641e-25	0.565260969260881	4.09188939567097e-21	0.381	0.296	0.085
Cpa6	3.19345432893473e-25	1.09920413385751	5.72203146658526e-21	0.115	0.066	0.049
Rpl12	5.53100115803843e-25	0.756195990472314	9.91044787497325e-21	0.14	0.084	0.056
Rpl14	5.7857841756902e-25	0.78690772061535	1.03669680860017e-20	0.121	0.069	0.052
Rpl23	1.12910842717833e-24	0.639277167397474	2.02313647981813e-20	0.145	0.088	0.057
Kcnc1	1.62125329670721e-24	0.373742039192779	2.90496165703998e-20	0.431	0.345	0.086
Rps27a	2.17586815609064e-24	0.689412817596158	3.89872056208321e-20	0.148	0.092	0.056
Rpl26	2.23132688517472e-24	0.789672138319069	3.99809151285606e-20	0.119	0.068	0.051
Npas4	3.87910381707212e-24	1.52032118835116	6.95057821942982e-20	0.066	0.03	0.036
Pcbp3	8.12986958543922e-24	0.714530866469442	1.456710032319e-19	0.429	0.349	0.08
Rps12	9.49103322431511e-24	0.61575307070121	1.70060333313278e-19	0.16	0.101	0.059
Fth1	1.23708108906333e-23	0.395781881752228	2.21660189538367e-19	0.206	0.137	0.069
Junb	2.16680255079279e-23	1.37248459712693	3.88247681051052e-19	0.061	0.026	0.035
Camta1	4.80308999156032e-23	0.167762407734244	8.60617664687778e-19	0.902	0.878	0.024
Inpp5j	6.75961035585874e-23	0.726740206025264	1.21118698356277e-18	0.173	0.114	0.059
Gsdme	1.18783463098281e-22	-0.54152637333403	2.128362091795e-18	0.284	0.337	0.053
Rps11	1.89432827815006e-22	0.709678378596066	3.39425740878927e-18	0.136	0.084	0.052
Rasgrf1	3.31139040253609e-22	0.183902084497929	5.93334932326417e-18	0.823	0.787	0.0359999999999999
Myo16	4.82542616095556e-22	0.645053044092595	8.64619859520017e-18	0.555	0.498	0.0570000000000001
Rpl29	4.837652892145e-22	0.771410925185605	8.66810645214542e-18	0.105	0.06	0.045
Rps2	1.01547539657267e-21	0.455364760964261	1.81952881557891e-17	0.173	0.113	0.06
Rps18	1.19723807657988e-21	0.758154686320526	2.14521118561582e-17	0.107	0.061	0.046
Itm2b	2.59404140055276e-21	0.490272606204489	4.64800338151044e-17	0.292	0.217	0.075
Cacna1d	4.11830000260638e-21	0.200830845161145	7.37916994467012e-17	0.9	0.875	0.025
Syne1	5.23890091812248e-21	0.146499057294069	9.38706266509187e-17	0.964	0.951	0.013
Rpl39	1.92428200657573e-20	0.882901159810518	3.44792849938239e-16	0.074	0.038	0.036
Phldb1	2.35207337659681e-20	0.857618334491439	4.21444507618616e-16	0.114	0.068	0.046
Atp2b2	2.58564352352184e-20	0.174074835133664	4.63295606544643e-16	0.823	0.777	0.0459999999999999
Rpl30	2.95130382805534e-20	0.451198846945456	5.28814619910956e-16	0.223	0.158	0.065
Rasa2	3.13731949593029e-20	0.579403470410303	5.6214490728079e-16	0.4	0.322	0.078
Rpl18a	7.43950119992014e-20	0.678164628285928	1.33300982500169e-15	0.095	0.054	0.041
Ppp3cc	8.14265580831206e-20	0.473194619358967	1.45900106773335e-15	0.357	0.281	0.076
Rbfox2	1.31156672247875e-19	0.146427939333011	2.35006525333743e-15	0.894	0.857	0.037
Frmd7	2.09778807243221e-19	1.1664827058066	3.75881666818404e-15	0.057	0.027	0.03
Rpl11	3.01642466267815e-19	0.414790725044207	5.40482971058671e-15	0.211	0.149	0.062
Nrxn2	3.29919005694586e-19	0.300859396044442	5.91148874403558e-15	0.502	0.418	0.084
Adra1a	3.40264264303009e-19	0.488369964097079	6.09685508778131e-15	0.295	0.229	0.066
Man2a2	4.11932349484451e-19	0.272514820517556	7.38100383806238e-15	0.373	0.287	0.086
Srgap3	6.14888329281583e-19	0.150651951042945	1.10175690840674e-14	0.859	0.817	0.042
Prnp	1.10493209711075e-18	0.48601746876699	1.97981733160305e-14	0.196	0.137	0.059
Fndc5	1.15049882685427e-18	0.514354497386095	2.06146379795749e-14	0.131	0.083	0.048
Rps14	1.17148597022668e-18	0.667146206087696	2.09906856145217e-14	0.118	0.074	0.044
P2ry14	1.35745699935599e-18	-0.474709855359977	2.43229145144606e-14	0.304	0.349	0.045
