gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rps8	7.7178016814118e-124	1.08392114127674	1.38287570527537e-119	0.39	0.244	0.146
Ube3a	5.20203244349003e-118	-0.446519625803852	9.32100173224544e-114	0.873	0.946	0.073
Rps16	4.18934534634989e-65	1.37350050532209	7.50646899158973e-61	0.181	0.095	0.086
Rpl17	4.70489910598237e-64	1.07649909880326	8.43023821809922e-60	0.241	0.149	0.092
ENSMUSG00000095041	1.79455290669814e-58	0.32957460300067	3.21547989822172e-54	0.855	0.77	0.085
Rplp1	2.93302002825392e-50	1.23162323528301	5.25538528662537e-46	0.166	0.093	0.073
Rpl27a	1.34292652965584e-46	0.919674983667378	2.40625575583734e-42	0.254	0.178	0.076
Rpl13	3.40334351020859e-46	0.903097109050321	6.09811090159175e-42	0.233	0.158	0.075
Rpl37	1.14545735744543e-45	1.26568476162356	2.05243049307072e-41	0.15	0.083	0.067
Pde10a	5.5068557069056e-45	0.427520930505944	9.86718405563345e-41	0.901	0.88	0.021
Ctnna3	3.0312828291893e-44	-0.450675009829044	5.43145257334138e-40	0.686	0.768	0.082
Rpl35a	2.36672229079286e-43	1.10655162345097	4.24069300064264e-39	0.165	0.097	0.068
Fgfr2	8.03633889040883e-41	-0.314469586398229	1.43995120238345e-36	0.631	0.755	0.124
Rpl24	2.24642788488562e-40	0.995657955347173	4.02514948413805e-36	0.197	0.129	0.068
Egr1	1.09790171432632e-39	1.85580410883314	1.9672202917299e-35	0.074	0.027	0.047
Snrnp70	6.5390733597774e-36	-0.264303022269689	1.17167116460491e-31	0.733	0.822	0.089
Rps24	3.16582747926939e-34	0.873504427942782	5.67252967735489e-30	0.191	0.13	0.061
Adcy5	6.38954680976018e-34	0.651096208695016	1.14487899737283e-29	0.389	0.319	0.07
Slit3	6.85233415623697e-34	0.475373354467208	1.22780123411454e-29	0.507	0.434	0.073
Cacna2d3	4.28083973375506e-31	0.379396226261224	7.67040863494232e-27	0.735	0.671	0.0639999999999999
Rpsa	2.00632423313081e-30	0.928697299549019	3.59493176092378e-26	0.167	0.11	0.057
Rps11	3.20152702195965e-30	1.00416981823536	5.7364961179473e-26	0.14	0.086	0.054
Phactr1	8.92458186889945e-30	0.405002213680965	1.5991065792694e-25	0.942	0.935	0.0069999999999999
P2ry14	1.38238914741785e-29	-0.44463020598225	2.4769648743433e-25	0.286	0.379	0.093
Fth1	1.41922611528792e-29	0.77200024622084	2.5429693533729e-25	0.197	0.138	0.059
Rpl32	2.72147545012682e-29	1.00097313541886	4.87633971153724e-25	0.132	0.08	0.052
Atp2b2	1.1155212076344e-28	0.232927663298852	1.99879089983932e-24	0.808	0.795	0.013
Ppp3ca	4.67904620066185e-28	0.280458794593966	8.3839149823459e-24	0.961	0.96	0.001
Calm1	1.42076107525014e-26	0.372591374664823	2.5457196946332e-22	0.428	0.379	0.049
Ggact	1.94438435902389e-26	-0.450461304763654	3.48394789449901e-22	0.212	0.293	0.081
Rps27a	2.49266130754361e-26	0.909407438086925	4.46635053085665e-22	0.146	0.096	0.05
Slc24a5	3.08570040750107e-26	-0.358629787192013	5.52895799016041e-22	0.256	0.349	0.093
Kansl1l	5.89154686988088e-26	-0.316592785339493	1.05564736814526e-21	0.374	0.476	0.102
Gria4	6.06821063823097e-26	-0.158519529754683	1.08730198215823e-21	0.962	0.982	0.02
Rpl19	7.64310241213984e-26	0.883736128272239	1.36949109020722e-21	0.157	0.107	0.05
Fau	9.00496126762825e-26	0.832100889594808	1.61350895993363e-21	0.162	0.111	0.051
Luc7l2	1.37022974505465e-25	-0.116086203868159	2.45517765718893e-21	0.96	0.979	0.019
Hacd4	1.3888454152214e-25	-0.688295985273949	2.48853321499371e-21	0.065	0.115	0.05
Plcb4	3.91286599675957e-25	-0.25072941573501	7.01107329299379e-21	0.515	0.619	0.104
Usp50	1.0152002669349e-24	-0.456097781334552	1.81903583829395e-20	0.154	0.225	0.071
Xrcc6	1.23845617718363e-24	-0.413051628975645	2.21906577827762e-20	0.219	0.303	0.084
Kcnn2	2.14099110619797e-24	-0.259739568957422	3.83622786408553e-20	0.612	0.696	0.084
Gpr88	2.77204348347625e-24	1.13637023094619	4.96694751369274e-20	0.101	0.058	0.043
Rps7	5.3675682791233e-24	0.832949235278025	9.61760884253313e-20	0.146	0.098	0.048
Rarb	6.37419530337862e-24	0.643618336744269	1.14212831445938e-19	0.342	0.282	0.0600000000000001
Sycp2	6.4605928678379e-24	-0.432650462922637	1.15760903005919e-19	0.146	0.215	0.069
Nrxn1	1.43191207462406e-23	-0.112752715025024	2.56570005531139e-19	0.996	0.999	0.003
Bicd1	1.80514617229423e-23	-0.160335087611588	3.2344609115168e-19	0.811	0.874	0.0629999999999999
Cpsf6	2.39409535309806e-23	-0.220071115705333	4.2897400536811e-19	0.543	0.655	0.112
Rpl21	2.84887568958597e-23	0.697258436570508	5.10461546060014e-19	0.2	0.15	0.05
Gpm6b	5.62092153308492e-23	0.417465782663415	1.00715672029816e-18	0.514	0.473	0.041
Itpr1	6.45641715363728e-23	0.336166928227617	1.15686082558873e-18	0.616	0.57	0.046
Rnpc3	1.11752263264867e-22	-0.302404894875478	2.00237705317989e-18	0.351	0.447	0.096
Rpl9	2.13214573609695e-22	0.765879541487033	3.82037872993852e-18	0.159	0.113	0.046
Nell2	6.16721230278996e-22	0.222357274073114	1.10504110041391e-17	0.514	0.455	0.059
D430041D05Rik	1.19785660682595e-21	0.265662049783348	2.14631946811074e-17	0.661	0.635	0.026
P2ry12	1.2777005034373e-21	-0.609816154869116	2.28938376205896e-17	0.079	0.128	0.049
Immp1l	1.7718191968164e-21	-0.337231225413545	3.17474563685563e-17	0.289	0.374	0.085
Rpl26	1.81251259623459e-21	0.924168045696434	3.24766006993314e-17	0.122	0.08	0.042
Luzp2	1.86904083052572e-21	-0.314770128379255	3.34894736013598e-17	0.519	0.594	0.075
Ablim2	8.00432642342876e-21	0.381079407477787	1.43421520854997e-16	0.563	0.541	0.0219999999999999
Fos	8.76790894559406e-21	2.96720060702298	1.57103392487154e-16	0.02	0.004	0.016
Kcnj3	9.25367391188982e-21	-0.269534978499386	1.65807329153242e-16	0.706	0.778	0.0720000000000001
Cntnap4	1.78472649100373e-20	-0.242252690851608	3.19787292658049e-16	0.427	0.508	0.081
Cdk14	1.90040819172067e-20	-0.208473240577429	3.4051513979251e-16	0.679	0.746	0.0669999999999999
Rgs9	1.96452358075317e-20	0.623387897161946	3.52003335199354e-16	0.32	0.267	0.053
Lysmd4	2.48483140995292e-20	-0.399857819231977	4.45232092035365e-16	0.17	0.237	0.067
Rpl34	3.50094750438405e-20	0.819351711618313	6.27299773835533e-16	0.128	0.087	0.041
Rps29	3.68174739284063e-20	0.921301877042132	6.59695497849183e-16	0.126	0.086	0.04
Rtn1	5.59757537377022e-20	0.194461477220288	1.00297355547215e-15	0.812	0.814	0.00199999999999989
Slc15a2	6.61880411593337e-20	-0.946109587570446	1.18595732149294e-15	0.022	0.049	0.027
Rpl12	6.77171528093122e-20	0.823366545250062	1.21335594403726e-15	0.138	0.096	0.042
Adcy8	8.65407881593839e-20	-0.264316301135008	1.55063784223984e-15	0.433	0.52	0.087
Camk4	1.26545057170331e-19	0.375805727190454	2.26743433437799e-15	0.535	0.494	0.041
Ndrg4	1.36123561135236e-19	0.357523824515411	2.43906196842116e-15	0.455	0.415	0.04
Fgf1	2.07711953492104e-19	-0.427031594023782	3.72178278267153e-15	0.184	0.249	0.065
Cpne4	2.37839013646424e-19	-0.365234965004561	4.26159944651662e-15	0.322	0.397	0.075
Pam	2.39128353167365e-19	-0.20551927869835	4.28470183205285e-15	0.774	0.822	0.0479999999999999
Ank3	2.66214504099133e-19	0.155392492921195	4.77003148444826e-15	0.991	0.996	0.005
Rpl37a	4.37223658215333e-19	0.7439512776105	7.83417350790233e-15	0.146	0.105	0.041
Wls	1.34766916567932e-18	-0.489326912028264	2.41475361106421e-14	0.111	0.163	0.052
Wac	1.41886221237389e-18	-0.217928388547577	2.54231731213153e-14	0.519	0.619	0.1
Pde4d	1.52238639651048e-18	-0.11059089095743	2.72781194526747e-14	0.9	0.947	0.0469999999999999
Filip1l	1.80685509225513e-18	-0.599807271052422	3.23752295430274e-14	0.093	0.14	0.047
Ano4	3.05706121114268e-18	-0.21758755938768	5.47764227812545e-14	0.597	0.671	0.0740000000000001
Ppm1e	4.65114125511515e-18	-0.257833856099608	8.33391490091532e-14	0.714	0.79	0.0760000000000001
Arhgap10	4.82060677954552e-18	0.542168382684468	8.63756322758965e-14	0.197	0.147	0.05
