gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Uty	1.4233613354378e-125	0.750942333747403	2.55037884083745e-121	0.412	0.2	0.212
Eif2s3y	8.35621759424232e-97	0.73731076872186	1.49726706853634e-92	0.325	0.153	0.172
Ube3a	2.74860498449043e-91	-0.481094758063374	4.92495041120995e-87	0.891	0.924	0.033
Prnp	7.22667030818585e-75	0.967640277933409	1.29487478582074e-70	0.266	0.137	0.129
Ddx3y	4.60406471505298e-70	1.00652630643796	8.24956315643193e-66	0.191	0.079	0.112
Ctnna3	8.29330228974798e-70	-0.579760537058192	1.48599390427704e-65	0.698	0.769	0.0710000000000001
Snhg11	1.97980839301866e-67	0.194642436916167	3.54742067861084e-63	0.999	0.998	0.001
Kdm5d	1.86213458140953e-60	0.81462945511828	3.33657274296959e-56	0.201	0.093	0.108
Unc5c	3.39037088724273e-49	-0.523977245002015	6.07486655576153e-45	0.686	0.766	0.08
Cacna1a	1.40121135845432e-47	0.236526398137561	2.51069051207846e-43	0.903	0.877	0.026
Rps21	1.33570132493701e-38	0.799266058343124	2.39330963402213e-34	0.168	0.091	0.077
Slc24a5	5.07631186972703e-36	-0.709712682375944	9.09573560817689e-32	0.263	0.334	0.071
Rps29	2.9086446278785e-34	1.01631567175591	5.2117094442327e-30	0.107	0.05	0.057
Rasgef1b	3.48572604876062e-30	-0.33461271770847	6.24572393416928e-26	0.447	0.546	0.099
Vwa5b2	1.27604711023512e-29	0.417617798087038	2.28642121211929e-25	0.323	0.23	0.093
Adamts17	1.31156939793551e-28	0.394968471268783	2.35007004722084e-24	0.354	0.259	0.095
Capn2	1.98626011582853e-27	0.49906718586616	3.55898087554156e-23	0.239	0.159	0.08
Olfm2	2.43152246064566e-27	0.40904496868282	4.35680194498489e-23	0.293	0.205	0.088
Zbtb16	8.92189262456275e-27	0.443436463609029	1.59862472046915e-22	0.263	0.183	0.08
Rpl13a	1.32010669186205e-26	0.79094188221936	2.36536717047842e-22	0.131	0.075	0.056
Rpl37a	2.06167445957433e-26	0.725115331876943	3.69410829666528e-22	0.121	0.066	0.055
Cadps	2.75453469429555e-26	0.120029043468488	4.93557526523877e-22	0.978	0.972	0.00600000000000001
Mroh1	3.02387812861041e-26	0.412374469072523	5.41818483084413e-22	0.278	0.193	0.085
Fgf14	9.49388672489035e-26	-0.187576738178397	1.70111462336585e-21	0.999	0.998	0.001
Rufy1	1.46343383174205e-25	0.375863963738988	2.6221807397154e-21	0.315	0.224	0.091
Nrbp2	1.68261361272566e-25	0.455432552043896	3.01490707128183e-21	0.262	0.181	0.081
Capn15	2.06354585105674e-25	0.409588833920426	3.69746145592346e-21	0.299	0.211	0.088
Dcc	2.99458273763431e-25	-0.278164287013336	5.36569334929315e-21	0.838	0.881	0.043
Nrg1	1.39366922800833e-24	-0.326579774304449	2.49717652274532e-20	0.857	0.899	0.042
