gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Scd2	6.64888665363387e-06	-7.78043273732264	0.119134751059812	0	0.189	0.189
Atp6v0b	2.01184521337247e-05	-2.79425654815636	0.36048242533208	0.068	0.351	0.283
Nr6a1	3.06003631421658e-05	-2.3688880047077	0.548297306781326	0.097	0.405	0.308
Papss1	3.26118254115974e-05	-7.22514168230982	0.584338687725003	0	0.162	0.162
Dock7	3.26118254115974e-05	-7.4722367308576	0.584338687725003	0	0.162	0.162
Psma3	3.26118254115974e-05	-7.74405383310582	0.584338687725003	0	0.162	0.162
Galk2	5.90297595146871e-05	-3.76208960315253	1	0.019	0.216	0.197
Ptprm	0.000130531451062745	1.42610517410997	1	0.67	0.297	0.373
Slc38a1	0.00015836966915135	-7.22916694687351	1	0	0.135	0.135
Ptn	0.000158395071981792	-7.06405778316898	1	0	0.135	0.135
Slc30a5	0.000158395071981792	-7.10737041785483	1	0	0.135	0.135
Slc25a36	0.000246116154204529	-4.76642502974552	1	0.01	0.162	0.152
Uty	0.000258432901725127	-4.67539384959463	1	0.01	0.162	0.152
Ppp6c	0.000271325820770907	-4.18568461566532	1	0.01	0.162	0.152
Mat2a	0.000271325820770907	-4.30685790650646	1	0.01	0.162	0.152
Atxn2	0.00028099020386835	-2.12447418829963	1	0.039	0.243	0.204
Lrpprc	0.000284789068137161	-4.35695987875887	1	0.01	0.162	0.152
Hnmt	0.000284819751463828	-4.20570400760746	1	0.01	0.162	0.152
Cspp1	0.000303054643017689	-3.43512076738168	1	0.019	0.189	0.17
Paxbp1	0.000344480121363425	-3.27394110091185	1	0.019	0.189	0.17
Wls	0.000348539119955184	-1.90518982926396	1	0.078	0.324	0.246
Npepps	0.000391156938446931	-2.93471253157577	1	0.019	0.189	0.17
Atxn7	0.000488545544011082	4.01103462927507	1	0.311	0.027	0.284
P2rx4	0.000506417395483133	-2.18664642428268	1	0.058	0.27	0.212
Smad3	0.000553683805294298	2.43192767169013	1	0.388	0.081	0.307
Srsf5	0.000565717252889054	-1.2811702568311	1	0.291	0.595	0.304
Supt3	0.000661019919845865	3.30405995529841	1	0.34	0.054	0.286
Eif2s1	0.000663845150046902	-2.55417877385851	1	0.049	0.243	0.194
Ptpre	0.000765567423661141	-6.30603670925535	1	0	0.108	0.108
Grm3	0.000765689991082656	-7.53445135079196	1	0	0.108	0.108
Dennd2a	0.000765689991082656	-6.6330694575147	1	0	0.108	0.108
C2cd5	0.000765689991082656	-6.26736878792246	1	0	0.108	0.108
Uqcrc2	0.000765689991082656	-6.73504699998114	1	0	0.108	0.108
Dnaja2	0.000765689991082656	-6.8906409899852	1	0	0.108	0.108
Gnpat	0.000765689991082656	-6.77711980675825	1	0	0.108	0.108
Gramd1b	0.000765689991082656	-6.89134192139362	1	0	0.108	0.108
Ptpn9	0.000765689991082656	-7.06319693203864	1	0	0.108	0.108
Nfyb	0.000765689991082656	-6.92948517520962	1	0	0.108	0.108
Tmx1	0.000765689991082656	-7.00981950765959	1	0	0.108	0.108
Adck5	0.000765689991082656	-7.06600589031888	1	0	0.108	0.108
Cluap1	0.000765689991082656	-6.76567712841586	1	0	0.108	0.108
Dnajb11	0.000765689991082656	-7.19538046176214	1	0	0.108	0.108
Zfp654	0.000765689991082656	-6.9767483594778	1	0	0.108	0.108
Zdhhc6	0.000765689991082656	-6.60970728459574	1	0	0.108	0.108
Rab11fip2	0.000765689991082656	-6.73410210745266	1	0	0.108	0.108
Akap17b	0.000765689991082656	-6.81479082253678	1	0	0.108	0.108
Kdm5d	0.000765689991082656	-6.84663943790501	1	0	0.108	0.108
Eif2s3y	0.000765689991082656	-6.82183843975006	1	0	0.108	0.108
Sec14l1	0.000815299850560289	3.42842775342123	1	0.301	0.027	0.274
Nfyc	0.000888688343727992	-2.65380369746827	1	0.068	0.27	0.202
Mapk14	0.000901447541663189	1.65155760279015	1	0.592	0.297	0.295
Rras2	0.00125322890774569	-2.12180424689767	1	0.039	0.216	0.177
Iqsec2	0.00134138902508985	-2.64905605935753	1	0.029	0.189	0.16
Trim47	0.00135035900168759	-3.8951271560661	1	0.01	0.135	0.125
Kdm3a	0.00135049251441865	-3.87961830948751	1	0.01	0.135	0.125
Ubp1	0.00135049251441865	-3.68385515233321	1	0.01	0.135	0.125
Zbtb44	0.00136880864676997	-3.64739891688584	1	0.019	0.162	0.143
Gnai3	0.00141505889736767	-3.32624071699153	1	0.01	0.135	0.125
Dbi	0.00148246074426338	-1.80502902874893	1	0.01	0.135	0.125
Zcchc8	0.00154600366008113	-2.93373736280412	1	0.019	0.162	0.143
Sptbn1	0.00155275918563745	-2.67265204595415	1	0.029	0.189	0.16
Uhrf2	0.00167564142464174	-2.37718548810638	1	0.058	0.243	0.185
Zdhhc9	0.00177923655625414	-2.10059206084073	1	0.058	0.243	0.185
Xrn1	0.00184448265072027	-1.92272859544159	1	0.087	0.297	0.21
Cyp27a1	0.00206458545840222	-2.03817671723284	1	0.058	0.243	0.185
Ptprj	0.00213984649315458	0.920628109647681	1	0.786	0.676	0.11
Cul3	0.00234289400038061	-1.81719254561321	1	0.097	0.297	0.2
Ppp2r5c	0.00250032783713406	2.50614004937981	1	0.301	0.054	0.247
Clip1	0.0025400106433928	-1.94579273393128	1	0.078	0.27	0.192
Ccdc93	0.00258862382965609	-1.61366113323291	1	0.155	0.378	0.223
Ino80d	0.00267570306541108	-1.55069932533343	1	0.126	0.351	0.225
Glg1	0.00291169470814588	-2.33818335245691	1	0.068	0.243	0.175
Senp7	0.00292767320668252	-2.10012071933374	1	0.049	0.216	0.167
Kif21b	0.00309278233559609	2.57818927549	1	0.311	0.081	0.23
