gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atxn7	9.72427950347309e-08	3.5413547727647	0.00174239640143231	0.375	0.049	0.326
Ankhd1	1.95645720181039e-05	-1.46765745666414	0.350558001420386	0.25	0.543	0.293
Ptprj	4.70890383813763e-05	0.963996231887048	0.843741389717501	0.821	0.654	0.167
Prune2	6.18392210952846e-05	-3.68700359185533	1	0.027	0.198	0.171
Pcyt1a	6.32981693294762e-05	-7.15630323308892	1	0	0.136	0.136
Nup98	6.69486529485814e-05	-2.78835465472207	1	0.036	0.222	0.186
Gpbp1l1	7.08551381766826e-05	-2.64904781663591	1	0.054	0.247	0.193
Mbnl2	8.57027348777585e-05	-1.37287443521511	1	0.214	0.481	0.267
Brwd1	9.83780006052261e-05	-2.54510693192713	1	0.027	0.198	0.171
Acap2	0.000104246277104451	1.19570294379382	1	0.562	0.358	0.204
Hapstr1	0.000116977411515803	-2.68513190303524	1	0.036	0.21	0.174
Lima1	0.000127814225772802	-2.98532201418948	1	0.018	0.173	0.155
Stx4a	0.000142578115886996	-6.84396173754501	1	0	0.123	0.123
Cdkl3	0.000142578115886996	-7.09036789069165	1	0	0.123	0.123
Ptchd1	0.000142578115886996	-6.941464797489	1	0	0.123	0.123
Kdm5d	0.000142578115886996	-7.08395629344131	1	0	0.123	0.123
Arhgef12	0.000159413430307432	-1.51959774770747	1	0.089	0.309	0.22
Reep3	0.000160096820794235	-2.55630411461043	1	0.054	0.235	0.181
Rbm27	0.000164400361152754	-3.4750929750232	1	0.009	0.148	0.139
Abr	0.000167040465282756	-1.84950325625439	1	0.089	0.309	0.22
Fth1	0.00017458521960188	-1.50715428962932	1	0.116	0.346	0.23
Ss18	0.000216466866746238	-1.7031625497293	1	0.107	0.321	0.214
Snta1	0.000226380415670703	3.33002830355928	1	0.205	0.025	0.18
Atp8a1	0.000231534702680015	-1.0223793332187	1	0.384	0.654	0.27
Srsf5	0.000248847231145197	-1.08056603038149	1	0.179	0.432	0.253
Eri3	0.000256424224090123	-1.12482505180493	1	0.152	0.383	0.231
Rps18	0.000319916247827566	-6.54389422140547	1	0	0.111	0.111
Zfp236	0.000330112531751737	-3.99164902886274	1	0.009	0.136	0.127
Rap2a	0.000354631481711154	-4.0703444709123	1	0.009	0.136	0.127
Arhgef18	0.000358491539830407	-1.97473859465698	1	0.018	0.16	0.142
Rasa3	0.000376190205875579	-2.2743709714529	1	0.045	0.21	0.165
Ktn1	0.000390790422715578	-2.09706820499883	1	0.054	0.222	0.168
Vamp4	0.000420321506846865	-3.05897696162362	1	0.027	0.173	0.146
Ank	0.000421446430903181	-1.63248826556393	1	0.071	0.259	0.188
Atad2b	0.000488668546632435	-1.46434892181628	1	0.143	0.358	0.215
Prag1	0.000493074735523833	-2.16731497583206	1	0.027	0.173	0.146
Nrd1	0.00050933240622639	-2.01019444606978	1	0.045	0.21	0.165
Nos1ap	0.000529902864657198	3.18722595053933	1	0.205	0.037	0.168
Gns	0.000572036639748733	-0.877803938709682	1	0.241	0.481	0.24
Vmp1	0.000606112804075611	-2.45295592700367	1	0.018	0.148	0.13
Btbd7	0.000618378413275756	1.82747024936034	1	0.348	0.148	0.2
Tnpo3	0.000629255408733246	-1.84349269339671	1	0.054	0.222	0.168
Cdk9	0.000715734623401371	-6.47738296668743	1	0	0.099	0.099
Rnh1	0.000715734623401371	-6.63948823946649	1	0	0.099	0.099
Aplp2	0.000715734623401371	-6.28816493475022	1	0	0.099	0.099
Phf1	0.000715734623401371	-6.68035267883996	1	0	0.099	0.099
