gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Cadm1	9.69072336287479e-10	1.25278006053832	1.7363838121599e-05	0.613	0.293	0.32
Lyst	1.96204769813309e-08	2.17713883377658	0.000351559706551487	0.352	0.093	0.259
Magi2	3.89222030370221e-08	-2.01487370037658	0.000697408034017361	0.065	0.279	0.214
Chst11	5.93378853722014e-08	2.29470069541028	0.0010632162300991	0.3	0.057	0.243
Cacna1d	7.85801506693429e-08	2.55942388178037	0.00140799913969329	0.326	0.093	0.233
Bank1	9.24499064540233e-08	-1.31365857394918	0.00165651742384319	0.213	0.464	0.251
Marchf3	1.09866606578114e-07	4.51804395904945	0.00196858985666665	0.222	0.021	0.201
Ptk2b	1.28220689358299e-07	2.36368758375883	0.00229745831192201	0.326	0.086	0.24
Cmip	1.47887366509413e-07	1.21540805266863	0.00264984583311566	0.5	0.229	0.271
Gpcpd1	4.38990002268232e-07	-1.97622365638586	0.00786582286064219	0.1	0.293	0.193
Serpine2	1.07674197539134e-06	4.33501459415191	0.0192930627150621	0.183	0.014	0.169
Tbc1d8	1.28600759440949e-06	2.74852167226246	0.0230426840766292	0.27	0.071	0.199
Acaca	1.34832277695928e-06	3.90579891344827	0.0241592475175563	0.183	0.014	0.169
Tmem131l	1.60496019270752e-06	3.75341208987841	0.0287576767329333	0.191	0.021	0.17
Phf12	2.62490264538964e-06	2.03481819310803	0.0470330056000916	0.243	0.05	0.193
Asph	2.92255558048457e-06	1.39820552409448	0.0523663508911225	0.522	0.3	0.222
R3hdm2	3.21207068330976e-06	2.95097926622451	0.0575538825035443	0.209	0.036	0.173
Fgr	3.73795735730036e-06	4.66321114426575	0.0669767199281079	0.157	0.007	0.15
Ctsb	6.05001742132998e-06	1.5608820816641	0.108404212155391	0.343	0.129	0.214
Atg4c	6.23522173097169e-06	-3.09933117178407	0.111722702975551	0.022	0.143	0.121
Agmo	6.93737880870685e-06	-0.83958976008006	0.124303953494409	0.478	0.679	0.201
Trim30a	1.04206916083991e-05	1.02913062745123	0.186717952239295	0.43	0.193	0.237
Mbp	1.09165934771396e-05	-2.42136032085969	0.195603521923387	0.039	0.171	0.132
Arih2	1.21086983186838e-05	1.78983792340404	0.216963656474176	0.243	0.064	0.179
Mef2a	1.3197534038778e-05	-0.445696711558301	0.236473414906825	0.93	0.95	0.0199999999999999
Ptpro	1.55184431573908e-05	3.44397939323717	0.278059464494129	0.165	0.021	0.144
Celf2	1.58617522857997e-05	0.803922913853141	0.284210877456959	0.574	0.307	0.267
Plxna4	1.70041983641144e-05	-0.824972253205019	0.304681226288202	0.261	0.457	0.196
Prune2	1.84610502030956e-05	7.46672694932179	0.330785097539067	0.122	0	0.122
Cers6	1.84611503200004e-05	7.45988455261861	0.330786891433768	0.122	0	0.122
Abr	1.9344225150803e-05	1.65831048717736	0.346609826252088	0.287	0.1	0.187
Camsap1	2.22943672815376e-05	3.01473989170104	0.399470472950591	0.174	0.029	0.145
Nav2	2.34431414939951e-05	-0.510598837866974	0.420054209289404	0.883	0.871	0.012
Asah1	2.48679077345616e-05	2.5796704285432	0.445583170787875	0.213	0.057	0.156
Axl	2.52029614756555e-05	3.77141823804994	0.451586663720795	0.148	0.014	0.134
Rnf20	2.69467022758702e-05	-2.78915428437349	0.482831011379043	0.017	0.121	0.104
Chic2	2.7735895122489e-05	2.36229024816477	0.496971768804759	0.2	0.043	0.157
Hif1a	3.07269191323308e-05	2.16314531141684	0.550564937013103	0.217	0.057	0.16
Arid1b	3.25420101599013e-05	1.03625854652313	0.583087738045112	0.504	0.314	0.19
Csf2ra	3.36220780304653e-05	3.4599066109586	0.602440394149877	0.157	0.021	0.136
Prkca	3.68554956709487e-05	-0.683990892127069	0.66037677143206	0.33	0.543	0.213
Zdhhc9	3.80592500204704e-05	-3.6641274160201	0.681945641866788	0.013	0.107	0.094
Adcy9	3.87180655060211e-05	-1.79150083364462	0.693750297736886	0.083	0.229	0.146
Ctbp1	3.93244406875101e-05	-4.18296727246659	0.704615328238807	0.004	0.086	0.082
Mfng	4.04088941258566e-05	-3.94828279829803	0.724046564947099	0.004	0.086	0.082
Fbxw11	4.07259417613811e-05	1.45049790326701	0.729727424480427	0.361	0.171	0.19
Ipcef1	4.31655751574051e-05	1.34236806435925	0.773440775670385	0.252	0.079	0.173
Rasa1	4.62808226321484e-05	1.34654839186727	0.829259779922835	0.317	0.129	0.188
D7Ertd443e	4.83339452173907e-05	-2.86230576943617	0.866047630405207	0.035	0.15	0.115
App	5.0267514500529e-05	-1.2073205070976	0.900693324820479	0.13	0.3	0.17
Rai14	5.57965674751003e-05	7.40568022353784	0.999762896018847	0.109	0	0.109
Rab14	5.67209099435833e-05	1.21070351622898	1	0.378	0.186	0.192
Gsap	5.70732265082479e-05	1.0326833962631	1	0.439	0.236	0.203
Ankrd44	6.32613289729254e-05	-0.570802419945233	1	0.713	0.829	0.116
Pum1	6.51245909606387e-05	1.22788271766027	1	0.317	0.129	0.188
St3gal6	6.78223899612787e-05	-0.634767301420531	1	0.422	0.6	0.178
Bcl2	6.81706900643413e-05	4.60608140319892	1	0.135	0.014	0.121
Fnbp1	7.63599877158206e-05	-0.868149791364088	1	0.391	0.564	0.173
Timp2	7.64715208339946e-05	2.901836794191	1	0.161	0.029	0.132
Msi2	7.82464482401406e-05	-1.45810558492618	1	0.152	0.314	0.162
Pak1	7.86979850658673e-05	-1.50103315762748	1	0.091	0.236	0.145
Lrp1	8.1832089390598e-05	1.32048228366474	1	0.33	0.15	0.18
Foxp1	8.73840605804268e-05	-0.887479711293362	1	0.387	0.579	0.192
Zfp952	8.88806357672974e-05	-4.60217408233435	1	0.004	0.079	0.075
Larp1	8.89473027774662e-05	1.46880891454279	1	0.265	0.093	0.172
Akt3	9.04576112366291e-05	1.06722577940424	1	0.296	0.107	0.189
Fmn1	9.20789021844746e-05	1.83966978627571	1	0.191	0.043	0.148
Zdhhc14	9.54338289202865e-05	-1.94813322673917	1	0.104	0.243	0.139
Adgra3	0.000102192401870622	-7.32637372661473	1	0	0.064	0.064
Srsf10	0.000107819262693258	2.77612179905413	1	0.157	0.029	0.128
Eif4a1	0.000113456094892583	3.3467667530667	1	0.13	0.014	0.116
Slc43a2	0.000115915696105945	6.73766463434053	1	0.1	0	0.1
Otud4	0.000117237302672246	2.04801135821384	1	0.157	0.029	0.128
Pde4d	0.000127982599999682	-2.57239987489286	1	0.035	0.143	0.108
Ptpre	0.000134347790795475	2.92102370870071	1	0.152	0.029	0.123
St8sia6	0.00013544917259359	2.86394415487338	1	0.143	0.021	0.122
Zfp217	0.000137421286412786	3.33181956833724	1	0.139	0.021	0.118
Socs5	0.000145908827535424	-3.2848923268354	1	0.022	0.114	0.092
Csnk1g3	0.000146317249738502	1.6741879950684	1	0.191	0.05	0.141
Golgb1	0.000148126442152616	2.37404406970226	1	0.157	0.029	0.128
Tm9sf2	0.000148304214801555	1.73743412056361	1	0.191	0.05	0.141
