gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Fgf13	1.51991062361928e-05	2.40399397499051	0.272337585540102	0.635	0.189	0.446
Atp8a1	4.33266444886237e-05	1.11375924833019	0.776326815947159	0.778	0.324	0.454
Zdhhc9	4.70299088412585e-05	-7.7492816862697	0.842681906617671	0	0.243	0.243
Cadm1	5.67467465304308e-05	1.28009836463861	1	0.667	0.216	0.451
Man1a	7.13628423018968e-05	-2.80204817054895	1	0.127	0.459	0.332
Camk1d	0.000146678214353401	1.57436392130356	1	0.746	0.405	0.341
Taok3	0.000173170114120768	2.37940702605401	1	0.476	0.108	0.368
Chst11	0.00019935839924284	2.93934311698672	1	0.413	0.054	0.359
Bicral	0.000369700358895504	-3.55399470007553	1	0.032	0.27	0.238
Scd2	0.000383952811007337	-7.07121213363934	1	0	0.189	0.189
Abr	0.000491664117534666	2.42583848809556	1	0.381	0.054	0.327
Asph	0.000578176154119858	1.88050081309813	1	0.54	0.216	0.324
Ppp4r3a	0.000613286714996691	6.38420275102309	1	0.27	0	0.27
Marchf3	0.000613286714996691	7.80038738167387	1	0.27	0	0.27
Ppp6r3	0.000714672710325608	-2.34694467375515	1	0.063	0.324	0.261
Apbb2	0.000794736032354698	1.53176078242394	1	0.587	0.27	0.317
Slc24a3	0.000846386610588795	-1.81711099862814	1	0.048	0.297	0.249
Hk2	0.000870516270578577	1.86654992196676	1	0.492	0.189	0.303
Galk2	0.000893466223612187	-3.43937113461761	1	0.016	0.216	0.2
Prune2	0.000947791298956091	6.8943527785289	1	0.254	0	0.254
Hnmt	0.00107744689241993	-6.54484642548556	1	0	0.162	0.162
Papss1	0.00107744689241993	-6.51592107862651	1	0	0.162	0.162
Zcchc8	0.00107744689241993	-6.66156307620494	1	0	0.162	0.162
Ctps2	0.00111573202836928	-3.16364533412682	1	0.032	0.243	0.211
Fbxl17	0.00119888044884736	1.06477168973063	1	0.778	0.405	0.373
Rnase4	0.00120619747206793	-3.39441090906167	1	0.048	0.27	0.222
Kansl1	0.00133319849157626	0.897876015215862	1	0.825	0.568	0.257
Bank1	0.00145256642254995	-1.3808960409497	1	0.19	0.486	0.296
Fnip2	0.00153784956018924	2.01336113880876	1	0.444	0.135	0.309
Nr6a1	0.00154177293687996	-1.80029858176299	1	0.127	0.405	0.278
Cmip	0.00158332145758232	1.97875361040367	1	0.444	0.162	0.282
Prkch	0.00176195582283325	2.13921669216517	1	0.413	0.135	0.278
Dock2	0.0017754146706511	0.741096111996205	1	0.889	0.703	0.186
Scfd2	0.00186471667938078	-4.62618458204378	1	0.016	0.189	0.173
Nav2	0.00186626649370519	-0.934961275156818	1	0.921	0.865	0.056
Crebbp	0.00187118980690086	1.51536529354321	1	0.508	0.189	0.319
Lcorl	0.00218142744997619	-2.62582923093082	1	0.095	0.324	0.229
Serpine2	0.00222028985672566	6.29478461170935	1	0.222	0	0.222
Dgkz	0.00222028985672566	6.2090539121255	1	0.222	0	0.222
Plcl2	0.00222375342010665	-0.871764955547322	1	0.54	0.757	0.217
Sirpa	0.00225235506573884	1.02545229950546	1	0.714	0.432	0.282
Rock2	0.00228222485457947	-1.31880986608379	1	0.333	0.622	0.289
Tbc1d23	0.00234894891128725	2.26328652200335	1	0.349	0.081	0.268
Wsb1	0.00250759933166021	1.79869722250711	1	0.365	0.081	0.284
Plxdc1	0.00264945257635283	3.17228186673813	1	0.27	0.027	0.243
Cd300a	0.00291818170332247	-2.62138073773573	1	0.063	0.27	0.207
Basp1	0.00295008303952988	1.74913336020508	1	0.444	0.162	0.282
Tfdp2	0.00299799257418845	-6.09256744362742	1	0	0.135	0.135
Ust	0.00299799257418845	-6.20299709496094	1	0	0.135	0.135
Ptgds	0.00299860154809085	-6.59095983444125	1	0	0.135	0.135
Ints8	0.00299860154809085	-6.11316006240224	1	0	0.135	0.135
Il16	0.00299860154809085	-6.85737404897265	1	0	0.135	0.135
D7Ertd443e	0.00299860154809085	-6.81059133539797	1	0	0.135	0.135
Tent5a	0.00299860154809085	-6.77026012022333	1	0	0.135	0.135
Slf1	0.00299860154809085	-6.27319562993013	1	0	0.135	0.135
Pkp4	0.00311102861994806	3.38050780620101	1	0.254	0.027	0.227
Ipcef1	0.00322288136905363	3.69539766856803	1	0.254	0.027	0.227
Xrn1	0.00326051273950996	-1.91791314147803	1	0.079	0.297	0.218
Rras2	0.00326491900725861	-2.12724620476638	1	0.032	0.216	0.184
Oxct1	0.00336792755232856	6.36763438512539	1	0.206	0	0.206
Ogdh	0.00352538682144024	2.6671625664479	1	0.302	0.054	0.248
Ino80d	0.00352538682144024	-1.98610387522804	1	0.127	0.351	0.224
Ly6e	0.00375863634475131	1.97943736147781	1	0.302	0.054	0.248
Spata5	0.00375884184610349	2.47376365071163	1	0.302	0.054	0.248
Cryl1	0.00399515907906714	-2.32696745774377	1	0.111	0.324	0.213
Srsf5	0.00426075823195046	-1.25520084005491	1	0.349	0.595	0.246
Eif2s1	0.00498228810397966	-2.04659642849937	1	0.048	0.243	0.195
Nsmce2	0.00498362430829166	1.61865041969388	1	0.444	0.189	0.255
Bcl2	0.00508101809725423	7.4846231594923	1	0.19	0	0.19
Dock7	0.00523382175591299	-3.89174032764846	1	0.016	0.162	0.146
Il17ra	0.00523382175591299	-4.30886126334393	1	0.016	0.162	0.146
Arpc2	0.00540743624729663	0.944198936942478	1	0.508	0.216	0.292
Mbnl1	0.00546567440923505	-0.577673007990234	1	0.905	0.919	0.014
Tlk1	0.00547955462260316	2.03494395789083	1	0.302	0.054	0.248
Hibadh	0.00550087545785724	-3.67609955240224	1	0.016	0.162	0.146
Hps4	0.00561156499825838	2.48003249447993	1	0.317	0.081	0.236
Sat1	0.00572355918992885	2.00294982828554	1	0.349	0.108	0.241
Mef2c	0.005749593441064	-0.639224309953575	1	0.825	0.973	0.148
Ubl3	0.00578064638112113	2.17869256662045	1	0.317	0.081	0.236
Ankrd11	0.00630567693399703	0.950138706352597	1	0.619	0.405	0.214
Ahcyl2	0.00637741856059557	-3.4614120849626	1	0.016	0.162	0.146
Dpy19l4	0.00647093030955669	2.37409633321134	1	0.333	0.108	0.225
Ctsz	0.00659876609730548	1.53541369631539	1	0.333	0.081	0.252
