gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Fnbp1	2.7755274075383e-08	-1.9686345098443	0.000497319000882712	0.074	0.331	0.257
Galnt17	7.52396133672275e-08	2.42424341572507	0.00134814339231398	0.344	0.079	0.265
Stag1	4.50755876403174e-07	1.5702942626962	0.00807664379339207	0.534	0.276	0.258
Mast4	1.11729534055033e-06	0.663823443904834	0.0200196979119808	0.92	0.85	0.0700000000000001
Sec24b	5.56512618210972e-06	3.70863728813704	0.099715930931042	0.184	0.016	0.168
Mef2c	6.65840063380979e-06	-1.61485573920411	0.119305222556604	0.209	0.433	0.224
Hlf	1.37668512996102e-05	-1.41526328616971	0.246674441586416	0.166	0.394	0.228
Cst3	1.40180856174033e-05	-2.0711806160305	0.251176058092633	0.08	0.26	0.18
Zeb2	1.41584160028737e-05	-1.02181983637189	0.25369049793949	0.301	0.535	0.234
Chd6	2.79231237161448e-05	1.25848205691366	0.500326530745883	0.387	0.157	0.23
Dbp	3.42232511671285e-05	-1.86623703237635	0.613212214412608	0.049	0.213	0.164
Tbl1x	9.42596884118887e-05	1.05561016529104	1	0.38	0.165	0.215
Ecpas	9.66829753493199e-05	2.0440245620303	1	0.166	0.024	0.142
Numa1	0.000100482307642953	2.54971814148282	1	0.166	0.024	0.142
Camk1d	0.000116941799699293	-3.55146094375322	1	0.018	0.134	0.116
Per2	0.000137474009937268	-2.59862146996804	1	0.031	0.157	0.126
Zfp462	0.000178677138951703	4.37172616502412	1	0.123	0.008	0.115
Rock2	0.00019085472150941	-1.06227966977188	1	0.319	0.52	0.201
Ttc7b	0.000210089487647475	3.38524199902385	1	0.123	0.008	0.115
Dpp8	0.000251713100554395	-2.21619888743459	1	0.055	0.189	0.134
Pag1	0.000264944219789591	-3.82107532069739	1	0.012	0.11	0.098
Ndufaf4	0.000276156658451144	-7.4850169776336	1	0	0.079	0.079
Map2k6	0.000276156658451144	-7.45950781790048	1	0	0.079	0.079
Ndel1	0.000291888511100879	7.01338937179488	1	0.098	0	0.098
Thra	0.000291888511100879	7.29499448144161	1	0.098	0	0.098
Nap1l4	0.000304464924727716	3.62126801899937	1	0.117	0.008	0.109
P2ry14	0.00030925184514318	1.69289752755552	1	0.276	0.102	0.174
9930021J03Rik	0.000315008870791126	1.79244917720363	1	0.178	0.039	0.139
Mtdh	0.000342295649159577	-1.3439264331814	1	0.19	0.346	0.156
Serpini1	0.000405946287169698	-1.776725162347	1	0.117	0.268	0.151
Prex2	0.000424199953898772	-0.927816924554498	1	0.405	0.583	0.178
Cnot10	0.000436187526683686	2.33235956881052	1	0.172	0.039	0.133
Klhl13	0.000438811769148799	2.32326278241467	1	0.16	0.031	0.129
Cdk8	0.000450400020079004	-1.48093089719233	1	0.08	0.22	0.14
Vamp4	0.000467766288016802	-2.42859040863164	1	0.031	0.142	0.111
Aopep	0.000484635582566289	0.965012029789614	1	0.552	0.362	0.19
Fam133b	0.000502834417431669	-2.55864616275977	1	0.037	0.15	0.113
Rit1	0.000573535156540272	-7.05135581133861	1	0	0.071	0.071
Slc25a33	0.000573535156540272	-7.37676912878389	1	0	0.071	0.071
Sf3b3	0.000630008309060648	-2.16278223334895	1	0.037	0.15	0.113
Sesn1	0.000651313278791585	1.18143158089686	1	0.282	0.118	0.164
Chd9	0.000703079091813344	-1.32567992347785	1	0.202	0.354	0.152
Tnrc6a	0.000725006109793863	-1.10611474487397	1	0.264	0.417	0.153
Terf1	0.000732950281761331	1.82757537703865	1	0.19	0.055	0.135
Sbf2	0.000822300333748863	0.48371829602655	1	0.62	0.362	0.258
Runx1t1	0.000919082417518776	1.79477671024303	1	0.245	0.102	0.143
Cask	0.000934905257070263	1.39796925532324	1	0.27	0.11	0.16
D5Ertd579e	0.000956872505865932	-1.98714906266435	1	0.074	0.197	0.123
Rptor	0.00106117986452359	-1.78589835403016	1	0.055	0.173	0.118
Ttc39b	0.00106436022551603	2.79953204921602	1	0.129	0.024	0.105
Zfp266	0.00109225942730787	4.3397924166149	1	0.098	0.008	0.09
Git2	0.0011187396585719	-2.00011400006707	1	0.031	0.134	0.103
Cystm1	0.00116346725199303	6.78082526880691	1	0.08	0	0.08
Ppp1r12b	0.00117156462787529	0.667435595254524	1	0.411	0.213	0.198
Zcchc8	0.00123149300086191	-2.69939254495441	1	0.025	0.118	0.093
Glud1	0.00128824152374928	-1.67539292808884	1	0.086	0.213	0.127
Dgkd	0.00130216432884854	-3.95017569205859	1	0.006	0.079	0.073
Sil1	0.00135311843340209	2.31807548240923	1	0.153	0.039	0.114
Gbf1	0.00146022726987427	2.0136173216006	1	0.196	0.071	0.125
