gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Serpini1	2.20774492791553e-14	-5.70472130842876	3.95583736183905e-10	0.008	0.41	0.402
Mast4	6.01300755745388e-11	1.09730701221487	1.07741069414459e-06	0.954	0.916	0.0379999999999999
Galnt17	3.05393069149924e-09	5.96030952084968	5.47203301302834e-05	0.362	0.012	0.35
Dlc1	2.40943534653723e-07	0.569396333503384	0.0043172262539254	1	0.988	0.012
Psd3	1.19939197153159e-06	1.24660304704513	0.021490705345903	0.754	0.482	0.272
Ndst3	2.12451069637948e-06	-1.86697174876989	0.0380669826577275	0.123	0.41	0.287
Per2	2.84715016562432e-06	-5.03484647913464	0.0510152366676566	0.008	0.181	0.173
Lin7a	1.40685761269449e-05	-1.65799079255604	0.252080747042598	0.254	0.518	0.264
Mrtfb	1.5273054437391e-05	-3.64409840831841	0.273662589409172	0.015	0.181	0.166
Ubr5	2.34299664399849e-05	-2.46618951984265	0.41981813867165	0.038	0.229	0.191
Lrch1	3.45195359075008e-05	-1.70159136440337	0.618521044390599	0.1	0.337	0.237
Brd1	3.66189504442045e-05	-3.54272001937329	0.656138354059257	0.015	0.169	0.154
Ankrd12	3.81327698708642e-05	-1.40015686245141	0.683262970546145	0.192	0.446	0.254
Fry	3.96529468158102e-05	0.70810367027699	0.710501501045687	0.954	0.928	0.0259999999999999
Ano4	4.51904363894197e-05	-1.27623658046666	0.809722239225623	0.285	0.53	0.245
Actn1	4.56601678992696e-05	-5.16122979725668	0.818138888419113	0.008	0.145	0.137
Clip1	4.83810498188408e-05	-2.01320096702337	0.866891650653989	0.046	0.241	0.195
Pakap	5.35120531796096e-05	-7.6617277625827	0.958828968872245	0	0.12	0.12
Mthfd1l	5.35120531796096e-05	-7.85186533545869	0.958828968872245	0	0.12	0.12
Ncoa7	5.35120531796096e-05	-7.49582402144852	0.958828968872245	0	0.12	0.12
Pde4d	5.85631040742279e-05	0.907516410375954	1	0.854	0.639	0.215
Khdrbs1	6.4522856480028e-05	-3.0400480471911	1	0.023	0.181	0.158
Atp13a5	9.25410901180526e-05	0.578637049762966	1	0.877	0.735	0.142
Sf3b2	0.00010845480582242	-4.77832011936889	1	0.008	0.133	0.125
Fbxo3	0.000109952597234343	-2.90961423077062	1	0.015	0.157	0.142
Akap11	0.000116327698528845	-4.24969372640863	1	0.008	0.133	0.125
Vps13a	0.000119138529510789	-2.4124342544886	1	0.038	0.205	0.167
Rnf152	0.000126404863571708	-1.36222512579031	1	0.115	0.337	0.222
Uty	0.000131847858079929	-7.27447700723949	1	0	0.108	0.108
Plxdc1	0.00015568103729936	1.81302075923552	1	0.438	0.217	0.221
Daam1	0.000161350475794878	1.02604503640207	1	0.562	0.337	0.225
Cysltr2	0.000169933769132602	1.89556094516533	1	0.315	0.096	0.219
Ube2g1	0.000184820532145479	-3.47488803654284	1	0.015	0.145	0.13
Ptprk	0.000200180206903939	0.511192529736341	1	0.9	0.795	0.105
Cbl	0.000202476863579836	-2.26005553596484	1	0.023	0.169	0.146
Armc8	0.000207735344929712	-2.43648892340336	1	0.031	0.181	0.15
Arap2	0.000241141723854455	1.43305741177688	1	0.377	0.145	0.232
Trpc3	0.000252295512819159	0.81008790292152	1	0.815	0.602	0.213
Ntrk3	0.00025819209504844	-2.41894726209649	1	0.015	0.145	0.13
Baz1b	0.000264056614216493	-1.96805130291758	1	0.069	0.241	0.172
Ubac2	0.000268472812230666	-4.36729758687082	1	0.008	0.12	0.112
Cep350	0.000278500186257	-1.72831998951202	1	0.085	0.277	0.192
Golga4	0.000281153224347848	-4.24146869498977	1	0.008	0.12	0.112
Atp13a3	0.000287701858672977	-4.13293760936615	1	0.008	0.12	0.112
Brwd1	0.000297308890935173	-1.94268748363019	1	0.069	0.241	0.172
Lama2	0.000312697043566923	0.967236326454811	1	0.8	0.651	0.149
Atp2c1	0.000318739843768903	-1.53765511447305	1	0.077	0.265	0.188
Slc44a1	0.000323901675418129	-7.39552526644118	1	0	0.096	0.096
Hspa12a	0.000323901675418129	-7.12747122084386	1	0	0.096	0.096
Kctd1	0.000344826872776665	-2.4311319315901	1	0.062	0.229	0.167
Auts2	0.0003780997326625	1.69346233216222	1	0.323	0.108	0.215
Actn4	0.00037929614434662	-1.56854507603108	1	0.146	0.349	0.203
Cltc	0.000424681677994101	-2.39785073637691	1	0.023	0.157	0.134
