gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ubr5	4.54654486019679e-09	3.31464491222515	8.14649908050061e-05	0.313	0.038	0.275
Aopep	1.61424090568024e-07	1.38302314585742	0.00289239685479786	0.552	0.269	0.283
Zeb2	2.01086067326742e-06	-1.0293938243839	0.0360306015436056	0.301	0.562	0.261
Ptpn9	2.23730173403977e-06	1.45846576108727	0.0400879724705246	0.466	0.215	0.251
Btbd3	3.30594320337986e-06	1.73118312855359	0.0592358903181603	0.276	0.062	0.214
Chd6	5.11943674312236e-06	1.38903619898221	0.0917300675632665	0.387	0.138	0.249
Ntrk3	9.83504298253776e-06	2.74905342247234	0.176224300161112	0.178	0.015	0.163
Trps1	1.99219864783578e-05	-0.99927029313982	0.356962153719214	0.331	0.538	0.207
Prpf4b	2.26487914404446e-05	1.23250651298872	0.405821045029886	0.429	0.192	0.237
Mical3	2.32986679074673e-05	3.27883286994414	0.417465531565999	0.178	0.023	0.155
Grb10	2.34700114585506e-05	1.60313746635152	0.420535665314309	0.356	0.138	0.218
Pakap	3.69952218198995e-05	7.75172996516122	0.662880384568959	0.123	0	0.123
Cnot10	3.73800137595267e-05	3.2088691627885	0.6697750865432	0.172	0.023	0.149
Ppp1r12b	3.75295346420164e-05	0.786279188134475	0.672454201715651	0.411	0.169	0.242
Sil1	4.53222556203282e-05	3.7024070676628	0.812084176205041	0.153	0.015	0.138
Ralgapa1	5.26436106794444e-05	0.891808422882593	0.943268216154285	0.497	0.246	0.251
Zbtb38	5.37706607401116e-05	2.06145436162746	0.96346269914132	0.233	0.062	0.171
Uqcc1	5.38210890335179e-05	4.54528478010079	0.964366273302574	0.135	0.008	0.127
Actn1	5.45078833302673e-05	5.25537488320191	0.97667225351173	0.135	0.008	0.127
Slit3	5.66184287735174e-05	4.97727386249032	1	0.135	0.008	0.127
Epb41	5.68259176621959e-05	1.8462503440628	1	0.172	0.023	0.149
Arap2	6.38512647413945e-05	-1.33286747207301	1	0.196	0.377	0.181
Sesn1	8.01205543621503e-05	1.55191337844652	1	0.282	0.1	0.182
Lrch1	8.95932046214295e-05	1.75022490201508	1	0.288	0.1	0.188
Dcaf1	0.000106902933749892	3.75266673255482	1	0.129	0.008	0.121
Arhgef7	0.000111141058274971	2.76446222798191	1	0.16	0.023	0.137
Actn4	0.00011385559740641	1.43282615061824	1	0.337	0.146	0.191
Col4a2	0.000157364435031555	1.14582879587779	1	0.319	0.115	0.204
Ralgapa2	0.000164597365236803	1.90037260360964	1	0.209	0.054	0.155
Lin7a	0.00017319464118744	1.41212209602072	1	0.442	0.254	0.188
Insr	0.000185356923986841	1.0826854206342	1	0.417	0.2	0.217
Fancc	0.000247185111477728	3.96756064060988	1	0.117	0.008	0.109
Ryr2	0.00024832481799242	8.11670278497696	1	0.098	0	0.098
Mark1	0.00025825758306965	1.39606554850429	1	0.411	0.223	0.188
Serpini1	0.000269545722986059	3.61649167066278	1	0.117	0.008	0.109
Cst3	0.000369536626915294	-1.79390796772174	1	0.08	0.223	0.143
Rps29	0.000397247040193712	-3.65496579299542	1	0.006	0.092	0.086
Uty	0.00039806119154874	7.2720983605027	1	0.092	0	0.092
Fam110b	0.000406622636859595	1.7550006333513	1	0.196	0.054	0.142
Trpm3	0.000421336582793994	-2.52475721697394	1	0.006	0.092	0.086
Atosa	0.000499601212465	1.52642700045028	1	0.301	0.131	0.17
Ndst3	0.000512702220736628	1.50152977642776	1	0.294	0.123	0.171
Ppm1l	0.000642242704839411	4.53428186322706	1	0.104	0.008	0.096
Erc1	0.000650146722441883	3.80846399124537	1	0.104	0.008	0.096
Atp2a2	0.000758323131711962	1.49093281321114	1	0.19	0.054	0.136
Runx1t1	0.000760838971438538	1.3280497208015	1	0.245	0.092	0.153
Eln	0.000762358374712853	1.81826449819747	1	0.196	0.062	0.134
Ldlrad4	0.000880347961947361	1.07836851781032	1	0.313	0.138	0.175
Mrtfb	0.000882654040970239	3.05929914122363	1	0.117	0.015	0.102
Tiparp	0.000996237563483344	-2.27954379853705	1	0.043	0.154	0.111
Glud1	0.0010022028527145	-1.71566564486774	1	0.086	0.215	0.129
Ankrd13c	0.00112352500331606	3.0963380055404	1	0.098	0.008	0.09
Ptn	0.00120263383031036	-0.605812030208649	1	0.589	0.723	0.134
Tom1l2	0.00136250608657483	1.99658456561135	1	0.166	0.046	0.12
Med13	0.00137110592042758	-1.21261216547802	1	0.141	0.285	0.144
Khdrbs1	0.00140217414170784	1.98637588200384	1	0.129	0.023	0.106
Terf1	0.00143351581880235	1.66555735410563	1	0.19	0.062	0.128
Ktn1	0.00144364627118851	1.55217350094544	1	0.221	0.085	0.136
Ano4	0.00151306900489545	0.8404988116653	1	0.442	0.285	0.157
Tor1aip2	0.00152343687390006	-2.67874579346328	1	0.025	0.115	0.09
Kcnma1	0.00152860250699025	1.1784920560173	1	0.202	0.069	0.133
Esyt2	0.00160188618518693	1.30293757373735	1	0.331	0.169	0.162
Lrp1	0.0016040445384056	-1.65147134429997	1	0.067	0.185	0.118
Rbm10	0.00162897717756966	6.70941101188932	1	0.074	0	0.074
Ttc33	0.00163146499046489	-3.39531456732727	1	0.006	0.077	0.071
Stk38l	0.00167444597130944	2.63528982455091	1	0.123	0.023	0.1
Akap11	0.00167615957194401	3.56401387988686	1	0.092	0.008	0.084
Rgs7bp	0.00172623457475839	2.61267110887933	1	0.123	0.023	0.1
Zfp638	0.00174280015839693	1.08676348364197	1	0.245	0.1	0.145
Atg12	0.00180134412291427	2.92559558660928	1	0.092	0.008	0.084
Itga1	0.00186036077593168	-0.511136582964463	1	0.804	0.831	0.0269999999999999
Sipa1	0.00195425816762247	-1.98689082297649	1	0.074	0.185	0.111
Ctdsp2	0.00195825421372364	2.15916312119361	1	0.123	0.023	0.1
Sema6d	0.0019854959399385	-2.14425970467189	1	0.049	0.154	0.105
Ppm1a	0.00213334700301199	2.99524688591141	1	0.104	0.015	0.089
Srcap	0.00219718013419841	1.58106346095797	1	0.202	0.077	0.125
Brd1	0.00232680247555888	2.74101373589932	1	0.104	0.015	0.089
Eif4g3	0.00232753806185325	-1.02456031572191	1	0.092	0.223	0.131
Vti1a	0.00239704715556259	0.710523584072094	1	0.307	0.146	0.161
Lcor	0.00241628331012383	1.7394109542612	1	0.16	0.046	0.114
Dlc1	0.00241967049907035	-0.23890153481565	1	0.994	1	0.00600000000000001
Flt1	0.00242946323398026	-0.900956678978245	1	0.184	0.331	0.147
Ubac2	0.00243919570115961	3.73348647457038	1	0.086	0.008	0.078
Ptpn13	0.00251046663525957	-1.14858682861682	1	0.08	0.2	0.12
Cilk1	0.00257195155719965	2.64022980164116	1	0.117	0.023	0.094
Nt5c2	0.00258386789742787	1.23016392504272	1	0.184	0.062	0.122
Arl15	0.00258828446717976	1.45125514017517	1	0.227	0.092	0.135
Slain2	0.00263138093235236	1.63581418095441	1	0.147	0.038	0.109
Tbc1d12	0.00264722553733522	2.12002666021301	1	0.104	0.015	0.089
Adcy5	0.00264795035763595	2.10071858506547	1	0.166	0.054	0.112
Slc7a1	0.00268466156333973	3.2817963843779	1	0.086	0.008	0.078
Adcy9	0.00270805541669913	0.84175812084466	1	0.485	0.323	0.162
Msantd2	0.00276205059463597	1.71114738924498	1	0.178	0.062	0.116
Ldha	0.00278436376054421	-6.56166275988103	1	0	0.054	0.054
Il4ra	0.00278436376054421	-6.70269457475027	1	0	0.054	0.054
Aspscr1	0.00278436376054421	-7.04097896483357	1	0	0.054	0.054
Trpc3	0.002806836966764	-0.416585927176453	1	0.656	0.815	0.159
Nap1l4	0.00284162911304386	2.17326654569929	1	0.117	0.023	0.094
Uvssa	0.00287360923504469	-1.58564441928539	1	0.067	0.177	0.11
Ajuba	0.00294971433247885	-2.63219000426979	1	0.025	0.108	0.083
Sorbs2	0.0029531734907707	1.06792420808504	1	0.276	0.131	0.145
Eif3j1	0.00298192068866736	-2.17742575490527	1	0.025	0.108	0.083
Chsy1	0.00300379900104646	-4.28109081355552	1	0.006	0.069	0.063
Pdxdc1	0.003061627598863	1.60115433396856	1	0.19	0.069	0.121
Pde3a	0.00309021774981321	0.795091013509118	1	0.558	0.392	0.166
Fbxo42	0.00316790792066564	1.8989273342871	1	0.117	0.023	0.094
