gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Pde10a	0	0.752756113978084	0	0.971	0.939	0.032
Mical2	8.74558005999715e-165	0.455532624428125	1.56703303515029e-160	0.877	0.826	0.051
Spred2	5.39158526073078e-153	0.514777857652974	9.66064247017742e-149	0.735	0.633	0.102
Homer1	1.16871775681726e-148	0.714585294820133	2.09410847666517e-144	0.852	0.815	0.037
ENSMUSG00000095041	6.00694521238856e-129	0.303682719258767	1.07632444315578e-124	0.931	0.861	0.0700000000000001
Egr1	2.02882363009983e-127	1.09733383390613	3.63524618041288e-123	0.234	0.119	0.115
Prnp	1.65775127413106e-126	0.544384491507501	2.97035873298803e-122	0.623	0.516	0.107
Dgki	2.9983210987031e-124	-0.241513320466324	5.37239174465621e-120	0.98	0.984	0.004
Egr3	7.35280082898791e-122	1.49984030848622	1.31747485253805e-117	0.164	0.07	0.094
Syt1	1.23999439837867e-118	-0.148118066721371	2.2218219630149e-114	1	1	0
Arc	1.24285460757092e-117	1.28116107733666	2.22694688584557e-113	0.157	0.065	0.092
Hecw2	1.03786477700384e-113	-0.255569786470217	1.85964610743548e-109	0.973	0.98	0.00700000000000001
Gfod1	9.0959172621904e-112	0.484645043837016	1.62980645503928e-107	0.676	0.591	0.0850000000000001
Hivep2	9.2012831233231e-107	0.230652485446993	1.64868591003703e-102	0.996	0.994	0.002
Etv5	3.88906176165731e-103	0.645395983772175	6.96842086453757e-99	0.417	0.295	0.122
Mast3	5.21041664446129e-102	0.629270964923822	9.33602454354574e-98	0.501	0.393	0.108
Hivep1	6.37031782169082e-100	0.637181521747336	1.14143354729056e-95	0.391	0.275	0.116
Calm1	2.83051936130436e-92	0.371817097192129	5.07172459158515e-88	0.7	0.618	0.082
Cx3cl1	1.46668340003757e-91	0.548067188021332	2.62800331618731e-87	0.442	0.335	0.107
Galnt9	4.21153133302756e-91	0.590934538132184	7.54622184251879e-87	0.439	0.324	0.115
Luc7l2	1.20058221333202e-90	-0.184621299561909	2.15120320984832e-86	0.985	0.987	0.002
Uty	6.35586547621092e-90	-0.421635302836198	1.13884397602747e-85	0.337	0.49	0.153
Adam23	3.65356522610629e-89	-0.272446598371464	6.54645817213724e-85	0.859	0.888	0.029
Ntrk2	6.17696381923713e-88	0.355868566381058	1.10678837713091e-83	0.971	0.96	0.011
Sik2	6.0629472555366e-85	0.532107001123165	1.08635888924705e-80	0.609	0.532	0.077
Sgsm1	6.57268902267852e-79	0.587095378113788	1.17769441908354e-74	0.451	0.359	0.092
Scn1b	6.21195690830439e-77	0.556598439408919	1.11305843882998e-72	0.375	0.277	0.098
Kcnj3	1.73969897213407e-76	-0.216207136906204	3.11719261826983e-72	0.938	0.948	0.01
Grin2b	5.78354806010006e-76	0.171885166527843	1.03629614140873e-71	0.997	0.998	0.001
Atp2b2	3.97608244288313e-73	0.261719369980282	7.124344521158e-69	0.94	0.909	0.0309999999999999
Cacng2	3.5918854456863e-71	0.456606013475432	6.43594034158072e-67	0.526	0.443	0.083
Dnajc1	2.36074898249961e-70	0.311993484574325	4.22999002684281e-66	0.826	0.778	0.0479999999999999
Enc1	3.69359707913503e-70	0.735642932670803	6.61818724639416e-66	0.268	0.183	0.085
Prickle1	1.87585810909207e-69	0.241579482401947	3.36116255987117e-65	0.966	0.952	0.014
Cap2	2.61864730658291e-69	0.293763646392094	4.69209224393525e-65	0.843	0.811	0.0319999999999999
Arntl	7.24663243444416e-68	0.431236743332153	1.2984515996037e-63	0.501	0.413	0.088
Prkn	1.1461782844867e-67	-0.20498774818042	2.05372225014327e-63	0.941	0.959	0.018
Fth1	7.61611436225583e-67	0.453316180128719	1.364655371429e-62	0.424	0.341	0.083
Mdga2	7.8269861477072e-67	-0.134347084443539	1.40243937794618e-62	0.998	0.999	0.001
Maml3	5.48910600902045e-66	0.566914924512017	9.83538014696285e-62	0.528	0.455	0.073
Lrrk2	6.32745224048327e-66	0.549771382740517	1.13375289244979e-61	0.525	0.46	0.065
Syt13	8.57895190023249e-66	0.449716975206717	1.53717660148366e-61	0.422	0.333	0.089
Atp6v0c	1.04445909554606e-64	0.515696961461652	1.87146180739942e-60	0.344	0.257	0.087
Nptx1	1.52960545932466e-64	0.658641499475882	2.74074706201793e-60	0.272	0.19	0.082
Scd2	3.57940194650777e-64	0.62680589554193	6.41357240775263e-60	0.241	0.164	0.077
Sorl1	5.56504911923628e-64	0.39901131933832	9.97145501184758e-60	0.625	0.559	0.0659999999999999
Hsp90ab1	5.12633353009347e-63	0.521495675670685	9.18536441922149e-59	0.314	0.228	0.086
Cbarp	8.85677816658968e-63	0.64167059649026	1.58695751188954e-58	0.268	0.188	0.08
Rab6b	1.30733685506669e-62	0.307239832977294	2.3424861769085e-58	0.667	0.606	0.0610000000000001
Cdk5r1	1.90412045606744e-61	0.597562008573026	3.41180303318164e-57	0.274	0.193	0.081
Atp1a1	2.3413528277624e-61	0.455607414002031	4.19523599678467e-57	0.514	0.433	0.081
Cmip	6.33315082543515e-61	0.279365775627717	1.13477396490147e-56	0.801	0.752	0.049
Pfkfb3	9.57336057258592e-60	1.04995194154634	1.71535474739595e-55	0.142	0.079	0.063
Shc3	1.44540905306734e-59	0.374082277866746	2.58988394128606e-55	0.518	0.436	0.082
Tmsb4x	2.00028807157594e-59	0.58516433116405	3.58411616664976e-55	0.276	0.199	0.077
Pcsk1n	2.34576711375007e-59	0.504419255102083	4.20314551441737e-55	0.284	0.204	0.08
Synj2	2.52997031340307e-59	0.537625437609207	4.53320080755562e-55	0.305	0.221	0.084
Purb	7.85095337985785e-59	0.545389557314735	1.40673382660293e-54	0.303	0.222	0.081
Fgf14	3.8014718743048e-58	-0.100934269026397	6.81147730437935e-54	1	1	0
Hsd17b12	5.50602999188838e-58	0.611163991393758	9.86570453946561e-54	0.258	0.18	0.078
Dynll2	8.07963078044401e-58	0.717917645115173	1.44770824323996e-53	0.211	0.139	0.072
Slc1a2	8.76516782450253e-58	0.283314065740064	1.57054277079436e-53	0.882	0.843	0.039
Nr4a1	1.27275972340731e-57	0.607826767382172	2.28053087240121e-53	0.297	0.218	0.079
Ubash3b	5.87709722620946e-57	0.895955086190846	1.05305828099221e-52	0.122	0.063	0.059
Spred1	3.04725730021168e-56	0.351582888539938	5.46007563051929e-52	0.657	0.613	0.044
Hspa8	7.6168928075531e-56	0.609060798723544	1.36479485325736e-51	0.23	0.156	0.074
Cbfa2t3	5.01096765677908e-54	0.903993761987116	8.97865184741675e-50	0.146	0.086	0.06
Bach2	1.24612732894368e-53	0.293591867025833	2.23281094800129e-49	0.585	0.504	0.081
Dbp	1.96862074161137e-53	-0.943742074539829	3.52737464481925e-49	0.073	0.134	0.061
Plekha5	5.32968536490767e-53	-0.173629123717947	9.54973023684157e-49	0.942	0.944	0.002
Dnajc21	1.80604706901529e-52	0.484151242074355	3.2360751382616e-48	0.39	0.311	0.079
Lingo1	2.973778592592e-52	0.288972172573409	5.32841648220635e-48	0.679	0.623	0.056
Dnaaf9	3.64830088211349e-51	-0.185976608950568	6.53702552057096e-47	0.931	0.941	0.0099999999999999
Scn2b	7.82910771108159e-51	0.593674475202602	1.4028195196716e-46	0.23	0.161	0.069
St8sia5	4.49229254280224e-50	0.419808861376563	8.04928977819306e-46	0.389	0.308	0.081
Ptprj	7.15801391800808e-50	0.254746352116435	1.28257293382869e-45	0.885	0.86	0.025
Gucy1a2	1.87561072873639e-49	-0.207707539643576	3.36071930374987e-45	0.883	0.899	0.016
Nuak1	2.74969274004863e-49	0.437257340901435	4.92689945161914e-45	0.384	0.308	0.076
Prkcb	6.73510115766802e-49	0.206211834842217	1.20679542543096e-44	0.963	0.946	0.017
Ddah1	1.64068887413753e-48	0.832299230961308	2.93978632467963e-44	0.145	0.086	0.059
Tef	1.80404582668043e-48	-0.392031362853934	3.232489312246e-44	0.462	0.556	0.094
Npas2	2.47105451389541e-48	0.272592927928468	4.4276354779978e-44	0.713	0.656	0.0569999999999999
Ptprn	6.45717239989052e-48	0.233061448689949	1.15699615061238e-43	0.764	0.722	0.042
Junb	1.06576166057155e-47	1.05090182671316	1.90963174341211e-43	0.11	0.06	0.05
Dok6	2.90631764354843e-47	-0.179584896577187	5.20753995371008e-43	0.927	0.942	0.0149999999999999
Serinc2	3.40036408682218e-47	0.839171885804892	6.09277237076797e-43	0.146	0.089	0.057
Pcdh1	2.39802592945113e-46	0.535613726535823	4.29678286039053e-42	0.26	0.192	0.068
Nrgn	9.47833515648313e-46	0.349102612710984	1.69832809333865e-41	0.551	0.483	0.0680000000000001
Hsp90aa1	2.6733920313777e-45	0.417079442289907	4.79018384182257e-41	0.329	0.256	0.073
Cntn5	2.68531318125254e-45	-0.215131977153921	4.8115441581683e-41	0.772	0.835	0.0629999999999999
Adora1	3.13835380918618e-45	0.543018068421006	5.62330235529979e-41	0.259	0.192	0.067
Catspere2	3.23469439420264e-45	-0.341164233995861	5.79592541553229e-41	0.539	0.618	0.079
Ppp3r1	5.50876150937112e-45	0.3937224809939	9.87059887249117e-41	0.371	0.297	0.074
Sema7a	1.0661478311126e-44	0.629535692744849	1.91032368378755e-40	0.207	0.145	0.062
Actg1	4.30692777433592e-44	0.730594717895274	7.7171531860551e-40	0.169	0.112	0.057
Serinc1	5.13486188794986e-44	0.339954634097478	9.20064553082856e-40	0.466	0.403	0.063
Kmt2a	5.34346792732239e-44	0.198934276799075	9.57442583217625e-40	0.82	0.768	0.0519999999999999
Khdrbs3	7.2197697729756e-44	0.222025676791693	1.29363834792177e-39	0.923	0.896	0.027
Rbm39	8.03760039041441e-44	-0.167685731574209	1.44017723795445e-39	0.926	0.928	0.002
Camkv	8.39578263738506e-44	-0.366028764116046	1.50435633296665e-39	0.446	0.532	0.086
Cox8a	1.4820530889656e-43	0.470002454572146	2.65554272480856e-39	0.289	0.222	0.067
Plcxd2	2.23451689918696e-43	0.827415520210058	4.0038073799632e-39	0.171	0.112	0.059
Ildr2	3.6218832790604e-43	0.256526003042484	6.48969045942042e-39	0.679	0.621	0.0580000000000001
Slc1a3	5.41861678099135e-43	-1.23513312433119	9.7090775481803e-39	0.015	0.045	0.03
Kcnb1	1.66310364730028e-42	0.256195086872834	2.97994911523264e-38	0.691	0.647	0.0439999999999999
Calm2	3.17920547748755e-42	0.210776801390308	5.69650037456218e-38	0.781	0.74	0.041
Grin2a	3.41712259638415e-42	0.154010520195892	6.12280026820112e-38	0.994	0.991	0.003
Thy1	3.79120860725958e-42	0.370412444874686	6.79308758248772e-38	0.364	0.295	0.069
Rgs4	5.54249593680394e-42	0.679818313079556	9.9310442195653e-38	0.178	0.119	0.059
Rps8	1.15390698209233e-41	0.33232435228324	2.06757053051305e-37	0.395	0.323	0.072
Kcnip4	2.6671326214772e-41	-0.149376180809186	4.77896823116284e-37	0.985	0.993	0.00800000000000001
Hdac4	3.68018425417692e-41	0.268709048786013	6.5941541466342e-37	0.645	0.594	0.051
Atp5md	3.68850406325392e-41	0.545509130582794	6.60906158053838e-37	0.235	0.175	0.06
Ranbp17	5.2062843028836e-41	-0.397370316480055	9.32862021390683e-37	0.317	0.406	0.089
Scube1	6.76127447508383e-41	0.444643829292361	1.21148516044552e-36	0.348	0.277	0.071
Hdac9	8.59600788719835e-41	-0.18158543062385	1.5402326932282e-36	0.88	0.91	0.03
R3hdm2	8.76997772627209e-41	0.212248540545646	1.57140460899343e-36	0.89	0.857	0.033
Ece1	1.071141825605e-40	0.484657390087714	1.91927192311903e-36	0.324	0.259	0.065
Fos	1.1513925797508e-40	1.44536263724986	2.06306522439748e-36	0.046	0.016	0.03
Kcnd2	1.38699338927781e-40	-0.115461829941807	2.48521475490798e-36	0.999	0.999	0
Slc17a7	3.29922711232044e-40	0.224437350079714	5.91155513985576e-36	0.719	0.672	0.0469999999999999
Nat8l	3.5012768183013e-40	0.507777166136574	6.27358780303227e-36	0.258	0.196	0.062
Adgrl3	3.73747956100243e-40	-0.104985540562987	6.69681587740415e-36	0.995	0.998	0.003
Cttnbp2	1.03718301403941e-39	-0.111676896980618	1.85842452455582e-35	0.976	0.979	0.003
Osbpl3	1.07816619600273e-39	0.319149141060645	1.9318581899977e-35	0.59	0.536	0.0539999999999999
Anks1	1.2338217049535e-39	0.404168721838847	2.21076173093567e-35	0.341	0.272	0.069
Rpl13	1.42379790541127e-39	0.436191692364361	2.55116108691592e-35	0.269	0.207	0.062
Ube2ql1	1.6534003353975e-39	0.482384683720658	2.96256272096524e-35	0.273	0.208	0.065
Vgf	2.21192287206642e-39	0.642764999716877	3.96332340216862e-35	0.16	0.106	0.054
Vgll4	5.23517755169055e-39	-0.369174479516588	9.38039113711913e-35	0.405	0.485	0.08
Cpe	5.31810389111885e-39	0.204403687333721	9.52897855210675e-35	0.885	0.846	0.039
Rims4	6.43136157225975e-39	0.459928150073837	1.1523713665175e-34	0.292	0.23	0.062
Calm3	1.01701284983997e-38	0.599095331327617	1.82228362434326e-34	0.183	0.128	0.055
Ipcef1	1.64807289173239e-38	0.375699667945301	2.9530170074061e-34	0.429	0.358	0.071
Lrtm1	1.78173146179547e-38	0.616737767445091	3.19250643324512e-34	0.233	0.173	0.06
Cdyl2	1.92368416538589e-38	0.389163201612103	3.44685728753845e-34	0.473	0.415	0.058
Calr	3.54384454572515e-38	0.602667278961036	6.34986065703032e-34	0.173	0.119	0.054
