gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Pde10a	3.00946432431611e-234	0.497185075367733	5.39235817630961e-230	0.978	0.919	0.0589999999999999
Snhg11	4.46890697476597e-191	0.188646046316737	8.00738751738567e-187	1	1	0
Arntl	1.49152882746254e-158	0.488856217474851	2.67252135304738e-154	0.538	0.297	0.241
Prnp	2.91798727160635e-157	0.638268962811661	5.22844959326426e-153	0.521	0.285	0.236
Spred2	2.18038204852339e-137	0.412869924661206	3.90680855454421e-133	0.729	0.493	0.236
Scd2	5.2200310836638e-130	0.736287553732206	9.35325169570879e-126	0.257	0.106	0.151
Lrtm1	1.11341768772744e-127	0.76052631886735	1.99502181287003e-123	0.289	0.135	0.154
Gfod1	6.20337289628178e-127	0.367663866001355	1.11152035555577e-122	0.692	0.451	0.241
Hnrnph1	4.46184394410583e-119	0.372649984103676	7.99473197904882e-115	0.552	0.317	0.235
Osbpl3	3.67905986974536e-117	0.408174800775916	6.59213947460974e-113	0.58	0.373	0.207
Cacng2	3.24768975424196e-114	0.39891812363809	5.81921050165075e-110	0.541	0.324	0.217
Galnt9	1.42819846720397e-113	0.514037261043962	2.55904601353608e-109	0.429	0.251	0.178
Npas2	3.82837594452538e-113	0.332587740375104	6.85968401740058e-109	0.717	0.493	0.224
Lrp1	4.66409576006814e-112	0.384920442860961	8.35712678289009e-108	0.487	0.274	0.213
Dnajc21	6.05691186475984e-111	0.477449321349013	1.08527746792767e-106	0.403	0.225	0.178
Arhgef37	4.75207780804028e-110	0.798580198070199	8.51477301644657e-106	0.207	0.087	0.12
Trim35	1.65438214466074e-109	0.466331227939459	2.96432192680312e-105	0.368	0.192	0.176
Hdac4	3.66069514561553e-107	0.292285677724007	6.5592335619139e-103	0.673	0.435	0.238
Maml3	1.60650602432764e-106	0.496565981639478	2.87853749439027e-102	0.532	0.348	0.184
Bach2	3.717458864017e-106	0.313633554300863	6.66094279254567e-102	0.602	0.38	0.222
Kcnb1	3.95349231380758e-106	0.305438044670994	7.08386752788043e-102	0.719	0.488	0.231
Mast3	1.15265909661967e-105	0.441838153529953	2.06533456932313e-101	0.522	0.327	0.195
Igsf9b	1.14916618761293e-103	0.308835231776128	2.05907597496486e-99	0.681	0.459	0.222
Scn1b	1.67606703442004e-102	0.41414327198069	3.00317691227384e-98	0.394	0.214	0.18
Hnrnpa2b1	1.72747641932252e-102	0.316141447066345	3.09529224814209e-98	0.57	0.338	0.232
Sorl1	2.43910005078368e-102	0.351975283919356	4.3703794709942e-98	0.643	0.426	0.217
Samd4	8.7297653601807e-102	0.460073255397957	1.56419935723718e-97	0.379	0.213	0.166
Iqsec3	3.61413263053846e-101	0.324451211891293	6.47580284739881e-97	0.513	0.303	0.21
Sel1l3	8.15053560101774e-101	0.291718201853324	1.46041296899036e-96	0.655	0.432	0.223
Adgrl2	5.02093839231638e-100	0.32589645201534	8.99651741135248e-96	0.662	0.453	0.209
Clock	1.7467995145911e-97	0.249420204759783	3.12991537024433e-93	0.689	0.441	0.248
Etv5	2.14398165827168e-97	0.45382013163909	3.8415863352912e-93	0.398	0.233	0.165
Nuak1	2.77101194108952e-97	0.379235245631324	4.9650991960442e-93	0.393	0.221	0.172
Cdyl2	3.86631231362171e-97	0.376637992090917	6.92765840354737e-93	0.496	0.302	0.194
Clstn3	4.02589051811439e-96	0.347255301208657	7.21359063035737e-92	0.519	0.311	0.208
Unc13a	4.69347393337819e-96	0.252008462293369	8.40976659382704e-92	0.65	0.413	0.237
Dagla	5.13977246174029e-94	0.315121221577679	9.20944429694624e-90	0.443	0.253	0.19
Sema7a	5.97015367254494e-94	0.600297308642181	1.0697321350466e-89	0.22	0.101	0.119
ENSMUSG00000095041	7.28437408674757e-94	-0.329234220858114	1.30521414886343e-89	0.916	0.904	0.012
Hivep1	7.46268504010138e-94	0.422032283845536	1.33716390548537e-89	0.391	0.227	0.164
Scg5	1.26512404681527e-93	0.271453842381702	2.2668492670836e-89	0.754	0.509	0.245
Map4k4	1.89395934210761e-93	0.301381995887253	3.39359634918842e-89	0.476	0.276	0.2
Hnrnpm	2.1620723157473e-93	0.242069267639667	3.87400117535602e-89	0.585	0.357	0.228
Mgll	2.33283028819328e-93	0.31125175538428	4.17996531038472e-89	0.523	0.325	0.198
Nvl	1.1274920121729e-92	0.266915270133132	2.02024018741141e-88	0.617	0.386	0.231
Cacna1a	2.38847387294912e-92	0.207778748455314	4.27966748555024e-88	0.976	0.93	0.0459999999999999
Chd5	3.41681937403071e-90	0.303131386689856	6.12225695438822e-86	0.477	0.282	0.195
Srcin1	3.44668566639554e-90	0.240876951176653	6.17577137704753e-86	0.745	0.503	0.242
Zfp532	3.53547090662313e-90	0.237440210901472	6.33485677048733e-86	0.621	0.388	0.233
Asap2	6.13381722230195e-90	0.27577858597134	1.09905736989206e-85	0.574	0.365	0.209
Klhl32	6.69357476829408e-88	0.236542029475033	1.19935472698293e-83	0.551	0.345	0.206
Arc	1.50101097897405e-87	0.592557710774122	2.6895114721257e-83	0.206	0.098	0.108
Ece1	1.62233060594036e-87	0.444745108975399	2.90689197972393e-83	0.332	0.182	0.15
Shc3	2.03585497861845e-87	0.292043547305196	3.64784495068854e-83	0.521	0.327	0.194
Rims3	2.30477260428234e-87	0.409191326045922	4.12969155235309e-83	0.331	0.184	0.147
Stim2	1.08784113074244e-86	0.303986353509333	1.9491937380643e-82	0.584	0.373	0.211
Egr1	1.73631790446109e-86	0.465129410525193	3.11113442121338e-82	0.318	0.181	0.137
Lrrc4	2.31060829012436e-86	0.305319956696807	4.14014793424484e-82	0.481	0.291	0.19
Slc25a27	4.02903132044989e-86	0.276492030172666	7.21921831998211e-82	0.52	0.314	0.206
Slc38a2	5.66898714521668e-86	0.343811173937295	1.01576911667992e-81	0.374	0.21	0.164
Cdk5r1	1.34547545799452e-85	0.405428858028366	2.41082292563459e-81	0.31	0.164	0.146
Coro2b	9.52840673410667e-85	0.274039170835548	1.70729991861723e-80	0.447	0.262	0.185
Synj2	1.8878719718095e-84	0.392037959267493	3.38268899908826e-80	0.323	0.176	0.147
Mical2	6.41315861941606e-84	0.307783898824254	1.14910976142697e-79	0.879	0.729	0.15
