gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Uty	0	0.978407139515078	0	0.49	0.202	0.288
Prnp	0	1.17529381891863	0	0.516	0.233	0.283
Snhg11	1.97715815696203e-194	0.239472967705524	3.54267198564456e-190	1	1	0
Eif2s3y	9.38591166339113e-184	0.881532761422334	1.68176765184642e-179	0.353	0.158	0.195
Ube3a	4.07403161078697e-169	-0.519054860383622	7.2998498402081e-165	0.909	0.929	0.02
ENSMUSG00000095041	1.65513631169439e-162	-0.484170394082313	2.96567324329402e-158	0.861	0.903	0.042
Ddx3y	7.12704105956252e-110	0.874232324397822	1.27702321705241e-105	0.212	0.09	0.122
Camk2g	6.50017940238097e-105	0.432910794011682	1.16470214531862e-100	0.598	0.403	0.195
Kdm5d	3.11336899949965e-103	0.854073052143535	5.57853457330347e-99	0.208	0.09	0.118
Catspere2	3.0952242053227e-89	0.341730248022483	5.54602273109722e-85	0.618	0.433	0.185
Hecw2	2.96578303606971e-88	0.205585891693422	5.31409004402971e-84	0.98	0.958	0.022
Zbtb16	1.66010096007089e-84	0.357376276859488	2.97456890025503e-80	0.565	0.39	0.175
Pde4a	8.24500779947435e-80	0.365049947415158	1.47734049750981e-75	0.543	0.37	0.173
Bicral	1.05720971894681e-78	0.327400543087572	1.8943083744089e-74	0.675	0.489	0.186
Eif4g1	2.50341251028939e-78	0.397858704864223	4.48561453593653e-74	0.454	0.29	0.164
Grik5	1.24960019693251e-76	0.300227258695908	2.23903363286368e-72	0.653	0.471	0.182
Pkd1	1.16616635621101e-75	0.31103895144931	2.08953687705888e-71	0.708	0.524	0.184
Sparcl1	9.75304023653114e-74	0.520919240904002	1.74754974958165e-69	0.276	0.154	0.122
Unc5c	1.0272727187343e-73	-0.584900011976086	1.84066725742813e-69	0.77	0.798	0.028
Grb10	1.42334271605889e-73	0.329223298936513	2.55034547863431e-69	0.506	0.336	0.17
Lrpprc	4.42231269561801e-73	0.338314370256295	7.92389988800835e-69	0.498	0.327	0.171
Hunk	5.17566798377845e-72	0.480988605220362	9.27376189333423e-68	0.326	0.2	0.126
Rpl37	9.229029086973e-72	0.771879182093176	1.65365743180382e-67	0.174	0.084	0.09
Aifm3	2.05439336765402e-71	0.323624838442785	3.68106203616247e-67	0.551	0.383	0.168
Slc24a5	2.48426363573542e-70	-0.867241071026549	4.45130358251073e-66	0.277	0.352	0.075
Adam23	2.01009177854289e-69	0.222608301936227	3.60168244879316e-65	0.888	0.802	0.086
Dop1b	7.0471322723299e-69	0.304832766466484	1.26270516055607e-64	0.53	0.358	0.172
Zfyve28	1.74222196781604e-68	0.266295686389947	3.12171332193279e-64	0.746	0.581	0.165
Cacna1a	4.10491478833118e-68	0.169290729676319	7.35518631773182e-64	0.964	0.937	0.0269999999999999
Dot1l	7.00102965504606e-68	0.381948859367931	1.25444449359115e-63	0.411	0.266	0.145
Kalrn	1.24394276352499e-67	0.118702253568779	2.22889664368407e-63	0.996	0.995	0.001
Slc25a27	4.87260942806356e-66	0.328681128902102	8.73074157320429e-62	0.482	0.321	0.161
Sfswap	4.27574587147534e-65	0.277328721074097	7.66128145250951e-61	0.611	0.435	0.176
Slc4a3	8.05519469932869e-65	0.358685630030689	1.44332978622571e-60	0.479	0.325	0.154
Fam193b	1.29352179891937e-64	0.325885613321526	2.31773235930373e-60	0.491	0.33	0.161
Bin1	1.31680126568709e-64	0.301354550987582	2.35944450785813e-60	0.608	0.431	0.177
Mgll	1.3537825000664e-64	0.305766414986593	2.42570748361897e-60	0.494	0.338	0.156
Camkk2	1.94276350171031e-64	0.32057938193875	3.48104364236454e-60	0.588	0.428	0.16
Dnmt3a	1.61804331968824e-63	0.24297451002278	2.89921002021738e-59	0.812	0.669	0.143
Kcnma1	2.56438692072134e-62	0.110221823519169	4.59486848454851e-58	0.999	0.998	0.001
Spata7	2.72248657910721e-62	0.269880505110495	4.8781514524443e-58	0.583	0.414	0.169
Ctnna3	3.5153686291418e-62	-0.591856989312548	6.29883750969628e-58	0.669	0.686	0.017
Akap8	3.69651452199397e-62	0.309833384934369	6.62341472050879e-58	0.431	0.28	0.151
Sel1l3	2.61361333620731e-61	0.254005531663471	4.68307237581626e-57	0.612	0.447	0.165
Rapgef1	3.77742612440978e-61	0.28325141732089	6.76839212971744e-57	0.506	0.341	0.165
Map4k4	3.87247959317817e-61	0.337731083787182	6.93870893505665e-57	0.443	0.291	0.152
Nrf1	2.53512341580317e-60	0.275995052160398	4.54243413643612e-56	0.568	0.397	0.171
Chd8	7.00108255086743e-60	0.283288799492005	1.25445397146443e-55	0.549	0.381	0.168
Tspoap1	1.14130849208062e-59	0.265673311599162	2.04499655611006e-55	0.561	0.398	0.163
Kifc2	2.53747661867084e-59	0.393431996353743	4.54665060533441e-55	0.444	0.305	0.139
Glyr1	1.35014910296805e-58	0.292135040321098	2.41919716269816e-54	0.485	0.329	0.156
Matk	3.71536809248783e-58	0.259232722130937	6.65719654811969e-54	0.618	0.445	0.173
Vgll4	7.68994712287175e-58	0.305970906771592	1.37788472547616e-53	0.485	0.343	0.142
Epha10	8.07624652808987e-58	0.294055107458899	1.44710185290314e-53	0.492	0.342	0.15
Mcf2l	6.47406479302862e-57	0.278778570323389	1.16002292961487e-52	0.565	0.403	0.162
Fbxl20	8.68666330061649e-57	0.2524925264933	1.55647633020446e-52	0.665	0.496	0.169
Wipf3	1.01778940776908e-56	0.326794382037721	1.82367506084065e-52	0.485	0.345	0.14
Cspg5	4.0030311123497e-56	0.383259823878061	7.17263114710818e-52	0.362	0.234	0.128
Chd4	5.10155910090258e-56	0.296645566774179	9.14097359699724e-52	0.504	0.347	0.157
Golga4	1.24142226284859e-55	0.263478979174293	2.2243804105721e-51	0.618	0.449	0.169
Bod1l	1.29416508457472e-55	0.296836789292771	2.31888499854099e-51	0.487	0.332	0.155
Plekha6	1.42852805143344e-55	0.226272164008775	2.55963656255844e-51	0.678	0.512	0.166
Dnm2	2.8264080375168e-55	0.305290253581103	5.06435792162261e-51	0.459	0.311	0.148
Cnot10	6.79579957078135e-55	0.263800959747125	1.2176713670926e-50	0.468	0.317	0.151
Lrrc45	8.71554240113665e-55	0.392533729995072	1.56165088743567e-50	0.337	0.22	0.117
Dicer1	1.9055700882202e-54	0.297267903840051	3.41440048407295e-50	0.445	0.298	0.147
Rnf157	3.27243197594556e-54	0.245252249386073	5.86354361449926e-50	0.634	0.468	0.166
Odf2	3.83786204640672e-54	0.234905342326115	6.87668121475156e-50	0.626	0.459	0.167
Agrn	5.04763612860442e-54	0.306179647284433	9.0443544152334e-50	0.44	0.298	0.142
Plekha5	5.07810552152339e-54	0.167099213766409	9.09894947346561e-50	0.944	0.897	0.0469999999999999
Luc7l	9.27047482363211e-54	0.266108626030652	1.6610836788984e-49	0.507	0.351	0.156
Mdn1	9.71722588592186e-54	0.242613521294933	1.74113253423948e-49	0.46	0.311	0.149
Tsc1	1.02133220373531e-53	0.250892786241992	1.83002304265293e-49	0.526	0.366	0.16
Sun1	1.78482724758596e-53	0.241856647002498	3.19805346222452e-49	0.542	0.385	0.157
Cabp1	2.0833849726936e-53	0.26368885696439	3.7330091940724e-49	0.596	0.443	0.153
Phc2	2.38820936279797e-53	0.239924361275615	4.27919353626141e-49	0.554	0.391	0.163
Safb2	3.30273020626576e-53	0.337335198464133	5.91783198358698e-49	0.347	0.226	0.121
Cdc14b	5.46940540177826e-53	0.322479935567393	9.80008059890628e-49	0.399	0.268	0.131
Dgkz	9.55498590969199e-53	0.251637417905477	1.71206237529861e-48	0.655	0.493	0.162
Dnajc7	1.24258303388127e-52	0.239545050022915	2.22646028010846e-48	0.522	0.363	0.159
Epb41	1.73714953227132e-52	0.283207523666016	3.11262453192375e-48	0.588	0.44	0.148
Rap1gap	3.12930690336066e-52	0.305532486581756	5.60709210944163e-48	0.446	0.304	0.142
Syt7	3.80348964492175e-52	0.248583222317698	6.81509274577079e-48	0.806	0.68	0.126
Rab11fip3	3.84890332438357e-52	0.219676539542419	6.89646497663048e-48	0.704	0.541	0.163
Ubr2	6.42408995029214e-52	0.2835109259077	1.15106843729335e-47	0.494	0.34	0.154
Cers4	1.21771192973123e-51	0.250462350394156	2.18189623569242e-47	0.556	0.398	0.158
Mphosph9	1.29027662452325e-51	0.225275883722574	2.31191765582077e-47	0.618	0.455	0.163
Ranbp17	2.04313524800516e-51	0.246619044387236	3.66088973737564e-47	0.406	0.272	0.134
Zfp451	2.12090300280923e-51	0.239918888308921	3.80023400043358e-47	0.479	0.33	0.149
Sil1	2.45911411345413e-51	0.262181341779192	4.40624066848711e-47	0.427	0.29	0.137
Hacd3	3.8038876280931e-51	0.258228141178903	6.81580585201721e-47	0.498	0.345	0.153
Madd	5.4642295986402e-51	0.247064797732028	9.79080659484351e-47	0.566	0.404	0.162
Anapc5	7.70431644967606e-51	0.260902188245989	1.38045942145296e-46	0.491	0.342	0.149
Gmcl1	8.44809246181471e-51	0.235645268049169	1.51372920730796e-46	0.534	0.377	0.157
Sfxn5	8.64329991284248e-51	0.271235970391597	1.54870647838312e-46	0.499	0.349	0.15
Ppip5k1	9.37665014078704e-51	0.236543688976534	1.68010817222622e-46	0.601	0.439	0.162
Senp2	9.89492428083379e-51	0.263018938413776	1.7729725326398e-46	0.462	0.316	0.146
Taf1d	1.1766165770129e-50	0.292192864571225	2.10826158269171e-46	0.409	0.277	0.132
Vwa5b2	1.73585672342151e-50	0.320872591049434	3.11030807702666e-46	0.389	0.267	0.122
Tet3	3.3443900077448e-50	0.222817240733478	5.99247801587714e-46	0.554	0.391	0.163
Trmt1	5.84536257507548e-50	0.356049650687879	1.04737206620202e-45	0.31	0.199	0.111
Foxk2	7.79374469720782e-50	0.244638175481462	1.3964831748457e-45	0.427	0.29	0.137
Sdha	8.95225220847551e-50	0.278406826386619	1.60406455071464e-45	0.427	0.286	0.141
Trip11	1.5293426279369e-49	0.234994765324936	2.74027612073734e-45	0.552	0.394	0.158
Dcaf8	1.62416710236499e-49	0.254975101976818	2.9101826140176e-45	0.475	0.325	0.15
Ube4b	1.82126466692466e-49	0.232245548305707	3.2633420301956e-45	0.641	0.476	0.165
Rab40c	2.22749474305215e-49	0.257716839799125	3.99122508060083e-45	0.524	0.373	0.151
Arhgap23	2.59279492522469e-49	0.290849268445326	4.6457699470176e-45	0.381	0.251	0.13
Nemf	3.23198399933769e-49	0.215984214207394	5.79106893001328e-45	0.48	0.328	0.152
Ccnl2	4.12292024317232e-49	0.262875264110541	7.38744849171616e-45	0.436	0.294	0.142
Arfgef2	4.38830672782108e-49	0.22467384816753	7.86296799490981e-45	0.509	0.357	0.152
Slc25a23	4.71559678868341e-49	0.277868505110575	8.44940632596293e-45	0.469	0.327	0.142
Rps21	5.0881303501249e-49	0.488892899937765	9.11691196135379e-45	0.186	0.105	0.081
Kcnip3	5.38036675489218e-49	0.242418330424762	9.64054115141582e-45	0.584	0.436	0.148
Evl	7.26332694445019e-49	0.230747621413666	1.30144292190658e-44	0.553	0.397	0.156
Rabl6	8.40566828750409e-49	0.230265290736056	1.50612764375498e-44	0.54	0.382	0.158
Dnm1	9.51495843687893e-49	0.229879152289981	1.70489025271997e-44	0.774	0.616	0.158
Smarcc2	1.18896168465393e-48	0.250800295471368	2.1303815465629e-44	0.451	0.305	0.146
Kif3c	1.53418875109504e-48	0.236867635343947	2.74895940421209e-44	0.492	0.343	0.149
Arhgef25	3.42033343517565e-48	0.30256170554545	6.12855344914773e-44	0.397	0.275	0.122
Gpatch2	3.4492744926137e-48	0.271569328661896	6.18041003586523e-44	0.456	0.317	0.139
Cers5	3.73560010023715e-48	0.28006883664228	6.69344825960493e-44	0.425	0.292	0.133
Glud1	4.55892622652431e-48	0.372629780127418	8.16868401268626e-44	0.301	0.191	0.11
Mras	7.1929878889187e-48	0.237098708191733	1.28883956993645e-43	0.465	0.326	0.139
Tbc1d30	9.13107162387722e-48	0.235752511089686	1.63610541356632e-43	0.477	0.341	0.136
Cnnm2	1.37475888470612e-47	0.243190175140783	2.46329296961642e-43	0.454	0.31	0.144
Rgs11	1.65757794618783e-47	0.368350247996055	2.97004816397935e-43	0.348	0.238	0.11
Cpne9	3.39883019619455e-47	0.391827641458853	6.0900239455414e-43	0.372	0.268	0.104
Kcnt1	3.58495550556757e-47	0.33038514055581	6.42352327487596e-43	0.436	0.308	0.128
Dhdds	4.21644646208881e-47	0.239798710128287	7.55502877077073e-43	0.468	0.328	0.14
Sanbr	4.43246620142511e-47	0.207413937081176	7.94209293971352e-43	0.575	0.415	0.16
Nol4l	4.4655779050926e-47	0.215573946655925	8.00142249034491e-43	0.497	0.349	0.148
Lrp1	7.06655166458763e-47	0.256904856162011	1.26618472726081e-42	0.41	0.275	0.135
Rps19	7.69122807948319e-47	0.66008314430742	1.3781142472818e-42	0.132	0.068	0.064
Grin1	8.07635444297684e-47	0.167663794121269	1.44712118909259e-42	0.927	0.863	0.0640000000000001
Ppfia3	1.06250217458376e-46	0.281302175515588	1.90379139641919e-42	0.311	0.202	0.109
Arhgap10	1.11078582199927e-46	0.218459874877646	1.99030603585829e-42	0.595	0.457	0.138
