gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Fth1	6.9733448860027e-46	0.95164655575387	1.24948393667396e-41	0.785	0.491	0.294
Dpp10	2.74516785085708e-45	-3.83866910598177	4.91879175516572e-41	0.006	0.159	0.153
Snhg11	1.10508559191385e-43	-4.86313150429258	1.98009236359123e-39	0.006	0.153	0.147
Cntnap2	4.71106857007459e-42	-2.01865134129512	8.44129266385965e-38	0.004	0.142	0.138
Kcnd2	2.61061652165247e-37	-3.0146541983649	4.67770268349689e-33	0.018	0.168	0.15
Ntm	1.23527934426609e-36	-5.53952084270225	2.21337352905598e-32	0.004	0.124	0.12
Dlgap1	1.05201988796346e-35	-3.73480534260923	1.88500923525293e-31	0.005	0.127	0.122
Nrg1	3.0028956656121e-35	-5.00807661278929	5.38058845364376e-31	0.004	0.12	0.116
Syt1	5.04538951416987e-35	-2.47744232701465	9.04032893148957e-31	0.029	0.188	0.159
Nalf1	4.19572925814014e-34	-4.18343268133098	7.5179076847355e-30	0.005	0.122	0.117
Lrrtm4	8.40868695151996e-27	-3.31977843088968	1.50666852797335e-22	0.007	0.103	0.096
Fgf14	8.06242380871198e-25	-1.50318910318291	1.44462509804501e-20	0.079	0.256	0.177
Rbfox1	7.37866547245024e-24	-1.25207473847428	1.32210927935363e-19	0.08	0.253	0.173
Nrg3	1.00935695867436e-23	-1.18288538903161	1.80856579855272e-19	0.085	0.262	0.177
Csmd1	1.57805612989577e-23	-1.15331521521977	2.82756097354724e-19	0.082	0.253	0.171
Kcnip4	5.44542380901146e-23	-1.49013556987085	9.75711038098673e-19	0.082	0.252	0.17
Plcb1	2.47958664719907e-21	-2.84432639281644	4.4429233544513e-17	0.004	0.079	0.075
Lrrtm3	6.35860662157526e-21	-1.91217813655516	1.13933513445385e-16	0.051	0.174	0.123
Celf2	1.15075232410456e-19	-1.0366079155664	2.06191801433056e-15	0.105	0.276	0.171
Nrxn3	5.76692656610526e-19	-0.941128625801087	1.03331790211474e-14	0.107	0.276	0.169
Gria2	1.57228406846679e-18	-4.31051489683832	2.81721859387879e-14	0.003	0.065	0.062
Nrxn1	3.10265319621148e-16	-1.04959580659321	5.55933399697173e-12	0.168	0.356	0.188
Tenm2	5.78096990720058e-15	-0.91088905819432	1.0358341879722e-10	0.238	0.391	0.153
Eef1a1	6.06382389467295e-15	-1.97363937954844	1.0865159654475e-10	0.046	0.138	0.092
Kcnma1	1.09821133640779e-14	-2.68643831258059	1.96777507257547e-10	0.004	0.055	0.051
Zbtb16	2.28033605445439e-14	-1.49657267367209	4.08590614237138e-10	0.113	0.229	0.116
Rnf220	1.46955369109519e-13	0.34997950892962	2.63314630370436e-09	0.947	0.893	0.0539999999999999
Ctnnd2	3.35062482381432e-13	-1.43266749093185	6.0036495593105e-09	0.053	0.143	0.09
Rpl37a	2.24909472675677e-12	-4.17391691944157	4.02992793140278e-08	0.003	0.045	0.042
Hspa8	7.44563804959898e-12	-2.14873268104363	1.33410942572715e-07	0.021	0.083	0.062
Kcnab1	7.5472389372218e-12	-1.06956590023323	1.3523142727714e-07	0.195	0.312	0.117
Igf1r	1.66721117707712e-11	0.649392170355765	2.98730898708678e-07	0.448	0.306	0.142
Tmem30a	2.19342231172509e-11	-2.28884138635856	3.93017409814902e-07	0.018	0.075	0.057
Zwint	9.41430778362729e-11	-4.49170467841574	1.68685566867034e-06	0.002	0.038	0.036
Fgf12	9.6598403355583e-11	-2.04860010608291	1.73085019132534e-06	0.021	0.079	0.058
Atp6v0b	1.25387987541173e-10	-2.06014121970489	2.24670196076274e-06	0.026	0.086	0.06
Lnpk	2.42509773765191e-10	-2.37939454488221	4.34529012632468e-06	0.015	0.066	0.051
Lrrc4	2.56065768459115e-10	-2.05144977862584	4.58818643925042e-06	0.024	0.083	0.059
Uty	3.2046184530518e-10	-1.75764668650465	5.74203534417822e-06	0.031	0.094	0.063
Strbp	3.46167310991396e-10	-2.50687235870283	6.20262587834383e-06	0.017	0.069	0.052
Ypel2	7.45443295750359e-10	0.389024680205612	1.33568529732549e-05	0.793	0.704	0.0890000000000001
Actb	7.52308151003294e-10	-1.01487905089428	1.3479857449677e-05	0.222	0.33	0.108
Pdcd6ip	2.15602730591347e-09	0.98259455480968	3.86316972673576e-05	0.242	0.137	0.105
Orc4	2.43644091429192e-09	-2.14181722805798	4.36561483022826e-05	0.015	0.063	0.048
Macf1	2.68453637968367e-09	0.535886073820421	4.8101522851172e-05	0.44	0.313	0.127
Reps2	2.90244132797856e-09	-1.33754347115905	5.20059437147198e-05	0.065	0.14	0.075
Cfl1	3.8563384385937e-09	-3.17068745930184	6.90978721427219e-05	0.005	0.04	0.035
Map7d2	4.04093471057654e-09	-4.58456314305691	7.24054681441105e-05	0.001	0.03	0.029
Aldoa	5.93655567899622e-09	-3.21280163765307	0.000106371204656254	0.003	0.034	0.031
Uchl3	8.22181694079084e-09	-2.54156251753794	0.00014731851594509	0.01	0.049	0.039
Ndufb9	8.53636221897303e-09	-3.21004650723932	0.000152954538239559	0.002	0.031	0.029
Son	1.09520603216225e-08	0.409601427501685	0.000196239016842832	0.584	0.452	0.132
Cds1	1.103356266665e-08	-7.91951908794741	0.000197699375861035	0	0.024	0.024
Cplane1	1.42631747142262e-08	-1.8118409384102	0.000255567564529505	0.017	0.063	0.046
Ckb	1.59565301863614e-08	-1.77096201381574	0.000285909107879223	0.023	0.073	0.05
Samd4	1.62909136921376e-08	0.487826865551849	0.000291900591535722	0.496	0.36	0.136
Arhgap23	2.94632870742165e-08	0.339421457642302	0.000527923177795811	0.872	0.792	0.08
Glp2r	3.09384513479663e-08	-2.50807256987971	0.000554355171252861	0.013	0.054	0.041
Gm14296	3.61903502984202e-08	-2.586239293632	0.000648458696647093	0.01	0.046	0.036
B3gat3	3.99944253799766e-08	-1.91708935953473	0.000716620113958421	0.025	0.074	0.049
Tns1	4.07551899175943e-08	2.70635876225603	0.000730251492943454	0.06	0.011	0.049
Dusp3	4.78976789874899e-08	-1.80819020673376	0.000858230612097844	0.025	0.074	0.049
Arpp19	5.8545692294794e-08	-4.03012702484866	0.00104902171453812	0.001	0.026	0.025
Uqcr11	5.94756503953267e-08	-3.94894610780843	0.00106568470378346	0.001	0.026	0.025
Slc8a1	6.03162428302401e-08	-0.337407204861474	0.00108074643903224	0.777	0.798	0.021
