gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Csmd1	7.65279655492551e-94	-2.88717207950401	1.37122808671155e-89	0.046	0.39	0.344
Nrg3	7.68590039228179e-93	-2.74745717098593	1.37715963228905e-88	0.05	0.4	0.35
Kcnip4	2.30647128989295e-92	-2.80566567413177	4.13273525723018e-88	0.047	0.391	0.344
Rbfox1	8.25519039368363e-90	-2.55084724380159	1.47916501474023e-85	0.051	0.393	0.342
Celf2	2.02583287685617e-88	-2.42831487861328	3.62988734875089e-84	0.068	0.428	0.36
Fgf14	2.15593210847918e-88	-2.63223645349853	3.86299915197299e-84	0.051	0.388	0.337
Nrxn1	1.79382172971023e-86	-2.11436903401032	3.21416977529479e-82	0.119	0.54	0.421
Nrxn3	4.32967927604461e-86	-2.35090775678572	7.75791932681672e-82	0.067	0.425	0.358
Syt1	4.18509520591359e-82	-4.47695131016152	7.49885358995597e-78	0.01	0.249	0.239
Dpp10	7.55474491415769e-65	-5.90325124227103	1.35365919371878e-60	0.001	0.174	0.173
Kcnd2	1.30419748334117e-61	-4.14555416453973	2.3368610506507e-57	0.009	0.194	0.185
Snhg11	4.33659432823125e-57	-4.59637868389019	7.77030971732475e-53	0.007	0.175	0.168
Cntnap2	5.14065040760807e-56	-5.34976190382103	9.21101740035213e-52	0.002	0.155	0.153
Lsamp	2.50408929441857e-54	-1.20061683115176	4.48682719773919e-50	0.282	0.66	0.378
Dlgap1	6.70343384341679e-49	-5.10517267267895	1.20112127606342e-44	0.004	0.141	0.137
Nrg1	3.16541912472868e-47	-7.61308633940519	5.67179798768884e-43	0.001	0.126	0.125
Fth1	4.53986044958201e-47	1.05467463994256	8.13452195356105e-43	0.777	0.442	0.335
Ntm	7.46379607337643e-46	-4.85715097106202	1.33736298042759e-41	0.005	0.137	0.132
Nalf1	2.30672642138721e-44	-3.50654480017687	4.13319240184161e-40	0.005	0.134	0.129
Lrrtm4	3.8688190824612e-39	-4.5301035831146	6.93215003195397e-35	0.004	0.116	0.112
Pcdh9	5.00189170762175e-36	-0.340743137812989	8.96238956171664e-32	1	1	0
Dlg2	8.14769997787456e-27	-0.519022712526457	1.45990488203556e-22	0.856	0.946	0.09
Plcb1	2.0615728053267e-26	-2.57369565090066	3.69392615258439e-22	0.007	0.092	0.085
Cox4i1	5.93555408129024e-25	-5.105500844042	1.06353258028558e-20	0.002	0.073	0.071
Gria2	1.79478286984173e-23	-4.33705767824655	3.21589194618241e-19	0.004	0.073	0.069
Ptprd	2.04026247350507e-22	-0.345139289088571	3.65574230002638e-18	0.994	1	0.00600000000000001
Adgrb3	1.10818577779709e-21	-0.69788351196834	1.98564727665683e-17	0.298	0.525	0.227
Rpl37a	2.0340897724816e-21	-6.0113252294848	3.64468205433252e-17	0.001	0.059	0.058
Kcnma1	2.31140584995229e-21	-3.53141645370036	4.14157700194452e-17	0.001	0.059	0.058
Magi2	4.68012449643104e-19	-0.25796169002902	8.38584707270514e-15	0.997	0.997	0
Tenm2	6.01196103378653e-19	-1.09810768535574	1.07722317803387e-14	0.223	0.393	0.17
Lrp1b	8.6906223737879e-19	-0.311466892207065	1.55718571693532e-14	0.992	0.993	0.001
Zbtb16	1.73623387137258e-18	-1.88883090285251	3.1109838507254e-14	0.109	0.236	0.127
Mdm4	1.17666598985743e-17	1.02903758496739	2.10835012062655e-13	0.32	0.147	0.173
Ncoa1	2.91116337948766e-17	1.67448624578767	5.21622254336599e-13	0.182	0.049	0.133
Aldoa	6.14813902451836e-17	-9.44373636923799	1.1016235504132e-12	0	0.042	0.042
Kmt2e	2.5029216479178e-15	0.785756488231896	4.48473500873912e-11	0.375	0.199	0.176
Dmxl1	2.67354484326985e-15	0.849381562913227	4.79045765017091e-11	0.292	0.131	0.161
Snrnp70	6.32937626461181e-15	0.79525217363867	1.13409763909314e-10	0.329	0.165	0.164
