gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Fth1	4.23806606072569e-117	1.47886735089994	7.59376676760829e-113	0.782	0.461	0.321
Sgk1	2.27343121930355e-34	-7.53538080023223	4.07353405874809e-30	0.001	0.084	0.083
Kcnab1	5.34338164764766e-30	-1.13161597634658	9.57427123625508e-26	0.187	0.361	0.174
Ftl1	3.09790033635252e-23	2.67532939343212	5.55081782267644e-19	0.108	0.02	0.088
Tmem132d	9.78380535648066e-21	0.958062919830782	1.7530622437742e-16	0.347	0.204	0.143
Klf9	8.56521922133516e-20	-1.43962327040473	1.53471598007883e-15	0.075	0.178	0.103
Elmo1	6.05685208373729e-19	-0.424209306961244	1.08526675636405e-14	0.786	0.859	0.073
Oxr1	8.67210813651738e-18	-0.761019273201329	1.55386833590118e-13	0.253	0.386	0.133
Rcan2	1.29870864978042e-17	-0.669025379632204	2.32702615867656e-13	0.3	0.434	0.134
Tubb3	1.48449862741966e-17	-2.59586266818313	2.65992464061054e-13	0.015	0.075	0.06
Tmod2	5.94408670066396e-17	-0.663651864682125	1.06506145502497e-12	0.422	0.549	0.127
Luc7l2	1.28662476249498e-16	-0.382179469478476	2.30537424943851e-12	0.711	0.797	0.0860000000000001
Lrrtm3	4.08331471313652e-16	-1.48192489873774	7.31648330299801e-12	0.048	0.128	0.08
Mat2a	7.03968259883159e-15	-0.668886516850836	1.26137032805864e-10	0.271	0.39	0.119
Mboat2	2.10715038926181e-14	1.17924953801397	3.7755920674793e-10	0.166	0.078	0.088
Rpl13	5.82447882448772e-14	2.69545199348412	1.04363011577171e-09	0.053	0.006	0.047
Gse1	1.77060149344348e-13	0.945466950371236	3.17256375595203e-09	0.229	0.132	0.097
Fam168a	1.87874588223074e-13	0.679015923465186	3.36633687178104e-09	0.333	0.22	0.113
Efr3b	1.91111307785506e-13	1.46552524481708	3.42433241290069e-09	0.132	0.056	0.076
Sesn1	5.45123035910356e-13	1.40228488068594	9.76751455744176e-09	0.118	0.047	0.071
Fbxw15	7.40703456494545e-13	-1.243825568035	1.32719245334693e-08	0.075	0.154	0.079
Jph4	1.05612895189425e-12	2.05422963491787	1.89237185600411e-08	0.081	0.024	0.057
Rps10	1.34449794793606e-12	2.90649710916547	2.40907142311184e-08	0.05	0.007	0.043
Pacrg	1.52713465140849e-12	-0.60137320979661	2.73631986839374e-08	0.472	0.573	0.101
Galnt5	2.85360655142601e-12	-1.17616641147187	5.11309221884513e-08	0.066	0.14	0.074
Tbc1d5	3.38255166075247e-12	-0.316429620629974	6.06085606573627e-08	0.829	0.876	0.047
Insr	1.402264561813e-11	-0.666614345302948	2.51257764185653e-07	0.233	0.327	0.094
Tmem178b	1.70694411323411e-11	0.241729498969406	3.05850246209288e-07	0.881	0.858	0.023
Csde1	2.21072607787244e-11	-0.999652978956679	3.96117898633184e-07	0.074	0.145	0.071
Map7	5.40507280328714e-11	-0.221103297753191	9.6848094489299e-07	0.917	0.952	0.0349999999999999
Kcnq3	6.33074308811254e-11	0.310014803691947	1.134342546528e-06	0.839	0.783	0.0559999999999999
Btbd9	6.47927228824457e-11	0.759795886322039	1.16095600860766e-06	0.244	0.152	0.092
Appl1	7.05389158647579e-11	-1.35580942275015	1.26391629446473e-06	0.044	0.103	0.059
Amph	1.11667346130706e-10	0.646352324600303	2.00085550796999e-06	0.348	0.252	0.096
Fam171a1	1.44906708216019e-10	1.06211137974361	2.59643839781463e-06	0.128	0.06	0.068
Kantr	2.49071004239187e-10	-2.8883518425519	4.46285425395775e-06	0.006	0.038	0.032
H2aj	3.62773607390413e-10	-0.989813268690023	6.50017749722141e-06	0.097	0.169	0.072
Cdc37l1	5.29763366350479e-10	-0.329959600729421	9.49229999826788e-06	0.699	0.771	0.0720000000000001
Sema6d	5.79309432161802e-10	0.434616647342323	1.03800664054752e-05	0.481	0.375	0.106
Cachd1	6.44289831646011e-10	1.24954053427968	1.15443852034332e-05	0.131	0.067	0.064
Cdh19	1.22005656582984e-09	-0.434868791200608	2.18609735465391e-05	0.476	0.567	0.091
Maml3	1.44198977359327e-09	1.22110166773163	2.58375727632442e-05	0.107	0.049	0.058
Zfp329	1.49583140036363e-09	-1.49117264006302	2.68023070317155e-05	0.026	0.071	0.045
Plekha1	1.62887400735323e-09	-0.45506359887968	2.91861644637552e-05	0.407	0.501	0.094
Erlin2	1.80085744803149e-09	-1.39022100092706	3.22677637538282e-05	0.037	0.087	0.05
Ccser2	2.00981903889996e-09	0.930651972428262	3.60119375390096e-05	0.189	0.115	0.074
Tle5	2.04765488658343e-09	2.25681636209967	3.66898802578018e-05	0.048	0.011	0.037
Msantd2	2.12475125795103e-09	1.09718623581445	3.80712930399666e-05	0.134	0.071	0.063
Flvcr1	3.32355143893223e-09	-3.10509601884967	5.95513946827877e-05	0.005	0.032	0.027
Lrrc4b	3.3563903457912e-09	0.972155184509824	6.01398022158867e-05	0.161	0.093	0.068
Marchf1	3.47913400361966e-09	0.278288132649716	6.23391230768571e-05	0.831	0.786	0.0449999999999999
Adamts2	3.85604118454162e-09	0.83011808133903	6.90925459446167e-05	0.201	0.125	0.076
Pecr	3.94549002853503e-09	-2.95232120160892	7.06952903312907e-05	0.006	0.035	0.029
Aspa	5.00484888432019e-09	-0.248032256577194	8.96768823092491e-05	0.739	0.799	0.0600000000000001
Aopep	5.60661436605076e-09	0.508390880178246	0.000100459316210898	0.427	0.343	0.084
Ndst4	6.1040155840745e-09	-4.44774774187531	0.000109371751235447	0.001	0.023	0.022
Tmem108	6.28218125108446e-09	0.700646247139249	0.000112564123656931	0.169	0.097	0.072
Cc2d2a	6.36119898186267e-09	-1.30851417585002	0.000113979963357015	0.045	0.095	0.05
Rps29	7.12975600320738e-09	3.46018869785993	0.00012775096806547	0.031	0.003	0.028
Polr3e	9.5063775683531e-09	-0.854704168722318	0.000170335273269751	0.093	0.16	0.067
Zfp365	1.03898997701803e-08	-1.52331126940406	0.00018616622408209	0.025	0.067	0.042
Stk4	1.17847634747526e-08	1.74639373859454	0.000211159391940617	0.07	0.026	0.044
Zfp280d	1.19538365394983e-08	-0.407737681284087	0.00021418884311473	0.307	0.402	0.095
Tef	1.55136508403756e-08	-1.22165788809401	0.00027797359575785	0.049	0.099	0.05
Chac2	1.5839422435467e-08	-2.20314906572864	0.000283810771198698	0.011	0.043	0.032
Fam219a	1.76621473610707e-08	-1.14436904201783	0.000316470356415665	0.061	0.115	0.054
Map7d2	1.83152441856912e-08	-2.37383515995565	0.000328172545319215	0.009	0.038	0.029
Rnf6	1.92833541839243e-08	-2.53091742406012	0.000345519140267556	0.007	0.034	0.027
Cox4i1	2.26708985778583e-08	3.9895427709614	0.000406217160718065	0.026	0.002	0.024
Foxp1	2.2912328866114e-08	0.427232422612943	0.000410543108623031	0.425	0.324	0.101
Srp19	2.68825600035512e-08	-2.14960544740842	0.000481681710143631	0.011	0.043	0.032
Ints10	3.23228110152787e-08	-2.23154755585389	0.000579160127771764	0.009	0.037	0.028
Ndufa9	4.19085484359576e-08	-7.89652086909793	0.000750917370875488	0	0.017	0.017
Aars	4.30792957816078e-08	-3.22511101468778	0.000771894821814849	0.003	0.026	0.023
Arrdc3	4.89274290114169e-08	-0.489087282923844	0.000876681673026567	0.263	0.344	0.081
Syt9	5.27478638760435e-08	1.48100900143836	0.000945136224930947	0.082	0.036	0.046
Mrtfa	5.7216837736366e-08	1.19379104970195	0.00102521129856021	0.078	0.033	0.045
Actr10	5.94308951412735e-08	1.34282575994731	0.00106488277914134	0.072	0.029	0.043
Ddx5	6.15924808369908e-08	-0.301194672905113	0.0011036140716372	0.395	0.485	0.09
Skic3	7.07195954293472e-08	1.41702385433925	0.00126715371090304	0.071	0.029	0.042
Vps13b	8.27164231498369e-08	0.474733408661491	0.00148211286999878	0.32	0.236	0.084
R3hdm1	1.02499034288857e-07	-0.466157304361511	0.00183657769638773	0.165	0.243	0.078
9330159F19Rik	1.03899528293841e-07	-0.740396978881187	0.00186167174796904	0.127	0.193	0.066
Hnrnpul2	1.15534243630984e-07	-1.58578826180437	0.00207014257737997	0.022	0.058	0.036
Igf1r	1.24305585791775e-07	0.48078325069361	0.00222730748621702	0.407	0.335	0.072
Phf8	1.33553815828823e-07	-1.37167933575082	0.00239301727202085	0.034	0.075	0.041
Elavl3	1.39672613977299e-07	0.382739120478572	0.00250265389724525	0.458	0.376	0.082
Isca2	1.48573203760689e-07	-2.52928696117203	0.00266213466498402	0.006	0.029	0.023
Nt5dc3	1.55520857451197e-07	-3.40839162437872	0.00278662272381055	0.002	0.022	0.02
Slc13a1	1.67813907857078e-07	-1.03366360635938	0.00300688960098313	0.071	0.124	0.053
Apoe	1.75375309363564e-07	0.575023888749616	0.00314237479317633	0.282	0.205	0.077
Rps12	1.81419284567992e-07	3.24404094432837	0.00325067074088928	0.025	0.003	0.022
Letmd1	1.81866787397643e-07	3.09765606785805	0.00325868909659097	0.025	0.003	0.022
Akap11	2.03519598570234e-07	-1.29557357462212	0.00364666416718145	0.027	0.064	0.037
Xrcc6	2.14648162130765e-07	-0.646361249084236	0.00384606576905905	0.155	0.225	0.07
Pcsk7	2.21251695941163e-07	1.93960535518028	0.00396438788787376	0.044	0.013	0.031
Tent4b	2.2164129427643e-07	0.795074840662235	0.00397136871084506	0.18	0.117	0.063
Zfp692	2.24022212734911e-07	1.88604369658819	0.00401403000778414	0.053	0.019	0.034
Ogdhl	2.43573563161883e-07	-2.33146366216303	0.00436435110473462	0.01	0.036	0.026
Septin7	2.4567590105175e-07	-0.190037110392091	0.00440202079504525	0.852	0.895	0.043
Tle1	2.51288850105299e-07	0.756537061248016	0.00450259361618675	0.183	0.119	0.064
Vps50	2.57522322686658e-07	1.08822658823279	0.00461428497789954	0.103	0.054	0.049
Avl9	2.64707828615379e-07	1.19873184622152	0.00474303487313036	0.097	0.05	0.047
Creb1	2.70458844814537e-07	-0.562971393003367	0.00484608158138687	0.185	0.256	0.071
Sgms1	2.70731521779149e-07	0.792617622565953	0.00485096740723879	0.139	0.081	0.058
Gps2	2.99191745722301e-07	-1.43347494542898	0.00536091769985219	0.03	0.069	0.039
Ppp1r12c	3.3475632720124e-07	3.82567468432921	0.00599816387079181	0.021	0.001	0.02
Usp9x	4.36608701533719e-07	0.585099344709823	0.00782315471408118	0.227	0.158	0.069
Arhgap33	4.74215643420617e-07	1.87895619361212	0.00849699589881062	0.042	0.012	0.03
Fkbp5	5.00084341089863e-07	-3.17932958337012	0.00896051122364817	0.003	0.022	0.019
Rps14	5.10412052388678e-07	3.9687745196644	0.00914556315470033	0.021	0.001	0.02
Smim8	5.12086239107789e-07	-7.6652458631778	0.00917556123233337	0	0.014	0.014
Orc6	5.12086239107789e-07	-7.61085058037701	0.00917556123233337	0	0.014	0.014
Phactr1	6.27286446730027e-07	0.379444929124679	0.0112397185525086	0.452	0.369	0.083
Zc3h6	6.28099262376451e-07	-0.873480859211555	0.0112542825832613	0.079	0.133	0.054
Nuak1	6.40360212121637e-07	1.07176520560534	0.0114739742807955	0.083	0.04	0.043
Klf13	6.41847752058521e-07	-0.411006673798216	0.0115006280213846	0.284	0.365	0.081
Actb	6.55916312230447e-07	-0.670303860025627	0.0117527084825452	0.197	0.265	0.068
Sptbn1	6.86749037631783e-07	0.375394626614638	0.0123051692562863	0.423	0.345	0.078
Ppp1r10	6.92667418648348e-07	-1.23349928653683	0.0124112148073411	0.037	0.077	0.04
Zfp131	6.96946938411954e-07	1.59521718194757	0.0124878952424654	0.048	0.016	0.032
Mtf2	7.05444162135488e-07	-1.61335820946006	0.0126401484971437	0.014	0.043	0.029
Flot2	7.28993893600675e-07	-2.7434982684827	0.0130621125855369	0.004	0.024	0.02
Abhd17b	7.33199813616569e-07	-0.382234356766249	0.0131374742603817	0.443	0.517	0.074
Adgrv1	7.54279758929782e-07	-1.053900056061	0.0135151847205038	0.06	0.107	0.047
Dvl1	7.58366682843751e-07	2.29829645841769	0.0135884142231943	0.032	0.007	0.025
Atg12	7.6682755981923e-07	-2.48359703895284	0.013740016216841	0.006	0.027	0.021
Ank	8.90832049448592e-07	0.456500839107583	0.0159619286620199	0.485	0.422	0.063
Mettl14	9.22976895925412e-07	-3.25144722074345	0.0165379000211915	0.002	0.02	0.018
Trir	9.60146829329533e-07	-1.68187120400228	0.0172039108879266	0.016	0.045	0.029
Hif3a	9.69273714843219e-07	-2.6676365860235	0.0173674464225608	0.005	0.026	0.021
Gapvd1	9.96371061490975e-07	0.705458284146111	0.0178529766797953	0.167	0.108	0.059
Marchf2	1.03384915302039e-06	-1.04082246555384	0.0185245091238193	0.048	0.091	0.043
Zmym6	1.03596316233456e-06	1.01125039556134	0.0185623879427106	0.09	0.046	0.044
Tex264	1.14938952582261e-06	7.38073543808406	0.0205947615236896	0.016	0	0.016
Macf1	1.16754310826586e-06	0.418105623518533	0.0209200374139077	0.425	0.342	0.083
Rpl23	1.21590085733696e-06	4.10553311682391	0.0217865115617636	0.02	0.001	0.019
Kat5	1.21977883937677e-06	4.0752431678633	0.021855997243953	0.02	0.001	0.019
Wdr12	1.22019832051881e-06	2.15798737947868	0.0218635135070561	0.032	0.008	0.024
Rasal2	1.25099416635391e-06	0.687939502707637	0.0224153134727294	0.215	0.148	0.067
Mog	1.25356752190432e-06	-0.243069037482782	0.0224614228574817	0.714	0.761	0.047
Tecr	1.39250627454896e-06	1.48971151842758	0.0249509274273682	0.049	0.018	0.031
Mobp	1.42455953272809e-06	-0.233814955076885	0.0255252577074219	0.781	0.828	0.0469999999999999
Epb41l4b	1.51852521170539e-06	0.732166640938259	0.0272089347433371	0.211	0.151	0.06
Pla2g12a	1.66154473261452e-06	-3.48953327629504	0.0297715585189869	0.002	0.019	0.017
Zswim6	1.69911224895014e-06	0.430429401605221	0.0304446932766886	0.301	0.226	0.075
Strbp	1.72226275173717e-06	-1.79797377718652	0.0308595039856266	0.017	0.045	0.028
Nsun2	1.72263528380793e-06	-2.94230255152788	0.0308661790152706	0.002	0.019	0.017
Hdhd5	1.7668734464501e-06	3.24700328935789	0.0316588384134928	0.021	0.002	0.019
Rps13	1.79024969937743e-06	7.52224889948992	0.0320776941134449	0.016	0	0.016
Rplp0	1.93226841933251e-06	2.11998072554421	0.0346223855375999	0.033	0.008	0.025
Cfap36	1.9347069692436e-06	-2.60794621985917	0.0346660794749069	0.005	0.024	0.019
Rbis	1.94775205791957e-06	-1.62868756232536	0.0348998213738029	0.017	0.046	0.029
Atf6	2.21125626058624e-06	0.7893151567199	0.0396212896771842	0.092	0.048	0.044
H13	2.41105494880892e-06	2.45839365205053	0.0432012825727582	0.025	0.004	0.021
Ttc14	2.44419640651046e-06	-0.645296289644132	0.0437951112118544	0.11	0.167	0.057
Apc	2.58745303209447e-06	0.324322426344462	0.0463619834290687	0.524	0.456	0.068
Serpinb6a	2.62091077670846e-06	-1.24224257349602	0.0469614792970622	0.025	0.057	0.032
Pnkd	2.77971518227746e-06	-2.34538988381582	0.0498069366360475	0.005	0.025	0.02
Sde2	2.94818523529843e-06	-2.40885958878182	0.0528255830460772	0.005	0.025	0.02
Rsrp1	3.11178297629709e-06	-0.306080034043637	0.0557569273692913	0.418	0.49	0.072
Smarcc1	3.12077183664751e-06	1.13880701446886	0.0559179897690501	0.059	0.025	0.034
Tmem245	3.30267957344366e-06	0.862261674415427	0.0591774125969636	0.109	0.063	0.046
Msl3l2	3.3677909463755e-06	-7.48092356554932	0.0603440781771562	0	0.012	0.012
Hibch	3.36837917081027e-06	1.18902239756065	0.0603546179825784	0.068	0.032	0.036
Zfpm2	3.47987269910101e-06	-2.19977572301715	0.0623523590224918	0.009	0.031	0.022
Sos2	3.56620407041205e-06	0.766493078486487	0.0638992445336431	0.119	0.071	0.048
Map3k13	3.76359126051323e-06	0.954336787487938	0.0674360282058761	0.095	0.052	0.043
Slc6a1	4.10314118180309e-06	-0.825289846998366	0.0735200836955479	0.063	0.108	0.045
Plxnb3	4.336085708105e-06	0.552172394788903	0.0776939837178253	0.242	0.174	0.068
Nap1l4	4.39151101922956e-06	-0.937896880073078	0.0786870944425553	0.063	0.106	0.043
B3galt1	4.55362015953761e-06	0.236146952187445	0.0815917660185948	0.73	0.68	0.0499999999999999
Nr3c1	4.77507983546204e-06	0.517570575397017	0.0855598804918089	0.288	0.228	0.06
Cdh2	5.02997170982476e-06	-1.00108532542288	0.0901270330966401	0.034	0.07	0.036
Stim2	5.04885914757287e-06	1.02384512866634	0.0904654582062106	0.075	0.037	0.038
Il33	5.09040866893159e-06	-0.307648709032392	0.0912099425299163	0.42	0.495	0.075
1700037C18Rik	5.16745928651859e-06	-2.90066864016812	0.0925905354958401	0.003	0.019	0.016
Itm2b	5.39968774391774e-06	1.04137287327533	0.0967516049955181	0.074	0.037	0.037
Acbd5	5.44392838301023e-06	-0.914791166079261	0.0975443087667773	0.06	0.102	0.042
Zfp651	5.55037838875537e-06	-3.67132365255774	0.0994516799697188	0.002	0.016	0.014
